Timestamp,CH1,CH2,Label,Phase
3759945,1910,1873,DOWN,Phase_6_Covert
3759949,1890,1879,DOWN,Phase_6_Covert
3759953,1845,1883,DOWN,Phase_6_Covert
3759957,1872,1911,DOWN,Phase_6_Covert
3759961,1974,1906,DOWN,Phase_6_Covert
3759965,2017,1877,DOWN,Phase_6_Covert
3759969,1975,1856,DOWN,Phase_6_Covert
3759973,1877,1858,DOWN,Phase_6_Covert
3759977,1861,1874,DOWN,Phase_6_Covert
3759981,1939,1872,DOWN,Phase_6_Covert
3759985,2014,1851,DOWN,Phase_6_Covert
3759989,2011,1834,DOWN,Phase_6_Covert
3759993,1982,1812,DOWN,Phase_6_Covert
3759997,1987,1808,DOWN,Phase_6_Covert
3760001,1991,1813,DOWN,Phase_6_Covert
3760005,1875,1821,DOWN,Phase_6_Covert
3760009,1840,1819,DOWN,Phase_6_Covert
3760013,1867,1803,DOWN,Phase_6_Covert
3760017,1857,1774,DOWN,Phase_6_Covert
3760021,1818,1757,DOWN,Phase_6_Covert
3760025,1792,1763,DOWN,Phase_6_Covert
3760029,1835,1765,DOWN,Phase_6_Covert
3760033,1904,1739,DOWN,Phase_6_Covert
3760037,1934,1712,DOWN,Phase_6_Covert
3760041,1955,1723,DOWN,Phase_6_Covert
3760045,1899,1743,DOWN,Phase_6_Covert
3760049,1898,1742,DOWN,Phase_6_Covert
3760053,1872,1758,DOWN,Phase_6_Covert
3760057,1836,1778,DOWN,Phase_6_Covert
3760061,1815,1788,DOWN,Phase_6_Covert
3760065,1841,1775,DOWN,Phase_6_Covert
3760069,1901,1762,DOWN,Phase_6_Covert
3760073,1909,1774,DOWN,Phase_6_Covert
3760077,1877,1796,DOWN,Phase_6_Covert
3760081,1891,1796,DOWN,Phase_6_Covert
3760085,1763,1805,DOWN,Phase_6_Covert
3760089,1781,1810,DOWN,Phase_6_Covert
3760093,1953,1808,DOWN,Phase_6_Covert
3760097,1962,1807,DOWN,Phase_6_Covert
3760101,1845,1810,DOWN,Phase_6_Covert
3760105,1921,1808,DOWN,Phase_6_Covert
3760109,2057,1803,DOWN,Phase_6_Covert
3760113,2031,1799,DOWN,Phase_6_Covert
3760117,1961,1802,DOWN,Phase_6_Covert
3760121,1910,1808,DOWN,Phase_6_Covert
3760125,1893,1835,DOWN,Phase_6_Covert
3760129,1923,1838,DOWN,Phase_6_Covert
3760133,1915,1853,DOWN,Phase_6_Covert
3760137,1901,1850,DOWN,Phase_6_Covert
3760141,1873,1861,DOWN,Phase_6_Covert
3760145,1869,1872,DOWN,Phase_6_Covert
3760149,1938,1853,DOWN,Phase_6_Covert
3760153,1999,1831,DOWN,Phase_6_Covert
3760157,1971,1840,DOWN,Phase_6_Covert
3760161,1938,1840,DOWN,Phase_6_Covert
3760165,1891,1839,DOWN,Phase_6_Covert
3760169,1895,1850,DOWN,Phase_6_Covert
3760173,1930,1856,DOWN,Phase_6_Covert
3760177,1966,1840,DOWN,Phase_6_Covert
3760181,1989,1839,DOWN,Phase_6_Covert
3760185,1998,1826,DOWN,Phase_6_Covert
3760189,1979,1831,DOWN,Phase_6_Covert
3760193,1893,1857,DOWN,Phase_6_Covert
3760197,1887,1850,DOWN,Phase_6_Covert
3760201,1926,1828,DOWN,Phase_6_Covert
3760205,1902,1845,DOWN,Phase_6_Covert
3760209,1882,1849,DOWN,Phase_6_Covert
3760213,1843,1850,DOWN,Phase_6_Covert
3760217,1767,1879,DOWN,Phase_6_Covert
3760221,1904,1891,DOWN,Phase_6_Covert
3760225,2057,1865,DOWN,Phase_6_Covert
3760229,2090,1825,DOWN,Phase_6_Covert
3760233,1993,1838,DOWN,Phase_6_Covert
3760237,1953,1862,DOWN,Phase_6_Covert
3760241,1926,1870,DOWN,Phase_6_Covert
3760245,1939,1859,DOWN,Phase_6_Covert
3760249,1957,1845,DOWN,Phase_6_Covert
3760253,1961,1839,DOWN,Phase_6_Covert
3760257,1949,1856,DOWN,Phase_6_Covert
3760261,1945,1866,DOWN,Phase_6_Covert
3760265,1942,1863,DOWN,Phase_6_Covert
3760269,1918,1859,DOWN,Phase_6_Covert
3760273,1887,1869,DOWN,Phase_6_Covert
3760277,1874,1859,DOWN,Phase_6_Covert
3760281,1830,1856,DOWN,Phase_6_Covert
3760285,1846,1862,DOWN,Phase_6_Covert
3760289,1951,1872,DOWN,Phase_6_Covert
3760293,1993,1869,DOWN,Phase_6_Covert
3760297,1973,1862,DOWN,Phase_6_Covert
3760301,1903,1879,DOWN,Phase_6_Covert
3760305,1817,1899,DOWN,Phase_6_Covert
3760309,1856,1894,DOWN,Phase_6_Covert
