Timestamp,CH1,CH2,Label,Phase
229201,1966,1987,LEFT,Phase_6_Covert
229205,1991,1963,LEFT,Phase_6_Covert
229209,1990,1954,LEFT,Phase_6_Covert
229213,1968,1928,LEFT,Phase_6_Covert
229217,1997,1921,LEFT,Phase_6_Covert
229221,2014,1951,LEFT,Phase_6_Covert
229225,2022,1983,LEFT,Phase_6_Covert
229229,2005,1989,LEFT,Phase_6_Covert
229233,1997,1976,LEFT,Phase_6_Covert
229237,1986,1965,LEFT,Phase_6_Covert
229241,2000,1971,LEFT,Phase_6_Covert
229245,1995,1983,LEFT,Phase_6_Covert
229249,1987,1968,LEFT,Phase_6_Covert
229253,1977,1943,LEFT,Phase_6_Covert
229257,1999,1946,LEFT,Phase_6_Covert
229261,2029,1966,LEFT,Phase_6_Covert
229265,2031,1968,LEFT,Phase_6_Covert
229269,1982,1962,LEFT,Phase_6_Covert
229273,1970,1978,LEFT,Phase_6_Covert
229277,1989,1968,LEFT,Phase_6_Covert
229281,1993,1952,LEFT,Phase_6_Covert
229285,2011,1955,LEFT,Phase_6_Covert
229289,2015,1951,LEFT,Phase_6_Covert
229293,2022,1959,LEFT,Phase_6_Covert
229297,2014,1965,LEFT,Phase_6_Covert
229301,2000,1982,LEFT,Phase_6_Covert
229305,1993,1989,LEFT,Phase_6_Covert
229309,2015,2005,LEFT,Phase_6_Covert
229313,2033,1985,LEFT,Phase_6_Covert
229317,2013,1965,LEFT,Phase_6_Covert
229321,2013,1965,LEFT,Phase_6_Covert
229325,2033,1971,LEFT,Phase_6_Covert
229329,2034,1974,LEFT,Phase_6_Covert
229333,1999,1967,LEFT,Phase_6_Covert
229337,2000,1951,LEFT,Phase_6_Covert
229341,2003,1968,LEFT,Phase_6_Covert
229345,2013,1969,LEFT,Phase_6_Covert
229349,2004,1974,LEFT,Phase_6_Covert
229353,1995,1968,LEFT,Phase_6_Covert
229357,1999,1984,LEFT,Phase_6_Covert
229361,2022,1978,LEFT,Phase_6_Covert
229365,2034,1952,LEFT,Phase_6_Covert
229369,2062,1935,LEFT,Phase_6_Covert
229373,2046,1943,LEFT,Phase_6_Covert
229377,2005,1939,LEFT,Phase_6_Covert
229381,1998,1951,LEFT,Phase_6_Covert
229385,2020,1962,LEFT,Phase_6_Covert
229389,1995,1963,LEFT,Phase_6_Covert
229393,1968,1954,LEFT,Phase_6_Covert
229397,1961,1937,LEFT,Phase_6_Covert
229401,1968,1925,LEFT,Phase_6_Covert
229405,1977,1926,LEFT,Phase_6_Covert
229409,1987,1935,LEFT,Phase_6_Covert
229413,2013,1953,LEFT,Phase_6_Covert
229417,2015,1935,LEFT,Phase_6_Covert
229421,2013,1947,LEFT,Phase_6_Covert
229425,1995,1958,LEFT,Phase_6_Covert
229429,1983,1968,LEFT,Phase_6_Covert
229433,1989,1952,LEFT,Phase_6_Covert
229437,1999,1953,LEFT,Phase_6_Covert
229441,2003,1939,LEFT,Phase_6_Covert
229445,2017,1936,LEFT,Phase_6_Covert
229449,2009,1931,LEFT,Phase_6_Covert
229453,2002,1936,LEFT,Phase_6_Covert
229457,2000,1953,LEFT,Phase_6_Covert
229461,1984,1926,LEFT,Phase_6_Covert
229465,1981,1921,LEFT,Phase_6_Covert
229469,1990,1936,LEFT,Phase_6_Covert
229473,1990,1933,LEFT,Phase_6_Covert
229477,1983,1939,LEFT,Phase_6_Covert
229481,1967,1927,LEFT,Phase_6_Covert
229485,1968,1921,LEFT,Phase_6_Covert
229489,1974,1917,LEFT,Phase_6_Covert
229493,1982,1925,LEFT,Phase_6_Covert
229497,1968,1934,LEFT,Phase_6_Covert
229501,1959,1925,LEFT,Phase_6_Covert
229505,1931,1906,LEFT,Phase_6_Covert
229509,1951,1905,LEFT,Phase_6_Covert
229513,1983,1919,LEFT,Phase_6_Covert
229517,1966,1920,LEFT,Phase_6_Covert
229521,1935,1922,LEFT,Phase_6_Covert
229525,1918,1925,LEFT,Phase_6_Covert
229529,1935,1918,LEFT,Phase_6_Covert
229533,1946,1907,LEFT,Phase_6_Covert
229537,1965,1889,LEFT,Phase_6_Covert
229541,1961,1877,LEFT,Phase_6_Covert
229545,1959,1884,LEFT,Phase_6_Covert
229549,1957,1899,LEFT,Phase_6_Covert
229553,1971,1921,LEFT,Phase_6_Covert
229557,1964,1926,LEFT,Phase_6_Covert
229561,1961,1911,LEFT,Phase_6_Covert
229565,1955,1895,LEFT,Phase_6_Covert
229569,1964,1895,LEFT,Phase_6_Covert
229573,1991,1904,LEFT,Phase_6_Covert
229577,1993,1909,LEFT,Phase_6_Covert
229581,1965,1910,LEFT,Phase_6_Covert
229585,1950,1891,LEFT,Phase_6_Covert
229589,1939,1887,LEFT,Phase_6_Covert
229593,1936,1895,LEFT,Phase_6_Covert
229597,1937,1882,LEFT,Phase_6_Covert
229601,1951,1885,LEFT,Phase_6_Covert
229605,1956,1904,LEFT,Phase_6_Covert
229609,1946,1904,LEFT,Phase_6_Covert
229613,1943,1879,LEFT,Phase_6_Covert
229617,1953,1874,LEFT,Phase_6_Covert
229621,1947,1886,LEFT,Phase_6_Covert
229625,1941,1889,LEFT,Phase_6_Covert
229629,1950,1893,LEFT,Phase_6_Covert
229633,1961,1887,LEFT,Phase_6_Covert
229637,1951,1872,LEFT,Phase_6_Covert
229641,1946,1872,LEFT,Phase_6_Covert
229645,1947,1886,LEFT,Phase_6_Covert
229649,1951,1879,LEFT,Phase_6_Covert
229653,1936,1870,LEFT,Phase_6_Covert
229657,1937,1856,LEFT,Phase_6_Covert
229661,1963,1855,LEFT,Phase_6_Covert
229665,1954,1869,LEFT,Phase_6_Covert
229669,1936,1872,LEFT,Phase_6_Covert
229673,1923,1891,LEFT,Phase_6_Covert
229677,1938,1904,LEFT,Phase_6_Covert
229681,1941,1897,LEFT,Phase_6_Covert
229685,1932,1877,LEFT,Phase_6_Covert
