Timestamp,CH1,CH2,Label,Phase
2883393,1907,1699,NOISE,Phase_6_Covert
2883397,1921,1663,NOISE,Phase_6_Covert
2883401,1909,1657,NOISE,Phase_6_Covert
2883405,1913,1758,NOISE,Phase_6_Covert
2883409,1924,1858,NOISE,Phase_6_Covert
2883413,1939,1802,NOISE,Phase_6_Covert
2883417,1965,1743,NOISE,Phase_6_Covert
2883421,1951,1662,NOISE,Phase_6_Covert
2883425,1916,1671,NOISE,Phase_6_Covert
2883429,1919,1842,NOISE,Phase_6_Covert
2883433,1947,1999,NOISE,Phase_6_Covert
2883437,1965,1951,NOISE,Phase_6_Covert
2883441,1968,1846,NOISE,Phase_6_Covert
2883445,1967,1887,NOISE,Phase_6_Covert
2883449,1941,1872,NOISE,Phase_6_Covert
2883453,1925,1929,NOISE,Phase_6_Covert
2883457,1934,2000,NOISE,Phase_6_Covert
2883461,1941,2010,NOISE,Phase_6_Covert
2883465,1958,1959,NOISE,Phase_6_Covert
2883469,1966,1929,NOISE,Phase_6_Covert
2883473,1968,1995,NOISE,Phase_6_Covert
2883477,1966,2067,NOISE,Phase_6_Covert
2883481,1965,2065,NOISE,Phase_6_Covert
2883485,1962,2003,NOISE,Phase_6_Covert
2883489,1967,2099,NOISE,Phase_6_Covert
2883493,1959,2129,NOISE,Phase_6_Covert
2883497,1966,2057,NOISE,Phase_6_Covert
2883501,1970,2095,NOISE,Phase_6_Covert
2883505,1974,2047,NOISE,Phase_6_Covert
2883509,1973,2150,NOISE,Phase_6_Covert
2883513,1966,2192,NOISE,Phase_6_Covert
2883517,1957,2066,NOISE,Phase_6_Covert
2883521,1962,2045,NOISE,Phase_6_Covert
2883525,1967,2112,NOISE,Phase_6_Covert
2883529,1966,2161,NOISE,Phase_6_Covert
2883533,1984,2119,NOISE,Phase_6_Covert
2883537,1967,2070,NOISE,Phase_6_Covert
2883541,1952,2175,NOISE,Phase_6_Covert
2883545,1969,2289,NOISE,Phase_6_Covert
2883549,1962,2212,NOISE,Phase_6_Covert
2883553,1975,2057,NOISE,Phase_6_Covert
2883557,1978,2061,NOISE,Phase_6_Covert
2883561,1975,2166,NOISE,Phase_6_Covert
2883565,1961,2225,NOISE,Phase_6_Covert
2883569,1947,2245,NOISE,Phase_6_Covert
2883573,1955,2254,NOISE,Phase_6_Covert
2883577,1969,2080,NOISE,Phase_6_Covert
2883581,2000,1841,NOISE,Phase_6_Covert
2883585,1975,1987,NOISE,Phase_6_Covert
2883589,1942,2212,NOISE,Phase_6_Covert
2883593,1938,2315,NOISE,Phase_6_Covert
2883597,1938,2260,NOISE,Phase_6_Covert
2883601,1953,2234,NOISE,Phase_6_Covert
2883605,1947,2198,NOISE,Phase_6_Covert
2883609,1975,2088,NOISE,Phase_6_Covert
2883613,1959,2061,NOISE,Phase_6_Covert
2883617,1963,2038,NOISE,Phase_6_Covert
2883621,1981,2035,NOISE,Phase_6_Covert
2883625,1966,2075,NOISE,Phase_6_Covert
2883629,1943,2224,NOISE,Phase_6_Covert
2883633,1930,2256,NOISE,Phase_6_Covert
2883637,1933,2179,NOISE,Phase_6_Covert
2883641,1911,2141,NOISE,Phase_6_Covert
2883645,1926,2109,NOISE,Phase_6_Covert
2883649,1943,2112,NOISE,Phase_6_Covert
2883653,1968,1978,NOISE,Phase_6_Covert
2883657,1958,2000,NOISE,Phase_6_Covert
2883661,1950,2103,NOISE,Phase_6_Covert
2883665,1915,2142,NOISE,Phase_6_Covert
2883669,1932,2218,NOISE,Phase_6_Covert
2883673,1917,2194,NOISE,Phase_6_Covert
2883677,1900,2151,NOISE,Phase_6_Covert
2883681,1907,2123,NOISE,Phase_6_Covert
2883685,1937,2086,NOISE,Phase_6_Covert
2883689,1969,2075,NOISE,Phase_6_Covert
2883693,1971,1979,NOISE,Phase_6_Covert
2883697,1964,2032,NOISE,Phase_6_Covert
2883701,1940,2154,NOISE,Phase_6_Covert
2883705,1937,2105,NOISE,Phase_6_Covert
2883709,1919,1955,NOISE,Phase_6_Covert
2883713,1927,1991,NOISE,Phase_6_Covert
2883717,1953,2145,NOISE,Phase_6_Covert
2883721,1959,2165,NOISE,Phase_6_Covert
2883725,1946,2076,NOISE,Phase_6_Covert
2883729,1966,1994,NOISE,Phase_6_Covert
2883733,1959,2013,NOISE,Phase_6_Covert
2883737,1951,1954,NOISE,Phase_6_Covert
2883741,1968,1995,NOISE,Phase_6_Covert
2883745,1941,2067,NOISE,Phase_6_Covert
2883749,1911,2073,NOISE,Phase_6_Covert
2883753,1910,2032,NOISE,Phase_6_Covert
2883757,1910,2011,NOISE,Phase_6_Covert
2883761,1917,1971,NOISE,Phase_6_Covert
2883765,1912,1984,NOISE,Phase_6_Covert
2883769,1934,2003,NOISE,Phase_6_Covert
2883773,1941,1966,NOISE,Phase_6_Covert
2883777,1945,1939,NOISE,Phase_6_Covert
2883781,1935,1914,NOISE,Phase_6_Covert
2883785,1912,1957,NOISE,Phase_6_Covert
2883789,1914,1966,NOISE,Phase_6_Covert
2883793,1891,1901,NOISE,Phase_6_Covert
2883797,1900,1870,NOISE,Phase_6_Covert
2883801,1921,1909,NOISE,Phase_6_Covert
2883805,1930,1926,NOISE,Phase_6_Covert
2883809,1927,1936,NOISE,Phase_6_Covert
2883813,1942,1889,NOISE,Phase_6_Covert
2883817,1937,1770,NOISE,Phase_6_Covert
2883821,1929,1807,NOISE,Phase_6_Covert
2883825,1913,1843,NOISE,Phase_6_Covert
2883829,1898,1863,NOISE,Phase_6_Covert
2883833,1903,1842,NOISE,Phase_6_Covert
2883837,1919,1894,NOISE,Phase_6_Covert
2883841,1919,1897,NOISE,Phase_6_Covert
