Timestamp,CH1,CH2,Label,Phase
2733137,2046,2021,RIGHT,Phase_6_Covert
2733141,2069,1954,RIGHT,Phase_6_Covert
2733145,2044,1882,RIGHT,Phase_6_Covert
2733149,2029,1888,RIGHT,Phase_6_Covert
2733153,2006,1978,RIGHT,Phase_6_Covert
2733157,2017,1969,RIGHT,Phase_6_Covert
2733161,2058,1931,RIGHT,Phase_6_Covert
2733165,2064,1919,RIGHT,Phase_6_Covert
2733169,2047,1943,RIGHT,Phase_6_Covert
2733173,2023,1916,RIGHT,Phase_6_Covert
2733177,2011,1917,RIGHT,Phase_6_Covert
2733181,2005,1930,RIGHT,Phase_6_Covert
2733185,1998,1961,RIGHT,Phase_6_Covert
2733189,1995,1936,RIGHT,Phase_6_Covert
2733193,2007,1936,RIGHT,Phase_6_Covert
2733197,2013,1925,RIGHT,Phase_6_Covert
2733201,2009,1877,RIGHT,Phase_6_Covert
2733205,2009,1823,RIGHT,Phase_6_Covert
2733209,1990,1881,RIGHT,Phase_6_Covert
2733213,1971,1877,RIGHT,Phase_6_Covert
2733217,1968,1927,RIGHT,Phase_6_Covert
2733221,1968,2007,RIGHT,Phase_6_Covert
2733225,1979,1955,RIGHT,Phase_6_Covert
2733229,1977,1875,RIGHT,Phase_6_Covert
2733233,1975,1838,RIGHT,Phase_6_Covert
2733237,1973,1813,RIGHT,Phase_6_Covert
2733241,1949,1845,RIGHT,Phase_6_Covert
2733245,1958,1874,RIGHT,Phase_6_Covert
2733249,1975,1873,RIGHT,Phase_6_Covert
2733253,1970,1886,RIGHT,Phase_6_Covert
2733257,1953,1943,RIGHT,Phase_6_Covert
2733261,1949,1947,RIGHT,Phase_6_Covert
2733265,1968,1911,RIGHT,Phase_6_Covert
2733269,1975,1873,RIGHT,Phase_6_Covert
2733273,1982,1845,RIGHT,Phase_6_Covert
2733277,1984,1890,RIGHT,Phase_6_Covert
2733281,1965,1882,RIGHT,Phase_6_Covert
2733285,1937,1840,RIGHT,Phase_6_Covert
2733289,1950,1797,RIGHT,Phase_6_Covert
2733293,1936,1867,RIGHT,Phase_6_Covert
2733297,1936,1936,RIGHT,Phase_6_Covert
2733301,1936,1920,RIGHT,Phase_6_Covert
2733305,1934,1879,RIGHT,Phase_6_Covert
2733309,1936,1894,RIGHT,Phase_6_Covert
2733313,1949,1877,RIGHT,Phase_6_Covert
