Timestamp,CH1,CH2,Label,Phase
327061,1887,1873,SILENCE,Phase_6_Covert
327065,1887,1858,SILENCE,Phase_6_Covert
327069,1884,1877,SILENCE,Phase_6_Covert
327073,1875,1878,SILENCE,Phase_6_Covert
327077,1861,1872,SILENCE,Phase_6_Covert
327081,1854,1869,SILENCE,Phase_6_Covert
327085,1861,1872,SILENCE,Phase_6_Covert
327089,1841,1873,SILENCE,Phase_6_Covert
327093,1863,1872,SILENCE,Phase_6_Covert
327097,1859,1872,SILENCE,Phase_6_Covert
327101,1860,1870,SILENCE,Phase_6_Covert
327105,1840,1869,SILENCE,Phase_6_Covert
327109,1870,1873,SILENCE,Phase_6_Covert
327113,1879,1872,SILENCE,Phase_6_Covert
327117,1865,1870,SILENCE,Phase_6_Covert
327121,1862,1867,SILENCE,Phase_6_Covert
327125,1872,1873,SILENCE,Phase_6_Covert
327129,1875,1883,SILENCE,Phase_6_Covert
327133,1878,1885,SILENCE,Phase_6_Covert
327137,1882,1873,SILENCE,Phase_6_Covert
327141,1878,1872,SILENCE,Phase_6_Covert
327145,1875,1875,SILENCE,Phase_6_Covert
327149,1886,1874,SILENCE,Phase_6_Covert
327153,1879,1872,SILENCE,Phase_6_Covert
327157,1879,1872,SILENCE,Phase_6_Covert
327161,1893,1867,SILENCE,Phase_6_Covert
327165,1905,1873,SILENCE,Phase_6_Covert
327169,1904,1874,SILENCE,Phase_6_Covert
327173,1909,1879,SILENCE,Phase_6_Covert
327177,1911,1882,SILENCE,Phase_6_Covert
327181,1919,1879,SILENCE,Phase_6_Covert
327185,1936,1878,SILENCE,Phase_6_Covert
327189,1927,1877,SILENCE,Phase_6_Covert
327193,1926,1873,SILENCE,Phase_6_Covert
327197,1920,1871,SILENCE,Phase_6_Covert
327201,1915,1872,SILENCE,Phase_6_Covert
327205,1907,1871,SILENCE,Phase_6_Covert
327209,1906,1873,SILENCE,Phase_6_Covert
327213,1929,1882,SILENCE,Phase_6_Covert
327217,1922,1879,SILENCE,Phase_6_Covert
327221,1924,1878,SILENCE,Phase_6_Covert
327225,1935,1871,SILENCE,Phase_6_Covert
327229,1923,1872,SILENCE,Phase_6_Covert
327233,1936,1872,SILENCE,Phase_6_Covert
327237,1922,1869,SILENCE,Phase_6_Covert
327241,1926,1870,SILENCE,Phase_6_Covert
327245,1936,1873,SILENCE,Phase_6_Covert
327249,1937,1883,SILENCE,Phase_6_Covert
327253,1931,1889,SILENCE,Phase_6_Covert
327257,1926,1884,SILENCE,Phase_6_Covert
327261,1918,1869,SILENCE,Phase_6_Covert
327265,1921,1872,SILENCE,Phase_6_Covert
327269,1925,1873,SILENCE,Phase_6_Covert
327273,1929,1886,SILENCE,Phase_6_Covert
327277,1935,1872,SILENCE,Phase_6_Covert
327281,1933,1872,SILENCE,Phase_6_Covert
327285,1923,1871,SILENCE,Phase_6_Covert
327289,1922,1885,SILENCE,Phase_6_Covert
327293,1921,1871,SILENCE,Phase_6_Covert
327297,1922,1867,SILENCE,Phase_6_Covert
327301,1931,1856,SILENCE,Phase_6_Covert
327305,1947,1856,SILENCE,Phase_6_Covert
327309,1941,1866,SILENCE,Phase_6_Covert
327313,1937,1891,SILENCE,Phase_6_Covert
327317,1926,1885,SILENCE,Phase_6_Covert
327321,1907,1878,SILENCE,Phase_6_Covert
327325,1912,1875,SILENCE,Phase_6_Covert
327329,1906,1871,SILENCE,Phase_6_Covert
327333,1926,1872,SILENCE,Phase_6_Covert
327337,1927,1872,SILENCE,Phase_6_Covert
327341,1923,1872,SILENCE,Phase_6_Covert
327345,1920,1873,SILENCE,Phase_6_Covert
327349,1929,1873,SILENCE,Phase_6_Covert
327353,1917,1882,SILENCE,Phase_6_Covert
327357,1917,1889,SILENCE,Phase_6_Covert
327361,1931,1906,SILENCE,Phase_6_Covert
327365,1936,1898,SILENCE,Phase_6_Covert
327369,1926,1883,SILENCE,Phase_6_Covert
327373,1917,1901,SILENCE,Phase_6_Covert
327377,1909,1883,SILENCE,Phase_6_Covert
327381,1917,1882,SILENCE,Phase_6_Covert
327385,1923,1890,SILENCE,Phase_6_Covert
327389,1939,1899,SILENCE,Phase_6_Covert
327393,1932,1895,SILENCE,Phase_6_Covert
327397,1913,1890,SILENCE,Phase_6_Covert
327401,1914,1891,SILENCE,Phase_6_Covert
327405,1921,1898,SILENCE,Phase_6_Covert
327409,1915,1889,SILENCE,Phase_6_Covert
327413,1920,1878,SILENCE,Phase_6_Covert
327417,1918,1872,SILENCE,Phase_6_Covert
327421,1914,1870,SILENCE,Phase_6_Covert
327425,1920,1876,SILENCE,Phase_6_Covert
327429,1925,1887,SILENCE,Phase_6_Covert
327433,1921,1891,SILENCE,Phase_6_Covert
327437,1920,1892,SILENCE,Phase_6_Covert
327441,1913,1887,SILENCE,Phase_6_Covert
327445,1914,1883,SILENCE,Phase_6_Covert
327449,1911,1876,SILENCE,Phase_6_Covert
327453,1919,1881,SILENCE,Phase_6_Covert
327457,1933,1879,SILENCE,Phase_6_Covert
327461,1930,1875,SILENCE,Phase_6_Covert
327465,1927,1872,SILENCE,Phase_6_Covert
327469,1917,1875,SILENCE,Phase_6_Covert
327473,1920,1861,SILENCE,Phase_6_Covert
327477,1904,1888,SILENCE,Phase_6_Covert
327481,1910,1889,SILENCE,Phase_6_Covert
327485,1907,1883,SILENCE,Phase_6_Covert
327489,1909,1881,SILENCE,Phase_6_Covert
327493,1919,1883,SILENCE,Phase_6_Covert
327497,1923,1881,SILENCE,Phase_6_Covert
327501,1924,1884,SILENCE,Phase_6_Covert
327505,1903,1882,SILENCE,Phase_6_Covert
327509,1891,1878,SILENCE,Phase_6_Covert
327513,1891,1881,SILENCE,Phase_6_Covert
327517,1887,1875,SILENCE,Phase_6_Covert
327521,1895,1871,SILENCE,Phase_6_Covert
327525,1889,1873,SILENCE,Phase_6_Covert
327529,1886,1875,SILENCE,Phase_6_Covert
327533,1895,1867,SILENCE,Phase_6_Covert
327537,1899,1871,SILENCE,Phase_6_Covert
327541,1904,1874,SILENCE,Phase_6_Covert
327545,1909,1877,SILENCE,Phase_6_Covert
327549,1910,1877,SILENCE,Phase_6_Covert
327553,1913,1866,SILENCE,Phase_6_Covert
327557,1910,1881,SILENCE,Phase_6_Covert
327561,1919,1877,SILENCE,Phase_6_Covert
327565,1917,1872,SILENCE,Phase_6_Covert
327569,1916,1887,SILENCE,Phase_6_Covert
327573,1920,1887,SILENCE,Phase_6_Covert
327577,1920,1861,SILENCE,Phase_6_Covert
327581,1928,1876,SILENCE,Phase_6_Covert
327585,1929,1872,SILENCE,Phase_6_Covert
327589,1925,1876,SILENCE,Phase_6_Covert
327593,1936,1883,SILENCE,Phase_6_Covert
327597,1914,1888,SILENCE,Phase_6_Covert
327601,1921,1890,SILENCE,Phase_6_Covert
327605,1925,1887,SILENCE,Phase_6_Covert
327609,1934,1885,SILENCE,Phase_6_Covert
327613,1930,1880,SILENCE,Phase_6_Covert
327617,1929,1872,SILENCE,Phase_6_Covert
327621,1935,1881,SILENCE,Phase_6_Covert
327625,1933,1890,SILENCE,Phase_6_Covert
327629,1937,1895,SILENCE,Phase_6_Covert
327633,1936,1895,SILENCE,Phase_6_Covert
327637,1915,1887,SILENCE,Phase_6_Covert
327641,1922,1893,SILENCE,Phase_6_Covert
327645,1918,1877,SILENCE,Phase_6_Covert
327649,1909,1871,SILENCE,Phase_6_Covert
327653,1904,1872,SILENCE,Phase_6_Covert
327657,1878,1872,SILENCE,Phase_6_Covert
327661,1921,1875,SILENCE,Phase_6_Covert
327665,1936,1883,SILENCE,Phase_6_Covert
327669,1943,1879,SILENCE,Phase_6_Covert
327673,1943,1872,SILENCE,Phase_6_Covert
327677,1933,1873,SILENCE,Phase_6_Covert
327681,1930,1873,SILENCE,Phase_6_Covert
327685,1925,1879,SILENCE,Phase_6_Covert
327689,1923,1887,SILENCE,Phase_6_Covert
327693,1915,1879,SILENCE,Phase_6_Covert
327697,1924,1879,SILENCE,Phase_6_Covert
327701,1936,1874,SILENCE,Phase_6_Covert
327705,1951,1881,SILENCE,Phase_6_Covert
327709,1934,1887,SILENCE,Phase_6_Covert
327713,1919,1895,SILENCE,Phase_6_Covert
327717,1904,1887,SILENCE,Phase_6_Covert
327721,1877,1875,SILENCE,Phase_6_Covert
327725,1846,1867,SILENCE,Phase_6_Covert
327729,1813,1854,SILENCE,Phase_6_Covert
327733,1796,1849,SILENCE,Phase_6_Covert
327737,1789,1846,SILENCE,Phase_6_Covert
327741,1803,1843,SILENCE,Phase_6_Covert
327745,1840,1858,SILENCE,Phase_6_Covert
327749,1882,1872,SILENCE,Phase_6_Covert
327753,1908,1878,SILENCE,Phase_6_Covert
327757,1911,1877,SILENCE,Phase_6_Covert
327761,1905,1872,SILENCE,Phase_6_Covert
327765,1904,1867,SILENCE,Phase_6_Covert
327769,1904,1870,SILENCE,Phase_6_Covert
327773,1915,1874,SILENCE,Phase_6_Covert
327777,1935,1877,SILENCE,Phase_6_Covert
327781,1917,1888,SILENCE,Phase_6_Covert
327785,1916,1872,SILENCE,Phase_6_Covert
327789,1934,1872,SILENCE,Phase_6_Covert
327793,1933,1868,SILENCE,Phase_6_Covert
327797,1923,1871,SILENCE,Phase_6_Covert
327801,1921,1876,SILENCE,Phase_6_Covert
327805,1932,1882,SILENCE,Phase_6_Covert
327809,1935,1887,SILENCE,Phase_6_Covert
327813,1935,1887,SILENCE,Phase_6_Covert
327817,1926,1886,SILENCE,Phase_6_Covert
327821,1925,1875,SILENCE,Phase_6_Covert
327825,1929,1873,SILENCE,Phase_6_Covert
327829,1931,1877,SILENCE,Phase_6_Covert
327833,1931,1879,SILENCE,Phase_6_Covert
327837,1920,1878,SILENCE,Phase_6_Covert
327841,1911,1874,SILENCE,Phase_6_Covert
327845,1919,1875,SILENCE,Phase_6_Covert
327849,1934,1882,SILENCE,Phase_6_Covert
327853,1926,1875,SILENCE,Phase_6_Covert
327857,1920,1879,SILENCE,Phase_6_Covert
327861,1913,1872,SILENCE,Phase_6_Covert
327865,1915,1874,SILENCE,Phase_6_Covert
327869,1927,1873,SILENCE,Phase_6_Covert
327873,1924,1881,SILENCE,Phase_6_Covert
327877,1925,1875,SILENCE,Phase_6_Covert
327881,1925,1872,SILENCE,Phase_6_Covert
327885,1922,1873,SILENCE,Phase_6_Covert
327889,1931,1879,SILENCE,Phase_6_Covert
327893,1907,1872,SILENCE,Phase_6_Covert
327897,1904,1866,SILENCE,Phase_6_Covert
327901,1902,1868,SILENCE,Phase_6_Covert
327905,1899,1868,SILENCE,Phase_6_Covert
327909,1904,1874,SILENCE,Phase_6_Covert
327913,1909,1877,SILENCE,Phase_6_Covert
327917,1911,1872,SILENCE,Phase_6_Covert
327921,1904,1872,SILENCE,Phase_6_Covert
327925,1904,1863,SILENCE,Phase_6_Covert
327929,1907,1863,SILENCE,Phase_6_Covert
327933,1910,1869,SILENCE,Phase_6_Covert
327937,1904,1870,SILENCE,Phase_6_Covert
327941,1906,1871,SILENCE,Phase_6_Covert
327945,1901,1866,SILENCE,Phase_6_Covert
327949,1906,1871,SILENCE,Phase_6_Covert
327953,1911,1869,SILENCE,Phase_6_Covert
327957,1899,1867,SILENCE,Phase_6_Covert
327961,1894,1875,SILENCE,Phase_6_Covert
327965,1895,1858,SILENCE,Phase_6_Covert
327969,1901,1867,SILENCE,Phase_6_Covert
327973,1891,1862,SILENCE,Phase_6_Covert
327977,1886,1861,SILENCE,Phase_6_Covert
327981,1882,1857,SILENCE,Phase_6_Covert
327985,1878,1853,SILENCE,Phase_6_Covert
327989,1878,1855,SILENCE,Phase_6_Covert
327993,1885,1858,SILENCE,Phase_6_Covert
327997,1883,1859,SILENCE,Phase_6_Covert
328001,1883,1852,SILENCE,Phase_6_Covert
328005,1883,1845,SILENCE,Phase_6_Covert
328009,1887,1841,SILENCE,Phase_6_Covert
328013,1893,1852,SILENCE,Phase_6_Covert
328017,1900,1857,SILENCE,Phase_6_Covert
328021,1899,1863,SILENCE,Phase_6_Covert
328025,1901,1874,SILENCE,Phase_6_Covert
328029,1893,1863,SILENCE,Phase_6_Covert
328033,1895,1867,SILENCE,Phase_6_Covert
328037,1895,1869,SILENCE,Phase_6_Covert
