Timestamp,CH1,CH2,Label,Phase
707733,1996,1889,UP,Phase_6_Covert
707737,1999,1862,UP,Phase_6_Covert
707741,1991,1857,UP,Phase_6_Covert
707745,1979,1855,UP,Phase_6_Covert
707749,1975,1867,UP,Phase_6_Covert
707753,1987,1911,UP,Phase_6_Covert
707757,2000,1861,UP,Phase_6_Covert
707761,1993,1850,UP,Phase_6_Covert
707765,1986,1867,UP,Phase_6_Covert
707769,1977,1898,UP,Phase_6_Covert
707773,1963,1937,UP,Phase_6_Covert
707777,1966,1957,UP,Phase_6_Covert
707781,1993,1931,UP,Phase_6_Covert
707785,2019,1877,UP,Phase_6_Covert
707789,2034,1843,UP,Phase_6_Covert
707793,2010,1868,UP,Phase_6_Covert
707797,1965,1913,UP,Phase_6_Covert
707801,1967,1885,UP,Phase_6_Covert
707805,1984,1871,UP,Phase_6_Covert
707809,1998,1877,UP,Phase_6_Covert
707813,2001,1927,UP,Phase_6_Covert
707817,1980,1936,UP,Phase_6_Covert
707821,1980,1872,UP,Phase_6_Covert
707825,2006,1876,UP,Phase_6_Covert
707829,2017,1879,UP,Phase_6_Covert
707833,2011,1846,UP,Phase_6_Covert
707837,1996,1882,UP,Phase_6_Covert
707841,1959,1936,UP,Phase_6_Covert
707845,1949,1968,UP,Phase_6_Covert
707849,1971,1921,UP,Phase_6_Covert
707853,2013,1903,UP,Phase_6_Covert
707857,2001,1887,UP,Phase_6_Covert
707861,1997,1899,UP,Phase_6_Covert
707865,1978,1882,UP,Phase_6_Covert
707869,1979,1828,UP,Phase_6_Covert
707873,1968,1853,UP,Phase_6_Covert
707877,1956,1898,UP,Phase_6_Covert
707881,1946,1867,UP,Phase_6_Covert
707885,1962,1825,UP,Phase_6_Covert
707889,1974,1892,UP,Phase_6_Covert
707893,1957,1959,UP,Phase_6_Covert
707897,1944,1940,UP,Phase_6_Covert
707901,1947,1919,UP,Phase_6_Covert
707905,1959,1918,UP,Phase_6_Covert
707909,1967,1890,UP,Phase_6_Covert
707913,1968,1872,UP,Phase_6_Covert
707917,1967,1917,UP,Phase_6_Covert
707921,1971,1904,UP,Phase_6_Covert
707925,1959,1890,UP,Phase_6_Covert
707929,1936,1876,UP,Phase_6_Covert
707933,1919,1887,UP,Phase_6_Covert
707937,1891,1914,UP,Phase_6_Covert
707941,1865,1932,UP,Phase_6_Covert
707945,1858,1921,UP,Phase_6_Covert
707949,1901,1905,UP,Phase_6_Covert
707953,1941,1891,UP,Phase_6_Covert
707957,1966,1904,UP,Phase_6_Covert
707961,1981,1899,UP,Phase_6_Covert
707965,1983,1925,UP,Phase_6_Covert
707969,1959,1934,UP,Phase_6_Covert
707973,1953,1923,UP,Phase_6_Covert
707977,1949,1875,UP,Phase_6_Covert
707981,1979,1871,UP,Phase_6_Covert
707985,1987,1913,UP,Phase_6_Covert
707989,1978,1943,UP,Phase_6_Covert
707993,1965,1905,UP,Phase_6_Covert
707997,1968,1857,UP,Phase_6_Covert
708001,1959,1869,UP,Phase_6_Covert
708005,1975,1915,UP,Phase_6_Covert
708009,1949,1986,UP,Phase_6_Covert
708013,1940,1958,UP,Phase_6_Covert
708017,1950,1905,UP,Phase_6_Covert
708021,1963,1877,UP,Phase_6_Covert
708025,1962,1863,UP,Phase_6_Covert
708029,1961,1927,UP,Phase_6_Covert
708033,1968,1957,UP,Phase_6_Covert
708037,1968,1935,UP,Phase_6_Covert
708041,1967,1908,UP,Phase_6_Covert
708045,1965,1870,UP,Phase_6_Covert
708049,1951,1904,UP,Phase_6_Covert
708053,1940,1929,UP,Phase_6_Covert
