Timestamp,CH1,CH2,Label,Phase
1139201,2001,2144,DOWN,Phase_6_Covert
1139205,1997,1857,DOWN,Phase_6_Covert
1139209,1978,1703,DOWN,Phase_6_Covert
1139213,1981,1712,DOWN,Phase_6_Covert
1139217,2009,1674,DOWN,Phase_6_Covert
1139221,2023,1778,DOWN,Phase_6_Covert
1139225,2000,2053,DOWN,Phase_6_Covert
1139229,1986,2245,DOWN,Phase_6_Covert
1139233,1982,2197,DOWN,Phase_6_Covert
1139237,1998,1905,DOWN,Phase_6_Covert
1139241,2029,1520,DOWN,Phase_6_Covert
1139245,2065,1614,DOWN,Phase_6_Covert
1139249,2036,1936,DOWN,Phase_6_Covert
1139253,2029,2064,DOWN,Phase_6_Covert
1139257,2032,1972,DOWN,Phase_6_Covert
1139261,2015,1803,DOWN,Phase_6_Covert
1139265,2029,1690,DOWN,Phase_6_Covert
1139269,2074,1409,DOWN,Phase_6_Covert
1139273,2058,1497,DOWN,Phase_6_Covert
1139277,2047,1793,DOWN,Phase_6_Covert
1139281,2064,1967,DOWN,Phase_6_Covert
1139285,2063,1927,DOWN,Phase_6_Covert
1139289,2100,1621,DOWN,Phase_6_Covert
1139293,2097,1771,DOWN,Phase_6_Covert
1139297,2074,2134,DOWN,Phase_6_Covert
1139301,2044,2171,DOWN,Phase_6_Covert
1139305,2032,1952,DOWN,Phase_6_Covert
1139309,2020,1659,DOWN,Phase_6_Covert
1139313,2031,1651,DOWN,Phase_6_Covert
1139317,2061,1852,DOWN,Phase_6_Covert
1139321,2067,1894,DOWN,Phase_6_Covert
1139325,2083,1870,DOWN,Phase_6_Covert
1139329,2102,1833,DOWN,Phase_6_Covert
1139333,2091,1574,DOWN,Phase_6_Covert
1139337,2085,1423,DOWN,Phase_6_Covert
1139341,2074,1600,DOWN,Phase_6_Covert
1139345,2080,2000,DOWN,Phase_6_Covert
1139349,2113,2121,DOWN,Phase_6_Covert
1139353,2097,1669,DOWN,Phase_6_Covert
1139357,2129,1389,DOWN,Phase_6_Covert
1139361,2136,1594,DOWN,Phase_6_Covert
1139365,2157,1948,DOWN,Phase_6_Covert
1139369,2151,1897,DOWN,Phase_6_Covert
1139373,2172,1872,DOWN,Phase_6_Covert
1139377,2207,1842,DOWN,Phase_6_Covert
1139381,2208,1749,DOWN,Phase_6_Covert
1139385,2182,1824,DOWN,Phase_6_Covert
1139389,2195,1849,DOWN,Phase_6_Covert
1139393,2281,1738,DOWN,Phase_6_Covert
1139397,2359,1488,DOWN,Phase_6_Covert
1139401,2391,1478,DOWN,Phase_6_Covert
1139405,2447,1758,DOWN,Phase_6_Covert
1139409,2480,2010,DOWN,Phase_6_Covert
1139413,2479,1911,DOWN,Phase_6_Covert
