Timestamp,CH1,CH2,Label,Phase
121061,1943,1920,LEFT,Phase_6_Covert
121065,1926,1904,LEFT,Phase_6_Covert
121069,1909,1911,LEFT,Phase_6_Covert
121073,1904,1953,LEFT,Phase_6_Covert
121077,1943,2000,LEFT,Phase_6_Covert
121081,1993,2029,LEFT,Phase_6_Covert
121085,2053,2037,LEFT,Phase_6_Covert
121089,2103,2069,LEFT,Phase_6_Covert
121093,2075,2043,LEFT,Phase_6_Covert
121097,2017,2032,LEFT,Phase_6_Covert
121101,1973,2032,LEFT,Phase_6_Covert
121105,2035,2017,LEFT,Phase_6_Covert
121109,2101,2030,LEFT,Phase_6_Covert
121113,2099,2031,LEFT,Phase_6_Covert
121117,2054,2030,LEFT,Phase_6_Covert
121121,1973,2000,LEFT,Phase_6_Covert
121125,1996,2010,LEFT,Phase_6_Covert
121129,2007,2026,LEFT,Phase_6_Covert
121133,2000,2032,LEFT,Phase_6_Covert
121137,2010,2021,LEFT,Phase_6_Covert
121141,2032,1988,LEFT,Phase_6_Covert
121145,2035,1971,LEFT,Phase_6_Covert
121149,2000,1955,LEFT,Phase_6_Covert
121153,1983,1962,LEFT,Phase_6_Covert
121157,2000,1984,LEFT,Phase_6_Covert
121161,1994,1973,LEFT,Phase_6_Covert
121165,2003,1985,LEFT,Phase_6_Covert
121169,1999,1994,LEFT,Phase_6_Covert
121173,1981,1983,LEFT,Phase_6_Covert
121177,1968,1971,LEFT,Phase_6_Covert
121181,1954,1964,LEFT,Phase_6_Covert
121185,1977,1980,LEFT,Phase_6_Covert
121189,1978,1989,LEFT,Phase_6_Covert
121193,1955,1964,LEFT,Phase_6_Covert
121197,1894,1949,LEFT,Phase_6_Covert
121201,1887,1933,LEFT,Phase_6_Covert
121205,1931,1928,LEFT,Phase_6_Covert
121209,1997,1937,LEFT,Phase_6_Covert
121213,1984,1963,LEFT,Phase_6_Covert
121217,1921,1922,LEFT,Phase_6_Covert
121221,1891,1919,LEFT,Phase_6_Covert
121225,1907,1914,LEFT,Phase_6_Covert
121229,1893,1906,LEFT,Phase_6_Covert
121233,1840,1897,LEFT,Phase_6_Covert
121237,1939,1915,LEFT,Phase_6_Covert
121241,2042,1933,LEFT,Phase_6_Covert
121245,1987,1933,LEFT,Phase_6_Covert
121249,1840,1911,LEFT,Phase_6_Covert
121253,1870,1900,LEFT,Phase_6_Covert
121257,1895,1891,LEFT,Phase_6_Covert
121261,1917,1902,LEFT,Phase_6_Covert
121265,1957,1906,LEFT,Phase_6_Covert
121269,2027,1917,LEFT,Phase_6_Covert
121273,2021,1920,LEFT,Phase_6_Covert
121277,1967,1917,LEFT,Phase_6_Covert
121281,1926,1918,LEFT,Phase_6_Covert
121285,1951,1926,LEFT,Phase_6_Covert
121289,1965,1931,LEFT,Phase_6_Covert
121293,1999,1934,LEFT,Phase_6_Covert
121297,1967,1913,LEFT,Phase_6_Covert
121301,1907,1925,LEFT,Phase_6_Covert
121305,1912,1920,LEFT,Phase_6_Covert
121309,1927,1896,LEFT,Phase_6_Covert
121313,1883,1882,LEFT,Phase_6_Covert
121317,1895,1897,LEFT,Phase_6_Covert
121321,1982,1911,LEFT,Phase_6_Covert
121325,2010,1892,LEFT,Phase_6_Covert
121329,2011,1881,LEFT,Phase_6_Covert
121333,1987,1884,LEFT,Phase_6_Covert
121337,1888,1902,LEFT,Phase_6_Covert
121341,1849,1894,LEFT,Phase_6_Covert
121345,1902,1890,LEFT,Phase_6_Covert
121349,1983,1901,LEFT,Phase_6_Covert
121353,1968,1889,LEFT,Phase_6_Covert
121357,1957,1902,LEFT,Phase_6_Covert
121361,1936,1911,LEFT,Phase_6_Covert
121365,1963,1890,LEFT,Phase_6_Covert
121369,1946,1886,LEFT,Phase_6_Covert
121373,1943,1874,LEFT,Phase_6_Covert
121377,1913,1878,LEFT,Phase_6_Covert
121381,1899,1885,LEFT,Phase_6_Covert
121385,1943,1886,LEFT,Phase_6_Covert
121389,1953,1885,LEFT,Phase_6_Covert
121393,1959,1882,LEFT,Phase_6_Covert
121397,1958,1878,LEFT,Phase_6_Covert
121401,1941,1870,LEFT,Phase_6_Covert
121405,1935,1879,LEFT,Phase_6_Covert
121409,1923,1875,LEFT,Phase_6_Covert
121413,1909,1890,LEFT,Phase_6_Covert
121417,1905,1873,LEFT,Phase_6_Covert
121421,1937,1845,LEFT,Phase_6_Covert
121425,1999,1869,LEFT,Phase_6_Covert
121429,1965,1870,LEFT,Phase_6_Covert
121433,1873,1853,LEFT,Phase_6_Covert
121437,1828,1840,LEFT,Phase_6_Covert
121441,1862,1859,LEFT,Phase_6_Covert
121445,1914,1859,LEFT,Phase_6_Covert
121449,1935,1851,LEFT,Phase_6_Covert
