Timestamp,CH1,CH2,Label,Phase
137197,2047,1930,RIGHT,Phase_6_Covert
137201,2032,1904,RIGHT,Phase_6_Covert
137205,2045,1859,RIGHT,Phase_6_Covert
137209,2062,1859,RIGHT,Phase_6_Covert
137213,2053,1883,RIGHT,Phase_6_Covert
137217,2047,1881,RIGHT,Phase_6_Covert
137221,2067,1898,RIGHT,Phase_6_Covert
137225,2095,1855,RIGHT,Phase_6_Covert
137229,2074,1804,RIGHT,Phase_6_Covert
137233,2039,1817,RIGHT,Phase_6_Covert
137237,2032,1853,RIGHT,Phase_6_Covert
137241,2010,1872,RIGHT,Phase_6_Covert
137245,2033,1861,RIGHT,Phase_6_Covert
137249,2001,1847,RIGHT,Phase_6_Covert
137253,2034,1846,RIGHT,Phase_6_Covert
137257,2055,1821,RIGHT,Phase_6_Covert
137261,2066,1822,RIGHT,Phase_6_Covert
137265,2070,1827,RIGHT,Phase_6_Covert
137269,2058,1842,RIGHT,Phase_6_Covert
137273,2032,1825,RIGHT,Phase_6_Covert
137277,2015,1801,RIGHT,Phase_6_Covert
137281,2031,1763,RIGHT,Phase_6_Covert
137285,2034,1787,RIGHT,Phase_6_Covert
137289,2043,1878,RIGHT,Phase_6_Covert
137293,2047,1941,RIGHT,Phase_6_Covert
137297,2025,1937,RIGHT,Phase_6_Covert
137301,2019,1887,RIGHT,Phase_6_Covert
137305,2031,1841,RIGHT,Phase_6_Covert
137309,2022,1843,RIGHT,Phase_6_Covert
137313,2029,1835,RIGHT,Phase_6_Covert
137317,2019,1848,RIGHT,Phase_6_Covert
137321,1987,1872,RIGHT,Phase_6_Covert
137325,1995,1874,RIGHT,Phase_6_Covert
137329,2000,1872,RIGHT,Phase_6_Covert
137333,2010,1847,RIGHT,Phase_6_Covert
137337,1998,1844,RIGHT,Phase_6_Covert
137341,2000,1863,RIGHT,Phase_6_Covert
137345,2000,1855,RIGHT,Phase_6_Covert
137349,1995,1845,RIGHT,Phase_6_Covert
137353,1968,1849,RIGHT,Phase_6_Covert
137357,1980,1856,RIGHT,Phase_6_Covert
137361,2014,1865,RIGHT,Phase_6_Covert
137365,2062,1827,RIGHT,Phase_6_Covert
137369,2058,1814,RIGHT,Phase_6_Covert
137373,2015,1840,RIGHT,Phase_6_Covert
137377,1977,1905,RIGHT,Phase_6_Covert
137381,1926,1959,RIGHT,Phase_6_Covert
137385,1963,1940,RIGHT,Phase_6_Covert
137389,2007,1886,RIGHT,Phase_6_Covert
137393,2032,1857,RIGHT,Phase_6_Covert
137397,2016,1866,RIGHT,Phase_6_Covert
137401,2032,1872,RIGHT,Phase_6_Covert
137405,2019,1910,RIGHT,Phase_6_Covert
137409,2018,1947,RIGHT,Phase_6_Covert
137413,2027,1905,RIGHT,Phase_6_Covert
137417,1995,1827,RIGHT,Phase_6_Covert
137421,2037,1813,RIGHT,Phase_6_Covert
137425,2045,1869,RIGHT,Phase_6_Covert
137429,1987,1922,RIGHT,Phase_6_Covert
137433,1937,1971,RIGHT,Phase_6_Covert
137437,1923,1968,RIGHT,Phase_6_Covert
