Timestamp,CH1,CH2,Label,Phase
641169,1942,1872,SILENCE,Phase_6_Covert
641173,1947,1871,SILENCE,Phase_6_Covert
641177,1939,1869,SILENCE,Phase_6_Covert
641181,1937,1866,SILENCE,Phase_6_Covert
641185,1951,1867,SILENCE,Phase_6_Covert
641189,1950,1872,SILENCE,Phase_6_Covert
641193,1941,1878,SILENCE,Phase_6_Covert
641197,1934,1891,SILENCE,Phase_6_Covert
641201,1942,1889,SILENCE,Phase_6_Covert
641205,1940,1879,SILENCE,Phase_6_Covert
641209,1942,1881,SILENCE,Phase_6_Covert
641213,1939,1890,SILENCE,Phase_6_Covert
641217,1926,1899,SILENCE,Phase_6_Covert
641221,1921,1893,SILENCE,Phase_6_Covert
641225,1939,1887,SILENCE,Phase_6_Covert
641229,1936,1881,SILENCE,Phase_6_Covert
641233,1936,1874,SILENCE,Phase_6_Covert
641237,1955,1875,SILENCE,Phase_6_Covert
641241,1935,1873,SILENCE,Phase_6_Covert
641245,1949,1872,SILENCE,Phase_6_Covert
641249,1939,1872,SILENCE,Phase_6_Covert
641253,1936,1879,SILENCE,Phase_6_Covert
641257,1925,1887,SILENCE,Phase_6_Covert
641261,1927,1886,SILENCE,Phase_6_Covert
641265,1942,1881,SILENCE,Phase_6_Covert
641269,1934,1877,SILENCE,Phase_6_Covert
641273,1920,1871,SILENCE,Phase_6_Covert
641277,1886,1872,SILENCE,Phase_6_Covert
641281,1921,1865,SILENCE,Phase_6_Covert
641285,1933,1857,SILENCE,Phase_6_Covert
641289,1930,1865,SILENCE,Phase_6_Covert
641293,1925,1872,SILENCE,Phase_6_Covert
641297,1919,1877,SILENCE,Phase_6_Covert
641301,1924,1878,SILENCE,Phase_6_Covert
641305,1920,1859,SILENCE,Phase_6_Covert
641309,1923,1856,SILENCE,Phase_6_Covert
641313,1922,1865,SILENCE,Phase_6_Covert
641317,1921,1872,SILENCE,Phase_6_Covert
641321,1900,1869,SILENCE,Phase_6_Covert
641325,1933,1849,SILENCE,Phase_6_Covert
641329,1934,1837,SILENCE,Phase_6_Covert
641333,1930,1847,SILENCE,Phase_6_Covert
641337,1922,1871,SILENCE,Phase_6_Covert
641341,1931,1878,SILENCE,Phase_6_Covert
641345,1937,1873,SILENCE,Phase_6_Covert
641349,1946,1864,SILENCE,Phase_6_Covert
641353,1923,1858,SILENCE,Phase_6_Covert
641357,1917,1861,SILENCE,Phase_6_Covert
641361,1926,1857,SILENCE,Phase_6_Covert
641365,1936,1850,SILENCE,Phase_6_Covert
641369,1927,1851,SILENCE,Phase_6_Covert
641373,1917,1850,SILENCE,Phase_6_Covert
