Timestamp,CH1,CH2,Label,Phase
343561,1895,2082,UP,Phase_6_Covert
343565,1953,2086,UP,Phase_6_Covert
343569,1982,2067,UP,Phase_6_Covert
343573,1961,2062,UP,Phase_6_Covert
343577,1953,2042,UP,Phase_6_Covert
343581,1919,2033,UP,Phase_6_Covert
343585,1985,2022,UP,Phase_6_Covert
343589,2029,2022,UP,Phase_6_Covert
343593,1974,2031,UP,Phase_6_Covert
343597,1922,2042,UP,Phase_6_Covert
343601,1902,2042,UP,Phase_6_Covert
343605,1865,2032,UP,Phase_6_Covert
343609,1859,2019,UP,Phase_6_Covert
343613,1863,2007,UP,Phase_6_Covert
343617,1878,2013,UP,Phase_6_Covert
343621,1866,2010,UP,Phase_6_Covert
343625,1907,2004,UP,Phase_6_Covert
343629,1917,2001,UP,Phase_6_Covert
343633,1936,1989,UP,Phase_6_Covert
343637,1831,1990,UP,Phase_6_Covert
343641,1835,2015,UP,Phase_6_Covert
343645,1883,1974,UP,Phase_6_Covert
343649,1933,1906,UP,Phase_6_Covert
343653,1901,1935,UP,Phase_6_Covert
343657,1834,2000,UP,Phase_6_Covert
343661,1866,2010,UP,Phase_6_Covert
343665,1936,1996,UP,Phase_6_Covert
343669,1968,1979,UP,Phase_6_Covert
343673,1885,1984,UP,Phase_6_Covert
343677,1825,2018,UP,Phase_6_Covert
343681,1830,2032,UP,Phase_6_Covert
343685,1859,2030,UP,Phase_6_Covert
343689,1853,2010,UP,Phase_6_Covert
343693,1805,1991,UP,Phase_6_Covert
343697,1815,1969,UP,Phase_6_Covert
343701,1900,1968,UP,Phase_6_Covert
343705,1930,1966,UP,Phase_6_Covert
343709,1895,1974,UP,Phase_6_Covert
343713,1938,1982,UP,Phase_6_Covert
343717,1967,1967,UP,Phase_6_Covert
343721,1894,1955,UP,Phase_6_Covert
343725,1866,1968,UP,Phase_6_Covert
343729,1879,1969,UP,Phase_6_Covert
343733,1929,1955,UP,Phase_6_Covert
343737,2003,1947,UP,Phase_6_Covert
343741,2015,1953,UP,Phase_6_Covert
343745,1982,1968,UP,Phase_6_Covert
343749,1998,1961,UP,Phase_6_Covert
343753,2000,1951,UP,Phase_6_Covert
343757,1967,1949,UP,Phase_6_Covert
343761,1987,1958,UP,Phase_6_Covert
343765,1987,1936,UP,Phase_6_Covert
343769,1986,1918,UP,Phase_6_Covert
343773,1968,1899,UP,Phase_6_Covert
343777,1938,1863,UP,Phase_6_Covert
343781,2000,1823,UP,Phase_6_Covert
343785,2019,1780,UP,Phase_6_Covert
343789,2039,1792,UP,Phase_6_Covert
343793,2056,1835,UP,Phase_6_Covert
343797,2047,1899,UP,Phase_6_Covert
343801,2012,1921,UP,Phase_6_Covert
343805,2012,1918,UP,Phase_6_Covert
343809,2061,1901,UP,Phase_6_Covert
343813,2062,1886,UP,Phase_6_Covert
343817,2082,1920,UP,Phase_6_Covert
343821,2138,1891,UP,Phase_6_Covert
343825,2127,1904,UP,Phase_6_Covert
343829,2087,1903,UP,Phase_6_Covert
343833,2064,1897,UP,Phase_6_Covert
343837,2026,1887,UP,Phase_6_Covert
343841,2096,1883,UP,Phase_6_Covert
343845,2130,1871,UP,Phase_6_Covert
343849,2187,1868,UP,Phase_6_Covert
343853,2176,1845,UP,Phase_6_Covert
343857,2151,1825,UP,Phase_6_Covert
343861,2176,1808,UP,Phase_6_Covert
343865,2239,1799,UP,Phase_6_Covert
343869,2283,1783,UP,Phase_6_Covert
343873,2293,1770,UP,Phase_6_Covert
343877,2293,1734,UP,Phase_6_Covert
