Timestamp,CH1,CH2,Label,Phase
416469,1963,1948,DOWN,Phase_6_Covert
416473,1936,1926,DOWN,Phase_6_Covert
416477,1899,1937,DOWN,Phase_6_Covert
416481,1870,1957,DOWN,Phase_6_Covert
416485,1829,1957,DOWN,Phase_6_Covert
416489,1894,1967,DOWN,Phase_6_Covert
416493,2064,1943,DOWN,Phase_6_Covert
416497,1957,1936,DOWN,Phase_6_Covert
416501,1858,1936,DOWN,Phase_6_Covert
416505,1810,1941,DOWN,Phase_6_Covert
416509,1792,1934,DOWN,Phase_6_Covert
416513,1815,1920,DOWN,Phase_6_Covert
416517,1999,1919,DOWN,Phase_6_Covert
416521,2010,1914,DOWN,Phase_6_Covert
416525,1954,1939,DOWN,Phase_6_Covert
416529,1994,1937,DOWN,Phase_6_Covert
416533,1997,1933,DOWN,Phase_6_Covert
416537,2006,1930,DOWN,Phase_6_Covert
416541,2103,1947,DOWN,Phase_6_Covert
416545,2060,1915,DOWN,Phase_6_Covert
416549,1956,1920,DOWN,Phase_6_Covert
416553,1981,1907,DOWN,Phase_6_Covert
416557,1939,1909,DOWN,Phase_6_Covert
416561,1966,1930,DOWN,Phase_6_Covert
416565,2039,1941,DOWN,Phase_6_Covert
416569,2185,1954,DOWN,Phase_6_Covert
416573,2207,1937,DOWN,Phase_6_Covert
416577,2175,1951,DOWN,Phase_6_Covert
416581,2112,1967,DOWN,Phase_6_Covert
416585,2065,1951,DOWN,Phase_6_Covert
416589,2073,1927,DOWN,Phase_6_Covert
416593,2131,1911,DOWN,Phase_6_Covert
416597,2197,1911,DOWN,Phase_6_Covert
416601,2167,1904,DOWN,Phase_6_Covert
416605,2127,1915,DOWN,Phase_6_Covert
416609,2126,1904,DOWN,Phase_6_Covert
416613,2140,1923,DOWN,Phase_6_Covert
416617,2158,1942,DOWN,Phase_6_Covert
416621,2186,1953,DOWN,Phase_6_Covert
416625,2233,1960,DOWN,Phase_6_Covert
416629,2256,1961,DOWN,Phase_6_Covert
416633,2198,1969,DOWN,Phase_6_Covert
416637,2128,1995,DOWN,Phase_6_Covert
416641,2078,1949,DOWN,Phase_6_Covert
416645,2090,1904,DOWN,Phase_6_Covert
416649,2142,1879,DOWN,Phase_6_Covert
416653,2165,1893,DOWN,Phase_6_Covert
416657,2210,1926,DOWN,Phase_6_Covert
416661,2179,1947,DOWN,Phase_6_Covert
416665,2164,1955,DOWN,Phase_6_Covert
416669,2165,1931,DOWN,Phase_6_Covert
416673,2146,1932,DOWN,Phase_6_Covert
416677,2140,1941,DOWN,Phase_6_Covert
416681,2119,1910,DOWN,Phase_6_Covert
416685,2112,1922,DOWN,Phase_6_Covert
416689,2123,1943,DOWN,Phase_6_Covert
416693,2163,1984,DOWN,Phase_6_Covert
416697,2149,1999,DOWN,Phase_6_Covert
416701,2111,1987,DOWN,Phase_6_Covert
416705,2128,1957,DOWN,Phase_6_Covert
416709,2139,1936,DOWN,Phase_6_Covert
416713,2109,1957,DOWN,Phase_6_Covert
416717,2150,2007,DOWN,Phase_6_Covert
416721,2179,2006,DOWN,Phase_6_Covert
416725,2209,1977,DOWN,Phase_6_Covert
416729,2224,1958,DOWN,Phase_6_Covert
416733,2226,1997,DOWN,Phase_6_Covert
416737,2149,2039,DOWN,Phase_6_Covert
416741,2009,2112,DOWN,Phase_6_Covert
416745,1925,2142,DOWN,Phase_6_Covert
416749,2027,2124,DOWN,Phase_6_Covert
416753,2192,2076,DOWN,Phase_6_Covert
416757,2283,2032,DOWN,Phase_6_Covert
416761,2302,2026,DOWN,Phase_6_Covert
416765,2295,2067,DOWN,Phase_6_Covert
416769,2303,2095,DOWN,Phase_6_Covert
416773,2304,2105,DOWN,Phase_6_Covert
416777,2274,2112,DOWN,Phase_6_Covert
416781,2219,2128,DOWN,Phase_6_Covert
416785,2205,2153,DOWN,Phase_6_Covert
416789,2237,2135,DOWN,Phase_6_Covert
416793,2192,2133,DOWN,Phase_6_Covert
416797,2176,2118,DOWN,Phase_6_Covert
416801,2162,2126,DOWN,Phase_6_Covert
416805,2142,2129,DOWN,Phase_6_Covert
416809,2153,2107,DOWN,Phase_6_Covert
416813,2230,2092,DOWN,Phase_6_Covert
416817,2320,2096,DOWN,Phase_6_Covert
416821,2333,2127,DOWN,Phase_6_Covert
416825,2242,2097,DOWN,Phase_6_Covert
416829,2173,2035,DOWN,Phase_6_Covert
416833,2181,1984,DOWN,Phase_6_Covert
416837,2157,1967,DOWN,Phase_6_Covert
416841,2152,1982,DOWN,Phase_6_Covert
416845,2172,2017,DOWN,Phase_6_Covert
416849,2167,2057,DOWN,Phase_6_Covert
416853,2217,2066,DOWN,Phase_6_Covert
416857,2240,2090,DOWN,Phase_6_Covert
416861,2183,2099,DOWN,Phase_6_Covert
416865,2125,2100,DOWN,Phase_6_Covert
416869,2122,2070,DOWN,Phase_6_Covert
416873,2167,2090,DOWN,Phase_6_Covert
416877,2155,2083,DOWN,Phase_6_Covert
416881,2195,2081,DOWN,Phase_6_Covert
416885,2224,2087,DOWN,Phase_6_Covert
416889,2165,2075,DOWN,Phase_6_Covert
416893,2144,2053,DOWN,Phase_6_Covert
416897,2147,2046,DOWN,Phase_6_Covert
416901,2175,2060,DOWN,Phase_6_Covert
416905,2141,2064,DOWN,Phase_6_Covert
416909,2125,2031,DOWN,Phase_6_Covert
416913,2144,2019,DOWN,Phase_6_Covert
416917,2123,2018,DOWN,Phase_6_Covert
416921,2146,2032,DOWN,Phase_6_Covert
416925,2128,2035,DOWN,Phase_6_Covert
416929,2122,2027,DOWN,Phase_6_Covert
416933,2084,2015,DOWN,Phase_6_Covert
416937,2046,1997,DOWN,Phase_6_Covert
416941,2059,2003,DOWN,Phase_6_Covert
416945,2111,2031,DOWN,Phase_6_Covert
416949,2137,2014,DOWN,Phase_6_Covert
416953,2097,1979,DOWN,Phase_6_Covert
416957,2069,1979,DOWN,Phase_6_Covert
416961,2034,1987,DOWN,Phase_6_Covert
416965,2015,1982,DOWN,Phase_6_Covert
416969,2036,1958,DOWN,Phase_6_Covert
416973,2073,1951,DOWN,Phase_6_Covert
416977,2067,1957,DOWN,Phase_6_Covert
416981,2060,1957,DOWN,Phase_6_Covert
416985,2081,1955,DOWN,Phase_6_Covert
416989,2096,1951,DOWN,Phase_6_Covert
416993,2063,1945,DOWN,Phase_6_Covert
416997,2061,1953,DOWN,Phase_6_Covert
417001,2041,1968,DOWN,Phase_6_Covert
417005,2027,1967,DOWN,Phase_6_Covert
417009,2010,1955,DOWN,Phase_6_Covert
417013,2000,1935,DOWN,Phase_6_Covert
417017,2012,1933,DOWN,Phase_6_Covert
417021,2029,1920,DOWN,Phase_6_Covert
417025,2032,1905,DOWN,Phase_6_Covert
417029,2011,1897,DOWN,Phase_6_Covert
417033,1991,1872,DOWN,Phase_6_Covert
417037,1981,1886,DOWN,Phase_6_Covert
417041,1941,1906,DOWN,Phase_6_Covert
417045,1904,1879,DOWN,Phase_6_Covert
417049,1904,1841,DOWN,Phase_6_Covert
417053,1904,1787,DOWN,Phase_6_Covert
417057,1845,1770,DOWN,Phase_6_Covert
417061,1835,1777,DOWN,Phase_6_Covert
417065,1890,1806,DOWN,Phase_6_Covert
417069,1902,1815,DOWN,Phase_6_Covert
417073,1878,1808,DOWN,Phase_6_Covert
417077,1822,1789,DOWN,Phase_6_Covert
417081,1744,1787,DOWN,Phase_6_Covert
417085,1744,1779,DOWN,Phase_6_Covert
417089,1750,1769,DOWN,Phase_6_Covert
417093,1776,1786,DOWN,Phase_6_Covert
