Timestamp,CH1,CH2,Label,Phase
877989,2073,1936,LEFT,Phase_6_Covert
877993,2118,1968,LEFT,Phase_6_Covert
877997,2139,2015,LEFT,Phase_6_Covert
878001,2153,2069,LEFT,Phase_6_Covert
878005,2181,2045,LEFT,Phase_6_Covert
878009,2231,1990,LEFT,Phase_6_Covert
878013,2160,2009,LEFT,Phase_6_Covert
878017,2138,2067,LEFT,Phase_6_Covert
878021,2126,2107,LEFT,Phase_6_Covert
878025,2171,2082,LEFT,Phase_6_Covert
878029,2079,2037,LEFT,Phase_6_Covert
878033,2033,2032,LEFT,Phase_6_Covert
878037,2070,2055,LEFT,Phase_6_Covert
878041,2135,2097,LEFT,Phase_6_Covert
878045,2103,2069,LEFT,Phase_6_Covert
878049,2155,2017,LEFT,Phase_6_Covert
878053,2157,2028,LEFT,Phase_6_Covert
878057,2094,2069,LEFT,Phase_6_Covert
878061,2041,2113,LEFT,Phase_6_Covert
878065,2030,2093,LEFT,Phase_6_Covert
878069,2099,2030,LEFT,Phase_6_Covert
878073,2143,2019,LEFT,Phase_6_Covert
878077,2215,2077,LEFT,Phase_6_Covert
878081,2187,2112,LEFT,Phase_6_Covert
878085,2038,2089,LEFT,Phase_6_Covert
878089,1975,2047,LEFT,Phase_6_Covert
878093,2057,2045,LEFT,Phase_6_Covert
878097,2203,2096,LEFT,Phase_6_Covert
878101,2224,2123,LEFT,Phase_6_Covert
878105,2160,2090,LEFT,Phase_6_Covert
878109,2128,2053,LEFT,Phase_6_Covert
878113,2053,2055,LEFT,Phase_6_Covert
878117,1991,2102,LEFT,Phase_6_Covert
878121,2027,2121,LEFT,Phase_6_Covert
878125,2002,2085,LEFT,Phase_6_Covert
878129,2065,2029,LEFT,Phase_6_Covert
878133,2169,2020,LEFT,Phase_6_Covert
878137,2190,2069,LEFT,Phase_6_Covert
878141,2182,2111,LEFT,Phase_6_Covert
878145,2106,2079,LEFT,Phase_6_Covert
878149,2010,2027,LEFT,Phase_6_Covert
878153,1987,2031,LEFT,Phase_6_Covert
878157,1998,2072,LEFT,Phase_6_Covert
878161,2086,2075,LEFT,Phase_6_Covert
