Timestamp,CH1,CH2,Label,Phase
988713,1959,1870,NOISE,Phase_6_Covert
988717,1840,1858,NOISE,Phase_6_Covert
988721,1824,2121,NOISE,Phase_6_Covert
988725,1862,2276,NOISE,Phase_6_Covert
988729,1962,2102,NOISE,Phase_6_Covert
988733,2027,1895,NOISE,Phase_6_Covert
988737,2033,1910,NOISE,Phase_6_Covert
988741,1958,1808,NOISE,Phase_6_Covert
988745,1950,1773,NOISE,Phase_6_Covert
988749,1948,2007,NOISE,Phase_6_Covert
988753,1907,2391,NOISE,Phase_6_Covert
988757,1946,2425,NOISE,Phase_6_Covert
988761,1997,2281,NOISE,Phase_6_Covert
988765,1946,2042,NOISE,Phase_6_Covert
988769,1938,1850,NOISE,Phase_6_Covert
988773,1936,1513,NOISE,Phase_6_Covert
988777,1933,1611,NOISE,Phase_6_Covert
988781,1870,2060,NOISE,Phase_6_Covert
988785,1900,2171,NOISE,Phase_6_Covert
988789,1881,2206,NOISE,Phase_6_Covert
988793,1803,2163,NOISE,Phase_6_Covert
988797,1915,2070,NOISE,Phase_6_Covert
988801,2039,1920,NOISE,Phase_6_Covert
988805,2115,1840,NOISE,Phase_6_Covert
988809,2082,1872,NOISE,Phase_6_Covert
988813,1924,1983,NOISE,Phase_6_Covert
988817,1844,2096,NOISE,Phase_6_Covert
988821,1825,1981,NOISE,Phase_6_Covert
988825,1968,2021,NOISE,Phase_6_Covert
988829,1947,2294,NOISE,Phase_6_Covert
988833,1872,2255,NOISE,Phase_6_Covert
988837,1805,2098,NOISE,Phase_6_Covert
988841,1925,2128,NOISE,Phase_6_Covert
988845,1901,2083,NOISE,Phase_6_Covert
988849,1925,1747,NOISE,Phase_6_Covert
988853,1920,1391,NOISE,Phase_6_Covert
988857,1995,1759,NOISE,Phase_6_Covert
988861,1890,2342,NOISE,Phase_6_Covert
988865,1712,2423,NOISE,Phase_6_Covert
988869,1753,2316,NOISE,Phase_6_Covert
988873,1994,2117,NOISE,Phase_6_Covert
988877,2064,2010,NOISE,Phase_6_Covert
988881,2016,2069,NOISE,Phase_6_Covert
988885,2005,2059,NOISE,Phase_6_Covert
988889,1941,2096,NOISE,Phase_6_Covert
988893,1904,2054,NOISE,Phase_6_Covert
988897,1977,1933,NOISE,Phase_6_Covert
988901,1993,2055,NOISE,Phase_6_Covert
988905,1963,2058,NOISE,Phase_6_Covert
988909,1929,1911,NOISE,Phase_6_Covert
988913,1904,2031,NOISE,Phase_6_Covert
988917,1861,2303,NOISE,Phase_6_Covert
988921,1961,2292,NOISE,Phase_6_Covert
988925,1981,2065,NOISE,Phase_6_Covert
988929,2032,1477,NOISE,Phase_6_Covert
988933,1857,1582,NOISE,Phase_6_Covert
988937,1767,2128,NOISE,Phase_6_Covert
988941,1905,2435,NOISE,Phase_6_Covert
988945,2054,2447,NOISE,Phase_6_Covert
988949,2088,2149,NOISE,Phase_6_Covert
988953,1987,1826,NOISE,Phase_6_Covert
988957,1957,1669,NOISE,Phase_6_Covert
988961,2036,1767,NOISE,Phase_6_Covert
988965,2041,1975,NOISE,Phase_6_Covert
988969,1990,2275,NOISE,Phase_6_Covert
988973,1904,2480,NOISE,Phase_6_Covert
988977,1933,2332,NOISE,Phase_6_Covert
988981,1973,1975,NOISE,Phase_6_Covert
988985,2027,1687,NOISE,Phase_6_Covert
988989,2001,1507,NOISE,Phase_6_Covert
988993,1945,1760,NOISE,Phase_6_Covert
988997,1975,2305,NOISE,Phase_6_Covert
989001,1907,2425,NOISE,Phase_6_Covert
989005,1977,2124,NOISE,Phase_6_Covert
989009,1934,1794,NOISE,Phase_6_Covert
989013,1895,1883,NOISE,Phase_6_Covert
989017,1919,1947,NOISE,Phase_6_Covert
989021,2003,1803,NOISE,Phase_6_Covert
989025,2061,1839,NOISE,Phase_6_Covert
989029,2011,2005,NOISE,Phase_6_Covert
989033,1906,2004,NOISE,Phase_6_Covert
989037,1973,1920,NOISE,Phase_6_Covert
989041,1956,2078,NOISE,Phase_6_Covert
989045,1951,2032,NOISE,Phase_6_Covert
989049,2018,1712,NOISE,Phase_6_Covert
989053,1957,1595,NOISE,Phase_6_Covert
989057,1885,1927,NOISE,Phase_6_Covert
989061,1929,2193,NOISE,Phase_6_Covert
989065,1968,2307,NOISE,Phase_6_Covert
989069,1959,2291,NOISE,Phase_6_Covert
989073,1925,1991,NOISE,Phase_6_Covert
989077,1987,1647,NOISE,Phase_6_Covert
989081,1957,1867,NOISE,Phase_6_Covert
989085,1947,2254,NOISE,Phase_6_Covert
989089,1988,2318,NOISE,Phase_6_Covert
989093,1889,2021,NOISE,Phase_6_Covert
989097,1872,1791,NOISE,Phase_6_Covert
989101,1936,1670,NOISE,Phase_6_Covert
989105,2062,1748,NOISE,Phase_6_Covert
989109,2030,2055,NOISE,Phase_6_Covert
989113,1968,2189,NOISE,Phase_6_Covert
989117,1897,2101,NOISE,Phase_6_Covert
989121,1889,1927,NOISE,Phase_6_Covert
989125,1942,1533,NOISE,Phase_6_Covert
989129,1972,1472,NOISE,Phase_6_Covert
989133,1938,1952,NOISE,Phase_6_Covert
989137,1919,2402,NOISE,Phase_6_Covert
989141,1870,2448,NOISE,Phase_6_Covert
989145,1989,1959,NOISE,Phase_6_Covert
989149,2004,1757,NOISE,Phase_6_Covert
989153,1923,1937,NOISE,Phase_6_Covert
989157,1884,1840,NOISE,Phase_6_Covert
989161,1958,1717,NOISE,Phase_6_Covert
989165,1971,2082,NOISE,Phase_6_Covert
989169,1897,1995,NOISE,Phase_6_Covert
989173,1982,1680,NOISE,Phase_6_Covert
989177,1930,1821,NOISE,Phase_6_Covert
989181,1840,2085,NOISE,Phase_6_Covert
989185,1840,1879,NOISE,Phase_6_Covert
989189,1840,1691,NOISE,Phase_6_Covert
989193,1835,1738,NOISE,Phase_6_Covert
989197,1922,1951,NOISE,Phase_6_Covert
989201,1974,2161,NOISE,Phase_6_Covert
989205,1964,2077,NOISE,Phase_6_Covert
989209,1919,1677,NOISE,Phase_6_Covert
989213,1899,1623,NOISE,Phase_6_Covert
989217,1931,1879,NOISE,Phase_6_Covert
989221,1933,1843,NOISE,Phase_6_Covert
989225,1924,1761,NOISE,Phase_6_Covert
989229,1960,1966,NOISE,Phase_6_Covert
989233,1874,2075,NOISE,Phase_6_Covert
989237,1824,1968,NOISE,Phase_6_Covert
989241,1875,1769,NOISE,Phase_6_Covert
989245,1925,1687,NOISE,Phase_6_Covert
989249,1981,1846,NOISE,Phase_6_Covert
989253,2011,2045,NOISE,Phase_6_Covert
989257,1968,2177,NOISE,Phase_6_Covert
989261,1921,2129,NOISE,Phase_6_Covert
989265,1860,1890,NOISE,Phase_6_Covert
989269,1934,1743,NOISE,Phase_6_Covert
989273,1920,1690,NOISE,Phase_6_Covert
989277,1904,1803,NOISE,Phase_6_Covert
989281,1872,2002,NOISE,Phase_6_Covert
989285,1861,2082,NOISE,Phase_6_Covert
989289,1885,2085,NOISE,Phase_6_Covert
989293,1941,2064,NOISE,Phase_6_Covert
989297,1953,1690,NOISE,Phase_6_Covert
989301,1950,1466,NOISE,Phase_6_Covert
989305,1926,1829,NOISE,Phase_6_Covert
989309,1850,2153,NOISE,Phase_6_Covert
989313,1840,2155,NOISE,Phase_6_Covert
989317,1858,1749,NOISE,Phase_6_Covert
989321,1829,1343,NOISE,Phase_6_Covert
989325,1851,1648,NOISE,Phase_6_Covert
989329,1921,2167,NOISE,Phase_6_Covert
989333,1923,2319,NOISE,Phase_6_Covert
989337,1905,2062,NOISE,Phase_6_Covert
989341,1927,1791,NOISE,Phase_6_Covert
989345,1904,1647,NOISE,Phase_6_Covert
989349,1875,1655,NOISE,Phase_6_Covert
989353,1829,1853,NOISE,Phase_6_Covert
989357,1771,2063,NOISE,Phase_6_Covert
989361,1780,2112,NOISE,Phase_6_Covert
989365,1853,1999,NOISE,Phase_6_Covert
989369,1904,1907,NOISE,Phase_6_Covert
989373,1857,1801,NOISE,Phase_6_Covert
989377,1863,1574,NOISE,Phase_6_Covert
989381,1834,1456,NOISE,Phase_6_Covert
989385,1788,1499,NOISE,Phase_6_Covert
989389,1822,1895,NOISE,Phase_6_Covert
989393,1886,2251,NOISE,Phase_6_Covert
989397,1904,2189,NOISE,Phase_6_Covert
989401,1927,1938,NOISE,Phase_6_Covert
989405,1904,1781,NOISE,Phase_6_Covert
989409,1935,1638,NOISE,Phase_6_Covert
