Timestamp,CH1,CH2,Label,Phase
766781,1827,1797,RIGHT,Phase_6_Covert
766785,1859,1774,RIGHT,Phase_6_Covert
766789,1859,1787,RIGHT,Phase_6_Covert
766793,1855,1841,RIGHT,Phase_6_Covert
766797,1872,1850,RIGHT,Phase_6_Covert
766801,1890,1818,RIGHT,Phase_6_Covert
766805,1919,1793,RIGHT,Phase_6_Covert
766809,1907,1774,RIGHT,Phase_6_Covert
766813,1885,1825,RIGHT,Phase_6_Covert
766817,1905,1894,RIGHT,Phase_6_Covert
766821,1936,1942,RIGHT,Phase_6_Covert
766825,1961,1904,RIGHT,Phase_6_Covert
766829,1969,1874,RIGHT,Phase_6_Covert
766833,1981,1928,RIGHT,Phase_6_Covert
766837,1985,1969,RIGHT,Phase_6_Covert
766841,2016,1935,RIGHT,Phase_6_Covert
766845,2037,1872,RIGHT,Phase_6_Covert
766849,2042,1915,RIGHT,Phase_6_Covert
766853,2032,1953,RIGHT,Phase_6_Covert
766857,2014,1910,RIGHT,Phase_6_Covert
766861,2034,1833,RIGHT,Phase_6_Covert
766865,2064,1808,RIGHT,Phase_6_Covert
766869,2071,1894,RIGHT,Phase_6_Covert
766873,2040,1965,RIGHT,Phase_6_Covert
766877,2027,1947,RIGHT,Phase_6_Covert
766881,2047,1893,RIGHT,Phase_6_Covert
766885,2038,1871,RIGHT,Phase_6_Covert
766889,2030,1911,RIGHT,Phase_6_Covert
766893,2006,1970,RIGHT,Phase_6_Covert
766897,2030,1937,RIGHT,Phase_6_Covert
766901,2055,1811,RIGHT,Phase_6_Covert
766905,2037,1776,RIGHT,Phase_6_Covert
766909,2091,1870,RIGHT,Phase_6_Covert
766913,2021,1984,RIGHT,Phase_6_Covert
766917,2006,1979,RIGHT,Phase_6_Covert
766921,1997,1903,RIGHT,Phase_6_Covert
766925,2006,1829,RIGHT,Phase_6_Covert
766929,2037,1776,RIGHT,Phase_6_Covert
766933,2002,1808,RIGHT,Phase_6_Covert
766937,2001,1911,RIGHT,Phase_6_Covert
766941,2010,1974,RIGHT,Phase_6_Covert
766945,2003,1968,RIGHT,Phase_6_Covert
766949,1991,1936,RIGHT,Phase_6_Covert
766953,1998,1937,RIGHT,Phase_6_Covert
766957,1998,1888,RIGHT,Phase_6_Covert
766961,2001,1774,RIGHT,Phase_6_Covert
766965,2005,1685,RIGHT,Phase_6_Covert
766969,1994,1709,RIGHT,Phase_6_Covert
766973,1983,1808,RIGHT,Phase_6_Covert
766977,2000,1840,RIGHT,Phase_6_Covert
