Timestamp,CH1,CH2,Label,Phase
654597,1920,1931,SILENCE,Phase_6_Covert
654601,1919,1922,SILENCE,Phase_6_Covert
654605,1937,1871,SILENCE,Phase_6_Covert
654609,1945,1841,SILENCE,Phase_6_Covert
654613,1939,1872,SILENCE,Phase_6_Covert
654617,1922,1927,SILENCE,Phase_6_Covert
654621,1935,1922,SILENCE,Phase_6_Covert
654625,1945,1878,SILENCE,Phase_6_Covert
654629,1943,1851,SILENCE,Phase_6_Covert
654633,1931,1872,SILENCE,Phase_6_Covert
654637,1912,1920,SILENCE,Phase_6_Covert
654641,1916,1907,SILENCE,Phase_6_Covert
654645,1968,1839,SILENCE,Phase_6_Covert
654649,2011,1808,SILENCE,Phase_6_Covert
654653,2057,1834,SILENCE,Phase_6_Covert
654657,2080,1901,SILENCE,Phase_6_Covert
654661,2109,1904,SILENCE,Phase_6_Covert
654665,2124,1857,SILENCE,Phase_6_Covert
654669,2107,1840,SILENCE,Phase_6_Covert
654673,2096,1871,SILENCE,Phase_6_Covert
654677,2087,1919,SILENCE,Phase_6_Covert
654681,2094,1917,SILENCE,Phase_6_Covert
654685,2102,1865,SILENCE,Phase_6_Covert
654689,2093,1840,SILENCE,Phase_6_Covert
654693,2070,1872,SILENCE,Phase_6_Covert
654697,2039,1931,SILENCE,Phase_6_Covert
654701,2043,1923,SILENCE,Phase_6_Covert
654705,2070,1879,SILENCE,Phase_6_Covert
654709,2076,1831,SILENCE,Phase_6_Covert
654713,2046,1859,SILENCE,Phase_6_Covert
654717,2022,1915,SILENCE,Phase_6_Covert
654721,2017,1913,SILENCE,Phase_6_Covert
654725,2039,1858,SILENCE,Phase_6_Covert
654729,2053,1830,SILENCE,Phase_6_Covert
654733,2031,1857,SILENCE,Phase_6_Covert
654737,1997,1905,SILENCE,Phase_6_Covert
654741,1989,1904,SILENCE,Phase_6_Covert
654745,2014,1841,SILENCE,Phase_6_Covert
654749,2029,1822,SILENCE,Phase_6_Covert
654753,2007,1856,SILENCE,Phase_6_Covert
654757,1982,1904,SILENCE,Phase_6_Covert
654761,1973,1893,SILENCE,Phase_6_Covert
654765,1998,1835,SILENCE,Phase_6_Covert
654769,2000,1811,SILENCE,Phase_6_Covert
654773,1994,1849,SILENCE,Phase_6_Covert
654777,1983,1904,SILENCE,Phase_6_Covert
654781,1993,1903,SILENCE,Phase_6_Covert
654785,2015,1851,SILENCE,Phase_6_Covert
654789,2007,1823,SILENCE,Phase_6_Covert
654793,1982,1866,SILENCE,Phase_6_Covert
654797,1975,1920,SILENCE,Phase_6_Covert
654801,1966,1917,SILENCE,Phase_6_Covert
654805,1983,1863,SILENCE,Phase_6_Covert
654809,1983,1843,SILENCE,Phase_6_Covert
654813,1968,1874,SILENCE,Phase_6_Covert
654817,1949,1920,SILENCE,Phase_6_Covert
654821,1959,1919,SILENCE,Phase_6_Covert
654825,1983,1868,SILENCE,Phase_6_Covert
654829,1983,1840,SILENCE,Phase_6_Covert
654833,1955,1873,SILENCE,Phase_6_Covert
654837,1941,1923,SILENCE,Phase_6_Covert
654841,1954,1919,SILENCE,Phase_6_Covert
654845,1962,1863,SILENCE,Phase_6_Covert
654849,1957,1837,SILENCE,Phase_6_Covert
654853,1951,1872,SILENCE,Phase_6_Covert
654857,1943,1925,SILENCE,Phase_6_Covert
654861,1942,1915,SILENCE,Phase_6_Covert
654865,1936,1859,SILENCE,Phase_6_Covert
654869,1945,1843,SILENCE,Phase_6_Covert
654873,1935,1866,SILENCE,Phase_6_Covert
654877,1927,1921,SILENCE,Phase_6_Covert
654881,1919,1922,SILENCE,Phase_6_Covert
654885,1931,1862,SILENCE,Phase_6_Covert
654889,1935,1835,SILENCE,Phase_6_Covert
654893,1904,1863,SILENCE,Phase_6_Covert
654897,1904,1925,SILENCE,Phase_6_Covert
654901,1917,1914,SILENCE,Phase_6_Covert
654905,1930,1852,SILENCE,Phase_6_Covert
654909,1932,1821,SILENCE,Phase_6_Covert
