Timestamp,CH1,CH2,Label,Phase
367749,1947,1887,UP,Phase_6_Covert
367753,1970,1849,UP,Phase_6_Covert
367757,1983,1879,UP,Phase_6_Covert
367761,2027,1929,UP,Phase_6_Covert
367765,2000,1947,UP,Phase_6_Covert
367769,1998,1904,UP,Phase_6_Covert
367773,2023,1895,UP,Phase_6_Covert
367777,1983,1968,UP,Phase_6_Covert
367781,1958,2031,UP,Phase_6_Covert
367785,2042,2017,UP,Phase_6_Covert
367789,2112,1977,UP,Phase_6_Covert
367793,2086,1978,UP,Phase_6_Covert
367797,1989,2001,UP,Phase_6_Covert
367801,2067,2027,UP,Phase_6_Covert
367805,2105,2010,UP,Phase_6_Covert
367809,2047,1933,UP,Phase_6_Covert
367813,2035,1883,UP,Phase_6_Covert
367817,2005,1936,UP,Phase_6_Covert
367821,1968,2037,UP,Phase_6_Covert
367825,1967,2064,UP,Phase_6_Covert
367829,2001,1996,UP,Phase_6_Covert
367833,2085,1953,UP,Phase_6_Covert
367837,2111,1988,UP,Phase_6_Covert
367841,1964,2071,UP,Phase_6_Covert
367845,1963,2109,UP,Phase_6_Covert
367849,2027,2030,UP,Phase_6_Covert
367853,2063,1980,UP,Phase_6_Covert
367857,2007,2016,UP,Phase_6_Covert
367861,2125,2101,UP,Phase_6_Covert
367865,2239,2127,UP,Phase_6_Covert
367869,2181,2043,UP,Phase_6_Covert
367873,2039,2032,UP,Phase_6_Covert
367877,2059,2065,UP,Phase_6_Covert
367881,2129,2113,UP,Phase_6_Covert
367885,2128,2105,UP,Phase_6_Covert
367889,2060,2064,UP,Phase_6_Covert
367893,2017,2022,UP,Phase_6_Covert
367897,2059,2044,UP,Phase_6_Covert
367901,1989,2101,UP,Phase_6_Covert
367905,2006,2112,UP,Phase_6_Covert
367909,2096,2055,UP,Phase_6_Covert
367913,2154,1988,UP,Phase_6_Covert
367917,2141,1987,UP,Phase_6_Covert
367921,2064,2042,UP,Phase_6_Covert
367925,2047,2067,UP,Phase_6_Covert
367929,2030,2032,UP,Phase_6_Covert
367933,2095,1995,UP,Phase_6_Covert
367937,2131,1994,UP,Phase_6_Covert
367941,2088,2039,UP,Phase_6_Covert
367945,1991,2068,UP,Phase_6_Covert
367949,1999,2030,UP,Phase_6_Covert
367953,2145,1982,UP,Phase_6_Covert
367957,2131,2005,UP,Phase_6_Covert
367961,1968,2065,UP,Phase_6_Covert
367965,1949,2053,UP,Phase_6_Covert
367969,1993,1983,UP,Phase_6_Covert
367973,2087,1956,UP,Phase_6_Covert
367977,2089,1990,UP,Phase_6_Covert
367981,2114,2090,UP,Phase_6_Covert
367985,2131,2087,UP,Phase_6_Covert
367989,2047,2017,UP,Phase_6_Covert
367993,2064,1953,UP,Phase_6_Covert
367997,2058,1964,UP,Phase_6_Covert
368001,2035,2034,UP,Phase_6_Covert
368005,2064,2043,UP,Phase_6_Covert
368009,2054,1989,UP,Phase_6_Covert
368013,2096,1946,UP,Phase_6_Covert
368017,2112,1974,UP,Phase_6_Covert
368021,2073,2047,UP,Phase_6_Covert
368025,2022,2041,UP,Phase_6_Covert
368029,2022,1959,UP,Phase_6_Covert
368033,1998,1927,UP,Phase_6_Covert
368037,2067,1947,UP,Phase_6_Covert
368041,2133,2001,UP,Phase_6_Covert
368045,2114,2015,UP,Phase_6_Covert
368049,2077,1957,UP,Phase_6_Covert
368053,2094,1922,UP,Phase_6_Covert
368057,2032,1948,UP,Phase_6_Covert
368061,1934,2007,UP,Phase_6_Covert
368065,1856,2027,UP,Phase_6_Covert
368069,1952,1936,UP,Phase_6_Covert
368073,2035,1882,UP,Phase_6_Covert
368077,2013,1936,UP,Phase_6_Covert
368081,2030,1995,UP,Phase_6_Covert
368085,2029,2007,UP,Phase_6_Covert
368089,2063,1936,UP,Phase_6_Covert
368093,1932,1904,UP,Phase_6_Covert
368097,1887,1945,UP,Phase_6_Covert
368101,2014,1985,UP,Phase_6_Covert
368105,2007,1949,UP,Phase_6_Covert
368109,1970,1881,UP,Phase_6_Covert
368113,1991,1864,UP,Phase_6_Covert
368117,2064,1889,UP,Phase_6_Covert
368121,2032,1963,UP,Phase_6_Covert
368125,1991,1991,UP,Phase_6_Covert
368129,1981,1915,UP,Phase_6_Covert
368133,2005,1866,UP,Phase_6_Covert
368137,2032,1899,UP,Phase_6_Covert
368141,2036,1959,UP,Phase_6_Covert
368145,1925,2000,UP,Phase_6_Covert
368149,1983,1936,UP,Phase_6_Covert
368153,1983,1885,UP,Phase_6_Covert
368157,1909,1910,UP,Phase_6_Covert
368161,1919,1963,UP,Phase_6_Covert
368165,1999,1967,UP,Phase_6_Covert
368169,2075,1909,UP,Phase_6_Covert
368173,2042,1878,UP,Phase_6_Covert
368177,1951,1916,UP,Phase_6_Covert
368181,1920,1971,UP,Phase_6_Covert
368185,1904,1970,UP,Phase_6_Covert
368189,1922,1920,UP,Phase_6_Covert
368193,2004,1886,UP,Phase_6_Covert
368197,1989,1904,UP,Phase_6_Covert
368201,1915,1973,UP,Phase_6_Covert
368205,1853,1953,UP,Phase_6_Covert
368209,1904,1895,UP,Phase_6_Covert
368213,1926,1881,UP,Phase_6_Covert
368217,1968,1921,UP,Phase_6_Covert
368221,1993,1967,UP,Phase_6_Covert
368225,2003,1968,UP,Phase_6_Covert
368229,1939,1888,UP,Phase_6_Covert
368233,1920,1872,UP,Phase_6_Covert
368237,1942,1925,UP,Phase_6_Covert
368241,1963,1978,UP,Phase_6_Covert
368245,1929,1957,UP,Phase_6_Covert
368249,1892,1918,UP,Phase_6_Covert
368253,1955,1861,UP,Phase_6_Covert
368257,1975,1880,UP,Phase_6_Covert
368261,1973,1959,UP,Phase_6_Covert
368265,1931,1965,UP,Phase_6_Covert
368269,1936,1904,UP,Phase_6_Covert
368273,2006,1873,UP,Phase_6_Covert
368277,1989,1901,UP,Phase_6_Covert
368281,1934,1952,UP,Phase_6_Covert
368285,1877,1959,UP,Phase_6_Covert
368289,1933,1872,UP,Phase_6_Covert
368293,1936,1810,UP,Phase_6_Covert
368297,1840,1819,UP,Phase_6_Covert
368301,1885,1851,UP,Phase_6_Covert
368305,1856,1808,UP,Phase_6_Covert
368309,1904,1744,UP,Phase_6_Covert
368313,1964,1728,UP,Phase_6_Covert
368317,1891,1810,UP,Phase_6_Covert
368321,1887,1906,UP,Phase_6_Covert
368325,1920,1921,UP,Phase_6_Covert
368329,1967,1875,UP,Phase_6_Covert
368333,1920,1829,UP,Phase_6_Covert
368337,1917,1858,UP,Phase_6_Covert
368341,1942,1910,UP,Phase_6_Covert
368345,1946,1914,UP,Phase_6_Covert
368349,1933,1875,UP,Phase_6_Covert
368353,1877,1852,UP,Phase_6_Covert
368357,1854,1891,UP,Phase_6_Covert
368361,1935,1939,UP,Phase_6_Covert
368365,1975,1907,UP,Phase_6_Covert
368369,1936,1864,UP,Phase_6_Covert
368373,1982,1829,UP,Phase_6_Covert
368377,1954,1868,UP,Phase_6_Covert
368381,1886,1936,UP,Phase_6_Covert
368385,2001,1924,UP,Phase_6_Covert
368389,2016,1869,UP,Phase_6_Covert
368393,1978,1837,UP,Phase_6_Covert
368397,1978,1871,UP,Phase_6_Covert
368401,1899,1941,UP,Phase_6_Covert
368405,1874,1922,UP,Phase_6_Covert
368409,1921,1874,UP,Phase_6_Covert
368413,1998,1817,UP,Phase_6_Covert
368417,2032,1846,UP,Phase_6_Covert
368421,1945,1907,UP,Phase_6_Covert
368425,1879,1907,UP,Phase_6_Covert
368429,1902,1835,UP,Phase_6_Covert
368433,1891,1808,UP,Phase_6_Covert
368437,1939,1846,UP,Phase_6_Covert
368441,1977,1919,UP,Phase_6_Covert
368445,1973,1911,UP,Phase_6_Covert
368449,1981,1839,UP,Phase_6_Covert
368453,2014,1806,UP,Phase_6_Covert
368457,1965,1846,UP,Phase_6_Covert
368461,1904,1906,UP,Phase_6_Covert
368465,1969,1920,UP,Phase_6_Covert
368469,2001,1852,UP,Phase_6_Covert
368473,1987,1823,UP,Phase_6_Covert
368477,1913,1867,UP,Phase_6_Covert
368481,1905,1915,UP,Phase_6_Covert
368485,1906,1870,UP,Phase_6_Covert
368489,1845,1802,UP,Phase_6_Covert
368493,1869,1799,UP,Phase_6_Covert
368497,1968,1835,UP,Phase_6_Covert
368501,1995,1883,UP,Phase_6_Covert
368505,1953,1872,UP,Phase_6_Covert
368509,1961,1815,UP,Phase_6_Covert
368513,1939,1782,UP,Phase_6_Covert
368517,1794,1820,UP,Phase_6_Covert
368521,1834,1899,UP,Phase_6_Covert
368525,1953,1881,UP,Phase_6_Covert
368529,1971,1801,UP,Phase_6_Covert
368533,1977,1779,UP,Phase_6_Covert
368537,1941,1826,UP,Phase_6_Covert
368541,1942,1891,UP,Phase_6_Covert
368545,1930,1882,UP,Phase_6_Covert
368549,1931,1811,UP,Phase_6_Covert
368553,1930,1776,UP,Phase_6_Covert
368557,1949,1818,UP,Phase_6_Covert
368561,1954,1867,UP,Phase_6_Covert
368565,1925,1871,UP,Phase_6_Covert
368569,1887,1831,UP,Phase_6_Covert
368573,1887,1805,UP,Phase_6_Covert
368577,1890,1839,UP,Phase_6_Covert
368581,1923,1901,UP,Phase_6_Covert
368585,1927,1883,UP,Phase_6_Covert
368589,1941,1838,UP,Phase_6_Covert
368593,1968,1810,UP,Phase_6_Covert
368597,1983,1840,UP,Phase_6_Covert
368601,1960,1895,UP,Phase_6_Covert
368605,1938,1904,UP,Phase_6_Covert
