Timestamp,CH1,CH2,Label,Phase
2312841,1987,2061,DOWN,Phase_1_Overt
2312845,1973,2053,DOWN,Phase_1_Overt
2312849,1983,2039,DOWN,Phase_1_Overt
2312853,1995,2028,DOWN,Phase_1_Overt
2312857,1983,2010,DOWN,Phase_1_Overt
2312861,1975,2030,DOWN,Phase_1_Overt
2312865,1964,1986,DOWN,Phase_1_Overt
2312869,1969,1916,DOWN,Phase_1_Overt
2312873,1962,1884,DOWN,Phase_1_Overt
2312877,1951,1861,DOWN,Phase_1_Overt
2312881,1963,1873,DOWN,Phase_1_Overt
2312885,1986,1889,DOWN,Phase_1_Overt
2312889,2000,1905,DOWN,Phase_1_Overt
2312893,1988,1904,DOWN,Phase_1_Overt
2312897,1968,1863,DOWN,Phase_1_Overt
2312901,1946,1850,DOWN,Phase_1_Overt
2312905,1947,1867,DOWN,Phase_1_Overt
2312909,1954,1847,DOWN,Phase_1_Overt
2312913,1968,1830,DOWN,Phase_1_Overt
2312917,1947,1821,DOWN,Phase_1_Overt
2312921,1961,1830,DOWN,Phase_1_Overt
2312925,1968,1839,DOWN,Phase_1_Overt
2312929,1968,1813,DOWN,Phase_1_Overt
2312933,1968,1783,DOWN,Phase_1_Overt
2312937,1963,1790,DOWN,Phase_1_Overt
2312941,1959,1760,DOWN,Phase_1_Overt
2312945,1954,1733,DOWN,Phase_1_Overt
2312949,1929,1712,DOWN,Phase_1_Overt
2312953,1920,1713,DOWN,Phase_1_Overt
2312957,1917,1722,DOWN,Phase_1_Overt
2312961,1908,1741,DOWN,Phase_1_Overt
2312965,1904,1735,DOWN,Phase_1_Overt
2312969,1915,1710,DOWN,Phase_1_Overt
2312973,1883,1693,DOWN,Phase_1_Overt
2312977,1895,1694,DOWN,Phase_1_Overt
2312981,1883,1679,DOWN,Phase_1_Overt
2312985,1872,1698,DOWN,Phase_1_Overt
2312989,1871,1709,DOWN,Phase_1_Overt
2312993,1905,1723,DOWN,Phase_1_Overt
2312997,1906,1744,DOWN,Phase_1_Overt
2313001,1917,1719,DOWN,Phase_1_Overt
2313005,1926,1705,DOWN,Phase_1_Overt
2313009,1927,1717,DOWN,Phase_1_Overt
2313013,1904,1728,DOWN,Phase_1_Overt
2313017,1933,1771,DOWN,Phase_1_Overt
2313021,1927,1773,DOWN,Phase_1_Overt
2313025,1904,1792,DOWN,Phase_1_Overt
2313029,1899,1799,DOWN,Phase_1_Overt
2313033,1910,1765,DOWN,Phase_1_Overt
2313037,1920,1719,DOWN,Phase_1_Overt
2313041,1934,1743,DOWN,Phase_1_Overt
2313045,1926,1776,DOWN,Phase_1_Overt
2313049,1919,1829,DOWN,Phase_1_Overt
2313053,1904,1862,DOWN,Phase_1_Overt
2313057,1958,1873,DOWN,Phase_1_Overt
