Timestamp,CH1,CH2,Label,Phase
2311025,1862,1728,LEFT,Phase_1_Overt
2311029,1872,1729,LEFT,Phase_1_Overt
2311033,1872,1742,LEFT,Phase_1_Overt
2311037,1872,1751,LEFT,Phase_1_Overt
2311041,1858,1776,LEFT,Phase_1_Overt
2311045,1851,1782,LEFT,Phase_1_Overt
2311049,1859,1773,LEFT,Phase_1_Overt
2311053,1847,1759,LEFT,Phase_1_Overt
2311057,1874,1723,LEFT,Phase_1_Overt
2311061,1859,1717,LEFT,Phase_1_Overt
2311065,1872,1758,LEFT,Phase_1_Overt
2311069,1873,1791,LEFT,Phase_1_Overt
2311073,1862,1786,LEFT,Phase_1_Overt
2311077,1851,1758,LEFT,Phase_1_Overt
2311081,1837,1731,LEFT,Phase_1_Overt
2311085,1831,1730,LEFT,Phase_1_Overt
2311089,1861,1739,LEFT,Phase_1_Overt
2311093,1836,1744,LEFT,Phase_1_Overt
2311097,1843,1744,LEFT,Phase_1_Overt
2311101,1821,1767,LEFT,Phase_1_Overt
2311105,1840,1771,LEFT,Phase_1_Overt
2311109,1833,1694,LEFT,Phase_1_Overt
2311113,1825,1639,LEFT,Phase_1_Overt
2311117,1809,1671,LEFT,Phase_1_Overt
2311121,1792,1712,LEFT,Phase_1_Overt
2311125,1776,1714,LEFT,Phase_1_Overt
2311129,1776,1708,LEFT,Phase_1_Overt
2311133,1792,1712,LEFT,Phase_1_Overt
2311137,1838,1673,LEFT,Phase_1_Overt
2311141,1838,1639,LEFT,Phase_1_Overt
2311145,1828,1671,LEFT,Phase_1_Overt
2311149,1815,1668,LEFT,Phase_1_Overt
2311153,1823,1687,LEFT,Phase_1_Overt
2311157,1821,1741,LEFT,Phase_1_Overt
2311161,1842,1751,LEFT,Phase_1_Overt
2311165,1847,1739,LEFT,Phase_1_Overt
2311169,1837,1711,LEFT,Phase_1_Overt
2311173,1842,1661,LEFT,Phase_1_Overt
2311177,1854,1655,LEFT,Phase_1_Overt
2311181,1847,1676,LEFT,Phase_1_Overt
2311185,1852,1702,LEFT,Phase_1_Overt
2311189,1840,1711,LEFT,Phase_1_Overt
2311193,1846,1711,LEFT,Phase_1_Overt
2311197,1847,1726,LEFT,Phase_1_Overt
2311201,1829,1742,LEFT,Phase_1_Overt
