Timestamp,CH1,CH2,Label,Phase
2294849,1958,2064,NOISE,Phase_1_Overt
2294853,1977,2060,NOISE,Phase_1_Overt
2294857,1946,1968,NOISE,Phase_1_Overt
2294861,1933,1875,NOISE,Phase_1_Overt
2294865,1893,1891,NOISE,Phase_1_Overt
2294869,1961,1956,NOISE,Phase_1_Overt
2294873,1975,2030,NOISE,Phase_1_Overt
2294877,2000,2018,NOISE,Phase_1_Overt
2294881,2027,2064,NOISE,Phase_1_Overt
2294885,1974,2093,NOISE,Phase_1_Overt
2294889,1935,2047,NOISE,Phase_1_Overt
2294893,1940,1919,NOISE,Phase_1_Overt
2294897,1946,1936,NOISE,Phase_1_Overt
2294901,2004,2202,NOISE,Phase_1_Overt
2294905,1923,2218,NOISE,Phase_1_Overt
2294909,1962,1974,NOISE,Phase_1_Overt
2294913,2032,1802,NOISE,Phase_1_Overt
2294917,1977,1782,NOISE,Phase_1_Overt
2294921,1765,1869,NOISE,Phase_1_Overt
2294925,1674,2117,NOISE,Phase_1_Overt
2294929,1735,2333,NOISE,Phase_1_Overt
2294933,2005,2338,NOISE,Phase_1_Overt
2294937,2185,2187,NOISE,Phase_1_Overt
2294941,2153,1936,NOISE,Phase_1_Overt
2294945,2074,1862,NOISE,Phase_1_Overt
2294949,1921,1904,NOISE,Phase_1_Overt
2294953,1585,2195,NOISE,Phase_1_Overt
2294957,1441,2372,NOISE,Phase_1_Overt
2294961,1579,2701,NOISE,Phase_1_Overt
2294965,1817,2646,NOISE,Phase_1_Overt
2294969,1911,2583,NOISE,Phase_1_Overt
2294973,2018,2190,NOISE,Phase_1_Overt
2294977,1901,1563,NOISE,Phase_1_Overt
2294981,1802,1678,NOISE,Phase_1_Overt
2294985,1698,2000,NOISE,Phase_1_Overt
2294989,1777,2310,NOISE,Phase_1_Overt
2294993,1893,2352,NOISE,Phase_1_Overt
2294997,1829,2320,NOISE,Phase_1_Overt
2295001,1757,2261,NOISE,Phase_1_Overt
