Timestamp,CH1,CH2,Label,Phase
2460041,2034,2130,RIGHT,Phase_1_Overt
2460045,2032,2114,RIGHT,Phase_1_Overt
2460049,2023,2076,RIGHT,Phase_1_Overt
2460053,1986,2085,RIGHT,Phase_1_Overt
2460057,1990,2145,RIGHT,Phase_1_Overt
2460061,2009,2183,RIGHT,Phase_1_Overt
2460065,2025,2179,RIGHT,Phase_1_Overt
2460069,2011,2125,RIGHT,Phase_1_Overt
2460073,2038,2066,RIGHT,Phase_1_Overt
2460077,2015,2071,RIGHT,Phase_1_Overt
2460081,2000,2066,RIGHT,Phase_1_Overt
2460085,1998,2097,RIGHT,Phase_1_Overt
2460089,1994,2090,RIGHT,Phase_1_Overt
2460093,1995,2075,RIGHT,Phase_1_Overt
2460097,1995,2038,RIGHT,Phase_1_Overt
2460101,1995,1985,RIGHT,Phase_1_Overt
2460105,2000,1993,RIGHT,Phase_1_Overt
2460109,1979,2015,RIGHT,Phase_1_Overt
2460113,1967,2003,RIGHT,Phase_1_Overt
2460117,1963,1984,RIGHT,Phase_1_Overt
2460121,1982,1979,RIGHT,Phase_1_Overt
2460125,1973,1952,RIGHT,Phase_1_Overt
2460129,1968,1942,RIGHT,Phase_1_Overt
2460133,1953,2003,RIGHT,Phase_1_Overt
2460137,1925,2063,RIGHT,Phase_1_Overt
2460141,1971,2079,RIGHT,Phase_1_Overt
2460145,1971,2070,RIGHT,Phase_1_Overt
2460149,1961,2027,RIGHT,Phase_1_Overt
2460153,1965,2011,RIGHT,Phase_1_Overt
2460157,1984,1997,RIGHT,Phase_1_Overt
2460161,2006,2016,RIGHT,Phase_1_Overt
2460165,1991,2005,RIGHT,Phase_1_Overt
2460169,1978,1936,RIGHT,Phase_1_Overt
2460173,1963,1884,RIGHT,Phase_1_Overt
2460177,1954,1846,RIGHT,Phase_1_Overt
2460181,1954,1837,RIGHT,Phase_1_Overt
2460185,1936,1861,RIGHT,Phase_1_Overt
2460189,1942,1865,RIGHT,Phase_1_Overt
2460193,1962,1866,RIGHT,Phase_1_Overt
2460197,1952,1841,RIGHT,Phase_1_Overt
2460201,1935,1851,RIGHT,Phase_1_Overt
2460205,1919,1808,RIGHT,Phase_1_Overt
2460209,1904,1727,RIGHT,Phase_1_Overt
2460213,1897,1706,RIGHT,Phase_1_Overt
2460217,1861,1666,RIGHT,Phase_1_Overt
2460221,1825,1661,RIGHT,Phase_1_Overt
2460225,1824,1663,RIGHT,Phase_1_Overt
2460229,1858,1663,RIGHT,Phase_1_Overt
2460233,1870,1659,RIGHT,Phase_1_Overt
2460237,1859,1655,RIGHT,Phase_1_Overt
2460241,1858,1680,RIGHT,Phase_1_Overt
2460245,1882,1727,RIGHT,Phase_1_Overt
2460249,1894,1792,RIGHT,Phase_1_Overt
2460253,1899,1772,RIGHT,Phase_1_Overt
2460257,1877,1745,RIGHT,Phase_1_Overt
2460261,1909,1791,RIGHT,Phase_1_Overt
2460265,1949,1841,RIGHT,Phase_1_Overt
2460269,1935,1761,RIGHT,Phase_1_Overt
2460273,1927,1711,RIGHT,Phase_1_Overt
2460277,1931,1734,RIGHT,Phase_1_Overt
2460281,1914,1792,RIGHT,Phase_1_Overt
2460285,1924,1849,RIGHT,Phase_1_Overt
2460289,1931,1875,RIGHT,Phase_1_Overt
2460293,1959,1869,RIGHT,Phase_1_Overt
