Timestamp,CH1,CH2,Label,Phase
2556461,1894,317,SILENCE,Phase_1_Overt
2556465,1897,336,SILENCE,Phase_1_Overt
2556469,1897,354,SILENCE,Phase_1_Overt
2556473,1897,374,SILENCE,Phase_1_Overt
2556477,1898,394,SILENCE,Phase_1_Overt
2556481,1901,416,SILENCE,Phase_1_Overt
2556485,1903,446,SILENCE,Phase_1_Overt
2556489,1893,463,SILENCE,Phase_1_Overt
2556493,1883,480,SILENCE,Phase_1_Overt
2556497,1881,525,SILENCE,Phase_1_Overt
2556501,1889,560,SILENCE,Phase_1_Overt
2556505,1890,573,SILENCE,Phase_1_Overt
2556509,1883,583,SILENCE,Phase_1_Overt
2556513,1886,593,SILENCE,Phase_1_Overt
2556517,1887,607,SILENCE,Phase_1_Overt
2556521,1894,625,SILENCE,Phase_1_Overt
2556525,1899,643,SILENCE,Phase_1_Overt
2556529,1894,653,SILENCE,Phase_1_Overt
2556533,1886,666,SILENCE,Phase_1_Overt
2556537,1877,687,SILENCE,Phase_1_Overt
2556541,1882,719,SILENCE,Phase_1_Overt
2556545,1878,746,SILENCE,Phase_1_Overt
2556549,1874,784,SILENCE,Phase_1_Overt
2556553,1874,797,SILENCE,Phase_1_Overt
2556557,1887,815,SILENCE,Phase_1_Overt
2556561,1901,819,SILENCE,Phase_1_Overt
2556565,1901,799,SILENCE,Phase_1_Overt
2556569,1903,807,SILENCE,Phase_1_Overt
2556573,1893,803,SILENCE,Phase_1_Overt
2556577,1897,848,SILENCE,Phase_1_Overt
2556581,1905,927,SILENCE,Phase_1_Overt
2556585,1902,945,SILENCE,Phase_1_Overt
2556589,1891,945,SILENCE,Phase_1_Overt
2556593,1893,907,SILENCE,Phase_1_Overt
2556597,1888,908,SILENCE,Phase_1_Overt
2556601,1876,912,SILENCE,Phase_1_Overt
2556605,1872,937,SILENCE,Phase_1_Overt
2556609,1867,917,SILENCE,Phase_1_Overt
2556613,1872,959,SILENCE,Phase_1_Overt
2556617,1889,987,SILENCE,Phase_1_Overt
2556621,1891,1037,SILENCE,Phase_1_Overt
2556625,1894,1046,SILENCE,Phase_1_Overt
2556629,1877,1072,SILENCE,Phase_1_Overt
2556633,1904,1098,SILENCE,Phase_1_Overt
2556637,1926,1125,SILENCE,Phase_1_Overt
2556641,1914,1142,SILENCE,Phase_1_Overt
2556645,1921,1141,SILENCE,Phase_1_Overt
2556649,1914,1136,SILENCE,Phase_1_Overt
2556653,1897,1136,SILENCE,Phase_1_Overt
2556657,1900,1161,SILENCE,Phase_1_Overt
2556661,1904,1199,SILENCE,Phase_1_Overt
2556665,1917,1216,SILENCE,Phase_1_Overt
2556669,1905,1219,SILENCE,Phase_1_Overt
2556673,1905,1215,SILENCE,Phase_1_Overt
2556677,1904,1235,SILENCE,Phase_1_Overt
2556681,1904,1258,SILENCE,Phase_1_Overt
2556685,1906,1282,SILENCE,Phase_1_Overt
2556689,1875,1266,SILENCE,Phase_1_Overt
2556693,1904,1274,SILENCE,Phase_1_Overt
2556697,1922,1275,SILENCE,Phase_1_Overt
2556701,1909,1293,SILENCE,Phase_1_Overt
2556705,1909,1318,SILENCE,Phase_1_Overt
2556709,1909,1343,SILENCE,Phase_1_Overt
2556713,1911,1351,SILENCE,Phase_1_Overt
2556717,1910,1346,SILENCE,Phase_1_Overt
2556721,1904,1342,SILENCE,Phase_1_Overt
2556725,1917,1366,SILENCE,Phase_1_Overt
2556729,1905,1405,SILENCE,Phase_1_Overt
2556733,1904,1411,SILENCE,Phase_1_Overt
2556737,1901,1425,SILENCE,Phase_1_Overt
2556741,1904,1441,SILENCE,Phase_1_Overt
2556745,1904,1445,SILENCE,Phase_1_Overt
2556749,1900,1455,SILENCE,Phase_1_Overt
2556753,1897,1442,SILENCE,Phase_1_Overt
2556757,1899,1479,SILENCE,Phase_1_Overt
2556761,1904,1488,SILENCE,Phase_1_Overt
2556765,1904,1504,SILENCE,Phase_1_Overt
2556769,1903,1510,SILENCE,Phase_1_Overt
2556773,1899,1511,SILENCE,Phase_1_Overt
2556777,1902,1501,SILENCE,Phase_1_Overt
2556781,1904,1530,SILENCE,Phase_1_Overt
2556785,1907,1535,SILENCE,Phase_1_Overt
2556789,1914,1535,SILENCE,Phase_1_Overt
2556793,1897,1565,SILENCE,Phase_1_Overt
2556797,1905,1559,SILENCE,Phase_1_Overt
2556801,1905,1566,SILENCE,Phase_1_Overt
2556805,1904,1566,SILENCE,Phase_1_Overt
2556809,1875,1562,SILENCE,Phase_1_Overt
2556813,1895,1583,SILENCE,Phase_1_Overt
2556817,1888,1600,SILENCE,Phase_1_Overt
2556821,1891,1623,SILENCE,Phase_1_Overt
2556825,1903,1616,SILENCE,Phase_1_Overt
2556829,1899,1632,SILENCE,Phase_1_Overt
2556833,1902,1644,SILENCE,Phase_1_Overt
2556837,1895,1661,SILENCE,Phase_1_Overt
2556841,1911,1665,SILENCE,Phase_1_Overt
2556845,1904,1663,SILENCE,Phase_1_Overt
2556849,1902,1648,SILENCE,Phase_1_Overt
2556853,1904,1646,SILENCE,Phase_1_Overt
2556857,1890,1654,SILENCE,Phase_1_Overt
2556861,1909,1675,SILENCE,Phase_1_Overt
2556865,1910,1709,SILENCE,Phase_1_Overt
2556869,1929,1711,SILENCE,Phase_1_Overt
2556873,1889,1691,SILENCE,Phase_1_Overt
2556877,1914,1692,SILENCE,Phase_1_Overt
2556881,1902,1701,SILENCE,Phase_1_Overt
2556885,1917,1727,SILENCE,Phase_1_Overt
2556889,1914,1743,SILENCE,Phase_1_Overt
2556893,1914,1759,SILENCE,Phase_1_Overt
2556897,1904,1771,SILENCE,Phase_1_Overt
2556901,1919,1779,SILENCE,Phase_1_Overt
2556905,1906,1808,SILENCE,Phase_1_Overt
2556909,1904,1771,SILENCE,Phase_1_Overt
2556913,1903,1771,SILENCE,Phase_1_Overt
2556917,1915,1779,SILENCE,Phase_1_Overt
2556921,1918,1789,SILENCE,Phase_1_Overt
2556925,1907,1811,SILENCE,Phase_1_Overt
2556929,1917,1812,SILENCE,Phase_1_Overt
2556933,1915,1801,SILENCE,Phase_1_Overt
2556937,1914,1803,SILENCE,Phase_1_Overt
2556941,1910,1822,SILENCE,Phase_1_Overt
2556945,1918,1856,SILENCE,Phase_1_Overt
2556949,1929,1873,SILENCE,Phase_1_Overt
2556953,1933,1870,SILENCE,Phase_1_Overt
2556957,1923,1847,SILENCE,Phase_1_Overt
2556961,1921,1840,SILENCE,Phase_1_Overt
2556965,1925,1840,SILENCE,Phase_1_Overt
2556969,1927,1854,SILENCE,Phase_1_Overt
2556973,1925,1872,SILENCE,Phase_1_Overt
2556977,1918,1859,SILENCE,Phase_1_Overt
2556981,1920,1866,SILENCE,Phase_1_Overt
2556985,1923,1918,SILENCE,Phase_1_Overt
2556989,1929,1901,SILENCE,Phase_1_Overt
2556993,1925,1872,SILENCE,Phase_1_Overt
2556997,1933,1861,SILENCE,Phase_1_Overt
2557001,1927,1872,SILENCE,Phase_1_Overt
2557005,1931,1904,SILENCE,Phase_1_Overt
2557009,1926,1891,SILENCE,Phase_1_Overt
2557013,1926,1905,SILENCE,Phase_1_Overt
2557017,1927,1907,SILENCE,Phase_1_Overt
2557021,1930,1917,SILENCE,Phase_1_Overt
2557025,1930,1930,SILENCE,Phase_1_Overt
2557029,1934,1934,SILENCE,Phase_1_Overt
2557033,1936,1934,SILENCE,Phase_1_Overt
2557037,1936,1952,SILENCE,Phase_1_Overt
2557041,1933,1950,SILENCE,Phase_1_Overt
2557045,1929,1959,SILENCE,Phase_1_Overt
2557049,1927,1951,SILENCE,Phase_1_Overt
2557053,1925,1922,SILENCE,Phase_1_Overt
2557057,1931,1918,SILENCE,Phase_1_Overt
2557061,1931,1924,SILENCE,Phase_1_Overt
2557065,1927,1954,SILENCE,Phase_1_Overt
2557069,1931,1959,SILENCE,Phase_1_Overt
2557073,1935,1945,SILENCE,Phase_1_Overt
2557077,1928,1946,SILENCE,Phase_1_Overt
2557081,1931,1941,SILENCE,Phase_1_Overt
2557085,1931,1950,SILENCE,Phase_1_Overt
2557089,1936,1958,SILENCE,Phase_1_Overt
