Timestamp,CH1,CH2,Label,Phase
2288121,1952,1946,UP,Phase_1_Overt
2288125,1922,2009,UP,Phase_1_Overt
2288129,1865,2029,UP,Phase_1_Overt
2288133,1887,2037,UP,Phase_1_Overt
2288137,1878,2037,UP,Phase_1_Overt
2288141,1932,1969,UP,Phase_1_Overt
2288145,1939,1926,UP,Phase_1_Overt
2288149,1915,1909,UP,Phase_1_Overt
2288153,1911,1933,UP,Phase_1_Overt
2288157,1906,1969,UP,Phase_1_Overt
2288161,1909,1975,UP,Phase_1_Overt
2288165,1945,1963,UP,Phase_1_Overt
2288169,1943,1966,UP,Phase_1_Overt
2288173,1906,1937,UP,Phase_1_Overt
2288177,1937,1872,UP,Phase_1_Overt
2288181,1983,1826,UP,Phase_1_Overt
2288185,1983,1822,UP,Phase_1_Overt
2288189,1966,1856,UP,Phase_1_Overt
2288193,1934,1904,UP,Phase_1_Overt
2288197,1924,1949,UP,Phase_1_Overt
2288201,1941,1949,UP,Phase_1_Overt
2288205,1950,1918,UP,Phase_1_Overt
2288209,1942,1875,UP,Phase_1_Overt
2288213,1921,1876,UP,Phase_1_Overt
2288217,1923,1920,UP,Phase_1_Overt
2288221,1943,1955,UP,Phase_1_Overt
2288225,1960,1971,UP,Phase_1_Overt
2288229,1970,1962,UP,Phase_1_Overt
2288233,1973,1953,UP,Phase_1_Overt
2288237,1982,1941,UP,Phase_1_Overt
2288241,1949,1925,UP,Phase_1_Overt
2288245,1936,1906,UP,Phase_1_Overt
2288249,1957,1914,UP,Phase_1_Overt
2288253,1987,1906,UP,Phase_1_Overt
2288257,1999,1898,UP,Phase_1_Overt
2288261,1999,1888,UP,Phase_1_Overt
2288265,1989,1904,UP,Phase_1_Overt
2288269,1961,1913,UP,Phase_1_Overt
2288273,1947,1919,UP,Phase_1_Overt
2288277,1939,1904,UP,Phase_1_Overt
2288281,1907,1855,UP,Phase_1_Overt
2288285,1907,1807,UP,Phase_1_Overt
2288289,1935,1776,UP,Phase_1_Overt
2288293,1907,1755,UP,Phase_1_Overt
2288297,1877,1675,UP,Phase_1_Overt
2288301,1872,1642,UP,Phase_1_Overt
2288305,1904,1679,UP,Phase_1_Overt
2288309,1895,1685,UP,Phase_1_Overt
2288313,1898,1622,UP,Phase_1_Overt
2288317,1927,1601,UP,Phase_1_Overt
2288321,1943,1569,UP,Phase_1_Overt
2288325,1949,1553,UP,Phase_1_Overt
2288329,1920,1601,UP,Phase_1_Overt
2288333,1916,1648,UP,Phase_1_Overt
2288337,1936,1707,UP,Phase_1_Overt
2288341,1950,1697,UP,Phase_1_Overt
2288345,1936,1651,UP,Phase_1_Overt
2288349,1943,1611,UP,Phase_1_Overt
2288353,1958,1619,UP,Phase_1_Overt
2288357,1950,1680,UP,Phase_1_Overt
2288361,1937,1769,UP,Phase_1_Overt
2288365,1957,1755,UP,Phase_1_Overt
2288369,1951,1703,UP,Phase_1_Overt
2288373,1947,1674,UP,Phase_1_Overt
2288377,1967,1698,UP,Phase_1_Overt
2288381,1965,1723,UP,Phase_1_Overt
2288385,1954,1709,UP,Phase_1_Overt
2288389,1931,1690,UP,Phase_1_Overt
2288393,1938,1705,UP,Phase_1_Overt
2288397,1969,1759,UP,Phase_1_Overt
2288401,1954,1827,UP,Phase_1_Overt
2288405,1999,1795,UP,Phase_1_Overt
2288409,1961,1710,UP,Phase_1_Overt
2288413,1907,1659,UP,Phase_1_Overt
2288417,1930,1650,UP,Phase_1_Overt
2288421,1953,1689,UP,Phase_1_Overt
2288425,2000,1774,UP,Phase_1_Overt
2288429,2011,1826,UP,Phase_1_Overt
2288433,1973,1775,UP,Phase_1_Overt
2288437,1936,1664,UP,Phase_1_Overt
2288441,1926,1648,UP,Phase_1_Overt
2288445,1919,1697,UP,Phase_1_Overt
2288449,1970,1718,UP,Phase_1_Overt
2288453,2022,1761,UP,Phase_1_Overt
2288457,2047,1829,UP,Phase_1_Overt
2288461,2002,1805,UP,Phase_1_Overt
2288465,1955,1744,UP,Phase_1_Overt
2288469,1904,1691,UP,Phase_1_Overt
2288473,1907,1735,UP,Phase_1_Overt
2288477,1990,1904,UP,Phase_1_Overt
2288481,2017,2058,UP,Phase_1_Overt
2288485,1978,1869,UP,Phase_1_Overt
2288489,1968,1601,UP,Phase_1_Overt
2288493,1967,1421,UP,Phase_1_Overt
2288497,1994,1489,UP,Phase_1_Overt
2288501,2009,1722,UP,Phase_1_Overt
2288505,2047,1872,UP,Phase_1_Overt
2288509,2113,1984,UP,Phase_1_Overt
2288513,1979,1904,UP,Phase_1_Overt
2288517,1889,1743,UP,Phase_1_Overt
2288521,1936,1757,UP,Phase_1_Overt
2288525,2043,2019,UP,Phase_1_Overt
2288529,2045,2174,UP,Phase_1_Overt
2288533,2069,2144,UP,Phase_1_Overt
2288537,1965,1958,UP,Phase_1_Overt
2288541,1822,1535,UP,Phase_1_Overt
2288545,1885,1357,UP,Phase_1_Overt
2288549,2000,1651,UP,Phase_1_Overt
2288553,1989,1925,UP,Phase_1_Overt
2288557,1938,2128,UP,Phase_1_Overt
2288561,1919,2172,UP,Phase_1_Overt
2288565,1962,2058,UP,Phase_1_Overt
2288569,1954,1958,UP,Phase_1_Overt
2288573,1985,1935,UP,Phase_1_Overt
2288577,2000,2058,UP,Phase_1_Overt
2288581,1970,2228,UP,Phase_1_Overt
2288585,1938,2157,UP,Phase_1_Overt
2288589,1955,2077,UP,Phase_1_Overt
2288593,1936,2086,UP,Phase_1_Overt
2288597,1908,2121,UP,Phase_1_Overt
2288601,1964,2229,UP,Phase_1_Overt
2288605,1983,2406,UP,Phase_1_Overt
2288609,1917,2414,UP,Phase_1_Overt
2288613,1936,2223,UP,Phase_1_Overt
2288617,2045,2139,UP,Phase_1_Overt
2288621,2032,2167,UP,Phase_1_Overt
2288625,2015,2221,UP,Phase_1_Overt
2288629,2015,2285,UP,Phase_1_Overt
2288633,2000,2344,UP,Phase_1_Overt
2288637,1967,2346,UP,Phase_1_Overt
2288641,1956,2331,UP,Phase_1_Overt
2288645,2006,2333,UP,Phase_1_Overt
2288649,1926,2315,UP,Phase_1_Overt
2288653,1986,2284,UP,Phase_1_Overt
2288657,1979,2320,UP,Phase_1_Overt
2288661,1988,2288,UP,Phase_1_Overt
2288665,1952,2252,UP,Phase_1_Overt
2288669,1943,2192,UP,Phase_1_Overt
2288673,1982,2213,UP,Phase_1_Overt
2288677,2002,2224,UP,Phase_1_Overt
2288681,2002,2253,UP,Phase_1_Overt
2288685,1985,2305,UP,Phase_1_Overt
2288689,1947,2278,UP,Phase_1_Overt
2288693,1966,2207,UP,Phase_1_Overt
2288697,1985,2185,UP,Phase_1_Overt
2288701,2001,2187,UP,Phase_1_Overt
2288705,2001,2226,UP,Phase_1_Overt
2288709,1990,2224,UP,Phase_1_Overt
2288713,1953,2208,UP,Phase_1_Overt
2288717,1936,2138,UP,Phase_1_Overt
2288721,1951,2096,UP,Phase_1_Overt
2288725,1959,2098,UP,Phase_1_Overt
2288729,1959,2126,UP,Phase_1_Overt
2288733,1968,2159,UP,Phase_1_Overt
2288737,1970,2169,UP,Phase_1_Overt
2288741,1980,2163,UP,Phase_1_Overt
2288745,1957,2142,UP,Phase_1_Overt
2288749,1957,2098,UP,Phase_1_Overt
2288753,1967,2082,UP,Phase_1_Overt
2288757,1971,2096,UP,Phase_1_Overt
2288761,1974,2106,UP,Phase_1_Overt
2288765,1968,2133,UP,Phase_1_Overt
2288769,1951,2063,UP,Phase_1_Overt
2288773,1941,1971,UP,Phase_1_Overt
2288777,1945,1963,UP,Phase_1_Overt
2288781,1954,2000,UP,Phase_1_Overt
2288785,1952,1984,UP,Phase_1_Overt
2288789,1947,1989,UP,Phase_1_Overt
2288793,1943,1981,UP,Phase_1_Overt
2288797,1936,1975,UP,Phase_1_Overt
2288801,1937,1999,UP,Phase_1_Overt
2288805,1943,2012,UP,Phase_1_Overt
2288809,1955,2035,UP,Phase_1_Overt
2288813,1968,2064,UP,Phase_1_Overt
2288817,1973,2019,UP,Phase_1_Overt
