Timestamp,CH1,CH2,Label,Phase
593525,1968,1943,DOWN,Phase_3_Mouthing
593529,1934,1906,DOWN,Phase_3_Mouthing
593533,1925,1888,DOWN,Phase_3_Mouthing
593537,1934,1901,DOWN,Phase_3_Mouthing
593541,1939,1930,DOWN,Phase_3_Mouthing
593545,1953,1947,DOWN,Phase_3_Mouthing
593549,1971,1945,DOWN,Phase_3_Mouthing
593553,1953,1934,DOWN,Phase_3_Mouthing
593557,1939,1926,DOWN,Phase_3_Mouthing
593561,1968,1902,DOWN,Phase_3_Mouthing
593565,1937,1877,DOWN,Phase_3_Mouthing
593569,1918,1878,DOWN,Phase_3_Mouthing
593573,1920,1906,DOWN,Phase_3_Mouthing
593577,1921,1955,DOWN,Phase_3_Mouthing
593581,1923,1932,DOWN,Phase_3_Mouthing
593585,1953,1925,DOWN,Phase_3_Mouthing
593589,1948,1917,DOWN,Phase_3_Mouthing
593593,1934,1890,DOWN,Phase_3_Mouthing
593597,1923,1872,DOWN,Phase_3_Mouthing
593601,1921,1856,DOWN,Phase_3_Mouthing
593605,1904,1899,DOWN,Phase_3_Mouthing
593609,1967,1917,DOWN,Phase_3_Mouthing
593613,1950,1885,DOWN,Phase_3_Mouthing
593617,1938,1872,DOWN,Phase_3_Mouthing
593621,1952,1889,DOWN,Phase_3_Mouthing
593625,1983,1894,DOWN,Phase_3_Mouthing
593629,1947,1875,DOWN,Phase_3_Mouthing
593633,1949,1874,DOWN,Phase_3_Mouthing
593637,1946,1882,DOWN,Phase_3_Mouthing
593641,1941,1896,DOWN,Phase_3_Mouthing
593645,1982,1917,DOWN,Phase_3_Mouthing
593649,1999,1901,DOWN,Phase_3_Mouthing
593653,1984,1854,DOWN,Phase_3_Mouthing
593657,1952,1840,DOWN,Phase_3_Mouthing
593661,1947,1863,DOWN,Phase_3_Mouthing
593665,1948,1873,DOWN,Phase_3_Mouthing
593669,1936,1877,DOWN,Phase_3_Mouthing
593673,1947,1869,DOWN,Phase_3_Mouthing
593677,1973,1904,DOWN,Phase_3_Mouthing
593681,1994,1920,DOWN,Phase_3_Mouthing
593685,1994,1942,DOWN,Phase_3_Mouthing
593689,1939,1875,DOWN,Phase_3_Mouthing
593693,1905,1826,DOWN,Phase_3_Mouthing
593697,1893,1786,DOWN,Phase_3_Mouthing
593701,1930,1855,DOWN,Phase_3_Mouthing
593705,1967,1907,DOWN,Phase_3_Mouthing
593709,1982,1904,DOWN,Phase_3_Mouthing
593713,1982,1894,DOWN,Phase_3_Mouthing
593717,1963,1873,DOWN,Phase_3_Mouthing
593721,1937,1856,DOWN,Phase_3_Mouthing
593725,1943,1881,DOWN,Phase_3_Mouthing
593729,1954,1878,DOWN,Phase_3_Mouthing
593733,1975,1893,DOWN,Phase_3_Mouthing
593737,1963,1888,DOWN,Phase_3_Mouthing
593741,1933,1859,DOWN,Phase_3_Mouthing
593745,1918,1856,DOWN,Phase_3_Mouthing
593749,1927,1857,DOWN,Phase_3_Mouthing
593753,1954,1873,DOWN,Phase_3_Mouthing
593757,1936,1875,DOWN,Phase_3_Mouthing
593761,1920,1868,DOWN,Phase_3_Mouthing
593765,1932,1870,DOWN,Phase_3_Mouthing
593769,1970,1869,DOWN,Phase_3_Mouthing
593773,1979,1875,DOWN,Phase_3_Mouthing
593777,1978,1898,DOWN,Phase_3_Mouthing
593781,1969,1903,DOWN,Phase_3_Mouthing
593785,1975,1921,DOWN,Phase_3_Mouthing
593789,1957,1898,DOWN,Phase_3_Mouthing
593793,1927,1861,DOWN,Phase_3_Mouthing
593797,1909,1807,DOWN,Phase_3_Mouthing
593801,1917,1795,DOWN,Phase_3_Mouthing
593805,1947,1849,DOWN,Phase_3_Mouthing
593809,1980,1916,DOWN,Phase_3_Mouthing
593813,1970,1934,DOWN,Phase_3_Mouthing
593817,1973,1926,DOWN,Phase_3_Mouthing
593821,1974,1907,DOWN,Phase_3_Mouthing
593825,1968,1872,DOWN,Phase_3_Mouthing
593829,1941,1847,DOWN,Phase_3_Mouthing
593833,1919,1847,DOWN,Phase_3_Mouthing
593837,1930,1889,DOWN,Phase_3_Mouthing
593841,1936,1932,DOWN,Phase_3_Mouthing
593845,1962,1947,DOWN,Phase_3_Mouthing
593849,1978,1964,DOWN,Phase_3_Mouthing
593853,1986,1947,DOWN,Phase_3_Mouthing
593857,1963,1905,DOWN,Phase_3_Mouthing
593861,1945,1872,DOWN,Phase_3_Mouthing
593865,1954,1893,DOWN,Phase_3_Mouthing
593869,1920,1906,DOWN,Phase_3_Mouthing
593873,1964,1909,DOWN,Phase_3_Mouthing
593877,1968,1915,DOWN,Phase_3_Mouthing
593881,1946,1903,DOWN,Phase_3_Mouthing
593885,1938,1904,DOWN,Phase_3_Mouthing
593889,1950,1930,DOWN,Phase_3_Mouthing
593893,1949,1911,DOWN,Phase_3_Mouthing
593897,1952,1904,DOWN,Phase_3_Mouthing
