Timestamp,CH1,CH2,Label,Phase
853601,2122,2044,LEFT,Phase_3_Mouthing
853605,2075,2017,LEFT,Phase_3_Mouthing
853609,2080,2032,LEFT,Phase_3_Mouthing
853613,2138,2078,LEFT,Phase_3_Mouthing
853617,2185,2121,LEFT,Phase_3_Mouthing
853621,2205,2128,LEFT,Phase_3_Mouthing
853625,2183,2091,LEFT,Phase_3_Mouthing
853629,2176,2064,LEFT,Phase_3_Mouthing
853633,2130,2043,LEFT,Phase_3_Mouthing
853637,2173,2034,LEFT,Phase_3_Mouthing
853641,2191,2058,LEFT,Phase_3_Mouthing
853645,2182,2033,LEFT,Phase_3_Mouthing
853649,2176,2016,LEFT,Phase_3_Mouthing
853653,2177,2029,LEFT,Phase_3_Mouthing
853657,2170,2047,LEFT,Phase_3_Mouthing
853661,2218,2035,LEFT,Phase_3_Mouthing
853665,2203,2012,LEFT,Phase_3_Mouthing
853669,2187,2011,LEFT,Phase_3_Mouthing
853673,2205,2012,LEFT,Phase_3_Mouthing
853677,2212,1989,LEFT,Phase_3_Mouthing
853681,2223,1975,LEFT,Phase_3_Mouthing
853685,2177,1959,LEFT,Phase_3_Mouthing
853689,2190,1947,LEFT,Phase_3_Mouthing
853693,2185,1945,LEFT,Phase_3_Mouthing
853697,2186,1959,LEFT,Phase_3_Mouthing
853701,2171,1967,LEFT,Phase_3_Mouthing
853705,2174,1949,LEFT,Phase_3_Mouthing
853709,2149,1933,LEFT,Phase_3_Mouthing
853713,2161,1908,LEFT,Phase_3_Mouthing
853717,2139,1890,LEFT,Phase_3_Mouthing
853721,2160,1901,LEFT,Phase_3_Mouthing
853725,2157,1905,LEFT,Phase_3_Mouthing
853729,2143,1910,LEFT,Phase_3_Mouthing
853733,2125,1909,LEFT,Phase_3_Mouthing
853737,2123,1897,LEFT,Phase_3_Mouthing
853741,2117,1882,LEFT,Phase_3_Mouthing
853745,2102,1887,LEFT,Phase_3_Mouthing
853749,2090,1893,LEFT,Phase_3_Mouthing
853753,2117,1904,LEFT,Phase_3_Mouthing
853757,2135,1919,LEFT,Phase_3_Mouthing
853761,2113,1914,LEFT,Phase_3_Mouthing
853765,2091,1901,LEFT,Phase_3_Mouthing
853769,2096,1917,LEFT,Phase_3_Mouthing
853773,2075,1921,LEFT,Phase_3_Mouthing
853777,2067,1929,LEFT,Phase_3_Mouthing
853781,2057,1935,LEFT,Phase_3_Mouthing
853785,2017,1953,LEFT,Phase_3_Mouthing
853789,2017,1955,LEFT,Phase_3_Mouthing
853793,2022,1930,LEFT,Phase_3_Mouthing
853797,2047,1919,LEFT,Phase_3_Mouthing
853801,2031,1949,LEFT,Phase_3_Mouthing
853805,2030,1959,LEFT,Phase_3_Mouthing
853809,2000,1969,LEFT,Phase_3_Mouthing
853813,1973,1970,LEFT,Phase_3_Mouthing
853817,1964,1970,LEFT,Phase_3_Mouthing
853821,1969,1989,LEFT,Phase_3_Mouthing
853825,1981,2028,LEFT,Phase_3_Mouthing
853829,1970,2022,LEFT,Phase_3_Mouthing
853833,1965,2021,LEFT,Phase_3_Mouthing
853837,1981,2045,LEFT,Phase_3_Mouthing
853841,1971,2039,LEFT,Phase_3_Mouthing
853845,1951,2030,LEFT,Phase_3_Mouthing
853849,1936,2016,LEFT,Phase_3_Mouthing
853853,1935,2025,LEFT,Phase_3_Mouthing
853857,1935,2039,LEFT,Phase_3_Mouthing
853861,1934,2032,LEFT,Phase_3_Mouthing
853865,1922,2031,LEFT,Phase_3_Mouthing
853869,1925,2020,LEFT,Phase_3_Mouthing
853873,1941,2000,LEFT,Phase_3_Mouthing
853877,1910,1973,LEFT,Phase_3_Mouthing
853881,1936,1987,LEFT,Phase_3_Mouthing
853885,1936,1996,LEFT,Phase_3_Mouthing
853889,1920,1997,LEFT,Phase_3_Mouthing
853893,1915,1984,LEFT,Phase_3_Mouthing
853897,1903,1973,LEFT,Phase_3_Mouthing
853901,1904,1985,LEFT,Phase_3_Mouthing
853905,1906,1995,LEFT,Phase_3_Mouthing
853909,1927,1987,LEFT,Phase_3_Mouthing
853913,1911,1989,LEFT,Phase_3_Mouthing
853917,1931,1990,LEFT,Phase_3_Mouthing
853921,1952,1994,LEFT,Phase_3_Mouthing
853925,1947,1971,LEFT,Phase_3_Mouthing
853929,1937,1974,LEFT,Phase_3_Mouthing
853933,1927,1965,LEFT,Phase_3_Mouthing
853937,1895,1979,LEFT,Phase_3_Mouthing
853941,1889,2000,LEFT,Phase_3_Mouthing
853945,1886,1996,LEFT,Phase_3_Mouthing
853949,1897,1968,LEFT,Phase_3_Mouthing
853953,1921,1950,LEFT,Phase_3_Mouthing
853957,1919,1941,LEFT,Phase_3_Mouthing
853961,1913,1935,LEFT,Phase_3_Mouthing
853965,1903,1948,LEFT,Phase_3_Mouthing
853969,1934,1963,LEFT,Phase_3_Mouthing
853973,1926,1969,LEFT,Phase_3_Mouthing
853977,1927,1971,LEFT,Phase_3_Mouthing
853981,1917,1955,LEFT,Phase_3_Mouthing
853985,1889,1966,LEFT,Phase_3_Mouthing
853989,1884,1955,LEFT,Phase_3_Mouthing
853993,1890,1949,LEFT,Phase_3_Mouthing
853997,1915,1955,LEFT,Phase_3_Mouthing
854001,1936,1938,LEFT,Phase_3_Mouthing
854005,1937,1928,LEFT,Phase_3_Mouthing
854009,1936,1913,LEFT,Phase_3_Mouthing
854013,1936,1907,LEFT,Phase_3_Mouthing
854017,1929,1935,LEFT,Phase_3_Mouthing
854021,1933,1962,LEFT,Phase_3_Mouthing
854025,1932,1965,LEFT,Phase_3_Mouthing
854029,1911,1931,LEFT,Phase_3_Mouthing
854033,1911,1917,LEFT,Phase_3_Mouthing
854037,1921,1932,LEFT,Phase_3_Mouthing
854041,1930,1933,LEFT,Phase_3_Mouthing
854045,1917,1926,LEFT,Phase_3_Mouthing
854049,1915,1907,LEFT,Phase_3_Mouthing
854053,1911,1878,LEFT,Phase_3_Mouthing
854057,1909,1872,LEFT,Phase_3_Mouthing
854061,1888,1891,LEFT,Phase_3_Mouthing
854065,1894,1862,LEFT,Phase_3_Mouthing
854069,1886,1856,LEFT,Phase_3_Mouthing
854073,1889,1870,LEFT,Phase_3_Mouthing
854077,1890,1885,LEFT,Phase_3_Mouthing
854081,1902,1904,LEFT,Phase_3_Mouthing
854085,1901,1888,LEFT,Phase_3_Mouthing
854089,1887,1890,LEFT,Phase_3_Mouthing
854093,1900,1890,LEFT,Phase_3_Mouthing
854097,1910,1897,LEFT,Phase_3_Mouthing
854101,1931,1904,LEFT,Phase_3_Mouthing
854105,1936,1885,LEFT,Phase_3_Mouthing
854109,1917,1909,LEFT,Phase_3_Mouthing
854113,1908,1929,LEFT,Phase_3_Mouthing
854117,1902,1905,LEFT,Phase_3_Mouthing
854121,1867,1888,LEFT,Phase_3_Mouthing
854125,1872,1878,LEFT,Phase_3_Mouthing
854129,1901,1904,LEFT,Phase_3_Mouthing
854133,1927,1918,LEFT,Phase_3_Mouthing
854137,1935,1919,LEFT,Phase_3_Mouthing
854141,1930,1905,LEFT,Phase_3_Mouthing
854145,1938,1899,LEFT,Phase_3_Mouthing
854149,1920,1904,LEFT,Phase_3_Mouthing
854153,1906,1901,LEFT,Phase_3_Mouthing
854157,1910,1887,LEFT,Phase_3_Mouthing
854161,1887,1892,LEFT,Phase_3_Mouthing
854165,1915,1888,LEFT,Phase_3_Mouthing
854169,1911,1898,LEFT,Phase_3_Mouthing
854173,1887,1879,LEFT,Phase_3_Mouthing
854177,1904,1886,LEFT,Phase_3_Mouthing
854181,1921,1893,LEFT,Phase_3_Mouthing
854185,1919,1883,LEFT,Phase_3_Mouthing
854189,1935,1904,LEFT,Phase_3_Mouthing
854193,1920,1903,LEFT,Phase_3_Mouthing
854197,1915,1891,LEFT,Phase_3_Mouthing
854201,1929,1870,LEFT,Phase_3_Mouthing
854205,1937,1872,LEFT,Phase_3_Mouthing
854209,1929,1872,LEFT,Phase_3_Mouthing
854213,1909,1892,LEFT,Phase_3_Mouthing
854217,1897,1878,LEFT,Phase_3_Mouthing
854221,1899,1872,LEFT,Phase_3_Mouthing
854225,1895,1872,LEFT,Phase_3_Mouthing
854229,1899,1882,LEFT,Phase_3_Mouthing
854233,1909,1891,LEFT,Phase_3_Mouthing
854237,1908,1879,LEFT,Phase_3_Mouthing
854241,1903,1870,LEFT,Phase_3_Mouthing
854245,1907,1854,LEFT,Phase_3_Mouthing
854249,1901,1856,LEFT,Phase_3_Mouthing
854253,1902,1872,LEFT,Phase_3_Mouthing
854257,1906,1874,LEFT,Phase_3_Mouthing
854261,1934,1847,LEFT,Phase_3_Mouthing
854265,1906,1821,LEFT,Phase_3_Mouthing
854269,1904,1855,LEFT,Phase_3_Mouthing
854273,1891,1861,LEFT,Phase_3_Mouthing
