Timestamp,CH1,CH2,Label,Phase
478853,1989,1936,NOISE,Phase_3_Mouthing
478857,2010,1936,NOISE,Phase_3_Mouthing
478861,2001,1953,NOISE,Phase_3_Mouthing
478865,1997,1949,NOISE,Phase_3_Mouthing
478869,1975,1921,NOISE,Phase_3_Mouthing
478873,2007,1917,NOISE,Phase_3_Mouthing
478877,1993,1924,NOISE,Phase_3_Mouthing
478881,2013,1935,NOISE,Phase_3_Mouthing
478885,2001,1934,NOISE,Phase_3_Mouthing
478889,2004,1936,NOISE,Phase_3_Mouthing
478893,2009,1947,NOISE,Phase_3_Mouthing
478897,2027,1947,NOISE,Phase_3_Mouthing
478901,2012,1914,NOISE,Phase_3_Mouthing
478905,2004,1874,NOISE,Phase_3_Mouthing
478909,2003,1893,NOISE,Phase_3_Mouthing
478913,1995,1911,NOISE,Phase_3_Mouthing
478917,1977,1926,NOISE,Phase_3_Mouthing
478921,1975,1962,NOISE,Phase_3_Mouthing
478925,2022,1979,NOISE,Phase_3_Mouthing
478929,2032,1938,NOISE,Phase_3_Mouthing
478933,2031,1905,NOISE,Phase_3_Mouthing
478937,2009,1966,NOISE,Phase_3_Mouthing
478941,1997,1970,NOISE,Phase_3_Mouthing
478945,1989,1951,NOISE,Phase_3_Mouthing
478949,2015,1949,NOISE,Phase_3_Mouthing
478953,2046,1936,NOISE,Phase_3_Mouthing
478957,2047,1930,NOISE,Phase_3_Mouthing
478961,2042,1901,NOISE,Phase_3_Mouthing
478965,2037,1907,NOISE,Phase_3_Mouthing
478969,2015,1919,NOISE,Phase_3_Mouthing
478973,2018,1967,NOISE,Phase_3_Mouthing
478977,2067,2066,NOISE,Phase_3_Mouthing
478981,2091,2119,NOISE,Phase_3_Mouthing
478985,2075,2062,NOISE,Phase_3_Mouthing
478989,2070,2021,NOISE,Phase_3_Mouthing
478993,2059,2009,NOISE,Phase_3_Mouthing
478997,2071,2089,NOISE,Phase_3_Mouthing
479001,2069,2207,NOISE,Phase_3_Mouthing
479005,2100,2254,NOISE,Phase_3_Mouthing
479009,2099,2368,NOISE,Phase_3_Mouthing
479013,2101,2243,NOISE,Phase_3_Mouthing
479017,2091,2017,NOISE,Phase_3_Mouthing
479021,2081,1968,NOISE,Phase_3_Mouthing
479025,2095,2078,NOISE,Phase_3_Mouthing
479029,2119,2209,NOISE,Phase_3_Mouthing
479033,2096,2284,NOISE,Phase_3_Mouthing
479037,2101,2320,NOISE,Phase_3_Mouthing
479041,2107,2311,NOISE,Phase_3_Mouthing
479045,2125,2307,NOISE,Phase_3_Mouthing
479049,2141,2222,NOISE,Phase_3_Mouthing
479053,2156,2243,NOISE,Phase_3_Mouthing
479057,2115,2236,NOISE,Phase_3_Mouthing
479061,2105,2230,NOISE,Phase_3_Mouthing
479065,2114,2224,NOISE,Phase_3_Mouthing
479069,2102,2304,NOISE,Phase_3_Mouthing
479073,2106,2341,NOISE,Phase_3_Mouthing
479077,2130,2352,NOISE,Phase_3_Mouthing
479081,2079,2260,NOISE,Phase_3_Mouthing
479085,2083,2215,NOISE,Phase_3_Mouthing
479089,2153,2278,NOISE,Phase_3_Mouthing
479093,2151,2331,NOISE,Phase_3_Mouthing
479097,2137,2379,NOISE,Phase_3_Mouthing
479101,2139,2490,NOISE,Phase_3_Mouthing
479105,2111,2382,NOISE,Phase_3_Mouthing
479109,2091,2247,NOISE,Phase_3_Mouthing
479113,2080,2230,NOISE,Phase_3_Mouthing
479117,2075,2254,NOISE,Phase_3_Mouthing
479121,2095,2295,NOISE,Phase_3_Mouthing
479125,2064,2301,NOISE,Phase_3_Mouthing
479129,2130,2317,NOISE,Phase_3_Mouthing
479133,2105,2321,NOISE,Phase_3_Mouthing
479137,2076,2274,NOISE,Phase_3_Mouthing
479141,2064,2267,NOISE,Phase_3_Mouthing
479145,2059,2192,NOISE,Phase_3_Mouthing
479149,2014,2186,NOISE,Phase_3_Mouthing
479153,2058,2263,NOISE,Phase_3_Mouthing
479157,2081,2290,NOISE,Phase_3_Mouthing
479161,2113,2333,NOISE,Phase_3_Mouthing
479165,2160,2405,NOISE,Phase_3_Mouthing
479169,2045,2279,NOISE,Phase_3_Mouthing
479173,1994,2110,NOISE,Phase_3_Mouthing
479177,1980,2110,NOISE,Phase_3_Mouthing
479181,1971,2215,NOISE,Phase_3_Mouthing
479185,1962,2300,NOISE,Phase_3_Mouthing
479189,1957,2288,NOISE,Phase_3_Mouthing
479193,1945,2221,NOISE,Phase_3_Mouthing
479197,1904,2230,NOISE,Phase_3_Mouthing
479201,1979,2217,NOISE,Phase_3_Mouthing
479205,2003,2239,NOISE,Phase_3_Mouthing
479209,1951,2248,NOISE,Phase_3_Mouthing
479213,1966,2298,NOISE,Phase_3_Mouthing
479217,2017,2224,NOISE,Phase_3_Mouthing
479221,1939,2239,NOISE,Phase_3_Mouthing
479225,1926,2242,NOISE,Phase_3_Mouthing
479229,2015,2239,NOISE,Phase_3_Mouthing
479233,2064,2167,NOISE,Phase_3_Mouthing
479237,2033,2112,NOISE,Phase_3_Mouthing
479241,2007,2057,NOISE,Phase_3_Mouthing
479245,1990,2007,NOISE,Phase_3_Mouthing
479249,1984,2039,NOISE,Phase_3_Mouthing
479253,1983,2053,NOISE,Phase_3_Mouthing
479257,1936,2046,NOISE,Phase_3_Mouthing
479261,1917,2022,NOISE,Phase_3_Mouthing
479265,1904,1999,NOISE,Phase_3_Mouthing
479269,1894,1991,NOISE,Phase_3_Mouthing
479273,1908,1943,NOISE,Phase_3_Mouthing
479277,1885,1911,NOISE,Phase_3_Mouthing
479281,1873,1890,NOISE,Phase_3_Mouthing
479285,1858,1933,NOISE,Phase_3_Mouthing
479289,1840,1930,NOISE,Phase_3_Mouthing
479293,1840,1861,NOISE,Phase_3_Mouthing
479297,1830,1877,NOISE,Phase_3_Mouthing
479301,1776,1758,NOISE,Phase_3_Mouthing
479305,1772,1664,NOISE,Phase_3_Mouthing
479309,1847,1711,NOISE,Phase_3_Mouthing
479313,1882,1721,NOISE,Phase_3_Mouthing
479317,1882,1680,NOISE,Phase_3_Mouthing
479321,1853,1680,NOISE,Phase_3_Mouthing
479325,1829,1732,NOISE,Phase_3_Mouthing
479329,1805,1740,NOISE,Phase_3_Mouthing
479333,1810,1738,NOISE,Phase_3_Mouthing
479337,1821,1773,NOISE,Phase_3_Mouthing
479341,1847,1776,NOISE,Phase_3_Mouthing
479345,1855,1776,NOISE,Phase_3_Mouthing
479349,1790,1755,NOISE,Phase_3_Mouthing
479353,1801,1757,NOISE,Phase_3_Mouthing
479357,1840,1742,NOISE,Phase_3_Mouthing
479361,1853,1738,NOISE,Phase_3_Mouthing
479365,1839,1831,NOISE,Phase_3_Mouthing
479369,1846,1810,NOISE,Phase_3_Mouthing
479373,1850,1744,NOISE,Phase_3_Mouthing
479377,1872,1722,NOISE,Phase_3_Mouthing
479381,1879,1727,NOISE,Phase_3_Mouthing
479385,1922,1838,NOISE,Phase_3_Mouthing
479389,1958,1920,NOISE,Phase_3_Mouthing
479393,1907,1872,NOISE,Phase_3_Mouthing
479397,1869,1808,NOISE,Phase_3_Mouthing
479401,1879,1809,NOISE,Phase_3_Mouthing
479405,1918,1887,NOISE,Phase_3_Mouthing
479409,1931,1883,NOISE,Phase_3_Mouthing
479413,1924,1857,NOISE,Phase_3_Mouthing
479417,1931,1859,NOISE,Phase_3_Mouthing
479421,1934,1906,NOISE,Phase_3_Mouthing
479425,1942,1949,NOISE,Phase_3_Mouthing
479429,1905,1940,NOISE,Phase_3_Mouthing
479433,1906,1877,NOISE,Phase_3_Mouthing
479437,1924,1815,NOISE,Phase_3_Mouthing
479441,1952,1881,NOISE,Phase_3_Mouthing
479445,1936,1882,NOISE,Phase_3_Mouthing
479449,1931,1939,NOISE,Phase_3_Mouthing
479453,1936,2077,NOISE,Phase_3_Mouthing
479457,2000,2096,NOISE,Phase_3_Mouthing
479461,1974,2160,NOISE,Phase_3_Mouthing
479465,2015,2176,NOISE,Phase_3_Mouthing
479469,2043,1915,NOISE,Phase_3_Mouthing
479473,2037,1815,NOISE,Phase_3_Mouthing
479477,2031,1934,NOISE,Phase_3_Mouthing
479481,2003,2010,NOISE,Phase_3_Mouthing
479485,2011,1968,NOISE,Phase_3_Mouthing
479489,2032,2006,NOISE,Phase_3_Mouthing
479493,2045,1997,NOISE,Phase_3_Mouthing
479497,1984,2047,NOISE,Phase_3_Mouthing
479501,1989,2133,NOISE,Phase_3_Mouthing
479505,1997,2247,NOISE,Phase_3_Mouthing
479509,1973,1945,NOISE,Phase_3_Mouthing
479513,1905,1762,NOISE,Phase_3_Mouthing
479517,1931,2015,NOISE,Phase_3_Mouthing
479521,1968,2163,NOISE,Phase_3_Mouthing
479525,1963,2017,NOISE,Phase_3_Mouthing
479529,1981,1821,NOISE,Phase_3_Mouthing
479533,1986,1904,NOISE,Phase_3_Mouthing
479537,1957,2128,NOISE,Phase_3_Mouthing
479541,1984,2215,NOISE,Phase_3_Mouthing
479545,2021,2422,NOISE,Phase_3_Mouthing
479549,1987,2352,NOISE,Phase_3_Mouthing
479553,1973,2222,NOISE,Phase_3_Mouthing
479557,1947,2197,NOISE,Phase_3_Mouthing
479561,1931,2170,NOISE,Phase_3_Mouthing
479565,1887,2273,NOISE,Phase_3_Mouthing
479569,1973,2272,NOISE,Phase_3_Mouthing
479573,2003,2292,NOISE,Phase_3_Mouthing
479577,1936,2294,NOISE,Phase_3_Mouthing
479581,1952,2496,NOISE,Phase_3_Mouthing
479585,1957,2640,NOISE,Phase_3_Mouthing
479589,2000,2544,NOISE,Phase_3_Mouthing
479593,1974,2559,NOISE,Phase_3_Mouthing
479597,1957,2640,NOISE,Phase_3_Mouthing
479601,1972,2736,NOISE,Phase_3_Mouthing
479605,1968,2662,NOISE,Phase_3_Mouthing
479609,1951,2600,NOISE,Phase_3_Mouthing
479613,1937,2418,NOISE,Phase_3_Mouthing
479617,1981,2608,NOISE,Phase_3_Mouthing
479621,1993,2775,NOISE,Phase_3_Mouthing
479625,1947,2722,NOISE,Phase_3_Mouthing
479629,1945,2864,NOISE,Phase_3_Mouthing
479633,2000,2915,NOISE,Phase_3_Mouthing
479637,2023,2783,NOISE,Phase_3_Mouthing
479641,2047,2557,NOISE,Phase_3_Mouthing
479645,2064,2459,NOISE,Phase_3_Mouthing
479649,2054,2672,NOISE,Phase_3_Mouthing
479653,2016,2938,NOISE,Phase_3_Mouthing
479657,2027,3233,NOISE,Phase_3_Mouthing
479661,2028,3219,NOISE,Phase_3_Mouthing
479665,2037,2744,NOISE,Phase_3_Mouthing
479669,2069,2389,NOISE,Phase_3_Mouthing
479673,2083,2480,NOISE,Phase_3_Mouthing
479677,2082,2733,NOISE,Phase_3_Mouthing
479681,2080,2987,NOISE,Phase_3_Mouthing
479685,2112,2976,NOISE,Phase_3_Mouthing
479689,2120,2801,NOISE,Phase_3_Mouthing
479693,2096,2973,NOISE,Phase_3_Mouthing
479697,2119,3049,NOISE,Phase_3_Mouthing
479701,2098,2731,NOISE,Phase_3_Mouthing
479705,2096,2461,NOISE,Phase_3_Mouthing
479709,2087,2422,NOISE,Phase_3_Mouthing
479713,2062,2530,NOISE,Phase_3_Mouthing
479717,2046,2679,NOISE,Phase_3_Mouthing
479721,2103,2679,NOISE,Phase_3_Mouthing
479725,2132,2703,NOISE,Phase_3_Mouthing
479729,2114,2607,NOISE,Phase_3_Mouthing
479733,2115,2590,NOISE,Phase_3_Mouthing
479737,2114,2738,NOISE,Phase_3_Mouthing
479741,2066,2592,NOISE,Phase_3_Mouthing
479745,2107,2405,NOISE,Phase_3_Mouthing
479749,2097,2318,NOISE,Phase_3_Mouthing
479753,2118,2305,NOISE,Phase_3_Mouthing
479757,2093,2369,NOISE,Phase_3_Mouthing
479761,2058,2345,NOISE,Phase_3_Mouthing
479765,2063,2362,NOISE,Phase_3_Mouthing
479769,2086,2385,NOISE,Phase_3_Mouthing
479773,2088,2341,NOISE,Phase_3_Mouthing
479777,2080,2302,NOISE,Phase_3_Mouthing
479781,2080,2333,NOISE,Phase_3_Mouthing
479785,2090,2319,NOISE,Phase_3_Mouthing
479789,2062,2256,NOISE,Phase_3_Mouthing
479793,2064,2208,NOISE,Phase_3_Mouthing
479797,2055,2160,NOISE,Phase_3_Mouthing
479801,2032,2121,NOISE,Phase_3_Mouthing
479805,2035,2160,NOISE,Phase_3_Mouthing
479809,2065,2098,NOISE,Phase_3_Mouthing
479813,2081,1984,NOISE,Phase_3_Mouthing
479817,2083,1957,NOISE,Phase_3_Mouthing
479821,2064,1959,NOISE,Phase_3_Mouthing
479825,2034,1967,NOISE,Phase_3_Mouthing
