Timestamp,CH1,CH2,Label,Phase
194401,1939,1905,RIGHT,Phase_3_Mouthing
194405,1922,1882,RIGHT,Phase_3_Mouthing
194409,1904,1874,RIGHT,Phase_3_Mouthing
194413,1911,1870,RIGHT,Phase_3_Mouthing
194417,1937,1887,RIGHT,Phase_3_Mouthing
194421,1963,1931,RIGHT,Phase_3_Mouthing
194425,1966,1926,RIGHT,Phase_3_Mouthing
194429,1959,1909,RIGHT,Phase_3_Mouthing
194433,1966,1903,RIGHT,Phase_3_Mouthing
194437,1964,1904,RIGHT,Phase_3_Mouthing
194441,1949,1917,RIGHT,Phase_3_Mouthing
194445,1923,1918,RIGHT,Phase_3_Mouthing
194449,1914,1910,RIGHT,Phase_3_Mouthing
194453,1935,1899,RIGHT,Phase_3_Mouthing
194457,1951,1866,RIGHT,Phase_3_Mouthing
194461,1945,1870,RIGHT,Phase_3_Mouthing
194465,1931,1899,RIGHT,Phase_3_Mouthing
194469,1924,1909,RIGHT,Phase_3_Mouthing
194473,1942,1911,RIGHT,Phase_3_Mouthing
194477,1935,1933,RIGHT,Phase_3_Mouthing
194481,1966,1957,RIGHT,Phase_3_Mouthing
194485,1999,1958,RIGHT,Phase_3_Mouthing
194489,2003,1968,RIGHT,Phase_3_Mouthing
194493,2007,1978,RIGHT,Phase_3_Mouthing
194497,2002,1985,RIGHT,Phase_3_Mouthing
194501,2013,1962,RIGHT,Phase_3_Mouthing
194505,2026,1920,RIGHT,Phase_3_Mouthing
194509,2004,1962,RIGHT,Phase_3_Mouthing
194513,2000,2014,RIGHT,Phase_3_Mouthing
194517,2002,2046,RIGHT,Phase_3_Mouthing
194521,2002,2062,RIGHT,Phase_3_Mouthing
194525,2000,2018,RIGHT,Phase_3_Mouthing
194529,2012,1941,RIGHT,Phase_3_Mouthing
194533,2013,1920,RIGHT,Phase_3_Mouthing
194537,2000,1939,RIGHT,Phase_3_Mouthing
194541,2003,1975,RIGHT,Phase_3_Mouthing
194545,2038,2071,RIGHT,Phase_3_Mouthing
194549,2059,2112,RIGHT,Phase_3_Mouthing
194553,2060,2114,RIGHT,Phase_3_Mouthing
194557,2047,2095,RIGHT,Phase_3_Mouthing
194561,2031,2045,RIGHT,Phase_3_Mouthing
194565,2037,1995,RIGHT,Phase_3_Mouthing
194569,2015,1936,RIGHT,Phase_3_Mouthing
194573,1995,1947,RIGHT,Phase_3_Mouthing
194577,2045,2037,RIGHT,Phase_3_Mouthing
194581,2065,2099,RIGHT,Phase_3_Mouthing
194585,2077,2113,RIGHT,Phase_3_Mouthing
194589,2064,2064,RIGHT,Phase_3_Mouthing
194593,2047,1966,RIGHT,Phase_3_Mouthing
194597,1968,1911,RIGHT,Phase_3_Mouthing
194601,1963,1892,RIGHT,Phase_3_Mouthing
194605,2040,1943,RIGHT,Phase_3_Mouthing
194609,2086,2060,RIGHT,Phase_3_Mouthing
194613,2064,2163,RIGHT,Phase_3_Mouthing
194617,2073,2159,RIGHT,Phase_3_Mouthing
194621,2073,2045,RIGHT,Phase_3_Mouthing
194625,1949,1842,RIGHT,Phase_3_Mouthing
194629,1879,1856,RIGHT,Phase_3_Mouthing
194633,1969,1983,RIGHT,Phase_3_Mouthing
194637,2061,2089,RIGHT,Phase_3_Mouthing
194641,2086,2090,RIGHT,Phase_3_Mouthing
194645,2073,2006,RIGHT,Phase_3_Mouthing
194649,1968,1945,RIGHT,Phase_3_Mouthing
194653,1953,1953,RIGHT,Phase_3_Mouthing
