Timestamp,CH1,CH2,Label,Phase
624681,1969,1933,SILENCE,Phase_3_Mouthing
624685,1978,1934,SILENCE,Phase_3_Mouthing
624689,1975,1936,SILENCE,Phase_3_Mouthing
624693,1974,1936,SILENCE,Phase_3_Mouthing
624697,1978,1939,SILENCE,Phase_3_Mouthing
624701,1981,1943,SILENCE,Phase_3_Mouthing
624705,1982,1942,SILENCE,Phase_3_Mouthing
624709,1981,1943,SILENCE,Phase_3_Mouthing
624713,1981,1951,SILENCE,Phase_3_Mouthing
624717,1982,1947,SILENCE,Phase_3_Mouthing
624721,1983,1943,SILENCE,Phase_3_Mouthing
624725,1984,1943,SILENCE,Phase_3_Mouthing
624729,1990,1950,SILENCE,Phase_3_Mouthing
624733,1991,1943,SILENCE,Phase_3_Mouthing
624737,1987,1939,SILENCE,Phase_3_Mouthing
624741,1983,1936,SILENCE,Phase_3_Mouthing
624745,1982,1936,SILENCE,Phase_3_Mouthing
624749,1984,1941,SILENCE,Phase_3_Mouthing
624753,1989,1947,SILENCE,Phase_3_Mouthing
624757,1989,1950,SILENCE,Phase_3_Mouthing
624761,1987,1958,SILENCE,Phase_3_Mouthing
624765,1985,1952,SILENCE,Phase_3_Mouthing
624769,1987,1947,SILENCE,Phase_3_Mouthing
624773,1995,1945,SILENCE,Phase_3_Mouthing
624777,2000,1955,SILENCE,Phase_3_Mouthing
624781,1997,1946,SILENCE,Phase_3_Mouthing
624785,1998,1958,SILENCE,Phase_3_Mouthing
624789,1996,1945,SILENCE,Phase_3_Mouthing
624793,1998,1941,SILENCE,Phase_3_Mouthing
624797,2000,1936,SILENCE,Phase_3_Mouthing
624801,2000,1943,SILENCE,Phase_3_Mouthing
624805,1997,1942,SILENCE,Phase_3_Mouthing
624809,1999,1951,SILENCE,Phase_3_Mouthing
624813,2001,1954,SILENCE,Phase_3_Mouthing
624817,1997,1963,SILENCE,Phase_3_Mouthing
624821,1989,1937,SILENCE,Phase_3_Mouthing
624825,1984,1936,SILENCE,Phase_3_Mouthing
624829,1988,1932,SILENCE,Phase_3_Mouthing
624833,1998,1936,SILENCE,Phase_3_Mouthing
624837,2011,1959,SILENCE,Phase_3_Mouthing
624841,2003,1959,SILENCE,Phase_3_Mouthing
624845,1997,1950,SILENCE,Phase_3_Mouthing
624849,1999,1954,SILENCE,Phase_3_Mouthing
624853,1997,1953,SILENCE,Phase_3_Mouthing
624857,1985,1946,SILENCE,Phase_3_Mouthing
624861,2003,1946,SILENCE,Phase_3_Mouthing
624865,2002,1957,SILENCE,Phase_3_Mouthing
624869,2000,1958,SILENCE,Phase_3_Mouthing
624873,2025,1957,SILENCE,Phase_3_Mouthing
624877,2027,1950,SILENCE,Phase_3_Mouthing
