Timestamp,CH1,CH2,Label,Phase
837669,2021,1984,UP,Phase_3_Mouthing
837673,2032,2000,UP,Phase_3_Mouthing
837677,2038,1998,UP,Phase_3_Mouthing
837681,2034,1999,UP,Phase_3_Mouthing
837685,1986,1990,UP,Phase_3_Mouthing
837689,1967,1988,UP,Phase_3_Mouthing
837693,2000,1997,UP,Phase_3_Mouthing
837697,2000,2002,UP,Phase_3_Mouthing
837701,1997,2013,UP,Phase_3_Mouthing
837705,2024,2010,UP,Phase_3_Mouthing
837709,2054,2013,UP,Phase_3_Mouthing
837713,2044,2017,UP,Phase_3_Mouthing
837717,1984,1972,UP,Phase_3_Mouthing
837721,1987,1936,UP,Phase_3_Mouthing
837725,2016,1940,UP,Phase_3_Mouthing
837729,2015,1950,UP,Phase_3_Mouthing
837733,2014,1945,UP,Phase_3_Mouthing
837737,1959,1885,UP,Phase_3_Mouthing
837741,1950,1919,UP,Phase_3_Mouthing
837745,1967,1983,UP,Phase_3_Mouthing
837749,1971,1990,UP,Phase_3_Mouthing
837753,1993,1933,UP,Phase_3_Mouthing
837757,2045,1936,UP,Phase_3_Mouthing
837761,2006,1892,UP,Phase_3_Mouthing
837765,1939,1829,UP,Phase_3_Mouthing
837769,1938,1840,UP,Phase_3_Mouthing
837773,1947,1857,UP,Phase_3_Mouthing
837777,1971,1917,UP,Phase_3_Mouthing
837781,1968,1941,UP,Phase_3_Mouthing
837785,1966,1937,UP,Phase_3_Mouthing
837789,1886,1902,UP,Phase_3_Mouthing
837793,1911,1917,UP,Phase_3_Mouthing
837797,1939,1898,UP,Phase_3_Mouthing
837801,1948,1887,UP,Phase_3_Mouthing
837805,1904,1882,UP,Phase_3_Mouthing
837809,1898,1892,UP,Phase_3_Mouthing
837813,1958,1918,UP,Phase_3_Mouthing
837817,1975,1957,UP,Phase_3_Mouthing
837821,1936,1914,UP,Phase_3_Mouthing
837825,1856,1872,UP,Phase_3_Mouthing
837829,1884,1878,UP,Phase_3_Mouthing
837833,1936,1858,UP,Phase_3_Mouthing
837837,1924,1874,UP,Phase_3_Mouthing
837841,1904,1914,UP,Phase_3_Mouthing
837845,1915,1840,UP,Phase_3_Mouthing
837849,1937,1866,UP,Phase_3_Mouthing
837853,1907,1898,UP,Phase_3_Mouthing
837857,1874,1904,UP,Phase_3_Mouthing
837861,1887,1938,UP,Phase_3_Mouthing
837865,1933,1919,UP,Phase_3_Mouthing
837869,1936,1915,UP,Phase_3_Mouthing
837873,1913,1907,UP,Phase_3_Mouthing
837877,1914,1892,UP,Phase_3_Mouthing
837881,1913,1883,UP,Phase_3_Mouthing
837885,1930,1903,UP,Phase_3_Mouthing
837889,1936,1869,UP,Phase_3_Mouthing
837893,1895,1827,UP,Phase_3_Mouthing
837897,1872,1840,UP,Phase_3_Mouthing
837901,1905,1847,UP,Phase_3_Mouthing
837905,1894,1852,UP,Phase_3_Mouthing
837909,1919,1926,UP,Phase_3_Mouthing
837913,1925,1958,UP,Phase_3_Mouthing
837917,1932,1950,UP,Phase_3_Mouthing
837921,1913,1890,UP,Phase_3_Mouthing
837925,1903,1859,UP,Phase_3_Mouthing
837929,1886,1821,UP,Phase_3_Mouthing
837933,1900,1871,UP,Phase_3_Mouthing
837937,1921,1922,UP,Phase_3_Mouthing
837941,1928,1917,UP,Phase_3_Mouthing
837945,1961,1863,UP,Phase_3_Mouthing
837949,1923,1847,UP,Phase_3_Mouthing
837953,1890,1893,UP,Phase_3_Mouthing
837957,1870,1904,UP,Phase_3_Mouthing
837961,1904,1863,UP,Phase_3_Mouthing
837965,1867,1805,UP,Phase_3_Mouthing
837969,1866,1802,UP,Phase_3_Mouthing
837973,1907,1872,UP,Phase_3_Mouthing
837977,1925,1938,UP,Phase_3_Mouthing
837981,1967,1917,UP,Phase_3_Mouthing
837985,1993,1898,UP,Phase_3_Mouthing
837989,1930,1904,UP,Phase_3_Mouthing
837993,1907,1863,UP,Phase_3_Mouthing
837997,1910,1871,UP,Phase_3_Mouthing
838001,1931,1877,UP,Phase_3_Mouthing
838005,1908,1873,UP,Phase_3_Mouthing
838009,1915,1850,UP,Phase_3_Mouthing
838013,1904,1810,UP,Phase_3_Mouthing
838017,1890,1795,UP,Phase_3_Mouthing
838021,1906,1871,UP,Phase_3_Mouthing
838025,1861,1898,UP,Phase_3_Mouthing
838029,1883,1872,UP,Phase_3_Mouthing
838033,1921,1821,UP,Phase_3_Mouthing
838037,1936,1840,UP,Phase_3_Mouthing
838041,1968,1903,UP,Phase_3_Mouthing
838045,1963,1920,UP,Phase_3_Mouthing
838049,1958,1916,UP,Phase_3_Mouthing
838053,1927,1854,UP,Phase_3_Mouthing
838057,1935,1854,UP,Phase_3_Mouthing
838061,1935,1869,UP,Phase_3_Mouthing
838065,1937,1901,UP,Phase_3_Mouthing
838069,1945,1904,UP,Phase_3_Mouthing
838073,1927,1858,UP,Phase_3_Mouthing
838077,1916,1838,UP,Phase_3_Mouthing
838081,1924,1876,UP,Phase_3_Mouthing
838085,1942,1905,UP,Phase_3_Mouthing
838089,1943,1875,UP,Phase_3_Mouthing
838093,1947,1851,UP,Phase_3_Mouthing
838097,1904,1799,UP,Phase_3_Mouthing
838101,1942,1847,UP,Phase_3_Mouthing
838105,1967,1946,UP,Phase_3_Mouthing
838109,1968,1967,UP,Phase_3_Mouthing
838113,1951,1959,UP,Phase_3_Mouthing
838117,1933,1936,UP,Phase_3_Mouthing
838121,1874,1874,UP,Phase_3_Mouthing
838125,1904,1842,UP,Phase_3_Mouthing
838129,1913,1833,UP,Phase_3_Mouthing
838133,1911,1840,UP,Phase_3_Mouthing
838137,1972,1921,UP,Phase_3_Mouthing
838141,1968,1985,UP,Phase_3_Mouthing
838145,1962,1967,UP,Phase_3_Mouthing
838149,1955,1943,UP,Phase_3_Mouthing
838153,1931,1906,UP,Phase_3_Mouthing
838157,1946,1921,UP,Phase_3_Mouthing
838161,1936,1889,UP,Phase_3_Mouthing
838165,1931,1891,UP,Phase_3_Mouthing
838169,1941,1919,UP,Phase_3_Mouthing
838173,1986,1923,UP,Phase_3_Mouthing
838177,1953,1874,UP,Phase_3_Mouthing
838181,1913,1903,UP,Phase_3_Mouthing
838185,1941,1908,UP,Phase_3_Mouthing
838189,1937,1882,UP,Phase_3_Mouthing
838193,1946,1947,UP,Phase_3_Mouthing
838197,1968,1947,UP,Phase_3_Mouthing
838201,1987,1913,UP,Phase_3_Mouthing
838205,1963,1910,UP,Phase_3_Mouthing
838209,1965,1918,UP,Phase_3_Mouthing
838213,1967,1906,UP,Phase_3_Mouthing
838217,1917,1843,UP,Phase_3_Mouthing
838221,1971,1842,UP,Phase_3_Mouthing
838225,2000,1909,UP,Phase_3_Mouthing
838229,1971,1952,UP,Phase_3_Mouthing
838233,1962,1946,UP,Phase_3_Mouthing
838237,1965,1917,UP,Phase_3_Mouthing
838241,1954,1875,UP,Phase_3_Mouthing
838245,1941,1849,UP,Phase_3_Mouthing
838249,1949,1870,UP,Phase_3_Mouthing
838253,1949,1925,UP,Phase_3_Mouthing
838257,1981,1951,UP,Phase_3_Mouthing
838261,1913,1936,UP,Phase_3_Mouthing
838265,1927,1909,UP,Phase_3_Mouthing
838269,1951,1899,UP,Phase_3_Mouthing
838273,1954,1893,UP,Phase_3_Mouthing
838277,1968,1873,UP,Phase_3_Mouthing
838281,1971,1867,UP,Phase_3_Mouthing
838285,1968,1905,UP,Phase_3_Mouthing
838289,1958,1942,UP,Phase_3_Mouthing
838293,1958,1934,UP,Phase_3_Mouthing
838297,1953,1915,UP,Phase_3_Mouthing
838301,1970,1917,UP,Phase_3_Mouthing
838305,1968,1920,UP,Phase_3_Mouthing
838309,1938,1907,UP,Phase_3_Mouthing
838313,1925,1890,UP,Phase_3_Mouthing
838317,1949,1869,UP,Phase_3_Mouthing
838321,1967,1875,UP,Phase_3_Mouthing
838325,1963,1887,UP,Phase_3_Mouthing
838329,1966,1906,UP,Phase_3_Mouthing
838333,1956,1923,UP,Phase_3_Mouthing
838337,1917,1887,UP,Phase_3_Mouthing
838341,1920,1886,UP,Phase_3_Mouthing
838345,1995,1919,UP,Phase_3_Mouthing
838349,2013,1921,UP,Phase_3_Mouthing
838353,1994,1923,UP,Phase_3_Mouthing
838357,1936,1883,UP,Phase_3_Mouthing
838361,1904,1827,UP,Phase_3_Mouthing
838365,1917,1892,UP,Phase_3_Mouthing
838369,1975,1962,UP,Phase_3_Mouthing
838373,2009,1939,UP,Phase_3_Mouthing
838377,1994,1938,UP,Phase_3_Mouthing
838381,1969,1915,UP,Phase_3_Mouthing
838385,1968,1904,UP,Phase_3_Mouthing
838389,1959,1907,UP,Phase_3_Mouthing
838393,1959,1930,UP,Phase_3_Mouthing
838397,1951,1907,UP,Phase_3_Mouthing
838401,1931,1872,UP,Phase_3_Mouthing
838405,1968,1905,UP,Phase_3_Mouthing
838409,2001,1915,UP,Phase_3_Mouthing
838413,1987,1902,UP,Phase_3_Mouthing
838417,1974,1887,UP,Phase_3_Mouthing
838421,1959,1891,UP,Phase_3_Mouthing
838425,1959,1907,UP,Phase_3_Mouthing
838429,1968,1923,UP,Phase_3_Mouthing
838433,1967,1920,UP,Phase_3_Mouthing
838437,1941,1877,UP,Phase_3_Mouthing
838441,1954,1840,UP,Phase_3_Mouthing
838445,1979,1858,UP,Phase_3_Mouthing
838449,1937,1914,UP,Phase_3_Mouthing
838453,1935,1924,UP,Phase_3_Mouthing
838457,1965,1911,UP,Phase_3_Mouthing
838461,1950,1905,UP,Phase_3_Mouthing
838465,1967,1901,UP,Phase_3_Mouthing
838469,1950,1882,UP,Phase_3_Mouthing
838473,1983,1893,UP,Phase_3_Mouthing
838477,1973,1864,UP,Phase_3_Mouthing
838481,1927,1873,UP,Phase_3_Mouthing
838485,1936,1898,UP,Phase_3_Mouthing
838489,1978,1921,UP,Phase_3_Mouthing
838493,2003,1933,UP,Phase_3_Mouthing
838497,2006,1921,UP,Phase_3_Mouthing
838501,2002,1904,UP,Phase_3_Mouthing
838505,1955,1873,UP,Phase_3_Mouthing
838509,1950,1867,UP,Phase_3_Mouthing
838513,1947,1867,UP,Phase_3_Mouthing
838517,1926,1866,UP,Phase_3_Mouthing
838521,1936,1876,UP,Phase_3_Mouthing
838525,1948,1886,UP,Phase_3_Mouthing
838529,1947,1887,UP,Phase_3_Mouthing
838533,1954,1895,UP,Phase_3_Mouthing
838537,1959,1904,UP,Phase_3_Mouthing
838541,1961,1899,UP,Phase_3_Mouthing
838545,1969,1893,UP,Phase_3_Mouthing
838549,1971,1877,UP,Phase_3_Mouthing
838553,1968,1875,UP,Phase_3_Mouthing
838557,1980,1885,UP,Phase_3_Mouthing
838561,1978,1897,UP,Phase_3_Mouthing
838565,1975,1904,UP,Phase_3_Mouthing
838569,1993,1915,UP,Phase_3_Mouthing
838573,2010,1907,UP,Phase_3_Mouthing
838577,2007,1904,UP,Phase_3_Mouthing
838581,1998,1904,UP,Phase_3_Mouthing
838585,1995,1906,UP,Phase_3_Mouthing
838589,1998,1920,UP,Phase_3_Mouthing
838593,2003,1915,UP,Phase_3_Mouthing
838597,2011,1921,UP,Phase_3_Mouthing
838601,2033,1922,UP,Phase_3_Mouthing
838605,2011,1920,UP,Phase_3_Mouthing
838609,2010,1901,UP,Phase_3_Mouthing
