Timestamp,CH1,CH2,Label,Phase
672229,1997,1888,DOWN,Phase_5_Exaggerated
672233,1990,1906,DOWN,Phase_5_Exaggerated
672237,1983,1917,DOWN,Phase_5_Exaggerated
672241,1996,1894,DOWN,Phase_5_Exaggerated
672245,2010,1904,DOWN,Phase_5_Exaggerated
672249,2029,1887,DOWN,Phase_5_Exaggerated
672253,1974,1862,DOWN,Phase_5_Exaggerated
672257,1958,1872,DOWN,Phase_5_Exaggerated
672261,2011,1914,DOWN,Phase_5_Exaggerated
672265,2053,1961,DOWN,Phase_5_Exaggerated
672269,2047,1982,DOWN,Phase_5_Exaggerated
672273,2067,1936,DOWN,Phase_5_Exaggerated
672277,2064,1878,DOWN,Phase_5_Exaggerated
672281,2019,1877,DOWN,Phase_5_Exaggerated
672285,1993,1888,DOWN,Phase_5_Exaggerated
672289,1968,1903,DOWN,Phase_5_Exaggerated
672293,1975,1936,DOWN,Phase_5_Exaggerated
672297,2003,1950,DOWN,Phase_5_Exaggerated
672301,2039,1936,DOWN,Phase_5_Exaggerated
672305,2029,1925,DOWN,Phase_5_Exaggerated
672309,2032,1901,DOWN,Phase_5_Exaggerated
672313,2004,1903,DOWN,Phase_5_Exaggerated
672317,2017,1913,DOWN,Phase_5_Exaggerated
672321,1975,1916,DOWN,Phase_5_Exaggerated
672325,1969,1872,DOWN,Phase_5_Exaggerated
672329,1983,1848,DOWN,Phase_5_Exaggerated
672333,2001,1848,DOWN,Phase_5_Exaggerated
672337,2029,1874,DOWN,Phase_5_Exaggerated
672341,2017,1921,DOWN,Phase_5_Exaggerated
672345,2000,1949,DOWN,Phase_5_Exaggerated
672349,1997,1993,DOWN,Phase_5_Exaggerated
672353,2000,1968,DOWN,Phase_5_Exaggerated
672357,1995,1918,DOWN,Phase_5_Exaggerated
672361,2025,1889,DOWN,Phase_5_Exaggerated
672365,1984,1900,DOWN,Phase_5_Exaggerated
672369,2019,1905,DOWN,Phase_5_Exaggerated
672373,2014,1917,DOWN,Phase_5_Exaggerated
672377,1981,1942,DOWN,Phase_5_Exaggerated
672381,1988,1946,DOWN,Phase_5_Exaggerated
672385,2006,1917,DOWN,Phase_5_Exaggerated
672389,2015,1945,DOWN,Phase_5_Exaggerated
672393,2011,1949,DOWN,Phase_5_Exaggerated
672397,1969,1915,DOWN,Phase_5_Exaggerated
672401,1921,1889,DOWN,Phase_5_Exaggerated
672405,1932,1890,DOWN,Phase_5_Exaggerated
672409,1954,1911,DOWN,Phase_5_Exaggerated
672413,1973,1930,DOWN,Phase_5_Exaggerated
672417,1942,1967,DOWN,Phase_5_Exaggerated
672421,1934,1984,DOWN,Phase_5_Exaggerated
672425,1974,1994,DOWN,Phase_5_Exaggerated
672429,1993,1997,DOWN,Phase_5_Exaggerated
672433,1986,1979,DOWN,Phase_5_Exaggerated
672437,2000,1950,DOWN,Phase_5_Exaggerated
672441,1969,1968,DOWN,Phase_5_Exaggerated
672445,1951,1990,DOWN,Phase_5_Exaggerated
672449,1955,2014,DOWN,Phase_5_Exaggerated
672453,1949,1962,DOWN,Phase_5_Exaggerated
672457,1969,1940,DOWN,Phase_5_Exaggerated
672461,1973,1953,DOWN,Phase_5_Exaggerated
672465,1956,1953,DOWN,Phase_5_Exaggerated
672469,1984,1979,DOWN,Phase_5_Exaggerated
672473,1993,2001,DOWN,Phase_5_Exaggerated
672477,1947,1958,DOWN,Phase_5_Exaggerated
672481,1955,1937,DOWN,Phase_5_Exaggerated
672485,1988,1981,DOWN,Phase_5_Exaggerated
672489,1982,1979,DOWN,Phase_5_Exaggerated
672493,1979,1972,DOWN,Phase_5_Exaggerated
672497,1973,1949,DOWN,Phase_5_Exaggerated
672501,1977,1942,DOWN,Phase_5_Exaggerated
672505,1921,1983,DOWN,Phase_5_Exaggerated
672509,1932,2000,DOWN,Phase_5_Exaggerated
672513,1961,1966,DOWN,Phase_5_Exaggerated
672517,1989,1919,DOWN,Phase_5_Exaggerated
672521,1989,1911,DOWN,Phase_5_Exaggerated
672525,1968,1961,DOWN,Phase_5_Exaggerated
672529,1968,1992,DOWN,Phase_5_Exaggerated
672533,1962,1982,DOWN,Phase_5_Exaggerated
672537,1943,1957,DOWN,Phase_5_Exaggerated
672541,1927,1929,DOWN,Phase_5_Exaggerated
672545,1942,1922,DOWN,Phase_5_Exaggerated
672549,1945,1937,DOWN,Phase_5_Exaggerated
672553,1931,1959,DOWN,Phase_5_Exaggerated
672557,1931,1926,DOWN,Phase_5_Exaggerated
672561,1975,1920,DOWN,Phase_5_Exaggerated
672565,1977,1963,DOWN,Phase_5_Exaggerated
672569,1965,1988,DOWN,Phase_5_Exaggerated
672573,1948,2000,DOWN,Phase_5_Exaggerated
672577,1954,1974,DOWN,Phase_5_Exaggerated
672581,1947,1936,DOWN,Phase_5_Exaggerated
672585,1925,1933,DOWN,Phase_5_Exaggerated
672589,1904,1918,DOWN,Phase_5_Exaggerated
672593,1917,1934,DOWN,Phase_5_Exaggerated
672597,1950,1943,DOWN,Phase_5_Exaggerated
672601,1984,1967,DOWN,Phase_5_Exaggerated
672605,1971,1971,DOWN,Phase_5_Exaggerated
672609,1953,1983,DOWN,Phase_5_Exaggerated
672613,1949,1955,DOWN,Phase_5_Exaggerated
672617,1933,1936,DOWN,Phase_5_Exaggerated
672621,1957,1893,DOWN,Phase_5_Exaggerated
672625,1958,1872,DOWN,Phase_5_Exaggerated
672629,1922,1914,DOWN,Phase_5_Exaggerated
672633,1898,1968,DOWN,Phase_5_Exaggerated
672637,1921,1955,DOWN,Phase_5_Exaggerated
672641,1925,1933,DOWN,Phase_5_Exaggerated
672645,1922,1954,DOWN,Phase_5_Exaggerated
672649,1955,1950,DOWN,Phase_5_Exaggerated
672653,1932,1936,DOWN,Phase_5_Exaggerated
