Timestamp,CH1,CH2,Label,Phase
160965,2109,1989,LEFT,Phase_5_Exaggerated
160969,2086,1986,LEFT,Phase_5_Exaggerated
160973,2087,1962,LEFT,Phase_5_Exaggerated
160977,2089,1968,LEFT,Phase_5_Exaggerated
160981,2111,1968,LEFT,Phase_5_Exaggerated
160985,2131,1982,LEFT,Phase_5_Exaggerated
160989,2137,1998,LEFT,Phase_5_Exaggerated
160993,2115,1995,LEFT,Phase_5_Exaggerated
160997,2105,1984,LEFT,Phase_5_Exaggerated
161001,2112,1962,LEFT,Phase_5_Exaggerated
161005,2113,1974,LEFT,Phase_5_Exaggerated
161009,2113,2015,LEFT,Phase_5_Exaggerated
161013,2091,2031,LEFT,Phase_5_Exaggerated
161017,2071,2012,LEFT,Phase_5_Exaggerated
161021,2067,2006,LEFT,Phase_5_Exaggerated
161025,2081,2017,LEFT,Phase_5_Exaggerated
161029,2121,2013,LEFT,Phase_5_Exaggerated
161033,2143,2033,LEFT,Phase_5_Exaggerated
161037,2096,2041,LEFT,Phase_5_Exaggerated
161041,2115,2041,LEFT,Phase_5_Exaggerated
161045,2118,2031,LEFT,Phase_5_Exaggerated
161049,2115,2014,LEFT,Phase_5_Exaggerated
161053,2109,2009,LEFT,Phase_5_Exaggerated
161057,2118,2007,LEFT,Phase_5_Exaggerated
161061,2122,2015,LEFT,Phase_5_Exaggerated
161065,2121,2031,LEFT,Phase_5_Exaggerated
161069,2125,2064,LEFT,Phase_5_Exaggerated
161073,2105,2065,LEFT,Phase_5_Exaggerated
161077,2084,2045,LEFT,Phase_5_Exaggerated
161081,2064,2026,LEFT,Phase_5_Exaggerated
161085,2073,2032,LEFT,Phase_5_Exaggerated
161089,2074,2021,LEFT,Phase_5_Exaggerated
161093,2064,2005,LEFT,Phase_5_Exaggerated
161097,2066,2013,LEFT,Phase_5_Exaggerated
161101,2120,2027,LEFT,Phase_5_Exaggerated
161105,2097,2047,LEFT,Phase_5_Exaggerated
161109,2080,2047,LEFT,Phase_5_Exaggerated
161113,2087,2057,LEFT,Phase_5_Exaggerated
161117,2071,2059,LEFT,Phase_5_Exaggerated
161121,2065,2018,LEFT,Phase_5_Exaggerated
161125,2037,1983,LEFT,Phase_5_Exaggerated
161129,2057,2014,LEFT,Phase_5_Exaggerated
161133,2023,2018,LEFT,Phase_5_Exaggerated
161137,2076,2007,LEFT,Phase_5_Exaggerated
161141,2066,1999,LEFT,Phase_5_Exaggerated
161145,2064,2005,LEFT,Phase_5_Exaggerated
161149,2032,2023,LEFT,Phase_5_Exaggerated
161153,2030,2004,LEFT,Phase_5_Exaggerated
161157,2026,1986,LEFT,Phase_5_Exaggerated
161161,2038,2007,LEFT,Phase_5_Exaggerated
161165,2053,2032,LEFT,Phase_5_Exaggerated
161169,2056,2016,LEFT,Phase_5_Exaggerated
161173,2059,2032,LEFT,Phase_5_Exaggerated
161177,2065,2045,LEFT,Phase_5_Exaggerated
161181,2057,2013,LEFT,Phase_5_Exaggerated
161185,2053,1979,LEFT,Phase_5_Exaggerated
161189,2042,1985,LEFT,Phase_5_Exaggerated
161193,2032,1986,LEFT,Phase_5_Exaggerated
161197,2031,1987,LEFT,Phase_5_Exaggerated
161201,2023,2001,LEFT,Phase_5_Exaggerated
161205,2000,2001,LEFT,Phase_5_Exaggerated
161209,1999,1986,LEFT,Phase_5_Exaggerated
161213,2000,1998,LEFT,Phase_5_Exaggerated
161217,2005,1997,LEFT,Phase_5_Exaggerated
161221,2032,1974,LEFT,Phase_5_Exaggerated
161225,2035,1972,LEFT,Phase_5_Exaggerated
161229,2011,1987,LEFT,Phase_5_Exaggerated
161233,1998,2002,LEFT,Phase_5_Exaggerated
161237,2004,2000,LEFT,Phase_5_Exaggerated
161241,2034,1999,LEFT,Phase_5_Exaggerated
161245,2045,1980,LEFT,Phase_5_Exaggerated
161249,2014,1971,LEFT,Phase_5_Exaggerated
161253,2009,1973,LEFT,Phase_5_Exaggerated
161257,2018,1984,LEFT,Phase_5_Exaggerated
161261,2028,1986,LEFT,Phase_5_Exaggerated
161265,2017,1975,LEFT,Phase_5_Exaggerated
161269,2000,1962,LEFT,Phase_5_Exaggerated
161273,1995,1949,LEFT,Phase_5_Exaggerated
161277,2001,1952,LEFT,Phase_5_Exaggerated
161281,1969,1937,LEFT,Phase_5_Exaggerated
161285,1970,1935,LEFT,Phase_5_Exaggerated
161289,2006,1925,LEFT,Phase_5_Exaggerated
161293,2058,1913,LEFT,Phase_5_Exaggerated
161297,1968,1938,LEFT,Phase_5_Exaggerated
161301,2004,1956,LEFT,Phase_5_Exaggerated
161305,1982,1937,LEFT,Phase_5_Exaggerated
161309,1989,1922,LEFT,Phase_5_Exaggerated
161313,1990,1930,LEFT,Phase_5_Exaggerated
161317,1993,1959,LEFT,Phase_5_Exaggerated
161321,2010,1958,LEFT,Phase_5_Exaggerated
161325,2000,1935,LEFT,Phase_5_Exaggerated
161329,1993,1921,LEFT,Phase_5_Exaggerated
161333,1996,1927,LEFT,Phase_5_Exaggerated
161337,2016,1940,LEFT,Phase_5_Exaggerated
161341,2003,1954,LEFT,Phase_5_Exaggerated
161345,1993,1936,LEFT,Phase_5_Exaggerated
161349,1984,1931,LEFT,Phase_5_Exaggerated
161353,1983,1936,LEFT,Phase_5_Exaggerated
161357,1998,1937,LEFT,Phase_5_Exaggerated
161361,1997,1943,LEFT,Phase_5_Exaggerated
161365,1975,1919,LEFT,Phase_5_Exaggerated
161369,1975,1927,LEFT,Phase_5_Exaggerated
161373,1989,1923,LEFT,Phase_5_Exaggerated
161377,1987,1933,LEFT,Phase_5_Exaggerated
161381,1959,1921,LEFT,Phase_5_Exaggerated
161385,1933,1905,LEFT,Phase_5_Exaggerated
161389,1967,1912,LEFT,Phase_5_Exaggerated
161393,2005,1904,LEFT,Phase_5_Exaggerated
161397,2010,1922,LEFT,Phase_5_Exaggerated
161401,1988,1920,LEFT,Phase_5_Exaggerated
161405,1965,1893,LEFT,Phase_5_Exaggerated
161409,1977,1927,LEFT,Phase_5_Exaggerated
161413,1983,1952,LEFT,Phase_5_Exaggerated
161417,1977,1904,LEFT,Phase_5_Exaggerated
161421,1975,1899,LEFT,Phase_5_Exaggerated
161425,1995,1903,LEFT,Phase_5_Exaggerated
161429,2010,1917,LEFT,Phase_5_Exaggerated
161433,1994,1934,LEFT,Phase_5_Exaggerated
161437,1983,1918,LEFT,Phase_5_Exaggerated
161441,1960,1918,LEFT,Phase_5_Exaggerated
161445,1953,1904,LEFT,Phase_5_Exaggerated
161449,1962,1902,LEFT,Phase_5_Exaggerated
161453,1979,1920,LEFT,Phase_5_Exaggerated
161457,1999,1936,LEFT,Phase_5_Exaggerated
161461,2004,1917,LEFT,Phase_5_Exaggerated
161465,1987,1872,LEFT,Phase_5_Exaggerated
161469,1979,1850,LEFT,Phase_5_Exaggerated
161473,1972,1858,LEFT,Phase_5_Exaggerated
161477,1949,1857,LEFT,Phase_5_Exaggerated
161481,1911,1853,LEFT,Phase_5_Exaggerated
161485,1922,1851,LEFT,Phase_5_Exaggerated
161489,1931,1865,LEFT,Phase_5_Exaggerated
161493,1926,1893,LEFT,Phase_5_Exaggerated
161497,1932,1905,LEFT,Phase_5_Exaggerated
161501,1972,1935,LEFT,Phase_5_Exaggerated
161505,1995,1942,LEFT,Phase_5_Exaggerated
161509,1984,1929,LEFT,Phase_5_Exaggerated
161513,1921,1920,LEFT,Phase_5_Exaggerated
161517,1975,1911,LEFT,Phase_5_Exaggerated
161521,1993,1905,LEFT,Phase_5_Exaggerated
161525,2010,1908,LEFT,Phase_5_Exaggerated
161529,2003,1919,LEFT,Phase_5_Exaggerated
161533,1995,1924,LEFT,Phase_5_Exaggerated
161537,1975,1907,LEFT,Phase_5_Exaggerated
161541,1985,1903,LEFT,Phase_5_Exaggerated
161545,1988,1901,LEFT,Phase_5_Exaggerated
161549,1984,1906,LEFT,Phase_5_Exaggerated
161553,1986,1910,LEFT,Phase_5_Exaggerated
161557,1973,1904,LEFT,Phase_5_Exaggerated
161561,1966,1900,LEFT,Phase_5_Exaggerated
161565,1971,1900,LEFT,Phase_5_Exaggerated
161569,1984,1887,LEFT,Phase_5_Exaggerated
161573,1984,1889,LEFT,Phase_5_Exaggerated
