Timestamp,CH1,CH2,Label,Phase
635981,1919,1856,NOISE,Phase_5_Exaggerated
635985,1917,1869,NOISE,Phase_5_Exaggerated
635989,1913,1876,NOISE,Phase_5_Exaggerated
635993,1920,1867,NOISE,Phase_5_Exaggerated
635997,1910,1862,NOISE,Phase_5_Exaggerated
636001,1917,1877,NOISE,Phase_5_Exaggerated
636005,1922,1882,NOISE,Phase_5_Exaggerated
636009,1921,1890,NOISE,Phase_5_Exaggerated
636013,1922,1887,NOISE,Phase_5_Exaggerated
636017,1920,1847,NOISE,Phase_5_Exaggerated
636021,1919,1867,NOISE,Phase_5_Exaggerated
636025,1917,1873,NOISE,Phase_5_Exaggerated
636029,1925,1888,NOISE,Phase_5_Exaggerated
636033,1928,1886,NOISE,Phase_5_Exaggerated
636037,1936,1877,NOISE,Phase_5_Exaggerated
636041,1938,1872,NOISE,Phase_5_Exaggerated
636045,1930,1869,NOISE,Phase_5_Exaggerated
636049,1924,1871,NOISE,Phase_5_Exaggerated
636053,1932,1885,NOISE,Phase_5_Exaggerated
636057,1936,1892,NOISE,Phase_5_Exaggerated
636061,1937,1893,NOISE,Phase_5_Exaggerated
636065,1923,1904,NOISE,Phase_5_Exaggerated
636069,1915,1893,NOISE,Phase_5_Exaggerated
636073,1917,1885,NOISE,Phase_5_Exaggerated
636077,1920,1872,NOISE,Phase_5_Exaggerated
636081,1926,1872,NOISE,Phase_5_Exaggerated
636085,1933,1873,NOISE,Phase_5_Exaggerated
636089,1923,1874,NOISE,Phase_5_Exaggerated
636093,1934,1887,NOISE,Phase_5_Exaggerated
636097,1940,1875,NOISE,Phase_5_Exaggerated
636101,1930,1872,NOISE,Phase_5_Exaggerated
636105,1927,1872,NOISE,Phase_5_Exaggerated
636109,1924,1869,NOISE,Phase_5_Exaggerated
636113,1923,1875,NOISE,Phase_5_Exaggerated
636117,1923,1887,NOISE,Phase_5_Exaggerated
636121,1927,1887,NOISE,Phase_5_Exaggerated
636125,1929,1872,NOISE,Phase_5_Exaggerated
636129,1920,1890,NOISE,Phase_5_Exaggerated
636133,1917,1905,NOISE,Phase_5_Exaggerated
636137,1920,1902,NOISE,Phase_5_Exaggerated
636141,1930,1872,NOISE,Phase_5_Exaggerated
636145,1933,1851,NOISE,Phase_5_Exaggerated
636149,1932,1882,NOISE,Phase_5_Exaggerated
636153,1925,1906,NOISE,Phase_5_Exaggerated
636157,1921,1895,NOISE,Phase_5_Exaggerated
636161,1922,1882,NOISE,Phase_5_Exaggerated
636165,1923,1877,NOISE,Phase_5_Exaggerated
636169,1919,1871,NOISE,Phase_5_Exaggerated
636173,1925,1863,NOISE,Phase_5_Exaggerated
636177,1931,1870,NOISE,Phase_5_Exaggerated
636181,1917,1875,NOISE,Phase_5_Exaggerated
636185,1923,1902,NOISE,Phase_5_Exaggerated
636189,1921,1891,NOISE,Phase_5_Exaggerated
636193,1920,1872,NOISE,Phase_5_Exaggerated
636197,1924,1846,NOISE,Phase_5_Exaggerated
636201,1929,1851,NOISE,Phase_5_Exaggerated
636205,1920,1861,NOISE,Phase_5_Exaggerated
636209,1926,1868,NOISE,Phase_5_Exaggerated
636213,1920,1867,NOISE,Phase_5_Exaggerated
636217,1925,1865,NOISE,Phase_5_Exaggerated
636221,1919,1868,NOISE,Phase_5_Exaggerated
636225,1923,1872,NOISE,Phase_5_Exaggerated
636229,1933,1872,NOISE,Phase_5_Exaggerated
636233,1930,1857,NOISE,Phase_5_Exaggerated
636237,1921,1837,NOISE,Phase_5_Exaggerated
636241,1931,1830,NOISE,Phase_5_Exaggerated
636245,1932,1843,NOISE,Phase_5_Exaggerated
636249,1933,1854,NOISE,Phase_5_Exaggerated
636253,1929,1857,NOISE,Phase_5_Exaggerated
636257,1924,1856,NOISE,Phase_5_Exaggerated
636261,1926,1861,NOISE,Phase_5_Exaggerated
636265,1929,1855,NOISE,Phase_5_Exaggerated
636269,1937,1849,NOISE,Phase_5_Exaggerated
636273,1933,1855,NOISE,Phase_5_Exaggerated
