Timestamp,CH1,CH2,Label,Phase
676045,2014,1965,RIGHT,Phase_5_Exaggerated
676049,2015,1981,RIGHT,Phase_5_Exaggerated
676053,2022,2011,RIGHT,Phase_5_Exaggerated
676057,2032,2021,RIGHT,Phase_5_Exaggerated
676061,2034,2022,RIGHT,Phase_5_Exaggerated
676065,2022,2059,RIGHT,Phase_5_Exaggerated
676069,2010,2022,RIGHT,Phase_5_Exaggerated
676073,2000,1975,RIGHT,Phase_5_Exaggerated
676077,2000,1979,RIGHT,Phase_5_Exaggerated
676081,2005,1958,RIGHT,Phase_5_Exaggerated
676085,2000,1954,RIGHT,Phase_5_Exaggerated
676089,1995,1970,RIGHT,Phase_5_Exaggerated
676093,1984,1979,RIGHT,Phase_5_Exaggerated
676097,1968,1984,RIGHT,Phase_5_Exaggerated
676101,1968,1991,RIGHT,Phase_5_Exaggerated
676105,1984,1984,RIGHT,Phase_5_Exaggerated
676109,1995,1968,RIGHT,Phase_5_Exaggerated
676113,1981,1966,RIGHT,Phase_5_Exaggerated
676117,1964,1946,RIGHT,Phase_5_Exaggerated
676121,1962,1941,RIGHT,Phase_5_Exaggerated
676125,1951,1951,RIGHT,Phase_5_Exaggerated
676129,1949,1949,RIGHT,Phase_5_Exaggerated
676133,1952,1952,RIGHT,Phase_5_Exaggerated
676137,1965,1969,RIGHT,Phase_5_Exaggerated
676141,1955,1986,RIGHT,Phase_5_Exaggerated
676145,1954,1981,RIGHT,Phase_5_Exaggerated
676149,1955,1943,RIGHT,Phase_5_Exaggerated
676153,1953,1897,RIGHT,Phase_5_Exaggerated
676157,1936,1889,RIGHT,Phase_5_Exaggerated
676161,1921,1907,RIGHT,Phase_5_Exaggerated
676165,1915,1919,RIGHT,Phase_5_Exaggerated
676169,1920,1935,RIGHT,Phase_5_Exaggerated
676173,1936,1936,RIGHT,Phase_5_Exaggerated
676177,1946,1906,RIGHT,Phase_5_Exaggerated
676181,1950,1908,RIGHT,Phase_5_Exaggerated
676185,1946,1927,RIGHT,Phase_5_Exaggerated
676189,1939,1933,RIGHT,Phase_5_Exaggerated
676193,1921,1903,RIGHT,Phase_5_Exaggerated
676197,1916,1890,RIGHT,Phase_5_Exaggerated
676201,1925,1875,RIGHT,Phase_5_Exaggerated
676205,1938,1879,RIGHT,Phase_5_Exaggerated
676209,1921,1898,RIGHT,Phase_5_Exaggerated
676213,1906,1901,RIGHT,Phase_5_Exaggerated
676217,1914,1919,RIGHT,Phase_5_Exaggerated
676221,1910,1933,RIGHT,Phase_5_Exaggerated
676225,1911,1937,RIGHT,Phase_5_Exaggerated
676229,1917,1915,RIGHT,Phase_5_Exaggerated
676233,1891,1882,RIGHT,Phase_5_Exaggerated
676237,1883,1875,RIGHT,Phase_5_Exaggerated
676241,1887,1856,RIGHT,Phase_5_Exaggerated
676245,1894,1858,RIGHT,Phase_5_Exaggerated
676249,1893,1879,RIGHT,Phase_5_Exaggerated
676253,1897,1903,RIGHT,Phase_5_Exaggerated
676257,1893,1920,RIGHT,Phase_5_Exaggerated
676261,1888,1910,RIGHT,Phase_5_Exaggerated
676265,1893,1904,RIGHT,Phase_5_Exaggerated
676269,1901,1875,RIGHT,Phase_5_Exaggerated
676273,1882,1867,RIGHT,Phase_5_Exaggerated
676277,1873,1856,RIGHT,Phase_5_Exaggerated
676281,1863,1861,RIGHT,Phase_5_Exaggerated
676285,1872,1881,RIGHT,Phase_5_Exaggerated
676289,1883,1895,RIGHT,Phase_5_Exaggerated
676293,1894,1904,RIGHT,Phase_5_Exaggerated
676297,1885,1900,RIGHT,Phase_5_Exaggerated
676301,1884,1895,RIGHT,Phase_5_Exaggerated
676305,1872,1893,RIGHT,Phase_5_Exaggerated
676309,1878,1879,RIGHT,Phase_5_Exaggerated
676313,1869,1878,RIGHT,Phase_5_Exaggerated
676317,1875,1887,RIGHT,Phase_5_Exaggerated
676321,1874,1872,RIGHT,Phase_5_Exaggerated
676325,1885,1835,RIGHT,Phase_5_Exaggerated
676329,1879,1836,RIGHT,Phase_5_Exaggerated
676333,1888,1839,RIGHT,Phase_5_Exaggerated
676337,1878,1859,RIGHT,Phase_5_Exaggerated
676341,1879,1872,RIGHT,Phase_5_Exaggerated
676345,1879,1850,RIGHT,Phase_5_Exaggerated
676349,1875,1831,RIGHT,Phase_5_Exaggerated
676353,1886,1825,RIGHT,Phase_5_Exaggerated
676357,1894,1840,RIGHT,Phase_5_Exaggerated
676361,1883,1872,RIGHT,Phase_5_Exaggerated
676365,1889,1847,RIGHT,Phase_5_Exaggerated
676369,1874,1824,RIGHT,Phase_5_Exaggerated
676373,1890,1839,RIGHT,Phase_5_Exaggerated
676377,1891,1837,RIGHT,Phase_5_Exaggerated
676381,1870,1829,RIGHT,Phase_5_Exaggerated
676385,1870,1843,RIGHT,Phase_5_Exaggerated
676389,1872,1870,RIGHT,Phase_5_Exaggerated
676393,1875,1875,RIGHT,Phase_5_Exaggerated
676397,1836,1874,RIGHT,Phase_5_Exaggerated
676401,1858,1867,RIGHT,Phase_5_Exaggerated
676405,1872,1872,RIGHT,Phase_5_Exaggerated
676409,1901,1874,RIGHT,Phase_5_Exaggerated
676413,1888,1881,RIGHT,Phase_5_Exaggerated
676417,1872,1869,RIGHT,Phase_5_Exaggerated
676421,1858,1847,RIGHT,Phase_5_Exaggerated
676425,1860,1853,RIGHT,Phase_5_Exaggerated
676429,1870,1849,RIGHT,Phase_5_Exaggerated
676433,1883,1857,RIGHT,Phase_5_Exaggerated
676437,1885,1878,RIGHT,Phase_5_Exaggerated
676441,1874,1895,RIGHT,Phase_5_Exaggerated
676445,1856,1841,RIGHT,Phase_5_Exaggerated
676449,1878,1808,RIGHT,Phase_5_Exaggerated
676453,1883,1807,RIGHT,Phase_5_Exaggerated
676457,1877,1824,RIGHT,Phase_5_Exaggerated
676461,1858,1853,RIGHT,Phase_5_Exaggerated
676465,1857,1872,RIGHT,Phase_5_Exaggerated
