Timestamp,CH1,CH2,Label,Phase
162797,1984,1840,SILENCE,Phase_5_Exaggerated
162801,1984,1835,SILENCE,Phase_5_Exaggerated
162805,1975,1846,SILENCE,Phase_5_Exaggerated
162809,1968,1818,SILENCE,Phase_5_Exaggerated
162813,1968,1827,SILENCE,Phase_5_Exaggerated
162817,1969,1841,SILENCE,Phase_5_Exaggerated
162821,1969,1838,SILENCE,Phase_5_Exaggerated
162825,1965,1842,SILENCE,Phase_5_Exaggerated
162829,1968,1840,SILENCE,Phase_5_Exaggerated
162833,1972,1847,SILENCE,Phase_5_Exaggerated
162837,1968,1841,SILENCE,Phase_5_Exaggerated
162841,1965,1843,SILENCE,Phase_5_Exaggerated
162845,1970,1843,SILENCE,Phase_5_Exaggerated
162849,1979,1838,SILENCE,Phase_5_Exaggerated
162853,1981,1840,SILENCE,Phase_5_Exaggerated
162857,1983,1835,SILENCE,Phase_5_Exaggerated
162861,1985,1856,SILENCE,Phase_5_Exaggerated
162865,1984,1839,SILENCE,Phase_5_Exaggerated
162869,1986,1828,SILENCE,Phase_5_Exaggerated
162873,1986,1831,SILENCE,Phase_5_Exaggerated
162877,1990,1840,SILENCE,Phase_5_Exaggerated
162881,1984,1843,SILENCE,Phase_5_Exaggerated
162885,1987,1847,SILENCE,Phase_5_Exaggerated
162889,1998,1845,SILENCE,Phase_5_Exaggerated
162893,2001,1840,SILENCE,Phase_5_Exaggerated
162897,1997,1827,SILENCE,Phase_5_Exaggerated
162901,1985,1815,SILENCE,Phase_5_Exaggerated
162905,1985,1826,SILENCE,Phase_5_Exaggerated
162909,1994,1849,SILENCE,Phase_5_Exaggerated
162913,2000,1856,SILENCE,Phase_5_Exaggerated
162917,1997,1837,SILENCE,Phase_5_Exaggerated
162921,1999,1821,SILENCE,Phase_5_Exaggerated
162925,2002,1819,SILENCE,Phase_5_Exaggerated
162929,2000,1835,SILENCE,Phase_5_Exaggerated
162933,1997,1835,SILENCE,Phase_5_Exaggerated
162937,1996,1837,SILENCE,Phase_5_Exaggerated
162941,1997,1836,SILENCE,Phase_5_Exaggerated
162945,2003,1851,SILENCE,Phase_5_Exaggerated
162949,2003,1858,SILENCE,Phase_5_Exaggerated
162953,2000,1859,SILENCE,Phase_5_Exaggerated
162957,2001,1856,SILENCE,Phase_5_Exaggerated
162961,2001,1836,SILENCE,Phase_5_Exaggerated
162965,1971,1811,SILENCE,Phase_5_Exaggerated
162969,1973,1829,SILENCE,Phase_5_Exaggerated
162973,1993,1846,SILENCE,Phase_5_Exaggerated
162977,1995,1859,SILENCE,Phase_5_Exaggerated
162981,1994,1855,SILENCE,Phase_5_Exaggerated
162985,1996,1859,SILENCE,Phase_5_Exaggerated
162989,1995,1856,SILENCE,Phase_5_Exaggerated
162993,1987,1842,SILENCE,Phase_5_Exaggerated
162997,1975,1829,SILENCE,Phase_5_Exaggerated
163001,1964,1823,SILENCE,Phase_5_Exaggerated
163005,1946,1808,SILENCE,Phase_5_Exaggerated
163009,1929,1793,SILENCE,Phase_5_Exaggerated
163013,1913,1790,SILENCE,Phase_5_Exaggerated
163017,1902,1777,SILENCE,Phase_5_Exaggerated
163021,1898,1783,SILENCE,Phase_5_Exaggerated
163025,1904,1795,SILENCE,Phase_5_Exaggerated
163029,1925,1810,SILENCE,Phase_5_Exaggerated
163033,1934,1829,SILENCE,Phase_5_Exaggerated
163037,1925,1831,SILENCE,Phase_5_Exaggerated
163041,1924,1856,SILENCE,Phase_5_Exaggerated
163045,1921,1835,SILENCE,Phase_5_Exaggerated
163049,1926,1825,SILENCE,Phase_5_Exaggerated
163053,1939,1827,SILENCE,Phase_5_Exaggerated
163057,1955,1831,SILENCE,Phase_5_Exaggerated
163061,1965,1823,SILENCE,Phase_5_Exaggerated
163065,1968,1808,SILENCE,Phase_5_Exaggerated
163069,1952,1823,SILENCE,Phase_5_Exaggerated
163073,1945,1821,SILENCE,Phase_5_Exaggerated
163077,1950,1837,SILENCE,Phase_5_Exaggerated
163081,1957,1840,SILENCE,Phase_5_Exaggerated
163085,1981,1826,SILENCE,Phase_5_Exaggerated
163089,1989,1827,SILENCE,Phase_5_Exaggerated
163093,1959,1827,SILENCE,Phase_5_Exaggerated
163097,1942,1836,SILENCE,Phase_5_Exaggerated
163101,1967,1823,SILENCE,Phase_5_Exaggerated
163105,1984,1829,SILENCE,Phase_5_Exaggerated
163109,1987,1834,SILENCE,Phase_5_Exaggerated
163113,1994,1839,SILENCE,Phase_5_Exaggerated
163117,2000,1846,SILENCE,Phase_5_Exaggerated
163121,2003,1861,SILENCE,Phase_5_Exaggerated
163125,2013,1869,SILENCE,Phase_5_Exaggerated
163129,2014,1857,SILENCE,Phase_5_Exaggerated
163133,2017,1849,SILENCE,Phase_5_Exaggerated
163137,2032,1857,SILENCE,Phase_5_Exaggerated
163141,2032,1869,SILENCE,Phase_5_Exaggerated
163145,2015,1872,SILENCE,Phase_5_Exaggerated
163149,2018,1872,SILENCE,Phase_5_Exaggerated
163153,2039,1884,SILENCE,Phase_5_Exaggerated
163157,2039,1888,SILENCE,Phase_5_Exaggerated
163161,2055,1900,SILENCE,Phase_5_Exaggerated
163165,2061,1909,SILENCE,Phase_5_Exaggerated
163169,2047,1909,SILENCE,Phase_5_Exaggerated
163173,2047,1905,SILENCE,Phase_5_Exaggerated
163177,2061,1905,SILENCE,Phase_5_Exaggerated
163181,2067,1913,SILENCE,Phase_5_Exaggerated
163185,2075,1916,SILENCE,Phase_5_Exaggerated
163189,2085,1920,SILENCE,Phase_5_Exaggerated
163193,2091,1931,SILENCE,Phase_5_Exaggerated
163197,2086,1929,SILENCE,Phase_5_Exaggerated
163201,2075,1922,SILENCE,Phase_5_Exaggerated
163205,2064,1918,SILENCE,Phase_5_Exaggerated
163209,2066,1909,SILENCE,Phase_5_Exaggerated
163213,2078,1909,SILENCE,Phase_5_Exaggerated
163217,2080,1918,SILENCE,Phase_5_Exaggerated
163221,2083,1936,SILENCE,Phase_5_Exaggerated
163225,2077,1941,SILENCE,Phase_5_Exaggerated
163229,2073,1931,SILENCE,Phase_5_Exaggerated
163233,2083,1933,SILENCE,Phase_5_Exaggerated
163237,2085,1914,SILENCE,Phase_5_Exaggerated
163241,2069,1890,SILENCE,Phase_5_Exaggerated
163245,2065,1882,SILENCE,Phase_5_Exaggerated
163249,2068,1895,SILENCE,Phase_5_Exaggerated
163253,2068,1924,SILENCE,Phase_5_Exaggerated
163257,2064,1935,SILENCE,Phase_5_Exaggerated
163261,2071,1937,SILENCE,Phase_5_Exaggerated
163265,2064,1914,SILENCE,Phase_5_Exaggerated
163269,2063,1926,SILENCE,Phase_5_Exaggerated
163273,2059,1936,SILENCE,Phase_5_Exaggerated
163277,2059,1939,SILENCE,Phase_5_Exaggerated
163281,2064,1953,SILENCE,Phase_5_Exaggerated
163285,2066,1942,SILENCE,Phase_5_Exaggerated
163289,2065,1950,SILENCE,Phase_5_Exaggerated
163293,2068,1943,SILENCE,Phase_5_Exaggerated
163297,2073,1938,SILENCE,Phase_5_Exaggerated
163301,2075,1949,SILENCE,Phase_5_Exaggerated
163305,2075,1950,SILENCE,Phase_5_Exaggerated
163309,2075,1947,SILENCE,Phase_5_Exaggerated
163313,2070,1930,SILENCE,Phase_5_Exaggerated
163317,2070,1929,SILENCE,Phase_5_Exaggerated
163321,2080,1936,SILENCE,Phase_5_Exaggerated
163325,2083,1948,SILENCE,Phase_5_Exaggerated
163329,2087,1952,SILENCE,Phase_5_Exaggerated
163333,2093,1979,SILENCE,Phase_5_Exaggerated
163337,2097,1955,SILENCE,Phase_5_Exaggerated
163341,2096,1949,SILENCE,Phase_5_Exaggerated
163345,2083,1945,SILENCE,Phase_5_Exaggerated
163349,2074,1941,SILENCE,Phase_5_Exaggerated
163353,2066,1946,SILENCE,Phase_5_Exaggerated
163357,2077,1959,SILENCE,Phase_5_Exaggerated
163361,2071,1963,SILENCE,Phase_5_Exaggerated
163365,2067,1955,SILENCE,Phase_5_Exaggerated
163369,2064,1946,SILENCE,Phase_5_Exaggerated
163373,2058,1939,SILENCE,Phase_5_Exaggerated
163377,2053,1946,SILENCE,Phase_5_Exaggerated
163381,2061,1957,SILENCE,Phase_5_Exaggerated
163385,2064,1959,SILENCE,Phase_5_Exaggerated
163389,2065,1955,SILENCE,Phase_5_Exaggerated
