Timestamp,CH1,CH2,Label,Phase
260157,2158,1986,UP,Phase_5_Exaggerated
260161,2155,2022,UP,Phase_5_Exaggerated
260165,2135,2002,UP,Phase_5_Exaggerated
260169,2132,2000,UP,Phase_5_Exaggerated
260173,2139,1980,UP,Phase_5_Exaggerated
260177,2169,1962,UP,Phase_5_Exaggerated
260181,2195,1993,UP,Phase_5_Exaggerated
260185,2165,1984,UP,Phase_5_Exaggerated
260189,2101,1958,UP,Phase_5_Exaggerated
260193,2007,1930,UP,Phase_5_Exaggerated
260197,2149,1994,UP,Phase_5_Exaggerated
260201,2145,2055,UP,Phase_5_Exaggerated
260205,2144,2123,UP,Phase_5_Exaggerated
260209,2116,2033,UP,Phase_5_Exaggerated
260213,2096,2007,UP,Phase_5_Exaggerated
260217,2145,2077,UP,Phase_5_Exaggerated
260221,2172,2103,UP,Phase_5_Exaggerated
260225,2187,2080,UP,Phase_5_Exaggerated
260229,2110,2037,UP,Phase_5_Exaggerated
260233,2127,2014,UP,Phase_5_Exaggerated
260237,2165,2005,UP,Phase_5_Exaggerated
260241,2112,2003,UP,Phase_5_Exaggerated
260245,2083,2026,UP,Phase_5_Exaggerated
260249,2112,2085,UP,Phase_5_Exaggerated
260253,2093,2081,UP,Phase_5_Exaggerated
260257,2032,2010,UP,Phase_5_Exaggerated
260261,2017,1963,UP,Phase_5_Exaggerated
260265,2081,2015,UP,Phase_5_Exaggerated
260269,2139,2127,UP,Phase_5_Exaggerated
260273,2158,2126,UP,Phase_5_Exaggerated
260277,2150,2063,UP,Phase_5_Exaggerated
260281,2096,1991,UP,Phase_5_Exaggerated
260285,2069,1987,UP,Phase_5_Exaggerated
260289,2059,1989,UP,Phase_5_Exaggerated
260293,2019,1988,UP,Phase_5_Exaggerated
260297,2033,1991,UP,Phase_5_Exaggerated
260301,2023,1983,UP,Phase_5_Exaggerated
260305,2019,1999,UP,Phase_5_Exaggerated
260309,2086,2064,UP,Phase_5_Exaggerated
260313,2122,2090,UP,Phase_5_Exaggerated
260317,2063,2030,UP,Phase_5_Exaggerated
260321,2034,2019,UP,Phase_5_Exaggerated
260325,2053,2000,UP,Phase_5_Exaggerated
260329,2085,1969,UP,Phase_5_Exaggerated
260333,2087,1970,UP,Phase_5_Exaggerated
260337,2067,1969,UP,Phase_5_Exaggerated
260341,2042,2004,UP,Phase_5_Exaggerated
260345,1984,2003,UP,Phase_5_Exaggerated
260349,1981,1972,UP,Phase_5_Exaggerated
260353,2065,2000,UP,Phase_5_Exaggerated
260357,2102,2033,UP,Phase_5_Exaggerated
260361,2055,1991,UP,Phase_5_Exaggerated
260365,1985,1936,UP,Phase_5_Exaggerated
260369,1968,1945,UP,Phase_5_Exaggerated
260373,2015,1996,UP,Phase_5_Exaggerated
260377,2047,2019,UP,Phase_5_Exaggerated
260381,2091,2017,UP,Phase_5_Exaggerated
260385,2030,1994,UP,Phase_5_Exaggerated
260389,2064,1964,UP,Phase_5_Exaggerated
260393,2027,1931,UP,Phase_5_Exaggerated
260397,1961,1899,UP,Phase_5_Exaggerated
260401,1979,1919,UP,Phase_5_Exaggerated
260405,2005,1969,UP,Phase_5_Exaggerated
260409,1985,1966,UP,Phase_5_Exaggerated
260413,2018,1959,UP,Phase_5_Exaggerated
260417,2042,1962,UP,Phase_5_Exaggerated
260421,2005,1943,UP,Phase_5_Exaggerated
260425,1968,1936,UP,Phase_5_Exaggerated
260429,2001,1954,UP,Phase_5_Exaggerated
260433,1995,1974,UP,Phase_5_Exaggerated
