Timestamp,CH1,CH2,Label,Phase
435225,1943,1882,DOWN,Phase_1_Overt
435229,1934,1886,DOWN,Phase_1_Overt
435233,1941,1877,DOWN,Phase_1_Overt
435237,1943,1904,DOWN,Phase_1_Overt
435241,1935,1888,DOWN,Phase_1_Overt
435245,1937,1917,DOWN,Phase_1_Overt
435249,1933,1914,DOWN,Phase_1_Overt
435253,1890,1904,DOWN,Phase_1_Overt
435257,1936,1902,DOWN,Phase_1_Overt
435261,1926,1888,DOWN,Phase_1_Overt
435265,1910,1889,DOWN,Phase_1_Overt
435269,1925,1902,DOWN,Phase_1_Overt
435273,1920,1905,DOWN,Phase_1_Overt
435277,1917,1911,DOWN,Phase_1_Overt
435281,1906,1914,DOWN,Phase_1_Overt
435285,1907,1918,DOWN,Phase_1_Overt
435289,1907,1913,DOWN,Phase_1_Overt
435293,1917,1918,DOWN,Phase_1_Overt
435297,1894,1931,DOWN,Phase_1_Overt
435301,1919,1924,DOWN,Phase_1_Overt
435305,1918,1920,DOWN,Phase_1_Overt
435309,1910,1918,DOWN,Phase_1_Overt
435313,1885,1919,DOWN,Phase_1_Overt
435317,1889,1904,DOWN,Phase_1_Overt
435321,1886,1890,DOWN,Phase_1_Overt
435325,1895,1883,DOWN,Phase_1_Overt
435329,1907,1904,DOWN,Phase_1_Overt
435333,1902,1914,DOWN,Phase_1_Overt
435337,1899,1911,DOWN,Phase_1_Overt
435341,1891,1915,DOWN,Phase_1_Overt
435345,1894,1916,DOWN,Phase_1_Overt
435349,1909,1915,DOWN,Phase_1_Overt
435353,1918,1914,DOWN,Phase_1_Overt
435357,1920,1918,DOWN,Phase_1_Overt
435361,1925,1914,DOWN,Phase_1_Overt
435365,1920,1908,DOWN,Phase_1_Overt
435369,1907,1911,DOWN,Phase_1_Overt
435373,1904,1922,DOWN,Phase_1_Overt
435377,1916,1939,DOWN,Phase_1_Overt
435381,1920,1940,DOWN,Phase_1_Overt
435385,1921,1922,DOWN,Phase_1_Overt
435389,1923,1901,DOWN,Phase_1_Overt
435393,1930,1904,DOWN,Phase_1_Overt
435397,1903,1921,DOWN,Phase_1_Overt
435401,1889,1936,DOWN,Phase_1_Overt
435405,1919,1931,DOWN,Phase_1_Overt
435409,1962,1906,DOWN,Phase_1_Overt
435413,1968,1902,DOWN,Phase_1_Overt
435417,1964,1894,DOWN,Phase_1_Overt
435421,1951,1893,DOWN,Phase_1_Overt
435425,1945,1881,DOWN,Phase_1_Overt
435429,1927,1886,DOWN,Phase_1_Overt
435433,1920,1909,DOWN,Phase_1_Overt
435437,1919,1916,DOWN,Phase_1_Overt
435441,1934,1889,DOWN,Phase_1_Overt
435445,1935,1893,DOWN,Phase_1_Overt
435449,1917,1887,DOWN,Phase_1_Overt
435453,1885,1877,DOWN,Phase_1_Overt
435457,1871,1870,DOWN,Phase_1_Overt
435461,1899,1884,DOWN,Phase_1_Overt
435465,1939,1875,DOWN,Phase_1_Overt
435469,1945,1893,DOWN,Phase_1_Overt
435473,1920,1873,DOWN,Phase_1_Overt
435477,1915,1884,DOWN,Phase_1_Overt
435481,1905,1886,DOWN,Phase_1_Overt
435485,1903,1889,DOWN,Phase_1_Overt
435489,1875,1850,DOWN,Phase_1_Overt
435493,1881,1855,DOWN,Phase_1_Overt
435497,1889,1861,DOWN,Phase_1_Overt
435501,1861,1844,DOWN,Phase_1_Overt
435505,1876,1839,DOWN,Phase_1_Overt
435509,1912,1844,DOWN,Phase_1_Overt
435513,1907,1859,DOWN,Phase_1_Overt
435517,1925,1867,DOWN,Phase_1_Overt
435521,1953,1871,DOWN,Phase_1_Overt
435525,1962,1861,DOWN,Phase_1_Overt
435529,1946,1854,DOWN,Phase_1_Overt
435533,1917,1855,DOWN,Phase_1_Overt
435537,1830,1872,DOWN,Phase_1_Overt
435541,1819,1851,DOWN,Phase_1_Overt
435545,1846,1852,DOWN,Phase_1_Overt
435549,1750,1836,DOWN,Phase_1_Overt
435553,1835,1837,DOWN,Phase_1_Overt
435557,1981,1841,DOWN,Phase_1_Overt
435561,1967,1874,DOWN,Phase_1_Overt
435565,1989,1830,DOWN,Phase_1_Overt
435569,1872,1827,DOWN,Phase_1_Overt
435573,1712,1818,DOWN,Phase_1_Overt
435577,1630,1850,DOWN,Phase_1_Overt
435581,1793,1830,DOWN,Phase_1_Overt
435585,2098,1793,DOWN,Phase_1_Overt
435589,2211,1759,DOWN,Phase_1_Overt
435593,2079,1714,DOWN,Phase_1_Overt
435597,1920,1705,DOWN,Phase_1_Overt
435601,1808,1751,DOWN,Phase_1_Overt
435605,1835,1767,DOWN,Phase_1_Overt
435609,1899,1733,DOWN,Phase_1_Overt
435613,1914,1701,DOWN,Phase_1_Overt
435617,1893,1725,DOWN,Phase_1_Overt
435621,1867,1728,DOWN,Phase_1_Overt
435625,1841,1723,DOWN,Phase_1_Overt
435629,1778,1715,DOWN,Phase_1_Overt
435633,1728,1692,DOWN,Phase_1_Overt
435637,1769,1678,DOWN,Phase_1_Overt
435641,1835,1680,DOWN,Phase_1_Overt
435645,1867,1651,DOWN,Phase_1_Overt
435649,1858,1660,DOWN,Phase_1_Overt
435653,1795,1640,DOWN,Phase_1_Overt
435657,1675,1615,DOWN,Phase_1_Overt
435661,1645,1643,DOWN,Phase_1_Overt
435665,1744,1638,DOWN,Phase_1_Overt
435669,1853,1616,DOWN,Phase_1_Overt
435673,1874,1574,DOWN,Phase_1_Overt
435677,1851,1572,DOWN,Phase_1_Overt
435681,1801,1571,DOWN,Phase_1_Overt
435685,1747,1577,DOWN,Phase_1_Overt
435689,1721,1585,DOWN,Phase_1_Overt
435693,1718,1605,DOWN,Phase_1_Overt
435697,1727,1616,DOWN,Phase_1_Overt
435701,1759,1609,DOWN,Phase_1_Overt
435705,1807,1600,DOWN,Phase_1_Overt
435709,1830,1616,DOWN,Phase_1_Overt
