Timestamp,CH1,CH2,Label,Phase
678961,2023,2018,LEFT,Phase_1_Overt
678965,2036,1990,LEFT,Phase_1_Overt
678969,2044,1997,LEFT,Phase_1_Overt
678973,2032,2007,LEFT,Phase_1_Overt
678977,2031,2032,LEFT,Phase_1_Overt
678981,2018,2032,LEFT,Phase_1_Overt
678985,2027,2032,LEFT,Phase_1_Overt
678989,2029,2025,LEFT,Phase_1_Overt
678993,2019,2020,LEFT,Phase_1_Overt
678997,2019,2000,LEFT,Phase_1_Overt
679001,2000,2000,LEFT,Phase_1_Overt
679005,2030,1972,LEFT,Phase_1_Overt
679009,2015,1968,LEFT,Phase_1_Overt
679013,2017,1991,LEFT,Phase_1_Overt
679017,2025,1984,LEFT,Phase_1_Overt
679021,2019,1986,LEFT,Phase_1_Overt
679025,2007,2007,LEFT,Phase_1_Overt
679029,2009,2031,LEFT,Phase_1_Overt
679033,2000,2038,LEFT,Phase_1_Overt
679037,1999,2029,LEFT,Phase_1_Overt
679041,2000,2006,LEFT,Phase_1_Overt
679045,2000,1985,LEFT,Phase_1_Overt
679049,2007,1978,LEFT,Phase_1_Overt
679053,1995,1984,LEFT,Phase_1_Overt
679057,1988,1988,LEFT,Phase_1_Overt
679061,1984,2000,LEFT,Phase_1_Overt
679065,1971,2002,LEFT,Phase_1_Overt
679069,1991,2000,LEFT,Phase_1_Overt
679073,1999,1988,LEFT,Phase_1_Overt
679077,1998,1989,LEFT,Phase_1_Overt
679081,1987,1984,LEFT,Phase_1_Overt
679085,1968,1982,LEFT,Phase_1_Overt
679089,1956,1977,LEFT,Phase_1_Overt
679093,1968,1962,LEFT,Phase_1_Overt
679097,1982,1973,LEFT,Phase_1_Overt
679101,1972,2003,LEFT,Phase_1_Overt
679105,1966,1973,LEFT,Phase_1_Overt
679109,1967,1917,LEFT,Phase_1_Overt
679113,1949,1895,LEFT,Phase_1_Overt
679117,1951,1934,LEFT,Phase_1_Overt
679121,1961,1971,LEFT,Phase_1_Overt
679125,1961,1965,LEFT,Phase_1_Overt
679129,1947,1939,LEFT,Phase_1_Overt
679133,1963,1917,LEFT,Phase_1_Overt
679137,1957,1907,LEFT,Phase_1_Overt
679141,1949,1915,LEFT,Phase_1_Overt
679145,1936,1936,LEFT,Phase_1_Overt
679149,1938,1957,LEFT,Phase_1_Overt
679153,1951,1934,LEFT,Phase_1_Overt
679157,1933,1942,LEFT,Phase_1_Overt
679161,1914,1945,LEFT,Phase_1_Overt
679165,1921,1904,LEFT,Phase_1_Overt
679169,1935,1875,LEFT,Phase_1_Overt
679173,1933,1872,LEFT,Phase_1_Overt
679177,1930,1904,LEFT,Phase_1_Overt
679181,1942,1950,LEFT,Phase_1_Overt
679185,1941,1943,LEFT,Phase_1_Overt
679189,1938,1923,LEFT,Phase_1_Overt
679193,1937,1918,LEFT,Phase_1_Overt
679197,1923,1917,LEFT,Phase_1_Overt
679201,1905,1933,LEFT,Phase_1_Overt
679205,1908,1948,LEFT,Phase_1_Overt
679209,1927,1984,LEFT,Phase_1_Overt
679213,1920,1969,LEFT,Phase_1_Overt
679217,1915,1942,LEFT,Phase_1_Overt
679221,1904,1921,LEFT,Phase_1_Overt
679225,1902,1911,LEFT,Phase_1_Overt
679229,1897,1934,LEFT,Phase_1_Overt
679233,1890,1967,LEFT,Phase_1_Overt
679237,1884,1999,LEFT,Phase_1_Overt
679241,1873,1991,LEFT,Phase_1_Overt
679245,1872,1995,LEFT,Phase_1_Overt
679249,1855,1985,LEFT,Phase_1_Overt
679253,1863,1980,LEFT,Phase_1_Overt
679257,1857,1991,LEFT,Phase_1_Overt
679261,1833,1998,LEFT,Phase_1_Overt
679265,1834,1970,LEFT,Phase_1_Overt
679269,1840,1962,LEFT,Phase_1_Overt
679273,1852,1950,LEFT,Phase_1_Overt
679277,1830,1987,LEFT,Phase_1_Overt
679281,1804,1999,LEFT,Phase_1_Overt
679285,1810,2016,LEFT,Phase_1_Overt
