Timestamp,CH1,CH2,Label,Phase
359777,1923,1900,NOISE,Phase_1_Overt
359781,1920,1908,NOISE,Phase_1_Overt
359785,1909,1917,NOISE,Phase_1_Overt
359789,1899,1893,NOISE,Phase_1_Overt
359793,1891,1872,NOISE,Phase_1_Overt
359797,1888,1850,NOISE,Phase_1_Overt
359801,1888,1843,NOISE,Phase_1_Overt
359805,1893,1825,NOISE,Phase_1_Overt
359809,1904,1873,NOISE,Phase_1_Overt
359813,1901,1931,NOISE,Phase_1_Overt
359817,1885,1911,NOISE,Phase_1_Overt
359821,1879,1847,NOISE,Phase_1_Overt
359825,1890,1851,NOISE,Phase_1_Overt
359829,1890,1883,NOISE,Phase_1_Overt
359833,1899,1913,NOISE,Phase_1_Overt
359837,1899,1882,NOISE,Phase_1_Overt
359841,1896,1873,NOISE,Phase_1_Overt
359845,1878,1856,NOISE,Phase_1_Overt
359849,1892,1841,NOISE,Phase_1_Overt
359853,1901,1879,NOISE,Phase_1_Overt
359857,1902,1936,NOISE,Phase_1_Overt
359861,1916,1970,NOISE,Phase_1_Overt
359865,1894,2000,NOISE,Phase_1_Overt
359869,1915,1979,NOISE,Phase_1_Overt
359873,1930,1920,NOISE,Phase_1_Overt
359877,1923,1982,NOISE,Phase_1_Overt
359881,1887,1938,NOISE,Phase_1_Overt
359885,1874,1783,NOISE,Phase_1_Overt
359889,1859,1697,NOISE,Phase_1_Overt
359893,1870,1716,NOISE,Phase_1_Overt
359897,1872,1850,NOISE,Phase_1_Overt
359901,1827,1757,NOISE,Phase_1_Overt
359905,1792,1578,NOISE,Phase_1_Overt
359909,1799,1631,NOISE,Phase_1_Overt
359913,1769,1747,NOISE,Phase_1_Overt
359917,1748,1627,NOISE,Phase_1_Overt
359921,1712,1713,NOISE,Phase_1_Overt
359925,1751,1789,NOISE,Phase_1_Overt
359929,1802,1619,NOISE,Phase_1_Overt
359933,1903,1359,NOISE,Phase_1_Overt
359937,1801,1328,NOISE,Phase_1_Overt
359941,1463,1408,NOISE,Phase_1_Overt
359945,1482,1735,NOISE,Phase_1_Overt
359949,1646,1851,NOISE,Phase_1_Overt
359953,1857,1695,NOISE,Phase_1_Overt
359957,2187,1396,NOISE,Phase_1_Overt
359961,1945,1392,NOISE,Phase_1_Overt
359965,1467,1472,NOISE,Phase_1_Overt
359969,1598,1685,NOISE,Phase_1_Overt
359973,2109,1904,NOISE,Phase_1_Overt
359977,2203,2543,NOISE,Phase_1_Overt
359981,2112,2415,NOISE,Phase_1_Overt
359985,2029,1776,NOISE,Phase_1_Overt
359989,1915,1209,NOISE,Phase_1_Overt
359993,1598,1348,NOISE,Phase_1_Overt
359997,1479,1786,NOISE,Phase_1_Overt
360001,1758,2004,NOISE,Phase_1_Overt
360005,2069,1941,NOISE,Phase_1_Overt
360009,2219,1778,NOISE,Phase_1_Overt
360013,2151,1782,NOISE,Phase_1_Overt
360017,1964,1918,NOISE,Phase_1_Overt
360021,1753,2095,NOISE,Phase_1_Overt
360025,1475,2107,NOISE,Phase_1_Overt
360029,1475,2188,NOISE,Phase_1_Overt
360033,1661,2285,NOISE,Phase_1_Overt
360037,1785,2219,NOISE,Phase_1_Overt
360041,1821,2230,NOISE,Phase_1_Overt
360045,1791,2289,NOISE,Phase_1_Overt
360049,1747,2387,NOISE,Phase_1_Overt
360053,1700,2418,NOISE,Phase_1_Overt
360057,1638,2434,NOISE,Phase_1_Overt
360061,1669,2452,NOISE,Phase_1_Overt
360065,1742,2429,NOISE,Phase_1_Overt
360069,1743,2310,NOISE,Phase_1_Overt
360073,1745,2299,NOISE,Phase_1_Overt
360077,1743,2291,NOISE,Phase_1_Overt
360081,1741,2227,NOISE,Phase_1_Overt
360085,1730,2145,NOISE,Phase_1_Overt
360089,1691,2032,NOISE,Phase_1_Overt
360093,1711,1998,NOISE,Phase_1_Overt
360097,1723,2149,NOISE,Phase_1_Overt
360101,1725,2166,NOISE,Phase_1_Overt
360105,1746,2066,NOISE,Phase_1_Overt
360109,1819,1882,NOISE,Phase_1_Overt
360113,1885,1778,NOISE,Phase_1_Overt
360117,1907,1761,NOISE,Phase_1_Overt
360121,1903,1820,NOISE,Phase_1_Overt
360125,1856,1894,NOISE,Phase_1_Overt
360129,1841,2037,NOISE,Phase_1_Overt
360133,1847,1990,NOISE,Phase_1_Overt
360137,1853,1855,NOISE,Phase_1_Overt
360141,1873,1764,NOISE,Phase_1_Overt
360145,1872,1794,NOISE,Phase_1_Overt
360149,1842,1857,NOISE,Phase_1_Overt
360153,1891,1814,NOISE,Phase_1_Overt
360157,1899,1775,NOISE,Phase_1_Overt
360161,1898,1776,NOISE,Phase_1_Overt
360165,1925,1779,NOISE,Phase_1_Overt
360169,1909,1792,NOISE,Phase_1_Overt
360173,1904,1909,NOISE,Phase_1_Overt
360177,1881,1921,NOISE,Phase_1_Overt
360181,1877,1851,NOISE,Phase_1_Overt
360185,1898,1757,NOISE,Phase_1_Overt
360189,1904,1689,NOISE,Phase_1_Overt
360193,1872,1734,NOISE,Phase_1_Overt
360197,1885,1803,NOISE,Phase_1_Overt
360201,1934,1862,NOISE,Phase_1_Overt
360205,1959,1894,NOISE,Phase_1_Overt
360209,1981,1811,NOISE,Phase_1_Overt
360213,1985,1728,NOISE,Phase_1_Overt
360217,1981,1777,NOISE,Phase_1_Overt
360221,1966,1802,NOISE,Phase_1_Overt
360225,1979,1808,NOISE,Phase_1_Overt
360229,2006,1793,NOISE,Phase_1_Overt
360233,2019,1958,NOISE,Phase_1_Overt
360237,2033,2017,NOISE,Phase_1_Overt
360241,2037,1963,NOISE,Phase_1_Overt
360245,2043,1915,NOISE,Phase_1_Overt
360249,2026,1825,NOISE,Phase_1_Overt
360253,2022,1875,NOISE,Phase_1_Overt
360257,2015,1979,NOISE,Phase_1_Overt
360261,2006,1942,NOISE,Phase_1_Overt
360265,1989,1862,NOISE,Phase_1_Overt
360269,2017,1984,NOISE,Phase_1_Overt
360273,2097,2176,NOISE,Phase_1_Overt
360277,2170,2074,NOISE,Phase_1_Overt
360281,2154,1866,NOISE,Phase_1_Overt
360285,2131,1822,NOISE,Phase_1_Overt
360289,2112,1850,NOISE,Phase_1_Overt
360293,2074,1933,NOISE,Phase_1_Overt
360297,2022,2074,NOISE,Phase_1_Overt
360301,1984,2000,NOISE,Phase_1_Overt
360305,1942,1853,NOISE,Phase_1_Overt
360309,1899,1802,NOISE,Phase_1_Overt
360313,1882,1974,NOISE,Phase_1_Overt
360317,1893,2158,NOISE,Phase_1_Overt
360321,1874,2149,NOISE,Phase_1_Overt
360325,1958,1872,NOISE,Phase_1_Overt
360329,2155,1711,NOISE,Phase_1_Overt
360333,2288,1727,NOISE,Phase_1_Overt
360337,2230,1797,NOISE,Phase_1_Overt
360341,2104,1903,NOISE,Phase_1_Overt
360345,2067,2042,NOISE,Phase_1_Overt
360349,2071,2095,NOISE,Phase_1_Overt
360353,2042,2114,NOISE,Phase_1_Overt
360357,2061,2091,NOISE,Phase_1_Overt
360361,2062,1976,NOISE,Phase_1_Overt
360365,1886,1889,NOISE,Phase_1_Overt
360369,1931,1904,NOISE,Phase_1_Overt
360373,2147,1927,NOISE,Phase_1_Overt
360377,2259,1989,NOISE,Phase_1_Overt
360381,2224,1936,NOISE,Phase_1_Overt
360385,2156,1943,NOISE,Phase_1_Overt
360389,2078,1975,NOISE,Phase_1_Overt
360393,2031,1957,NOISE,Phase_1_Overt
360397,1986,1941,NOISE,Phase_1_Overt
360401,1974,2001,NOISE,Phase_1_Overt
360405,1999,2003,NOISE,Phase_1_Overt
360409,1968,2079,NOISE,Phase_1_Overt
360413,1940,2034,NOISE,Phase_1_Overt
360417,1983,2011,NOISE,Phase_1_Overt
360421,1981,1984,NOISE,Phase_1_Overt
360425,1970,1872,NOISE,Phase_1_Overt
360429,1975,1887,NOISE,Phase_1_Overt
360433,2004,1949,NOISE,Phase_1_Overt
360437,2047,1970,NOISE,Phase_1_Overt
360441,2007,2060,NOISE,Phase_1_Overt
360445,2019,2062,NOISE,Phase_1_Overt
360449,2003,1876,NOISE,Phase_1_Overt
