Timestamp,CH1,CH2,Label,Phase
694717,1938,2064,RIGHT,Phase_1_Overt
694721,1937,2046,RIGHT,Phase_1_Overt
694725,1947,2045,RIGHT,Phase_1_Overt
694729,1971,2033,RIGHT,Phase_1_Overt
694733,1974,2042,RIGHT,Phase_1_Overt
694737,1961,2084,RIGHT,Phase_1_Overt
694741,1968,2097,RIGHT,Phase_1_Overt
694745,1978,2112,RIGHT,Phase_1_Overt
694749,1990,2125,RIGHT,Phase_1_Overt
694753,1992,2149,RIGHT,Phase_1_Overt
694757,2011,2157,RIGHT,Phase_1_Overt
694761,2035,2128,RIGHT,Phase_1_Overt
694765,2017,2096,RIGHT,Phase_1_Overt
694769,2034,2071,RIGHT,Phase_1_Overt
694773,2027,2070,RIGHT,Phase_1_Overt
694777,2003,2080,RIGHT,Phase_1_Overt
694781,2002,2065,RIGHT,Phase_1_Overt
694785,2001,2039,RIGHT,Phase_1_Overt
694789,2015,2059,RIGHT,Phase_1_Overt
694793,2003,2042,RIGHT,Phase_1_Overt
694797,2014,2011,RIGHT,Phase_1_Overt
694801,1998,1978,RIGHT,Phase_1_Overt
694805,2000,1963,RIGHT,Phase_1_Overt
694809,2015,1973,RIGHT,Phase_1_Overt
694813,2010,1979,RIGHT,Phase_1_Overt
694817,2000,1973,RIGHT,Phase_1_Overt
694821,1986,1969,RIGHT,Phase_1_Overt
694825,2000,1968,RIGHT,Phase_1_Overt
694829,1990,1956,RIGHT,Phase_1_Overt
694833,1987,1959,RIGHT,Phase_1_Overt
694837,2009,1963,RIGHT,Phase_1_Overt
694841,2046,1957,RIGHT,Phase_1_Overt
694845,2061,1955,RIGHT,Phase_1_Overt
694849,2011,1987,RIGHT,Phase_1_Overt
694853,1975,2018,RIGHT,Phase_1_Overt
694857,1985,2030,RIGHT,Phase_1_Overt
694861,2006,1999,RIGHT,Phase_1_Overt
694865,2039,1929,RIGHT,Phase_1_Overt
694869,2081,1866,RIGHT,Phase_1_Overt
694873,2070,1809,RIGHT,Phase_1_Overt
694877,2055,1777,RIGHT,Phase_1_Overt
694881,2041,1790,RIGHT,Phase_1_Overt
694885,2005,1810,RIGHT,Phase_1_Overt
694889,1943,1791,RIGHT,Phase_1_Overt
694893,1911,1763,RIGHT,Phase_1_Overt
694897,1946,1747,RIGHT,Phase_1_Overt
694901,2019,1753,RIGHT,Phase_1_Overt
694905,2054,1782,RIGHT,Phase_1_Overt
694909,2032,1744,RIGHT,Phase_1_Overt
694913,1983,1677,RIGHT,Phase_1_Overt
694917,1953,1634,RIGHT,Phase_1_Overt
694921,1939,1654,RIGHT,Phase_1_Overt
694925,1937,1677,RIGHT,Phase_1_Overt
694929,1922,1693,RIGHT,Phase_1_Overt
694933,1929,1712,RIGHT,Phase_1_Overt
694937,1943,1699,RIGHT,Phase_1_Overt
694941,1947,1665,RIGHT,Phase_1_Overt
694945,1945,1635,RIGHT,Phase_1_Overt
694949,1941,1631,RIGHT,Phase_1_Overt
694953,1966,1637,RIGHT,Phase_1_Overt
694957,1975,1667,RIGHT,Phase_1_Overt
694961,1957,1669,RIGHT,Phase_1_Overt
694965,1937,1660,RIGHT,Phase_1_Overt
694969,1929,1646,RIGHT,Phase_1_Overt
694973,1919,1636,RIGHT,Phase_1_Overt
694977,1907,1632,RIGHT,Phase_1_Overt
694981,1904,1616,RIGHT,Phase_1_Overt
694985,1889,1633,RIGHT,Phase_1_Overt
694989,1872,1660,RIGHT,Phase_1_Overt
694993,1863,1643,RIGHT,Phase_1_Overt
694997,1863,1648,RIGHT,Phase_1_Overt
695001,1872,1649,RIGHT,Phase_1_Overt
695005,1879,1643,RIGHT,Phase_1_Overt
695009,1887,1655,RIGHT,Phase_1_Overt
695013,1886,1680,RIGHT,Phase_1_Overt
695017,1885,1681,RIGHT,Phase_1_Overt
695021,1895,1671,RIGHT,Phase_1_Overt
695025,1885,1683,RIGHT,Phase_1_Overt
695029,1872,1710,RIGHT,Phase_1_Overt
695033,1860,1715,RIGHT,Phase_1_Overt
695037,1854,1710,RIGHT,Phase_1_Overt
695041,1883,1693,RIGHT,Phase_1_Overt
695045,1915,1683,RIGHT,Phase_1_Overt
695049,1934,1691,RIGHT,Phase_1_Overt
695053,1933,1707,RIGHT,Phase_1_Overt
695057,1891,1728,RIGHT,Phase_1_Overt
695061,1869,1734,RIGHT,Phase_1_Overt
695065,1899,1730,RIGHT,Phase_1_Overt
695069,1929,1745,RIGHT,Phase_1_Overt
695073,1946,1731,RIGHT,Phase_1_Overt
695077,1918,1702,RIGHT,Phase_1_Overt
695081,1883,1712,RIGHT,Phase_1_Overt
695085,1866,1725,RIGHT,Phase_1_Overt
695089,1901,1731,RIGHT,Phase_1_Overt
695093,1936,1731,RIGHT,Phase_1_Overt
695097,1933,1773,RIGHT,Phase_1_Overt
695101,1872,1769,RIGHT,Phase_1_Overt
695105,1827,1728,RIGHT,Phase_1_Overt
695109,1853,1735,RIGHT,Phase_1_Overt
695113,1901,1744,RIGHT,Phase_1_Overt
695117,1931,1789,RIGHT,Phase_1_Overt
695121,1909,1808,RIGHT,Phase_1_Overt
695125,1863,1763,RIGHT,Phase_1_Overt
695129,1893,1723,RIGHT,Phase_1_Overt
695133,1958,1718,RIGHT,Phase_1_Overt
695137,1969,1758,RIGHT,Phase_1_Overt
695141,1966,1857,RIGHT,Phase_1_Overt
695145,1926,1872,RIGHT,Phase_1_Overt
695149,1925,1834,RIGHT,Phase_1_Overt
695153,1953,1766,RIGHT,Phase_1_Overt
695157,1959,1790,RIGHT,Phase_1_Overt
695161,1931,1890,RIGHT,Phase_1_Overt
695165,1904,1875,RIGHT,Phase_1_Overt
695169,1926,1766,RIGHT,Phase_1_Overt
695173,1968,1777,RIGHT,Phase_1_Overt
695177,1968,1867,RIGHT,Phase_1_Overt
695181,1965,1939,RIGHT,Phase_1_Overt
695185,1900,1917,RIGHT,Phase_1_Overt
695189,1904,1905,RIGHT,Phase_1_Overt
695193,1922,1840,RIGHT,Phase_1_Overt
695197,1885,1874,RIGHT,Phase_1_Overt
695201,1853,2047,RIGHT,Phase_1_Overt
695205,1782,2105,RIGHT,Phase_1_Overt
695209,1807,1904,RIGHT,Phase_1_Overt
695213,1931,1898,RIGHT,Phase_1_Overt
695217,1968,2035,RIGHT,Phase_1_Overt
695221,1977,2179,RIGHT,Phase_1_Overt
695225,2038,2207,RIGHT,Phase_1_Overt
695229,2129,2202,RIGHT,Phase_1_Overt
695233,2159,2198,RIGHT,Phase_1_Overt
695237,2111,2257,RIGHT,Phase_1_Overt
695241,2063,2197,RIGHT,Phase_1_Overt
695245,2003,2112,RIGHT,Phase_1_Overt
695249,1929,2161,RIGHT,Phase_1_Overt
695253,1895,2304,RIGHT,Phase_1_Overt
695257,1969,2283,RIGHT,Phase_1_Overt
695261,2029,2416,RIGHT,Phase_1_Overt
695265,2097,2432,RIGHT,Phase_1_Overt
695269,2095,2293,RIGHT,Phase_1_Overt
695273,2059,2269,RIGHT,Phase_1_Overt
695277,2019,2347,RIGHT,Phase_1_Overt
695281,1959,2590,RIGHT,Phase_1_Overt
695285,1990,2463,RIGHT,Phase_1_Overt
695289,2025,2150,RIGHT,Phase_1_Overt
695293,2033,2096,RIGHT,Phase_1_Overt
695297,2042,2176,RIGHT,Phase_1_Overt
695301,2027,2538,RIGHT,Phase_1_Overt
695305,1982,2559,RIGHT,Phase_1_Overt
695309,1951,2203,RIGHT,Phase_1_Overt
695313,1973,2090,RIGHT,Phase_1_Overt
695317,2019,2624,RIGHT,Phase_1_Overt
695321,2037,2607,RIGHT,Phase_1_Overt
695325,2011,2219,RIGHT,Phase_1_Overt
695329,1953,2375,RIGHT,Phase_1_Overt
695333,1932,2462,RIGHT,Phase_1_Overt
695337,1947,2190,RIGHT,Phase_1_Overt
695341,1936,2062,RIGHT,Phase_1_Overt
695345,1948,1963,RIGHT,Phase_1_Overt
695349,1925,1864,RIGHT,Phase_1_Overt
695353,1909,1951,RIGHT,Phase_1_Overt
695357,1900,2213,RIGHT,Phase_1_Overt
695361,1893,2824,RIGHT,Phase_1_Overt
695365,1888,2779,RIGHT,Phase_1_Overt
695369,1850,2319,RIGHT,Phase_1_Overt
695373,1868,2226,RIGHT,Phase_1_Overt
695377,1855,2420,RIGHT,Phase_1_Overt
695381,1845,2352,RIGHT,Phase_1_Overt
695385,1835,2054,RIGHT,Phase_1_Overt
695389,1831,2471,RIGHT,Phase_1_Overt
695393,1811,3360,RIGHT,Phase_1_Overt
695397,1790,3632,RIGHT,Phase_1_Overt
695401,1787,2135,RIGHT,Phase_1_Overt
695405,1808,1872,RIGHT,Phase_1_Overt
695409,1802,2653,RIGHT,Phase_1_Overt
695413,1776,3039,RIGHT,Phase_1_Overt
695417,1772,4095,RIGHT,Phase_1_Overt
695421,1772,3740,RIGHT,Phase_1_Overt
695425,1757,2732,RIGHT,Phase_1_Overt
695429,1743,2450,RIGHT,Phase_1_Overt
695433,1758,3187,RIGHT,Phase_1_Overt
695437,1783,3127,RIGHT,Phase_1_Overt
695441,1829,3174,RIGHT,Phase_1_Overt
695445,1836,3861,RIGHT,Phase_1_Overt
695449,1809,3455,RIGHT,Phase_1_Overt
695453,1770,3135,RIGHT,Phase_1_Overt
695457,1775,3504,RIGHT,Phase_1_Overt
695461,1781,4095,RIGHT,Phase_1_Overt
695465,1806,3888,RIGHT,Phase_1_Overt
695469,1839,3416,RIGHT,Phase_1_Overt
695473,1851,3738,RIGHT,Phase_1_Overt
695477,1849,3658,RIGHT,Phase_1_Overt
695481,1851,2999,RIGHT,Phase_1_Overt
695485,1857,2950,RIGHT,Phase_1_Overt
695489,1874,3503,RIGHT,Phase_1_Overt
695493,1875,4095,RIGHT,Phase_1_Overt
695497,1889,4095,RIGHT,Phase_1_Overt
695501,1911,4095,RIGHT,Phase_1_Overt
695505,1932,3664,RIGHT,Phase_1_Overt
695509,1924,4095,RIGHT,Phase_1_Overt
695513,1915,4095,RIGHT,Phase_1_Overt
695517,1920,3241,RIGHT,Phase_1_Overt
695521,1917,2891,RIGHT,Phase_1_Overt
695525,1922,3191,RIGHT,Phase_1_Overt
695529,1942,4095,RIGHT,Phase_1_Overt
695533,1972,4095,RIGHT,Phase_1_Overt
695537,1975,3802,RIGHT,Phase_1_Overt
695541,1979,3472,RIGHT,Phase_1_Overt
695545,1975,3375,RIGHT,Phase_1_Overt
695549,1980,3632,RIGHT,Phase_1_Overt
695553,1967,4018,RIGHT,Phase_1_Overt
695557,1975,3324,RIGHT,Phase_1_Overt
695561,1950,2958,RIGHT,Phase_1_Overt
695565,1976,3067,RIGHT,Phase_1_Overt
695569,1970,4014,RIGHT,Phase_1_Overt
695573,1995,4095,RIGHT,Phase_1_Overt
695577,1989,3566,RIGHT,Phase_1_Overt
695581,1984,3152,RIGHT,Phase_1_Overt
695585,1947,3030,RIGHT,Phase_1_Overt
695589,1985,3242,RIGHT,Phase_1_Overt
695593,1990,3436,RIGHT,Phase_1_Overt
695597,1975,3700,RIGHT,Phase_1_Overt
695601,1981,3760,RIGHT,Phase_1_Overt
