Timestamp,CH1,CH2,Label,Phase
749757,1983,1833,SILENCE,Phase_1_Overt
749761,1984,1827,SILENCE,Phase_1_Overt
749765,1974,1798,SILENCE,Phase_1_Overt
749769,1968,1823,SILENCE,Phase_1_Overt
749773,1968,1826,SILENCE,Phase_1_Overt
749777,1967,1826,SILENCE,Phase_1_Overt
749781,1971,1827,SILENCE,Phase_1_Overt
749785,1969,1847,SILENCE,Phase_1_Overt
749789,1971,1871,SILENCE,Phase_1_Overt
749793,1979,1875,SILENCE,Phase_1_Overt
749797,1978,1860,SILENCE,Phase_1_Overt
749801,1978,1851,SILENCE,Phase_1_Overt
749805,1965,1821,SILENCE,Phase_1_Overt
749809,1968,1843,SILENCE,Phase_1_Overt
749813,1966,1853,SILENCE,Phase_1_Overt
749817,1965,1862,SILENCE,Phase_1_Overt
749821,1963,1863,SILENCE,Phase_1_Overt
749825,1966,1855,SILENCE,Phase_1_Overt
749829,1980,1850,SILENCE,Phase_1_Overt
749833,1968,1842,SILENCE,Phase_1_Overt
749837,1965,1845,SILENCE,Phase_1_Overt
749841,1964,1839,SILENCE,Phase_1_Overt
749845,1957,1840,SILENCE,Phase_1_Overt
749849,1959,1844,SILENCE,Phase_1_Overt
749853,1958,1852,SILENCE,Phase_1_Overt
749857,1968,1850,SILENCE,Phase_1_Overt
749861,1974,1840,SILENCE,Phase_1_Overt
749865,1967,1823,SILENCE,Phase_1_Overt
749869,1967,1824,SILENCE,Phase_1_Overt
749873,1958,1840,SILENCE,Phase_1_Overt
749877,1953,1861,SILENCE,Phase_1_Overt
749881,1946,1875,SILENCE,Phase_1_Overt
749885,1951,1867,SILENCE,Phase_1_Overt
749889,1963,1862,SILENCE,Phase_1_Overt
749893,1959,1849,SILENCE,Phase_1_Overt
749897,1957,1840,SILENCE,Phase_1_Overt
749901,1950,1838,SILENCE,Phase_1_Overt
749905,1949,1840,SILENCE,Phase_1_Overt
749909,1942,1853,SILENCE,Phase_1_Overt
749913,1941,1857,SILENCE,Phase_1_Overt
749917,1947,1862,SILENCE,Phase_1_Overt
749921,1954,1871,SILENCE,Phase_1_Overt
749925,1949,1867,SILENCE,Phase_1_Overt
749929,1936,1856,SILENCE,Phase_1_Overt
749933,1907,1834,SILENCE,Phase_1_Overt
749937,1837,1819,SILENCE,Phase_1_Overt
749941,1834,1805,SILENCE,Phase_1_Overt
749945,1810,1797,SILENCE,Phase_1_Overt
749949,1813,1809,SILENCE,Phase_1_Overt
749953,1840,1824,SILENCE,Phase_1_Overt
749957,1875,1853,SILENCE,Phase_1_Overt
749961,1903,1866,SILENCE,Phase_1_Overt
749965,1905,1872,SILENCE,Phase_1_Overt
749969,1922,1861,SILENCE,Phase_1_Overt
749973,1930,1844,SILENCE,Phase_1_Overt
749977,1931,1827,SILENCE,Phase_1_Overt
749981,1937,1839,SILENCE,Phase_1_Overt
749985,1930,1853,SILENCE,Phase_1_Overt
749989,1898,1871,SILENCE,Phase_1_Overt
749993,1935,1871,SILENCE,Phase_1_Overt
749997,1939,1869,SILENCE,Phase_1_Overt
