Timestamp,CH1,CH2,Label,Phase
370145,1870,1781,UP,Phase_1_Overt
370149,1868,1779,UP,Phase_1_Overt
370153,1863,1776,UP,Phase_1_Overt
370157,1847,1786,UP,Phase_1_Overt
370161,1857,1781,UP,Phase_1_Overt
370165,1858,1776,UP,Phase_1_Overt
370169,1870,1785,UP,Phase_1_Overt
370173,1867,1803,UP,Phase_1_Overt
370177,1863,1808,UP,Phase_1_Overt
370181,1870,1821,UP,Phase_1_Overt
370185,1871,1815,UP,Phase_1_Overt
370189,1880,1821,UP,Phase_1_Overt
370193,1876,1808,UP,Phase_1_Overt
370197,1874,1805,UP,Phase_1_Overt
370201,1874,1801,UP,Phase_1_Overt
370205,1870,1828,UP,Phase_1_Overt
370209,1867,1815,UP,Phase_1_Overt
370213,1873,1811,UP,Phase_1_Overt
370217,1894,1829,UP,Phase_1_Overt
370221,1904,1827,UP,Phase_1_Overt
370225,1904,1818,UP,Phase_1_Overt
370229,1895,1808,UP,Phase_1_Overt
370233,1872,1806,UP,Phase_1_Overt
370237,1858,1837,UP,Phase_1_Overt
370241,1844,1826,UP,Phase_1_Overt
370245,1837,1825,UP,Phase_1_Overt
370249,1872,1815,UP,Phase_1_Overt
370253,1914,1765,UP,Phase_1_Overt
370257,1907,1727,UP,Phase_1_Overt
370261,1872,1821,UP,Phase_1_Overt
370265,1856,1801,UP,Phase_1_Overt
370269,1858,1735,UP,Phase_1_Overt
370273,1875,1715,UP,Phase_1_Overt
370277,1871,1710,UP,Phase_1_Overt
370281,1894,1722,UP,Phase_1_Overt
370285,1935,1763,UP,Phase_1_Overt
370289,1933,1934,UP,Phase_1_Overt
370293,1905,1982,UP,Phase_1_Overt
370297,1835,1762,UP,Phase_1_Overt
370301,1746,1734,UP,Phase_1_Overt
370305,1788,2031,UP,Phase_1_Overt
370309,1875,2015,UP,Phase_1_Overt
370313,1911,1606,UP,Phase_1_Overt
370317,1926,1737,UP,Phase_1_Overt
370321,1872,2539,UP,Phase_1_Overt
370325,1831,2336,UP,Phase_1_Overt
370329,1857,1295,UP,Phase_1_Overt
370333,1901,763,UP,Phase_1_Overt
370337,1902,976,UP,Phase_1_Overt
370341,1813,1619,UP,Phase_1_Overt
370345,1791,2179,UP,Phase_1_Overt
370349,1815,2256,UP,Phase_1_Overt
370353,1814,2213,UP,Phase_1_Overt
370357,1786,2092,UP,Phase_1_Overt
370361,1847,2464,UP,Phase_1_Overt
370365,1805,2062,UP,Phase_1_Overt
370369,1714,1978,UP,Phase_1_Overt
370373,1717,2172,UP,Phase_1_Overt
370377,1885,1987,UP,Phase_1_Overt
370381,1987,2095,UP,Phase_1_Overt
370385,1968,2199,UP,Phase_1_Overt
370389,1873,2285,UP,Phase_1_Overt
370393,1710,1965,UP,Phase_1_Overt
370397,1520,2021,UP,Phase_1_Overt
370401,1638,2241,UP,Phase_1_Overt
370405,1883,2380,UP,Phase_1_Overt
370409,1911,2493,UP,Phase_1_Overt
370413,1826,2456,UP,Phase_1_Overt
370417,1808,2138,UP,Phase_1_Overt
370421,1805,2032,UP,Phase_1_Overt
370425,1698,2317,UP,Phase_1_Overt
370429,1643,2605,UP,Phase_1_Overt
370433,1751,2474,UP,Phase_1_Overt
370437,1893,2503,UP,Phase_1_Overt
370441,1897,2404,UP,Phase_1_Overt
370445,1798,2122,UP,Phase_1_Overt
370449,1791,2055,UP,Phase_1_Overt
370453,1776,2224,UP,Phase_1_Overt
370457,1742,2352,UP,Phase_1_Overt
370461,1766,2268,UP,Phase_1_Overt
370465,1914,2253,UP,Phase_1_Overt
370469,1968,2287,UP,Phase_1_Overt
370473,1897,2384,UP,Phase_1_Overt
370477,1733,2417,UP,Phase_1_Overt
370481,1734,2414,UP,Phase_1_Overt
370485,1852,2262,UP,Phase_1_Overt
370489,1955,2119,UP,Phase_1_Overt
370493,1954,2097,UP,Phase_1_Overt
370497,1881,2158,UP,Phase_1_Overt
370501,1847,2167,UP,Phase_1_Overt
370505,1859,2219,UP,Phase_1_Overt
370509,1911,2320,UP,Phase_1_Overt
370513,1952,2384,UP,Phase_1_Overt
370517,1940,2292,UP,Phase_1_Overt
370521,1917,2176,UP,Phase_1_Overt
370525,1879,2078,UP,Phase_1_Overt
370529,1872,1966,UP,Phase_1_Overt
370533,1878,2019,UP,Phase_1_Overt
370537,1911,2199,UP,Phase_1_Overt
370541,1924,2209,UP,Phase_1_Overt
370545,1898,1966,UP,Phase_1_Overt
370549,1907,1712,UP,Phase_1_Overt
370553,1909,1684,UP,Phase_1_Overt
370557,1911,1782,UP,Phase_1_Overt
370561,1904,1919,UP,Phase_1_Overt
