Timestamp,CH1,CH2,Label,Phase
1280401,1904,1872,DOWN,Phase_2_Whispered
1280405,1898,1862,DOWN,Phase_2_Whispered
1280409,1897,1858,DOWN,Phase_2_Whispered
1280413,1902,1856,DOWN,Phase_2_Whispered
1280417,1904,1871,DOWN,Phase_2_Whispered
1280421,1899,1878,DOWN,Phase_2_Whispered
1280425,1901,1860,DOWN,Phase_2_Whispered
1280429,1900,1839,DOWN,Phase_2_Whispered
1280433,1904,1841,DOWN,Phase_2_Whispered
1280437,1891,1854,DOWN,Phase_2_Whispered
1280441,1894,1854,DOWN,Phase_2_Whispered
1280445,1893,1854,DOWN,Phase_2_Whispered
1280449,1889,1845,DOWN,Phase_2_Whispered
1280453,1898,1837,DOWN,Phase_2_Whispered
1280457,1897,1823,DOWN,Phase_2_Whispered
1280461,1894,1839,DOWN,Phase_2_Whispered
1280465,1889,1855,DOWN,Phase_2_Whispered
1280469,1886,1856,DOWN,Phase_2_Whispered
1280473,1879,1861,DOWN,Phase_2_Whispered
1280477,1882,1856,DOWN,Phase_2_Whispered
1280481,1888,1862,DOWN,Phase_2_Whispered
1280485,1898,1867,DOWN,Phase_2_Whispered
1280489,1913,1861,DOWN,Phase_2_Whispered
1280493,1907,1869,DOWN,Phase_2_Whispered
1280497,1918,1872,DOWN,Phase_2_Whispered
1280501,1924,1878,DOWN,Phase_2_Whispered
1280505,1921,1882,DOWN,Phase_2_Whispered
1280509,1920,1873,DOWN,Phase_2_Whispered
1280513,1929,1867,DOWN,Phase_2_Whispered
1280517,1936,1871,DOWN,Phase_2_Whispered
1280521,1935,1873,DOWN,Phase_2_Whispered
1280525,1935,1885,DOWN,Phase_2_Whispered
1280529,1942,1874,DOWN,Phase_2_Whispered
1280533,1938,1868,DOWN,Phase_2_Whispered
1280537,1937,1870,DOWN,Phase_2_Whispered
1280541,1935,1877,DOWN,Phase_2_Whispered
1280545,1923,1881,DOWN,Phase_2_Whispered
1280549,1936,1880,DOWN,Phase_2_Whispered
1280553,1929,1886,DOWN,Phase_2_Whispered
1280557,1937,1879,DOWN,Phase_2_Whispered
1280561,1936,1877,DOWN,Phase_2_Whispered
1280565,1938,1866,DOWN,Phase_2_Whispered
1280569,1946,1866,DOWN,Phase_2_Whispered
1280573,1930,1862,DOWN,Phase_2_Whispered
1280577,1945,1872,DOWN,Phase_2_Whispered
1280581,1936,1890,DOWN,Phase_2_Whispered
1280585,1933,1895,DOWN,Phase_2_Whispered
1280589,1936,1894,DOWN,Phase_2_Whispered
1280593,1936,1889,DOWN,Phase_2_Whispered
1280597,1933,1888,DOWN,Phase_2_Whispered
1280601,1936,1885,DOWN,Phase_2_Whispered
1280605,1941,1876,DOWN,Phase_2_Whispered
1280609,1937,1863,DOWN,Phase_2_Whispered
1280613,1930,1866,DOWN,Phase_2_Whispered
1280617,1927,1867,DOWN,Phase_2_Whispered
1280621,1930,1866,DOWN,Phase_2_Whispered
1280625,1935,1861,DOWN,Phase_2_Whispered
1280629,1936,1863,DOWN,Phase_2_Whispered
1280633,1927,1875,DOWN,Phase_2_Whispered
1280637,1929,1877,DOWN,Phase_2_Whispered
1280641,1931,1866,DOWN,Phase_2_Whispered
1280645,1934,1853,DOWN,Phase_2_Whispered
1280649,1932,1845,DOWN,Phase_2_Whispered
1280653,1936,1850,DOWN,Phase_2_Whispered
1280657,1933,1871,DOWN,Phase_2_Whispered
1280661,1930,1872,DOWN,Phase_2_Whispered
1280665,1926,1872,DOWN,Phase_2_Whispered
1280669,1923,1868,DOWN,Phase_2_Whispered
1280673,1920,1859,DOWN,Phase_2_Whispered
1280677,1927,1846,DOWN,Phase_2_Whispered
1280681,1941,1845,DOWN,Phase_2_Whispered
1280685,1946,1840,DOWN,Phase_2_Whispered
1280689,1956,1844,DOWN,Phase_2_Whispered
1280693,1955,1856,DOWN,Phase_2_Whispered
1280697,1940,1855,DOWN,Phase_2_Whispered
1280701,1938,1859,DOWN,Phase_2_Whispered
1280705,1937,1858,DOWN,Phase_2_Whispered
1280709,1943,1857,DOWN,Phase_2_Whispered
1280713,1936,1841,DOWN,Phase_2_Whispered
1280717,1939,1815,DOWN,Phase_2_Whispered
1280721,1936,1805,DOWN,Phase_2_Whispered
1280725,1942,1823,DOWN,Phase_2_Whispered
1280729,1927,1844,DOWN,Phase_2_Whispered
1280733,1919,1841,DOWN,Phase_2_Whispered
1280737,1920,1847,DOWN,Phase_2_Whispered
1280741,1917,1835,DOWN,Phase_2_Whispered
1280745,1922,1808,DOWN,Phase_2_Whispered
1280749,1923,1811,DOWN,Phase_2_Whispered
1280753,1933,1824,DOWN,Phase_2_Whispered
1280757,1943,1851,DOWN,Phase_2_Whispered
1280761,1957,1856,DOWN,Phase_2_Whispered
1280765,1941,1853,DOWN,Phase_2_Whispered
1280769,1929,1834,DOWN,Phase_2_Whispered
1280773,1925,1802,DOWN,Phase_2_Whispered
1280777,1923,1825,DOWN,Phase_2_Whispered
1280781,1920,1834,DOWN,Phase_2_Whispered
1280785,1923,1830,DOWN,Phase_2_Whispered
1280789,1931,1839,DOWN,Phase_2_Whispered
1280793,1939,1841,DOWN,Phase_2_Whispered
1280797,1958,1847,DOWN,Phase_2_Whispered
1280801,1920,1855,DOWN,Phase_2_Whispered
1280805,1872,1842,DOWN,Phase_2_Whispered
1280809,1842,1835,DOWN,Phase_2_Whispered
1280813,1856,1855,DOWN,Phase_2_Whispered
1280817,1840,1872,DOWN,Phase_2_Whispered
1280821,1801,1895,DOWN,Phase_2_Whispered
1280825,1785,1902,DOWN,Phase_2_Whispered
1280829,1685,1829,DOWN,Phase_2_Whispered
1280833,1783,1798,DOWN,Phase_2_Whispered
1280837,1984,1776,DOWN,Phase_2_Whispered
1280841,2085,1758,DOWN,Phase_2_Whispered
1280845,1991,1764,DOWN,Phase_2_Whispered
1280849,1776,1821,DOWN,Phase_2_Whispered
1280853,1744,1893,DOWN,Phase_2_Whispered
1280857,1785,1918,DOWN,Phase_2_Whispered
1280861,1793,1879,DOWN,Phase_2_Whispered
1280865,1776,1818,DOWN,Phase_2_Whispered
1280869,1931,1778,DOWN,Phase_2_Whispered
1280873,1994,1750,DOWN,Phase_2_Whispered
1280877,2000,1759,DOWN,Phase_2_Whispered
1280881,2074,1833,DOWN,Phase_2_Whispered
1280885,2086,1848,DOWN,Phase_2_Whispered
1280889,2041,1841,DOWN,Phase_2_Whispered
1280893,1954,1827,DOWN,Phase_2_Whispered
1280897,1879,1809,DOWN,Phase_2_Whispered
1280901,1922,1769,DOWN,Phase_2_Whispered
1280905,1920,1763,DOWN,Phase_2_Whispered
1280909,1809,1808,DOWN,Phase_2_Whispered
1280913,1846,1814,DOWN,Phase_2_Whispered
1280917,1931,1767,DOWN,Phase_2_Whispered
1280921,1919,1681,DOWN,Phase_2_Whispered
1280925,1862,1622,DOWN,Phase_2_Whispered
1280929,1714,1632,DOWN,Phase_2_Whispered
1280933,1693,1671,DOWN,Phase_2_Whispered
1280937,1783,1647,DOWN,Phase_2_Whispered
1280941,1835,1610,DOWN,Phase_2_Whispered
1280945,1824,1583,DOWN,Phase_2_Whispered
1280949,1809,1600,DOWN,Phase_2_Whispered
1280953,1807,1669,DOWN,Phase_2_Whispered
1280957,1799,1715,DOWN,Phase_2_Whispered
1280961,1769,1728,DOWN,Phase_2_Whispered
1280965,1753,1687,DOWN,Phase_2_Whispered
1280969,1776,1646,DOWN,Phase_2_Whispered
1280973,1790,1649,DOWN,Phase_2_Whispered
1280977,1777,1711,DOWN,Phase_2_Whispered
1280981,1802,1748,DOWN,Phase_2_Whispered
1280985,1789,1739,DOWN,Phase_2_Whispered
1280989,1776,1697,DOWN,Phase_2_Whispered
1280993,1829,1697,DOWN,Phase_2_Whispered
1280997,1856,1714,DOWN,Phase_2_Whispered
1281001,1865,1733,DOWN,Phase_2_Whispered
1281005,1872,1734,DOWN,Phase_2_Whispered
1281009,1867,1759,DOWN,Phase_2_Whispered
1281013,1840,1789,DOWN,Phase_2_Whispered
1281017,1808,1783,DOWN,Phase_2_Whispered
1281021,1770,1733,DOWN,Phase_2_Whispered
1281025,1741,1685,DOWN,Phase_2_Whispered
1281029,1737,1666,DOWN,Phase_2_Whispered
1281033,1746,1697,DOWN,Phase_2_Whispered
1281037,1763,1777,DOWN,Phase_2_Whispered
1281041,1779,1820,DOWN,Phase_2_Whispered
1281045,1801,1822,DOWN,Phase_2_Whispered
1281049,1831,1791,DOWN,Phase_2_Whispered
1281053,1817,1722,DOWN,Phase_2_Whispered
1281057,1851,1712,DOWN,Phase_2_Whispered
1281061,1847,1729,DOWN,Phase_2_Whispered
1281065,1858,1789,DOWN,Phase_2_Whispered
1281069,1887,1818,DOWN,Phase_2_Whispered
1281073,1871,1781,DOWN,Phase_2_Whispered
1281077,1884,1794,DOWN,Phase_2_Whispered
1281081,1904,1862,DOWN,Phase_2_Whispered
1281085,1894,1908,DOWN,Phase_2_Whispered
1281089,1895,1902,DOWN,Phase_2_Whispered
1281093,1904,1909,DOWN,Phase_2_Whispered
1281097,1920,1886,DOWN,Phase_2_Whispered
1281101,1922,1869,DOWN,Phase_2_Whispered
1281105,1889,1883,DOWN,Phase_2_Whispered
1281109,1909,1856,DOWN,Phase_2_Whispered
1281113,1933,1865,DOWN,Phase_2_Whispered
1281117,1925,1862,DOWN,Phase_2_Whispered
1281121,1909,1824,DOWN,Phase_2_Whispered
1281125,1920,1826,DOWN,Phase_2_Whispered
1281129,1919,1890,DOWN,Phase_2_Whispered
1281133,1904,1892,DOWN,Phase_2_Whispered
1281137,1914,1891,DOWN,Phase_2_Whispered
1281141,1923,1924,DOWN,Phase_2_Whispered
1281145,1936,1901,DOWN,Phase_2_Whispered
1281149,1950,1921,DOWN,Phase_2_Whispered
1281153,1950,2001,DOWN,Phase_2_Whispered
1281157,1938,2013,DOWN,Phase_2_Whispered
1281161,1920,1965,DOWN,Phase_2_Whispered
1281165,1916,1936,DOWN,Phase_2_Whispered
1281169,1929,1951,DOWN,Phase_2_Whispered
1281173,1943,2000,DOWN,Phase_2_Whispered
1281177,1938,1986,DOWN,Phase_2_Whispered
1281181,1942,1962,DOWN,Phase_2_Whispered
1281185,1959,1957,DOWN,Phase_2_Whispered
1281189,1971,1983,DOWN,Phase_2_Whispered
1281193,1975,1999,DOWN,Phase_2_Whispered
1281197,1978,2022,DOWN,Phase_2_Whispered
1281201,1972,2026,DOWN,Phase_2_Whispered
1281205,1983,2030,DOWN,Phase_2_Whispered
