Timestamp,CH1,CH2,Label,Phase
1109833,1929,2165,LEFT,Phase_2_Whispered
1109837,1933,2133,LEFT,Phase_2_Whispered
1109841,1929,2147,LEFT,Phase_2_Whispered
1109845,1936,2150,LEFT,Phase_2_Whispered
1109849,1945,2155,LEFT,Phase_2_Whispered
1109853,1942,2174,LEFT,Phase_2_Whispered
1109857,1953,2194,LEFT,Phase_2_Whispered
1109861,1961,2189,LEFT,Phase_2_Whispered
1109865,1968,2176,LEFT,Phase_2_Whispered
1109869,1979,2142,LEFT,Phase_2_Whispered
1109873,1981,2095,LEFT,Phase_2_Whispered
1109877,1982,2080,LEFT,Phase_2_Whispered
1109881,1980,2073,LEFT,Phase_2_Whispered
1109885,1974,2067,LEFT,Phase_2_Whispered
1109889,1977,2069,LEFT,Phase_2_Whispered
1109893,1983,2063,LEFT,Phase_2_Whispered
1109897,1981,2064,LEFT,Phase_2_Whispered
1109901,1984,2035,LEFT,Phase_2_Whispered
1109905,1989,2006,LEFT,Phase_2_Whispered
1109909,2000,1993,LEFT,Phase_2_Whispered
1109913,2010,2000,LEFT,Phase_2_Whispered
1109917,2005,2022,LEFT,Phase_2_Whispered
1109921,1981,2006,LEFT,Phase_2_Whispered
1109925,1958,2012,LEFT,Phase_2_Whispered
1109929,1962,2005,LEFT,Phase_2_Whispered
1109933,1992,1988,LEFT,Phase_2_Whispered
1109937,2011,1989,LEFT,Phase_2_Whispered
1109941,2020,1982,LEFT,Phase_2_Whispered
1109945,2032,1986,LEFT,Phase_2_Whispered
1109949,2035,1998,LEFT,Phase_2_Whispered
1109953,2030,2027,LEFT,Phase_2_Whispered
1109957,2015,2034,LEFT,Phase_2_Whispered
1109961,1986,2018,LEFT,Phase_2_Whispered
1109965,1983,2006,LEFT,Phase_2_Whispered
1109969,2000,2006,LEFT,Phase_2_Whispered
1109973,2016,1979,LEFT,Phase_2_Whispered
1109977,2031,1935,LEFT,Phase_2_Whispered
1109981,2017,1909,LEFT,Phase_2_Whispered
1109985,1995,1904,LEFT,Phase_2_Whispered
1109989,1994,1872,LEFT,Phase_2_Whispered
1109993,1999,1861,LEFT,Phase_2_Whispered
1109997,1991,1887,LEFT,Phase_2_Whispered
1110001,1985,1897,LEFT,Phase_2_Whispered
1110005,1987,1838,LEFT,Phase_2_Whispered
1110009,1969,1808,LEFT,Phase_2_Whispered
1110013,1952,1745,LEFT,Phase_2_Whispered
1110017,1921,1771,LEFT,Phase_2_Whispered
1110021,1869,1786,LEFT,Phase_2_Whispered
1110025,1835,1761,LEFT,Phase_2_Whispered
1110029,1840,1790,LEFT,Phase_2_Whispered
1110033,1859,1777,LEFT,Phase_2_Whispered
1110037,1883,1743,LEFT,Phase_2_Whispered
1110041,1893,1759,LEFT,Phase_2_Whispered
1110045,1906,1779,LEFT,Phase_2_Whispered
1110049,1934,1726,LEFT,Phase_2_Whispered
1110053,1958,1719,LEFT,Phase_2_Whispered
1110057,1947,1725,LEFT,Phase_2_Whispered
1110061,1936,1759,LEFT,Phase_2_Whispered
1110065,1929,1735,LEFT,Phase_2_Whispered
1110069,1918,1703,LEFT,Phase_2_Whispered
1110073,1895,1696,LEFT,Phase_2_Whispered
1110077,1888,1714,LEFT,Phase_2_Whispered
1110081,1894,1765,LEFT,Phase_2_Whispered
1110085,1897,1846,LEFT,Phase_2_Whispered
1110089,1904,1835,LEFT,Phase_2_Whispered
1110093,1947,1648,LEFT,Phase_2_Whispered
1110097,1974,1582,LEFT,Phase_2_Whispered
1110101,1957,1617,LEFT,Phase_2_Whispered
1110105,1904,1703,LEFT,Phase_2_Whispered
1110109,1849,1745,LEFT,Phase_2_Whispered
1110113,1835,1728,LEFT,Phase_2_Whispered
1110117,1879,1744,LEFT,Phase_2_Whispered
1110121,1923,1798,LEFT,Phase_2_Whispered
1110125,1943,1781,LEFT,Phase_2_Whispered
1110129,1939,1752,LEFT,Phase_2_Whispered
1110133,1930,1725,LEFT,Phase_2_Whispered
1110137,1899,1729,LEFT,Phase_2_Whispered
1110141,1863,1769,LEFT,Phase_2_Whispered
1110145,1876,1811,LEFT,Phase_2_Whispered
1110149,1910,1842,LEFT,Phase_2_Whispered
1110153,1923,1777,LEFT,Phase_2_Whispered
1110157,1895,1713,LEFT,Phase_2_Whispered
1110161,1863,1687,LEFT,Phase_2_Whispered
1110165,1869,1758,LEFT,Phase_2_Whispered
1110169,1872,1798,LEFT,Phase_2_Whispered
1110173,1878,1763,LEFT,Phase_2_Whispered
1110177,1858,1712,LEFT,Phase_2_Whispered
1110181,1842,1717,LEFT,Phase_2_Whispered
