Timestamp,CH1,CH2,Label,Phase
1144417,1930,1887,NOISE,Phase_2_Whispered
1144421,1923,1886,NOISE,Phase_2_Whispered
1144425,1921,1885,NOISE,Phase_2_Whispered
1144429,1907,1872,NOISE,Phase_2_Whispered
1144433,1904,1861,NOISE,Phase_2_Whispered
1144437,1893,1857,NOISE,Phase_2_Whispered
1144441,1903,1865,NOISE,Phase_2_Whispered
1144445,1918,1872,NOISE,Phase_2_Whispered
1144449,1923,1873,NOISE,Phase_2_Whispered
1144453,1913,1872,NOISE,Phase_2_Whispered
1144457,1895,1856,NOISE,Phase_2_Whispered
1144461,1906,1856,NOISE,Phase_2_Whispered
1144465,1920,1861,NOISE,Phase_2_Whispered
1144469,1913,1879,NOISE,Phase_2_Whispered
1144473,1907,1886,NOISE,Phase_2_Whispered
1144477,1882,1879,NOISE,Phase_2_Whispered
1144481,1907,1875,NOISE,Phase_2_Whispered
1144485,1895,1873,NOISE,Phase_2_Whispered
1144489,1904,1879,NOISE,Phase_2_Whispered
1144493,1908,1885,NOISE,Phase_2_Whispered
1144497,1915,1897,NOISE,Phase_2_Whispered
1144501,1911,1874,NOISE,Phase_2_Whispered
1144505,1911,1857,NOISE,Phase_2_Whispered
1144509,1913,1855,NOISE,Phase_2_Whispered
1144513,1912,1855,NOISE,Phase_2_Whispered
1144517,1915,1862,NOISE,Phase_2_Whispered
1144521,1915,1863,NOISE,Phase_2_Whispered
1144525,1923,1870,NOISE,Phase_2_Whispered
1144529,1911,1869,NOISE,Phase_2_Whispered
1144533,1907,1851,NOISE,Phase_2_Whispered
1144537,1899,1842,NOISE,Phase_2_Whispered
1144541,1894,1856,NOISE,Phase_2_Whispered
1144545,1898,1847,NOISE,Phase_2_Whispered
1144549,1890,1834,NOISE,Phase_2_Whispered
1144553,1883,1830,NOISE,Phase_2_Whispered
1144557,1897,1814,NOISE,Phase_2_Whispered
1144561,1893,1801,NOISE,Phase_2_Whispered
1144565,1891,1803,NOISE,Phase_2_Whispered
1144569,1887,1810,NOISE,Phase_2_Whispered
1144573,1898,1808,NOISE,Phase_2_Whispered
1144577,1878,1795,NOISE,Phase_2_Whispered
1144581,1869,1793,NOISE,Phase_2_Whispered
1144585,1847,1814,NOISE,Phase_2_Whispered
1144589,1841,1855,NOISE,Phase_2_Whispered
1144593,1846,1868,NOISE,Phase_2_Whispered
1144597,1850,1829,NOISE,Phase_2_Whispered
1144601,1808,1845,NOISE,Phase_2_Whispered
1144605,1765,1822,NOISE,Phase_2_Whispered
1144609,1729,1859,NOISE,Phase_2_Whispered
1144613,1761,1839,NOISE,Phase_2_Whispered
1144617,1824,1772,NOISE,Phase_2_Whispered
1144621,1889,1778,NOISE,Phase_2_Whispered
1144625,1945,1787,NOISE,Phase_2_Whispered
1144629,1984,1829,NOISE,Phase_2_Whispered
1144633,1993,1744,NOISE,Phase_2_Whispered
1144637,1954,1718,NOISE,Phase_2_Whispered
1144641,1947,1731,NOISE,Phase_2_Whispered
1144645,1927,1755,NOISE,Phase_2_Whispered
1144649,1888,1759,NOISE,Phase_2_Whispered
1144653,1835,1755,NOISE,Phase_2_Whispered
1144657,1808,1726,NOISE,Phase_2_Whispered
1144661,1739,1729,NOISE,Phase_2_Whispered
1144665,1739,1834,NOISE,Phase_2_Whispered
