Timestamp,CH1,CH2,Label,Phase
1115377,1925,1809,RIGHT,Phase_2_Whispered
1115381,1955,1811,RIGHT,Phase_2_Whispered
1115385,1935,1819,RIGHT,Phase_2_Whispered
1115389,1940,1830,RIGHT,Phase_2_Whispered
1115393,1924,1827,RIGHT,Phase_2_Whispered
1115397,1906,1830,RIGHT,Phase_2_Whispered
1115401,1904,1830,RIGHT,Phase_2_Whispered
1115405,1936,1824,RIGHT,Phase_2_Whispered
1115409,1925,1822,RIGHT,Phase_2_Whispered
1115413,1911,1825,RIGHT,Phase_2_Whispered
1115417,1899,1822,RIGHT,Phase_2_Whispered
1115421,1917,1824,RIGHT,Phase_2_Whispered
1115425,1915,1826,RIGHT,Phase_2_Whispered
1115429,1927,1829,RIGHT,Phase_2_Whispered
1115433,1935,1822,RIGHT,Phase_2_Whispered
1115437,1953,1815,RIGHT,Phase_2_Whispered
1115441,1954,1811,RIGHT,Phase_2_Whispered
1115445,1949,1827,RIGHT,Phase_2_Whispered
1115449,1957,1808,RIGHT,Phase_2_Whispered
1115453,1962,1782,RIGHT,Phase_2_Whispered
1115457,1925,1791,RIGHT,Phase_2_Whispered
1115461,1895,1823,RIGHT,Phase_2_Whispered
1115465,1867,1824,RIGHT,Phase_2_Whispered
1115469,1859,1827,RIGHT,Phase_2_Whispered
1115473,1892,1809,RIGHT,Phase_2_Whispered
1115477,1915,1763,RIGHT,Phase_2_Whispered
1115481,1938,1744,RIGHT,Phase_2_Whispered
1115485,1969,1774,RIGHT,Phase_2_Whispered
1115489,1966,1831,RIGHT,Phase_2_Whispered
1115493,1924,1847,RIGHT,Phase_2_Whispered
1115497,1907,1840,RIGHT,Phase_2_Whispered
1115501,1920,1843,RIGHT,Phase_2_Whispered
1115505,1935,1869,RIGHT,Phase_2_Whispered
1115509,1923,1860,RIGHT,Phase_2_Whispered
1115513,1904,1817,RIGHT,Phase_2_Whispered
1115517,1875,1773,RIGHT,Phase_2_Whispered
1115521,1861,1774,RIGHT,Phase_2_Whispered
1115525,1861,1824,RIGHT,Phase_2_Whispered
1115529,1879,1905,RIGHT,Phase_2_Whispered
1115533,1867,1906,RIGHT,Phase_2_Whispered
1115537,1851,1863,RIGHT,Phase_2_Whispered
1115541,1904,1877,RIGHT,Phase_2_Whispered
1115545,1929,1910,RIGHT,Phase_2_Whispered
1115549,1919,1920,RIGHT,Phase_2_Whispered
1115553,1942,1920,RIGHT,Phase_2_Whispered
1115557,1951,1915,RIGHT,Phase_2_Whispered
1115561,1913,1927,RIGHT,Phase_2_Whispered
1115565,1890,1953,RIGHT,Phase_2_Whispered
1115569,1889,1909,RIGHT,Phase_2_Whispered
1115573,1847,1842,RIGHT,Phase_2_Whispered
