Timestamp,CH1,CH2,Label,Phase
1457089,1841,1840,SILENCE,Phase_2_Whispered
1457093,1857,1814,SILENCE,Phase_2_Whispered
1457097,1845,1813,SILENCE,Phase_2_Whispered
1457101,1849,1850,SILENCE,Phase_2_Whispered
1457105,1845,1872,SILENCE,Phase_2_Whispered
1457109,1846,1872,SILENCE,Phase_2_Whispered
1457113,1843,1840,SILENCE,Phase_2_Whispered
1457117,1840,1810,SILENCE,Phase_2_Whispered
1457121,1840,1811,SILENCE,Phase_2_Whispered
1457125,1840,1813,SILENCE,Phase_2_Whispered
1457129,1850,1829,SILENCE,Phase_2_Whispered
1457133,1851,1826,SILENCE,Phase_2_Whispered
1457137,1858,1826,SILENCE,Phase_2_Whispered
1457141,1853,1828,SILENCE,Phase_2_Whispered
1457145,1853,1821,SILENCE,Phase_2_Whispered
1457149,1861,1820,SILENCE,Phase_2_Whispered
1457153,1854,1795,SILENCE,Phase_2_Whispered
1457157,1850,1790,SILENCE,Phase_2_Whispered
1457161,1829,1802,SILENCE,Phase_2_Whispered
1457165,1853,1814,SILENCE,Phase_2_Whispered
1457169,1845,1811,SILENCE,Phase_2_Whispered
1457173,1855,1810,SILENCE,Phase_2_Whispered
1457177,1853,1815,SILENCE,Phase_2_Whispered
1457181,1863,1819,SILENCE,Phase_2_Whispered
1457185,1866,1825,SILENCE,Phase_2_Whispered
1457189,1869,1827,SILENCE,Phase_2_Whispered
1457193,1871,1828,SILENCE,Phase_2_Whispered
1457197,1855,1823,SILENCE,Phase_2_Whispered
1457201,1866,1809,SILENCE,Phase_2_Whispered
1457205,1866,1806,SILENCE,Phase_2_Whispered
1457209,1862,1807,SILENCE,Phase_2_Whispered
1457213,1871,1805,SILENCE,Phase_2_Whispered
1457217,1866,1813,SILENCE,Phase_2_Whispered
1457221,1872,1807,SILENCE,Phase_2_Whispered
1457225,1872,1805,SILENCE,Phase_2_Whispered
1457229,1852,1810,SILENCE,Phase_2_Whispered
1457233,1870,1824,SILENCE,Phase_2_Whispered
1457237,1870,1841,SILENCE,Phase_2_Whispered
1457241,1863,1842,SILENCE,Phase_2_Whispered
1457245,1891,1842,SILENCE,Phase_2_Whispered
1457249,1882,1847,SILENCE,Phase_2_Whispered
1457253,1877,1846,SILENCE,Phase_2_Whispered
1457257,1884,1853,SILENCE,Phase_2_Whispered
1457261,1885,1849,SILENCE,Phase_2_Whispered
1457265,1886,1843,SILENCE,Phase_2_Whispered
1457269,1886,1857,SILENCE,Phase_2_Whispered
1457273,1887,1872,SILENCE,Phase_2_Whispered
1457277,1887,1872,SILENCE,Phase_2_Whispered
1457281,1882,1864,SILENCE,Phase_2_Whispered
1457285,1876,1856,SILENCE,Phase_2_Whispered
1457289,1875,1851,SILENCE,Phase_2_Whispered
1457293,1875,1854,SILENCE,Phase_2_Whispered
1457297,1873,1858,SILENCE,Phase_2_Whispered
1457301,1861,1858,SILENCE,Phase_2_Whispered
1457305,1867,1854,SILENCE,Phase_2_Whispered
1457309,1877,1852,SILENCE,Phase_2_Whispered
1457313,1884,1854,SILENCE,Phase_2_Whispered
1457317,1891,1849,SILENCE,Phase_2_Whispered
1457321,1889,1853,SILENCE,Phase_2_Whispered
1457325,1885,1856,SILENCE,Phase_2_Whispered
1457329,1885,1856,SILENCE,Phase_2_Whispered
1457333,1883,1847,SILENCE,Phase_2_Whispered
1457337,1885,1835,SILENCE,Phase_2_Whispered
1457341,1891,1850,SILENCE,Phase_2_Whispered
1457345,1901,1877,SILENCE,Phase_2_Whispered
1457349,1909,1889,SILENCE,Phase_2_Whispered
1457353,1911,1887,SILENCE,Phase_2_Whispered
1457357,1913,1861,SILENCE,Phase_2_Whispered
1457361,1913,1872,SILENCE,Phase_2_Whispered
1457365,1913,1872,SILENCE,Phase_2_Whispered
1457369,1904,1885,SILENCE,Phase_2_Whispered
1457373,1904,1890,SILENCE,Phase_2_Whispered
1457377,1897,1879,SILENCE,Phase_2_Whispered
1457381,1904,1879,SILENCE,Phase_2_Whispered
1457385,1905,1872,SILENCE,Phase_2_Whispered
1457389,1913,1872,SILENCE,Phase_2_Whispered
1457393,1916,1887,SILENCE,Phase_2_Whispered
1457397,1922,1885,SILENCE,Phase_2_Whispered
1457401,1919,1887,SILENCE,Phase_2_Whispered
1457405,1909,1878,SILENCE,Phase_2_Whispered
1457409,1904,1874,SILENCE,Phase_2_Whispered
1457413,1904,1856,SILENCE,Phase_2_Whispered
1457417,1923,1859,SILENCE,Phase_2_Whispered
1457421,1933,1887,SILENCE,Phase_2_Whispered
1457425,1923,1900,SILENCE,Phase_2_Whispered
1457429,1927,1897,SILENCE,Phase_2_Whispered
1457433,1914,1875,SILENCE,Phase_2_Whispered
1457437,1919,1872,SILENCE,Phase_2_Whispered
1457441,1922,1872,SILENCE,Phase_2_Whispered
1457445,1913,1878,SILENCE,Phase_2_Whispered
1457449,1904,1889,SILENCE,Phase_2_Whispered
1457453,1904,1893,SILENCE,Phase_2_Whispered
1457457,1935,1895,SILENCE,Phase_2_Whispered
1457461,1937,1886,SILENCE,Phase_2_Whispered
1457465,1920,1878,SILENCE,Phase_2_Whispered
1457469,1904,1874,SILENCE,Phase_2_Whispered
1457473,1930,1872,SILENCE,Phase_2_Whispered
1457477,1922,1873,SILENCE,Phase_2_Whispered
1457481,1918,1891,SILENCE,Phase_2_Whispered
1457485,1897,1893,SILENCE,Phase_2_Whispered
1457489,1884,1876,SILENCE,Phase_2_Whispered
1457493,1865,1845,SILENCE,Phase_2_Whispered
1457497,1834,1822,SILENCE,Phase_2_Whispered
1457501,1808,1812,SILENCE,Phase_2_Whispered
1457505,1801,1838,SILENCE,Phase_2_Whispered
1457509,1818,1857,SILENCE,Phase_2_Whispered
1457513,1856,1883,SILENCE,Phase_2_Whispered
1457517,1897,1902,SILENCE,Phase_2_Whispered
1457521,1910,1899,SILENCE,Phase_2_Whispered
1457525,1904,1885,SILENCE,Phase_2_Whispered
1457529,1872,1875,SILENCE,Phase_2_Whispered
1457533,1911,1869,SILENCE,Phase_2_Whispered
1457537,1930,1873,SILENCE,Phase_2_Whispered
1457541,1939,1889,SILENCE,Phase_2_Whispered
1457545,1942,1901,SILENCE,Phase_2_Whispered
1457549,1937,1906,SILENCE,Phase_2_Whispered
1457553,1936,1895,SILENCE,Phase_2_Whispered
1457557,1937,1875,SILENCE,Phase_2_Whispered
1457561,1938,1872,SILENCE,Phase_2_Whispered
1457565,1943,1872,SILENCE,Phase_2_Whispered
1457569,1938,1872,SILENCE,Phase_2_Whispered
1457573,1933,1865,SILENCE,Phase_2_Whispered
1457577,1933,1851,SILENCE,Phase_2_Whispered
1457581,1929,1855,SILENCE,Phase_2_Whispered
1457585,1941,1883,SILENCE,Phase_2_Whispered
1457589,1943,1885,SILENCE,Phase_2_Whispered
1457593,1936,1885,SILENCE,Phase_2_Whispered
1457597,1930,1883,SILENCE,Phase_2_Whispered
1457601,1930,1871,SILENCE,Phase_2_Whispered
1457605,1932,1855,SILENCE,Phase_2_Whispered
1457609,1935,1844,SILENCE,Phase_2_Whispered
1457613,1935,1849,SILENCE,Phase_2_Whispered
1457617,1934,1861,SILENCE,Phase_2_Whispered
1457621,1929,1872,SILENCE,Phase_2_Whispered
1457625,1936,1881,SILENCE,Phase_2_Whispered
1457629,1927,1871,SILENCE,Phase_2_Whispered
1457633,1920,1856,SILENCE,Phase_2_Whispered
1457637,1920,1863,SILENCE,Phase_2_Whispered
1457641,1919,1851,SILENCE,Phase_2_Whispered
1457645,1923,1861,SILENCE,Phase_2_Whispered
1457649,1931,1874,SILENCE,Phase_2_Whispered
1457653,1935,1869,SILENCE,Phase_2_Whispered
1457657,1931,1856,SILENCE,Phase_2_Whispered
1457661,1926,1861,SILENCE,Phase_2_Whispered
1457665,1919,1854,SILENCE,Phase_2_Whispered
1457669,1910,1857,SILENCE,Phase_2_Whispered
1457673,1906,1875,SILENCE,Phase_2_Whispered
1457677,1906,1867,SILENCE,Phase_2_Whispered
1457681,1911,1856,SILENCE,Phase_2_Whispered
1457685,1915,1840,SILENCE,Phase_2_Whispered
1457689,1919,1852,SILENCE,Phase_2_Whispered
1457693,1917,1859,SILENCE,Phase_2_Whispered
1457697,1921,1867,SILENCE,Phase_2_Whispered
1457701,1904,1872,SILENCE,Phase_2_Whispered
1457705,1917,1868,SILENCE,Phase_2_Whispered
1457709,1923,1855,SILENCE,Phase_2_Whispered
1457713,1911,1843,SILENCE,Phase_2_Whispered
1457717,1926,1840,SILENCE,Phase_2_Whispered
1457721,1905,1837,SILENCE,Phase_2_Whispered
1457725,1899,1822,SILENCE,Phase_2_Whispered
1457729,1904,1825,SILENCE,Phase_2_Whispered
1457733,1904,1846,SILENCE,Phase_2_Whispered
1457737,1897,1872,SILENCE,Phase_2_Whispered
1457741,1901,1876,SILENCE,Phase_2_Whispered
1457745,1904,1862,SILENCE,Phase_2_Whispered
1457749,1894,1820,SILENCE,Phase_2_Whispered
1457753,1891,1807,SILENCE,Phase_2_Whispered
1457757,1905,1824,SILENCE,Phase_2_Whispered
1457761,1908,1840,SILENCE,Phase_2_Whispered
1457765,1889,1850,SILENCE,Phase_2_Whispered
1457769,1904,1846,SILENCE,Phase_2_Whispered
1457773,1909,1847,SILENCE,Phase_2_Whispered
1457777,1908,1840,SILENCE,Phase_2_Whispered
1457781,1913,1851,SILENCE,Phase_2_Whispered
1457785,1917,1862,SILENCE,Phase_2_Whispered
1457789,1913,1856,SILENCE,Phase_2_Whispered
1457793,1918,1855,SILENCE,Phase_2_Whispered
1457797,1923,1842,SILENCE,Phase_2_Whispered
1457801,1930,1830,SILENCE,Phase_2_Whispered
1457805,1932,1837,SILENCE,Phase_2_Whispered
1457809,1936,1846,SILENCE,Phase_2_Whispered
1457813,1929,1862,SILENCE,Phase_2_Whispered
1457817,1929,1869,SILENCE,Phase_2_Whispered
1457821,1934,1866,SILENCE,Phase_2_Whispered
1457825,1935,1847,SILENCE,Phase_2_Whispered
1457829,1936,1843,SILENCE,Phase_2_Whispered
1457833,1932,1849,SILENCE,Phase_2_Whispered
1457837,1934,1851,SILENCE,Phase_2_Whispered
1457841,1940,1861,SILENCE,Phase_2_Whispered
1457845,1936,1861,SILENCE,Phase_2_Whispered
