Timestamp,CH1,CH2,Label,Phase
1420121,1887,1846,UP,Phase_2_Whispered
1420125,1894,1855,UP,Phase_2_Whispered
1420129,1904,1856,UP,Phase_2_Whispered
1420133,1907,1853,UP,Phase_2_Whispered
1420137,1904,1858,UP,Phase_2_Whispered
1420141,1909,1861,UP,Phase_2_Whispered
1420145,1908,1857,UP,Phase_2_Whispered
1420149,1900,1872,UP,Phase_2_Whispered
1420153,1898,1881,UP,Phase_2_Whispered
1420157,1905,1873,UP,Phase_2_Whispered
1420161,1921,1868,UP,Phase_2_Whispered
1420165,1936,1881,UP,Phase_2_Whispered
1420169,1931,1877,UP,Phase_2_Whispered
1420173,1917,1870,UP,Phase_2_Whispered
1420177,1905,1839,UP,Phase_2_Whispered
1420181,1894,1824,UP,Phase_2_Whispered
1420185,1904,1840,UP,Phase_2_Whispered
1420189,1904,1867,UP,Phase_2_Whispered
1420193,1904,1878,UP,Phase_2_Whispered
1420197,1904,1884,UP,Phase_2_Whispered
1420201,1904,1883,UP,Phase_2_Whispered
1420205,1901,1888,UP,Phase_2_Whispered
1420209,1897,1873,UP,Phase_2_Whispered
1420213,1891,1860,UP,Phase_2_Whispered
1420217,1879,1852,UP,Phase_2_Whispered
1420221,1842,1834,UP,Phase_2_Whispered
1420225,1808,1830,UP,Phase_2_Whispered
1420229,1794,1857,UP,Phase_2_Whispered
1420233,1840,1872,UP,Phase_2_Whispered
1420237,1887,1877,UP,Phase_2_Whispered
1420241,1846,1833,UP,Phase_2_Whispered
1420245,1802,1824,UP,Phase_2_Whispered
1420249,1824,1806,UP,Phase_2_Whispered
1420253,1779,1813,UP,Phase_2_Whispered
1420257,1787,1856,UP,Phase_2_Whispered
1420261,1901,1847,UP,Phase_2_Whispered
1420265,1894,1859,UP,Phase_2_Whispered
1420269,1915,1827,UP,Phase_2_Whispered
1420273,1846,1822,UP,Phase_2_Whispered
1420277,1808,1792,UP,Phase_2_Whispered
1420281,1856,1711,UP,Phase_2_Whispered
1420285,1815,1706,UP,Phase_2_Whispered
1420289,1747,1717,UP,Phase_2_Whispered
1420293,1776,1703,UP,Phase_2_Whispered
1420297,1888,1667,UP,Phase_2_Whispered
1420301,1951,1557,UP,Phase_2_Whispered
1420305,1904,1535,UP,Phase_2_Whispered
1420309,1842,1602,UP,Phase_2_Whispered
1420313,1798,1669,UP,Phase_2_Whispered
1420317,1779,1788,UP,Phase_2_Whispered
1420321,1728,1651,UP,Phase_2_Whispered
1420325,1810,1518,UP,Phase_2_Whispered
1420329,1878,1491,UP,Phase_2_Whispered
1420333,1858,1586,UP,Phase_2_Whispered
1420337,1853,1775,UP,Phase_2_Whispered
1420341,1855,1801,UP,Phase_2_Whispered
1420345,1727,1572,UP,Phase_2_Whispered
1420349,1675,1434,UP,Phase_2_Whispered
1420353,1786,1463,UP,Phase_2_Whispered
1420357,1629,1571,UP,Phase_2_Whispered
1420361,1618,1870,UP,Phase_2_Whispered
1420365,1770,1747,UP,Phase_2_Whispered
1420369,1847,1535,UP,Phase_2_Whispered
1420373,1902,1590,UP,Phase_2_Whispered
1420377,1825,1616,UP,Phase_2_Whispered
1420381,1703,1731,UP,Phase_2_Whispered
1420385,1719,1651,UP,Phase_2_Whispered
1420389,1753,1591,UP,Phase_2_Whispered
1420393,1787,1683,UP,Phase_2_Whispered
1420397,1867,1973,UP,Phase_2_Whispered
1420401,1860,1979,UP,Phase_2_Whispered
1420405,1787,1713,UP,Phase_2_Whispered
1420409,1670,1611,UP,Phase_2_Whispered
1420413,1523,1649,UP,Phase_2_Whispered
1420417,1667,1825,UP,Phase_2_Whispered
1420421,1904,1946,UP,Phase_2_Whispered
1420425,1931,1872,UP,Phase_2_Whispered
1420429,1843,1836,UP,Phase_2_Whispered
1420433,1810,1872,UP,Phase_2_Whispered
1420437,1809,1968,UP,Phase_2_Whispered
1420441,1824,2119,UP,Phase_2_Whispered
1420445,1859,2007,UP,Phase_2_Whispered
1420449,1841,1925,UP,Phase_2_Whispered
1420453,1839,1943,UP,Phase_2_Whispered
1420457,1851,2018,UP,Phase_2_Whispered
1420461,1844,2097,UP,Phase_2_Whispered
1420465,1840,2128,UP,Phase_2_Whispered
1420469,1828,2096,UP,Phase_2_Whispered
1420473,1821,2074,UP,Phase_2_Whispered
1420477,1830,2117,UP,Phase_2_Whispered
1420481,1840,2117,UP,Phase_2_Whispered
1420485,1851,2138,UP,Phase_2_Whispered
1420489,1872,2183,UP,Phase_2_Whispered
1420493,1872,2105,UP,Phase_2_Whispered
1420497,1855,1943,UP,Phase_2_Whispered
1420501,1840,1907,UP,Phase_2_Whispered
1420505,1829,1899,UP,Phase_2_Whispered
1420509,1840,1981,UP,Phase_2_Whispered
1420513,1843,2000,UP,Phase_2_Whispered
1420517,1836,1872,UP,Phase_2_Whispered
1420521,1840,1798,UP,Phase_2_Whispered
1420525,1840,1786,UP,Phase_2_Whispered
1420529,1844,1807,UP,Phase_2_Whispered
1420533,1855,1827,UP,Phase_2_Whispered
