Timestamp,CH1,CH2,Label,Phase
2006369,1922,1890,DOWN,Phase_3_Mouthing
2006373,1925,1890,DOWN,Phase_3_Mouthing
2006377,1929,1891,DOWN,Phase_3_Mouthing
2006381,1930,1883,DOWN,Phase_3_Mouthing
2006385,1931,1903,DOWN,Phase_3_Mouthing
2006389,1921,1881,DOWN,Phase_3_Mouthing
2006393,1927,1889,DOWN,Phase_3_Mouthing
2006397,1921,1889,DOWN,Phase_3_Mouthing
2006401,1923,1879,DOWN,Phase_3_Mouthing
2006405,1927,1888,DOWN,Phase_3_Mouthing
2006409,1926,1872,DOWN,Phase_3_Mouthing
2006413,1921,1863,DOWN,Phase_3_Mouthing
2006417,1911,1878,DOWN,Phase_3_Mouthing
2006421,1919,1885,DOWN,Phase_3_Mouthing
2006425,1917,1885,DOWN,Phase_3_Mouthing
2006429,1913,1874,DOWN,Phase_3_Mouthing
2006433,1919,1875,DOWN,Phase_3_Mouthing
2006437,1915,1890,DOWN,Phase_3_Mouthing
2006441,1934,1899,DOWN,Phase_3_Mouthing
2006445,1914,1885,DOWN,Phase_3_Mouthing
2006449,1935,1873,DOWN,Phase_3_Mouthing
2006453,1925,1872,DOWN,Phase_3_Mouthing
2006457,1925,1872,DOWN,Phase_3_Mouthing
2006461,1921,1871,DOWN,Phase_3_Mouthing
2006465,1922,1882,DOWN,Phase_3_Mouthing
2006469,1922,1891,DOWN,Phase_3_Mouthing
2006473,1935,1902,DOWN,Phase_3_Mouthing
2006477,1920,1893,DOWN,Phase_3_Mouthing
2006481,1919,1872,DOWN,Phase_3_Mouthing
2006485,1915,1872,DOWN,Phase_3_Mouthing
2006489,1923,1870,DOWN,Phase_3_Mouthing
2006493,1922,1867,DOWN,Phase_3_Mouthing
2006497,1916,1871,DOWN,Phase_3_Mouthing
2006501,1923,1872,DOWN,Phase_3_Mouthing
2006505,1910,1869,DOWN,Phase_3_Mouthing
2006509,1895,1847,DOWN,Phase_3_Mouthing
2006513,1872,1818,DOWN,Phase_3_Mouthing
2006517,1843,1795,DOWN,Phase_3_Mouthing
2006521,1817,1795,DOWN,Phase_3_Mouthing
2006525,1786,1799,DOWN,Phase_3_Mouthing
2006529,1790,1809,DOWN,Phase_3_Mouthing
2006533,1817,1829,DOWN,Phase_3_Mouthing
2006537,1850,1853,DOWN,Phase_3_Mouthing
2006541,1872,1873,DOWN,Phase_3_Mouthing
2006545,1873,1869,DOWN,Phase_3_Mouthing
2006549,1883,1850,DOWN,Phase_3_Mouthing
2006553,1904,1856,DOWN,Phase_3_Mouthing
2006557,1915,1856,DOWN,Phase_3_Mouthing
2006561,1917,1850,DOWN,Phase_3_Mouthing
2006565,1911,1847,DOWN,Phase_3_Mouthing
2006569,1909,1843,DOWN,Phase_3_Mouthing
2006573,1911,1842,DOWN,Phase_3_Mouthing
2006577,1915,1840,DOWN,Phase_3_Mouthing
2006581,1920,1841,DOWN,Phase_3_Mouthing
2006585,1928,1857,DOWN,Phase_3_Mouthing
2006589,1921,1850,DOWN,Phase_3_Mouthing
2006593,1909,1847,DOWN,Phase_3_Mouthing
2006597,1906,1842,DOWN,Phase_3_Mouthing
2006601,1894,1833,DOWN,Phase_3_Mouthing
2006605,1894,1826,DOWN,Phase_3_Mouthing
2006609,1890,1815,DOWN,Phase_3_Mouthing
2006613,1893,1845,DOWN,Phase_3_Mouthing
2006617,1901,1841,DOWN,Phase_3_Mouthing
2006621,1904,1863,DOWN,Phase_3_Mouthing
2006625,1902,1842,DOWN,Phase_3_Mouthing
2006629,1898,1809,DOWN,Phase_3_Mouthing
2006633,1891,1782,DOWN,Phase_3_Mouthing
2006637,1887,1793,DOWN,Phase_3_Mouthing
2006641,1879,1792,DOWN,Phase_3_Mouthing
2006645,1872,1819,DOWN,Phase_3_Mouthing
2006649,1879,1809,DOWN,Phase_3_Mouthing
2006653,1889,1835,DOWN,Phase_3_Mouthing
2006657,1904,1867,DOWN,Phase_3_Mouthing
2006661,1909,1886,DOWN,Phase_3_Mouthing
2006665,1909,1901,DOWN,Phase_3_Mouthing
2006669,1908,1855,DOWN,Phase_3_Mouthing
2006673,1901,1842,DOWN,Phase_3_Mouthing
2006677,1904,1836,DOWN,Phase_3_Mouthing
2006681,1904,1843,DOWN,Phase_3_Mouthing
2006685,1906,1862,DOWN,Phase_3_Mouthing
2006689,1904,1865,DOWN,Phase_3_Mouthing
2006693,1902,1842,DOWN,Phase_3_Mouthing
2006697,1883,1837,DOWN,Phase_3_Mouthing
2006701,1875,1834,DOWN,Phase_3_Mouthing
2006705,1872,1867,DOWN,Phase_3_Mouthing
2006709,1840,1846,DOWN,Phase_3_Mouthing
2006713,1841,1828,DOWN,Phase_3_Mouthing
2006717,1802,1853,DOWN,Phase_3_Mouthing
2006721,1739,1870,DOWN,Phase_3_Mouthing
2006725,1782,1829,DOWN,Phase_3_Mouthing
2006729,1821,1744,DOWN,Phase_3_Mouthing
2006733,1742,1730,DOWN,Phase_3_Mouthing
2006737,1568,1840,DOWN,Phase_3_Mouthing
2006741,1499,1936,DOWN,Phase_3_Mouthing
2006745,1661,1965,DOWN,Phase_3_Mouthing
2006749,1807,2035,DOWN,Phase_3_Mouthing
2006753,1822,1981,DOWN,Phase_3_Mouthing
2006757,1999,1903,DOWN,Phase_3_Mouthing
2006761,2099,1867,DOWN,Phase_3_Mouthing
2006765,1909,1910,DOWN,Phase_3_Mouthing
2006769,1712,1941,DOWN,Phase_3_Mouthing
2006773,1712,1936,DOWN,Phase_3_Mouthing
2006777,1808,1935,DOWN,Phase_3_Mouthing
2006781,1878,1937,DOWN,Phase_3_Mouthing
2006785,2016,1948,DOWN,Phase_3_Mouthing
2006789,2094,1921,DOWN,Phase_3_Mouthing
2006793,1861,1889,DOWN,Phase_3_Mouthing
2006797,1744,1851,DOWN,Phase_3_Mouthing
2006801,1875,1839,DOWN,Phase_3_Mouthing
2006805,1953,1855,DOWN,Phase_3_Mouthing
2006809,1851,1842,DOWN,Phase_3_Mouthing
2006813,1818,1807,DOWN,Phase_3_Mouthing
2006817,1834,1764,DOWN,Phase_3_Mouthing
2006821,1823,1741,DOWN,Phase_3_Mouthing
2006825,1834,1734,DOWN,Phase_3_Mouthing
2006829,1830,1751,DOWN,Phase_3_Mouthing
2006833,1807,1762,DOWN,Phase_3_Mouthing
2006837,1791,1786,DOWN,Phase_3_Mouthing
2006841,1792,1810,DOWN,Phase_3_Mouthing
2006845,1802,1838,DOWN,Phase_3_Mouthing
2006849,1808,1851,DOWN,Phase_3_Mouthing
2006853,1795,1851,DOWN,Phase_3_Mouthing
2006857,1751,1813,DOWN,Phase_3_Mouthing
2006861,1758,1771,DOWN,Phase_3_Mouthing
2006865,1803,1764,DOWN,Phase_3_Mouthing
2006869,1818,1809,DOWN,Phase_3_Mouthing
2006873,1811,1847,DOWN,Phase_3_Mouthing
2006877,1840,1871,DOWN,Phase_3_Mouthing
2006881,1853,1843,DOWN,Phase_3_Mouthing
2006885,1857,1797,DOWN,Phase_3_Mouthing
2006889,1858,1819,DOWN,Phase_3_Mouthing
2006893,1841,1829,DOWN,Phase_3_Mouthing
2006897,1814,1798,DOWN,Phase_3_Mouthing
2006901,1840,1840,DOWN,Phase_3_Mouthing
2006905,1850,1798,DOWN,Phase_3_Mouthing
2006909,1862,1825,DOWN,Phase_3_Mouthing
2006913,1863,1875,DOWN,Phase_3_Mouthing
2006917,1856,1871,DOWN,Phase_3_Mouthing
2006921,1851,1883,DOWN,Phase_3_Mouthing
2006925,1870,1911,DOWN,Phase_3_Mouthing
2006929,1867,1825,DOWN,Phase_3_Mouthing
2006933,1870,1746,DOWN,Phase_3_Mouthing
2006937,1885,1836,DOWN,Phase_3_Mouthing
2006941,1887,1902,DOWN,Phase_3_Mouthing
2006945,1882,1933,DOWN,Phase_3_Mouthing
2006949,1867,1923,DOWN,Phase_3_Mouthing
2006953,1872,1927,DOWN,Phase_3_Mouthing
2006957,1877,1951,DOWN,Phase_3_Mouthing
2006961,1893,1953,DOWN,Phase_3_Mouthing
2006965,1901,1977,DOWN,Phase_3_Mouthing
2006969,1907,2011,DOWN,Phase_3_Mouthing
