Timestamp,CH1,CH2,Label,Phase
2144449,1935,1842,LEFT,Phase_3_Mouthing
2144453,1929,1842,LEFT,Phase_3_Mouthing
2144457,1923,1857,LEFT,Phase_3_Mouthing
2144461,1926,1865,LEFT,Phase_3_Mouthing
2144465,1925,1862,LEFT,Phase_3_Mouthing
2144469,1914,1860,LEFT,Phase_3_Mouthing
2144473,1922,1865,LEFT,Phase_3_Mouthing
2144477,1921,1865,LEFT,Phase_3_Mouthing
2144481,1933,1863,LEFT,Phase_3_Mouthing
2144485,1936,1870,LEFT,Phase_3_Mouthing
2144489,1938,1871,LEFT,Phase_3_Mouthing
2144493,1938,1878,LEFT,Phase_3_Mouthing
2144497,1949,1872,LEFT,Phase_3_Mouthing
2144501,1955,1869,LEFT,Phase_3_Mouthing
2144505,1952,1871,LEFT,Phase_3_Mouthing
2144509,1949,1865,LEFT,Phase_3_Mouthing
2144513,1951,1872,LEFT,Phase_3_Mouthing
2144517,1952,1872,LEFT,Phase_3_Mouthing
2144521,1947,1872,LEFT,Phase_3_Mouthing
2144525,1947,1887,LEFT,Phase_3_Mouthing
2144529,1943,1891,LEFT,Phase_3_Mouthing
2144533,1943,1881,LEFT,Phase_3_Mouthing
2144537,1937,1871,LEFT,Phase_3_Mouthing
2144541,1934,1877,LEFT,Phase_3_Mouthing
2144545,1936,1883,LEFT,Phase_3_Mouthing
2144549,1940,1881,LEFT,Phase_3_Mouthing
2144553,1938,1887,LEFT,Phase_3_Mouthing
2144557,1942,1895,LEFT,Phase_3_Mouthing
2144561,1939,1893,LEFT,Phase_3_Mouthing
2144565,1931,1882,LEFT,Phase_3_Mouthing
2144569,1943,1871,LEFT,Phase_3_Mouthing
2144573,1939,1877,LEFT,Phase_3_Mouthing
2144577,1937,1883,LEFT,Phase_3_Mouthing
2144581,1941,1889,LEFT,Phase_3_Mouthing
2144585,1943,1890,LEFT,Phase_3_Mouthing
2144589,1969,1882,LEFT,Phase_3_Mouthing
2144593,1950,1872,LEFT,Phase_3_Mouthing
2144597,1932,1872,LEFT,Phase_3_Mouthing
2144601,1938,1890,LEFT,Phase_3_Mouthing
2144605,1935,1870,LEFT,Phase_3_Mouthing
2144609,1942,1863,LEFT,Phase_3_Mouthing
2144613,1943,1871,LEFT,Phase_3_Mouthing
2144617,1936,1872,LEFT,Phase_3_Mouthing
