Timestamp,CH1,CH2,Label,Phase
1848389,1903,1790,NOISE,Phase_3_Mouthing
1848393,1894,1799,NOISE,Phase_3_Mouthing
1848397,1899,1822,NOISE,Phase_3_Mouthing
1848401,1916,1821,NOISE,Phase_3_Mouthing
1848405,1910,1793,NOISE,Phase_3_Mouthing
1848409,1920,1776,NOISE,Phase_3_Mouthing
1848413,1923,1773,NOISE,Phase_3_Mouthing
1848417,1916,1799,NOISE,Phase_3_Mouthing
1848421,1901,1810,NOISE,Phase_3_Mouthing
1848425,1909,1817,NOISE,Phase_3_Mouthing
1848429,1904,1808,NOISE,Phase_3_Mouthing
1848433,1884,1767,NOISE,Phase_3_Mouthing
1848437,1855,1835,NOISE,Phase_3_Mouthing
1848441,1875,1817,NOISE,Phase_3_Mouthing
1848445,1927,1766,NOISE,Phase_3_Mouthing
1848449,1955,1745,NOISE,Phase_3_Mouthing
1848453,1920,1773,NOISE,Phase_3_Mouthing
1848457,1868,1794,NOISE,Phase_3_Mouthing
1848461,1863,1820,NOISE,Phase_3_Mouthing
1848465,1873,1856,NOISE,Phase_3_Mouthing
1848469,1920,1872,NOISE,Phase_3_Mouthing
1848473,1920,1832,NOISE,Phase_3_Mouthing
1848477,1909,1749,NOISE,Phase_3_Mouthing
1848481,1915,1699,NOISE,Phase_3_Mouthing
1848485,1904,1716,NOISE,Phase_3_Mouthing
1848489,1808,1791,NOISE,Phase_3_Mouthing
1848493,1722,1841,NOISE,Phase_3_Mouthing
1848497,1751,1827,NOISE,Phase_3_Mouthing
1848501,1851,1797,NOISE,Phase_3_Mouthing
1848505,1891,1872,NOISE,Phase_3_Mouthing
1848509,1872,1813,NOISE,Phase_3_Mouthing
1848513,1957,1712,NOISE,Phase_3_Mouthing
1848517,1994,1605,NOISE,Phase_3_Mouthing
1848521,1827,1661,NOISE,Phase_3_Mouthing
1848525,1805,1808,NOISE,Phase_3_Mouthing
1848529,1890,1929,NOISE,Phase_3_Mouthing
1848533,1948,2028,NOISE,Phase_3_Mouthing
1848537,2013,1719,NOISE,Phase_3_Mouthing
1848541,2001,1501,NOISE,Phase_3_Mouthing
1848545,1969,1488,NOISE,Phase_3_Mouthing
1848549,1915,1621,NOISE,Phase_3_Mouthing
1848553,1910,1741,NOISE,Phase_3_Mouthing
1848557,1885,1953,NOISE,Phase_3_Mouthing
1848561,1843,1883,NOISE,Phase_3_Mouthing
1848565,1829,1554,NOISE,Phase_3_Mouthing
1848569,1814,1647,NOISE,Phase_3_Mouthing
1848573,1754,1946,NOISE,Phase_3_Mouthing
1848577,1759,1962,NOISE,Phase_3_Mouthing
1848581,1691,1785,NOISE,Phase_3_Mouthing
1848585,1700,1611,NOISE,Phase_3_Mouthing
1848589,1862,1843,NOISE,Phase_3_Mouthing
1848593,1857,1972,NOISE,Phase_3_Mouthing
1848597,1867,1558,NOISE,Phase_3_Mouthing
1848601,1813,1488,NOISE,Phase_3_Mouthing
1848605,1707,1979,NOISE,Phase_3_Mouthing
1848609,1691,2285,NOISE,Phase_3_Mouthing
1848613,1754,2416,NOISE,Phase_3_Mouthing
1848617,1791,2135,NOISE,Phase_3_Mouthing
1848621,1836,1843,NOISE,Phase_3_Mouthing
1848625,1837,1648,NOISE,Phase_3_Mouthing
1848629,1776,1701,NOISE,Phase_3_Mouthing
1848633,1754,1756,NOISE,Phase_3_Mouthing
1848637,1769,2155,NOISE,Phase_3_Mouthing
1848641,1723,2538,NOISE,Phase_3_Mouthing
1848645,1722,2625,NOISE,Phase_3_Mouthing
1848649,1837,2450,NOISE,Phase_3_Mouthing
1848653,1946,2272,NOISE,Phase_3_Mouthing
1848657,1911,2394,NOISE,Phase_3_Mouthing
1848661,1766,2799,NOISE,Phase_3_Mouthing
1848665,1667,3219,NOISE,Phase_3_Mouthing
1848669,1622,2704,NOISE,Phase_3_Mouthing
1848673,1654,2221,NOISE,Phase_3_Mouthing
1848677,1751,2646,NOISE,Phase_3_Mouthing
1848681,1872,3415,NOISE,Phase_3_Mouthing
1848685,1840,3181,NOISE,Phase_3_Mouthing
1848689,1809,3187,NOISE,Phase_3_Mouthing
1848693,1813,3273,NOISE,Phase_3_Mouthing
1848697,1696,3356,NOISE,Phase_3_Mouthing
1848701,1521,3824,NOISE,Phase_3_Mouthing
1848705,1627,2757,NOISE,Phase_3_Mouthing
1848709,1822,2294,NOISE,Phase_3_Mouthing
1848713,1827,2774,NOISE,Phase_3_Mouthing
1848717,1693,4095,NOISE,Phase_3_Mouthing
1848721,1637,4095,NOISE,Phase_3_Mouthing
1848725,1630,4032,NOISE,Phase_3_Mouthing
1848729,1706,2975,NOISE,Phase_3_Mouthing
1848733,1850,2803,NOISE,Phase_3_Mouthing
1848737,1872,3056,NOISE,Phase_3_Mouthing
