Timestamp,CH1,CH2,Label,Phase
1954209,1934,1877,RIGHT,Phase_3_Mouthing
1954213,1934,1877,RIGHT,Phase_3_Mouthing
1954217,1925,1885,RIGHT,Phase_3_Mouthing
1954221,1925,1889,RIGHT,Phase_3_Mouthing
1954225,1927,1895,RIGHT,Phase_3_Mouthing
1954229,1923,1887,RIGHT,Phase_3_Mouthing
1954233,1926,1889,RIGHT,Phase_3_Mouthing
1954237,1934,1891,RIGHT,Phase_3_Mouthing
1954241,1904,1887,RIGHT,Phase_3_Mouthing
1954245,1915,1873,RIGHT,Phase_3_Mouthing
1954249,1906,1872,RIGHT,Phase_3_Mouthing
1954253,1915,1872,RIGHT,Phase_3_Mouthing
1954257,1917,1877,RIGHT,Phase_3_Mouthing
1954261,1915,1887,RIGHT,Phase_3_Mouthing
1954265,1913,1879,RIGHT,Phase_3_Mouthing
1954269,1904,1868,RIGHT,Phase_3_Mouthing
1954273,1907,1871,RIGHT,Phase_3_Mouthing
1954277,1909,1872,RIGHT,Phase_3_Mouthing
1954281,1904,1870,RIGHT,Phase_3_Mouthing
1954285,1898,1870,RIGHT,Phase_3_Mouthing
1954289,1895,1872,RIGHT,Phase_3_Mouthing
1954293,1892,1873,RIGHT,Phase_3_Mouthing
1954297,1904,1873,RIGHT,Phase_3_Mouthing
1954301,1904,1868,RIGHT,Phase_3_Mouthing
1954305,1915,1875,RIGHT,Phase_3_Mouthing
1954309,1918,1876,RIGHT,Phase_3_Mouthing
1954313,1920,1881,RIGHT,Phase_3_Mouthing
1954317,1927,1876,RIGHT,Phase_3_Mouthing
1954321,1915,1872,RIGHT,Phase_3_Mouthing
1954325,1915,1872,RIGHT,Phase_3_Mouthing
1954329,1919,1872,RIGHT,Phase_3_Mouthing
1954333,1926,1872,RIGHT,Phase_3_Mouthing
1954337,1943,1882,RIGHT,Phase_3_Mouthing
1954341,1934,1890,RIGHT,Phase_3_Mouthing
1954345,1933,1888,RIGHT,Phase_3_Mouthing
1954349,1934,1878,RIGHT,Phase_3_Mouthing
1954353,1936,1875,RIGHT,Phase_3_Mouthing
1954357,1936,1873,RIGHT,Phase_3_Mouthing
1954361,1935,1873,RIGHT,Phase_3_Mouthing
1954365,1934,1875,RIGHT,Phase_3_Mouthing
1954369,1932,1877,RIGHT,Phase_3_Mouthing
1954373,1929,1878,RIGHT,Phase_3_Mouthing
1954377,1927,1877,RIGHT,Phase_3_Mouthing
1954381,1927,1875,RIGHT,Phase_3_Mouthing
1954385,1925,1884,RIGHT,Phase_3_Mouthing
1954389,1925,1878,RIGHT,Phase_3_Mouthing
1954393,1919,1872,RIGHT,Phase_3_Mouthing
1954397,1918,1871,RIGHT,Phase_3_Mouthing
1954401,1919,1872,RIGHT,Phase_3_Mouthing
1954405,1934,1872,RIGHT,Phase_3_Mouthing
1954409,1924,1875,RIGHT,Phase_3_Mouthing
1954413,1916,1879,RIGHT,Phase_3_Mouthing
1954417,1911,1877,RIGHT,Phase_3_Mouthing
1954421,1915,1875,RIGHT,Phase_3_Mouthing
1954425,1925,1875,RIGHT,Phase_3_Mouthing
1954429,1925,1871,RIGHT,Phase_3_Mouthing
1954433,1932,1873,RIGHT,Phase_3_Mouthing
1954437,1931,1873,RIGHT,Phase_3_Mouthing
1954441,1926,1866,RIGHT,Phase_3_Mouthing
1954445,1921,1856,RIGHT,Phase_3_Mouthing
1954449,1911,1866,RIGHT,Phase_3_Mouthing
1954453,1909,1874,RIGHT,Phase_3_Mouthing
1954457,1911,1872,RIGHT,Phase_3_Mouthing
1954461,1927,1859,RIGHT,Phase_3_Mouthing
1954465,1927,1863,RIGHT,Phase_3_Mouthing
1954469,1925,1874,RIGHT,Phase_3_Mouthing
1954473,1909,1872,RIGHT,Phase_3_Mouthing
1954477,1890,1858,RIGHT,Phase_3_Mouthing
1954481,1861,1843,RIGHT,Phase_3_Mouthing
1954485,1824,1838,RIGHT,Phase_3_Mouthing
1954489,1798,1853,RIGHT,Phase_3_Mouthing
1954493,1795,1846,RIGHT,Phase_3_Mouthing
1954497,1811,1874,RIGHT,Phase_3_Mouthing
1954501,1851,1904,RIGHT,Phase_3_Mouthing
1954505,1897,1932,RIGHT,Phase_3_Mouthing
1954509,1911,1945,RIGHT,Phase_3_Mouthing
1954513,1913,1930,RIGHT,Phase_3_Mouthing
1954517,1898,1915,RIGHT,Phase_3_Mouthing
1954521,1904,1915,RIGHT,Phase_3_Mouthing
1954525,1945,1936,RIGHT,Phase_3_Mouthing
1954529,1983,1968,RIGHT,Phase_3_Mouthing
1954533,1986,1951,RIGHT,Phase_3_Mouthing
1954537,1959,1952,RIGHT,Phase_3_Mouthing
1954541,1946,1937,RIGHT,Phase_3_Mouthing
1954545,1936,1936,RIGHT,Phase_3_Mouthing
1954549,1927,1953,RIGHT,Phase_3_Mouthing
1954553,1892,1975,RIGHT,Phase_3_Mouthing
1954557,1882,1975,RIGHT,Phase_3_Mouthing
1954561,1953,1991,RIGHT,Phase_3_Mouthing
1954565,2035,2005,RIGHT,Phase_3_Mouthing
1954569,2013,2020,RIGHT,Phase_3_Mouthing
1954573,1985,1984,RIGHT,Phase_3_Mouthing
1954577,2022,1967,RIGHT,Phase_3_Mouthing
1954581,2032,1941,RIGHT,Phase_3_Mouthing
1954585,1933,1959,RIGHT,Phase_3_Mouthing
1954589,1872,1947,RIGHT,Phase_3_Mouthing
1954593,1856,1945,RIGHT,Phase_3_Mouthing
1954597,1859,1951,RIGHT,Phase_3_Mouthing
1954601,1947,1967,RIGHT,Phase_3_Mouthing
1954605,1917,1952,RIGHT,Phase_3_Mouthing
1954609,1857,1913,RIGHT,Phase_3_Mouthing
1954613,1927,1854,RIGHT,Phase_3_Mouthing
1954617,1828,1863,RIGHT,Phase_3_Mouthing
1954621,1535,1919,RIGHT,Phase_3_Mouthing
1954625,1645,1971,RIGHT,Phase_3_Mouthing
1954629,2065,1950,RIGHT,Phase_3_Mouthing
1954633,2293,1841,RIGHT,Phase_3_Mouthing
1954637,2214,1776,RIGHT,Phase_3_Mouthing
1954641,2055,1787,RIGHT,Phase_3_Mouthing
1954645,1907,1842,RIGHT,Phase_3_Mouthing
1954649,1761,1859,RIGHT,Phase_3_Mouthing
1954653,1664,1904,RIGHT,Phase_3_Mouthing
1954657,1751,1857,RIGHT,Phase_3_Mouthing
1954661,1904,1793,RIGHT,Phase_3_Mouthing
1954665,1979,1808,RIGHT,Phase_3_Mouthing
1954669,1979,1815,RIGHT,Phase_3_Mouthing
1954673,1941,1847,RIGHT,Phase_3_Mouthing
1954677,1900,1827,RIGHT,Phase_3_Mouthing
1954681,1858,1790,RIGHT,Phase_3_Mouthing
1954685,1865,1741,RIGHT,Phase_3_Mouthing
1954689,1889,1703,RIGHT,Phase_3_Mouthing
1954693,1902,1730,RIGHT,Phase_3_Mouthing
1954697,1888,1717,RIGHT,Phase_3_Mouthing
1954701,1872,1712,RIGHT,Phase_3_Mouthing
1954705,1840,1761,RIGHT,Phase_3_Mouthing
1954709,1809,1781,RIGHT,Phase_3_Mouthing
1954713,1805,1787,RIGHT,Phase_3_Mouthing
1954717,1801,1792,RIGHT,Phase_3_Mouthing
1954721,1785,1750,RIGHT,Phase_3_Mouthing
1954725,1787,1731,RIGHT,Phase_3_Mouthing
1954729,1776,1735,RIGHT,Phase_3_Mouthing
1954733,1757,1785,RIGHT,Phase_3_Mouthing
1954737,1741,1777,RIGHT,Phase_3_Mouthing
1954741,1744,1773,RIGHT,Phase_3_Mouthing
1954745,1742,1804,RIGHT,Phase_3_Mouthing
1954749,1747,1783,RIGHT,Phase_3_Mouthing
1954753,1744,1777,RIGHT,Phase_3_Mouthing
1954757,1730,1758,RIGHT,Phase_3_Mouthing
1954761,1740,1765,RIGHT,Phase_3_Mouthing
1954765,1739,1825,RIGHT,Phase_3_Mouthing
1954769,1731,1870,RIGHT,Phase_3_Mouthing
1954773,1745,1861,RIGHT,Phase_3_Mouthing
1954777,1771,1889,RIGHT,Phase_3_Mouthing
1954781,1789,1955,RIGHT,Phase_3_Mouthing
1954785,1790,1923,RIGHT,Phase_3_Mouthing
1954789,1796,1871,RIGHT,Phase_3_Mouthing
1954793,1793,1883,RIGHT,Phase_3_Mouthing
1954797,1808,1953,RIGHT,Phase_3_Mouthing
1954801,1830,1984,RIGHT,Phase_3_Mouthing
1954805,1840,1937,RIGHT,Phase_3_Mouthing
1954809,1838,1921,RIGHT,Phase_3_Mouthing
1954813,1851,1936,RIGHT,Phase_3_Mouthing
1954817,1871,1941,RIGHT,Phase_3_Mouthing
1954821,1867,1986,RIGHT,Phase_3_Mouthing
1954825,1870,2038,RIGHT,Phase_3_Mouthing
1954829,1882,2064,RIGHT,Phase_3_Mouthing
1954833,1886,2033,RIGHT,Phase_3_Mouthing
1954837,1874,1998,RIGHT,Phase_3_Mouthing
1954841,1883,2011,RIGHT,Phase_3_Mouthing
1954845,1891,2019,RIGHT,Phase_3_Mouthing
1954849,1889,2014,RIGHT,Phase_3_Mouthing
1954853,1890,2014,RIGHT,Phase_3_Mouthing
1954857,1894,2006,RIGHT,Phase_3_Mouthing
1954861,1875,1998,RIGHT,Phase_3_Mouthing
1954865,1914,1998,RIGHT,Phase_3_Mouthing
1954869,1918,2002,RIGHT,Phase_3_Mouthing
1954873,1911,2017,RIGHT,Phase_3_Mouthing
1954877,1919,1983,RIGHT,Phase_3_Mouthing
1954881,1930,1955,RIGHT,Phase_3_Mouthing
1954885,1941,1954,RIGHT,Phase_3_Mouthing
1954889,1947,1982,RIGHT,Phase_3_Mouthing
1954893,1959,2014,RIGHT,Phase_3_Mouthing
1954897,1953,2041,RIGHT,Phase_3_Mouthing
1954901,1937,2032,RIGHT,Phase_3_Mouthing
1954905,1941,1998,RIGHT,Phase_3_Mouthing
1954909,1939,1971,RIGHT,Phase_3_Mouthing
1954913,1949,1968,RIGHT,Phase_3_Mouthing
1954917,1954,1973,RIGHT,Phase_3_Mouthing
1954921,1954,1982,RIGHT,Phase_3_Mouthing
1954925,1955,1978,RIGHT,Phase_3_Mouthing
1954929,1959,1946,RIGHT,Phase_3_Mouthing
1954933,1951,1947,RIGHT,Phase_3_Mouthing
1954937,1966,1966,RIGHT,Phase_3_Mouthing
1954941,1971,1949,RIGHT,Phase_3_Mouthing
1954945,1955,1951,RIGHT,Phase_3_Mouthing
1954949,1917,1968,RIGHT,Phase_3_Mouthing
1954953,1936,1968,RIGHT,Phase_3_Mouthing
1954957,2013,1957,RIGHT,Phase_3_Mouthing
1954961,2015,1943,RIGHT,Phase_3_Mouthing
1954965,1953,1925,RIGHT,Phase_3_Mouthing
1954969,1922,1911,RIGHT,Phase_3_Mouthing
1954973,1972,1907,RIGHT,Phase_3_Mouthing
1954977,2033,1910,RIGHT,Phase_3_Mouthing
1954981,2069,1906,RIGHT,Phase_3_Mouthing
1954985,2038,1898,RIGHT,Phase_3_Mouthing
1954989,1999,1893,RIGHT,Phase_3_Mouthing
1954993,1965,1891,RIGHT,Phase_3_Mouthing
1954997,1963,1874,RIGHT,Phase_3_Mouthing
1955001,1968,1858,RIGHT,Phase_3_Mouthing
1955005,1974,1840,RIGHT,Phase_3_Mouthing
1955009,2000,1830,RIGHT,Phase_3_Mouthing
1955013,2001,1831,RIGHT,Phase_3_Mouthing
1955017,1993,1853,RIGHT,Phase_3_Mouthing
1955021,1953,1857,RIGHT,Phase_3_Mouthing
1955025,1917,1829,RIGHT,Phase_3_Mouthing
1955029,1911,1808,RIGHT,Phase_3_Mouthing
1955033,1918,1819,RIGHT,Phase_3_Mouthing
1955037,1934,1859,RIGHT,Phase_3_Mouthing
1955041,1970,1818,RIGHT,Phase_3_Mouthing
1955045,2003,1794,RIGHT,Phase_3_Mouthing
1955049,2000,1792,RIGHT,Phase_3_Mouthing
1955053,1990,1811,RIGHT,Phase_3_Mouthing
1955057,1951,1791,RIGHT,Phase_3_Mouthing
1955061,1945,1790,RIGHT,Phase_3_Mouthing
1955065,1958,1808,RIGHT,Phase_3_Mouthing
1955069,1978,1801,RIGHT,Phase_3_Mouthing
1955073,1963,1791,RIGHT,Phase_3_Mouthing
1955077,1991,1783,RIGHT,Phase_3_Mouthing
1955081,1969,1782,RIGHT,Phase_3_Mouthing
1955085,1955,1789,RIGHT,Phase_3_Mouthing
1955089,1943,1808,RIGHT,Phase_3_Mouthing
1955093,1938,1799,RIGHT,Phase_3_Mouthing
1955097,1930,1772,RIGHT,Phase_3_Mouthing
1955101,1909,1757,RIGHT,Phase_3_Mouthing
