Timestamp,CH1,CH2,Label,Phase
1809157,1915,1847,SILENCE,Phase_3_Mouthing
1809161,1919,1869,SILENCE,Phase_3_Mouthing
1809165,1920,1904,SILENCE,Phase_3_Mouthing
1809169,1922,1882,SILENCE,Phase_3_Mouthing
1809173,1919,1893,SILENCE,Phase_3_Mouthing
1809177,1919,1897,SILENCE,Phase_3_Mouthing
1809181,1936,1902,SILENCE,Phase_3_Mouthing
1809185,1920,1902,SILENCE,Phase_3_Mouthing
1809189,1918,1905,SILENCE,Phase_3_Mouthing
1809193,1918,1913,SILENCE,Phase_3_Mouthing
1809197,1930,1889,SILENCE,Phase_3_Mouthing
1809201,1915,1859,SILENCE,Phase_3_Mouthing
1809205,1926,1881,SILENCE,Phase_3_Mouthing
1809209,1920,1889,SILENCE,Phase_3_Mouthing
1809213,1920,1898,SILENCE,Phase_3_Mouthing
1809217,1920,1885,SILENCE,Phase_3_Mouthing
1809221,1927,1894,SILENCE,Phase_3_Mouthing
1809225,1929,1889,SILENCE,Phase_3_Mouthing
1809229,1929,1873,SILENCE,Phase_3_Mouthing
1809233,1927,1900,SILENCE,Phase_3_Mouthing
1809237,1921,1904,SILENCE,Phase_3_Mouthing
1809241,1919,1891,SILENCE,Phase_3_Mouthing
1809245,1921,1895,SILENCE,Phase_3_Mouthing
1809249,1921,1898,SILENCE,Phase_3_Mouthing
1809253,1924,1898,SILENCE,Phase_3_Mouthing
1809257,1929,1902,SILENCE,Phase_3_Mouthing
1809261,1934,1905,SILENCE,Phase_3_Mouthing
1809265,1925,1910,SILENCE,Phase_3_Mouthing
1809269,1931,1906,SILENCE,Phase_3_Mouthing
1809273,1921,1897,SILENCE,Phase_3_Mouthing
1809277,1927,1901,SILENCE,Phase_3_Mouthing
1809281,1936,1877,SILENCE,Phase_3_Mouthing
1809285,1921,1873,SILENCE,Phase_3_Mouthing
1809289,1925,1885,SILENCE,Phase_3_Mouthing
1809293,1934,1899,SILENCE,Phase_3_Mouthing
1809297,1941,1898,SILENCE,Phase_3_Mouthing
1809301,1936,1901,SILENCE,Phase_3_Mouthing
1809305,1936,1889,SILENCE,Phase_3_Mouthing
1809309,1936,1876,SILENCE,Phase_3_Mouthing
1809313,1913,1872,SILENCE,Phase_3_Mouthing
1809317,1872,1858,SILENCE,Phase_3_Mouthing
1809321,1831,1845,SILENCE,Phase_3_Mouthing
1809325,1812,1853,SILENCE,Phase_3_Mouthing
1809329,1821,1856,SILENCE,Phase_3_Mouthing
1809333,1857,1849,SILENCE,Phase_3_Mouthing
1809337,1871,1860,SILENCE,Phase_3_Mouthing
1809341,1883,1877,SILENCE,Phase_3_Mouthing
1809345,1915,1891,SILENCE,Phase_3_Mouthing
1809349,1922,1904,SILENCE,Phase_3_Mouthing
1809353,1921,1922,SILENCE,Phase_3_Mouthing
1809357,1918,1911,SILENCE,Phase_3_Mouthing
1809361,1921,1877,SILENCE,Phase_3_Mouthing
1809365,1925,1870,SILENCE,Phase_3_Mouthing
1809369,1921,1879,SILENCE,Phase_3_Mouthing
1809373,1938,1904,SILENCE,Phase_3_Mouthing
1809377,1934,1904,SILENCE,Phase_3_Mouthing
1809381,1933,1904,SILENCE,Phase_3_Mouthing
1809385,1939,1917,SILENCE,Phase_3_Mouthing
1809389,1950,1895,SILENCE,Phase_3_Mouthing
1809393,1943,1861,SILENCE,Phase_3_Mouthing
1809397,1951,1859,SILENCE,Phase_3_Mouthing
1809401,1953,1892,SILENCE,Phase_3_Mouthing
1809405,1940,1908,SILENCE,Phase_3_Mouthing
1809409,1936,1905,SILENCE,Phase_3_Mouthing
1809413,1939,1901,SILENCE,Phase_3_Mouthing
1809417,1939,1880,SILENCE,Phase_3_Mouthing
1809421,1942,1886,SILENCE,Phase_3_Mouthing
1809425,1940,1904,SILENCE,Phase_3_Mouthing
