Timestamp,CH1,CH2,Label,Phase
1833749,2027,2029,UP,Phase_3_Mouthing
1833753,2027,2025,UP,Phase_3_Mouthing
1833757,2018,2017,UP,Phase_3_Mouthing
1833761,2013,2013,UP,Phase_3_Mouthing
1833765,2029,2019,UP,Phase_3_Mouthing
1833769,2035,2004,UP,Phase_3_Mouthing
1833773,2034,2022,UP,Phase_3_Mouthing
1833777,2025,2041,UP,Phase_3_Mouthing
1833781,2027,2047,UP,Phase_3_Mouthing
1833785,2030,2031,UP,Phase_3_Mouthing
1833789,2018,2033,UP,Phase_3_Mouthing
1833793,2018,2038,UP,Phase_3_Mouthing
1833797,2027,2026,UP,Phase_3_Mouthing
1833801,2032,2055,UP,Phase_3_Mouthing
1833805,2030,2039,UP,Phase_3_Mouthing
1833809,2026,2029,UP,Phase_3_Mouthing
1833813,2019,2041,UP,Phase_3_Mouthing
1833817,2023,2021,UP,Phase_3_Mouthing
1833821,2021,1986,UP,Phase_3_Mouthing
1833825,2012,2000,UP,Phase_3_Mouthing
1833829,1991,2065,UP,Phase_3_Mouthing
1833833,1967,2002,UP,Phase_3_Mouthing
1833837,1927,1910,UP,Phase_3_Mouthing
1833841,1877,1879,UP,Phase_3_Mouthing
1833845,1847,1887,UP,Phase_3_Mouthing
1833849,1823,1929,UP,Phase_3_Mouthing
1833853,1840,1996,UP,Phase_3_Mouthing
1833857,1915,2015,UP,Phase_3_Mouthing
1833861,1971,2059,UP,Phase_3_Mouthing
1833865,1970,2017,UP,Phase_3_Mouthing
1833869,1957,1957,UP,Phase_3_Mouthing
1833873,1926,1926,UP,Phase_3_Mouthing
1833877,1924,1955,UP,Phase_3_Mouthing
1833881,1919,1958,UP,Phase_3_Mouthing
1833885,1895,1914,UP,Phase_3_Mouthing
1833889,1844,1919,UP,Phase_3_Mouthing
1833893,1878,1951,UP,Phase_3_Mouthing
1833897,1963,1918,UP,Phase_3_Mouthing
1833901,1980,1921,UP,Phase_3_Mouthing
1833905,1962,1886,UP,Phase_3_Mouthing
1833909,1891,1840,UP,Phase_3_Mouthing
1833913,1820,1851,UP,Phase_3_Mouthing
1833917,1712,1926,UP,Phase_3_Mouthing
1833921,1757,1872,UP,Phase_3_Mouthing
1833925,1899,1917,UP,Phase_3_Mouthing
1833929,1927,1889,UP,Phase_3_Mouthing
1833933,1929,1726,UP,Phase_3_Mouthing
1833937,1950,1716,UP,Phase_3_Mouthing
1833941,1850,1985,UP,Phase_3_Mouthing
1833945,1789,2053,UP,Phase_3_Mouthing
1833949,1833,1760,UP,Phase_3_Mouthing
1833953,1839,1535,UP,Phase_3_Mouthing
1833957,1936,1644,UP,Phase_3_Mouthing
1833961,1938,2205,UP,Phase_3_Mouthing
1833965,1890,2122,UP,Phase_3_Mouthing
1833969,1819,1835,UP,Phase_3_Mouthing
1833973,1750,1924,UP,Phase_3_Mouthing
1833977,1785,1935,UP,Phase_3_Mouthing
1833981,1856,1523,UP,Phase_3_Mouthing
1833985,1901,1565,UP,Phase_3_Mouthing
1833989,1904,2032,UP,Phase_3_Mouthing
1833993,1805,2043,UP,Phase_3_Mouthing
1833997,1618,2258,UP,Phase_3_Mouthing
1834001,1620,2413,UP,Phase_3_Mouthing
1834005,1725,2317,UP,Phase_3_Mouthing
1834009,1766,1935,UP,Phase_3_Mouthing
1834013,1750,1734,UP,Phase_3_Mouthing
1834017,1767,1942,UP,Phase_3_Mouthing
1834021,1744,2378,UP,Phase_3_Mouthing
1834025,1725,3181,UP,Phase_3_Mouthing
1834029,1761,3118,UP,Phase_3_Mouthing
1834033,1744,2555,UP,Phase_3_Mouthing
1834037,1713,2194,UP,Phase_3_Mouthing
1834041,1722,2373,UP,Phase_3_Mouthing
1834045,1729,3255,UP,Phase_3_Mouthing
1834049,1665,3856,UP,Phase_3_Mouthing
1834053,1711,3934,UP,Phase_3_Mouthing
1834057,1776,2416,UP,Phase_3_Mouthing
1834061,1735,1985,UP,Phase_3_Mouthing
1834065,1669,2284,UP,Phase_3_Mouthing
1834069,1597,2815,UP,Phase_3_Mouthing
1834073,1617,3434,UP,Phase_3_Mouthing
1834077,1714,3885,UP,Phase_3_Mouthing
1834081,1723,3535,UP,Phase_3_Mouthing
1834085,1754,2592,UP,Phase_3_Mouthing
1834089,1805,2481,UP,Phase_3_Mouthing
1834093,1827,2693,UP,Phase_3_Mouthing
1834097,1759,2554,UP,Phase_3_Mouthing
1834101,1639,2618,UP,Phase_3_Mouthing
1834105,1725,2847,UP,Phase_3_Mouthing
1834109,1851,3008,UP,Phase_3_Mouthing
1834113,1857,3247,UP,Phase_3_Mouthing
1834117,1836,3254,UP,Phase_3_Mouthing
1834121,1782,2858,UP,Phase_3_Mouthing
1834125,1728,2608,UP,Phase_3_Mouthing
1834129,1710,2616,UP,Phase_3_Mouthing
1834133,1735,2749,UP,Phase_3_Mouthing
1834137,1803,2896,UP,Phase_3_Mouthing
1834141,1813,3195,UP,Phase_3_Mouthing
1834145,1838,3010,UP,Phase_3_Mouthing
1834149,1872,2489,UP,Phase_3_Mouthing
1834153,1873,2347,UP,Phase_3_Mouthing
1834157,1856,2475,UP,Phase_3_Mouthing
1834161,1839,2610,UP,Phase_3_Mouthing
1834165,1831,2654,UP,Phase_3_Mouthing
1834169,1826,2601,UP,Phase_3_Mouthing
1834173,1817,2512,UP,Phase_3_Mouthing
1834177,1840,2544,UP,Phase_3_Mouthing
1834181,1873,2624,UP,Phase_3_Mouthing
1834185,1872,2629,UP,Phase_3_Mouthing
1834189,1851,2480,UP,Phase_3_Mouthing
1834193,1851,2350,UP,Phase_3_Mouthing
1834197,1852,2235,UP,Phase_3_Mouthing
1834201,1854,2101,UP,Phase_3_Mouthing
1834205,1856,2091,UP,Phase_3_Mouthing
1834209,1886,2230,UP,Phase_3_Mouthing
1834213,1901,2301,UP,Phase_3_Mouthing
1834217,1904,2183,UP,Phase_3_Mouthing
1834221,1868,1996,UP,Phase_3_Mouthing
1834225,1869,2003,UP,Phase_3_Mouthing
1834229,1895,1968,UP,Phase_3_Mouthing
1834233,1885,1870,UP,Phase_3_Mouthing
1834237,1909,1787,UP,Phase_3_Mouthing
1834241,1915,1717,UP,Phase_3_Mouthing
1834245,1889,1680,UP,Phase_3_Mouthing
1834249,1875,1681,UP,Phase_3_Mouthing
1834253,1890,1798,UP,Phase_3_Mouthing
1834257,1908,1781,UP,Phase_3_Mouthing
1834261,1910,1668,UP,Phase_3_Mouthing
1834265,1903,1644,UP,Phase_3_Mouthing
1834269,1904,1695,UP,Phase_3_Mouthing
1834273,1917,1726,UP,Phase_3_Mouthing
1834277,1926,1715,UP,Phase_3_Mouthing
1834281,1939,1682,UP,Phase_3_Mouthing
1834285,1949,1735,UP,Phase_3_Mouthing
1834289,1950,1719,UP,Phase_3_Mouthing
1834293,1946,1699,UP,Phase_3_Mouthing
1834297,1936,1722,UP,Phase_3_Mouthing
1834301,1934,1781,UP,Phase_3_Mouthing
1834305,1939,1744,UP,Phase_3_Mouthing
1834309,1953,1667,UP,Phase_3_Mouthing
1834313,1954,1631,UP,Phase_3_Mouthing
1834317,1936,1657,UP,Phase_3_Mouthing
1834321,1935,1680,UP,Phase_3_Mouthing
1834325,1932,1631,UP,Phase_3_Mouthing
1834329,1932,1571,UP,Phase_3_Mouthing
1834333,1951,1623,UP,Phase_3_Mouthing
1834337,1936,1671,UP,Phase_3_Mouthing
1834341,1936,1598,UP,Phase_3_Mouthing
1834345,1936,1488,UP,Phase_3_Mouthing
1834349,1947,1498,UP,Phase_3_Mouthing
1834353,1946,1580,UP,Phase_3_Mouthing
1834357,1946,1574,UP,Phase_3_Mouthing
1834361,1947,1557,UP,Phase_3_Mouthing
1834365,1946,1535,UP,Phase_3_Mouthing
1834369,1927,1513,UP,Phase_3_Mouthing
1834373,1922,1591,UP,Phase_3_Mouthing
1834377,1936,1610,UP,Phase_3_Mouthing
1834381,1931,1571,UP,Phase_3_Mouthing
1834385,1882,1426,UP,Phase_3_Mouthing
1834389,1872,1434,UP,Phase_3_Mouthing
1834393,1919,1502,UP,Phase_3_Mouthing
1834397,1975,1493,UP,Phase_3_Mouthing
1834401,1971,1472,UP,Phase_3_Mouthing
1834405,1954,1450,UP,Phase_3_Mouthing
