Timestamp,CH1,CH2,Label,Phase
4049713,1912,1822,DOWN,Phase_5_Exaggerated
4049717,1909,1823,DOWN,Phase_5_Exaggerated
4049721,1920,1824,DOWN,Phase_5_Exaggerated
4049725,1913,1837,DOWN,Phase_5_Exaggerated
4049729,1913,1837,DOWN,Phase_5_Exaggerated
4049733,1920,1842,DOWN,Phase_5_Exaggerated
4049737,1926,1841,DOWN,Phase_5_Exaggerated
4049741,1919,1851,DOWN,Phase_5_Exaggerated
4049745,1905,1846,DOWN,Phase_5_Exaggerated
4049749,1904,1849,DOWN,Phase_5_Exaggerated
4049753,1878,1840,DOWN,Phase_5_Exaggerated
4049757,1906,1844,DOWN,Phase_5_Exaggerated
4049761,1917,1860,DOWN,Phase_5_Exaggerated
4049765,1921,1824,DOWN,Phase_5_Exaggerated
4049769,1921,1813,DOWN,Phase_5_Exaggerated
4049773,1932,1818,DOWN,Phase_5_Exaggerated
4049777,1917,1840,DOWN,Phase_5_Exaggerated
4049781,1908,1857,DOWN,Phase_5_Exaggerated
4049785,1894,1856,DOWN,Phase_5_Exaggerated
4049789,1906,1849,DOWN,Phase_5_Exaggerated
4049793,1917,1856,DOWN,Phase_5_Exaggerated
4049797,1917,1857,DOWN,Phase_5_Exaggerated
4049801,1914,1872,DOWN,Phase_5_Exaggerated
4049805,1920,1875,DOWN,Phase_5_Exaggerated
4049809,1933,1868,DOWN,Phase_5_Exaggerated
4049813,1927,1875,DOWN,Phase_5_Exaggerated
4049817,1910,1895,DOWN,Phase_5_Exaggerated
4049821,1904,1914,DOWN,Phase_5_Exaggerated
4049825,1911,1910,DOWN,Phase_5_Exaggerated
4049829,1909,1891,DOWN,Phase_5_Exaggerated
4049833,1919,1881,DOWN,Phase_5_Exaggerated
4049837,1935,1890,DOWN,Phase_5_Exaggerated
4049841,1926,1907,DOWN,Phase_5_Exaggerated
4049845,1924,1919,DOWN,Phase_5_Exaggerated
4049849,1931,1927,DOWN,Phase_5_Exaggerated
4049853,1941,1875,DOWN,Phase_5_Exaggerated
4049857,1935,1904,DOWN,Phase_5_Exaggerated
4049861,1923,1952,DOWN,Phase_5_Exaggerated
