Timestamp,CH1,CH2,Label,Phase
4084337,1872,1808,LEFT,Phase_5_Exaggerated
4084341,1871,1808,LEFT,Phase_5_Exaggerated
4084345,1855,1819,LEFT,Phase_5_Exaggerated
4084349,1872,1827,LEFT,Phase_5_Exaggerated
4084353,1935,1820,LEFT,Phase_5_Exaggerated
4084357,1968,1846,LEFT,Phase_5_Exaggerated
4084361,1973,1872,LEFT,Phase_5_Exaggerated
4084365,1958,1903,LEFT,Phase_5_Exaggerated
4084369,1951,1905,LEFT,Phase_5_Exaggerated
4084373,1959,1863,LEFT,Phase_5_Exaggerated
4084377,1945,1877,LEFT,Phase_5_Exaggerated
4084381,1949,1909,LEFT,Phase_5_Exaggerated
4084385,1968,1952,LEFT,Phase_5_Exaggerated
4084389,1968,1973,LEFT,Phase_5_Exaggerated
4084393,1971,1955,LEFT,Phase_5_Exaggerated
4084397,1991,1971,LEFT,Phase_5_Exaggerated
4084401,2014,1973,LEFT,Phase_5_Exaggerated
4084405,2035,1968,LEFT,Phase_5_Exaggerated
4084409,2032,1956,LEFT,Phase_5_Exaggerated
4084413,2017,1943,LEFT,Phase_5_Exaggerated
4084417,1955,2029,LEFT,Phase_5_Exaggerated
4084421,1968,2101,LEFT,Phase_5_Exaggerated
4084425,2047,2107,LEFT,Phase_5_Exaggerated
4084429,2115,2095,LEFT,Phase_5_Exaggerated
4084433,2064,2093,LEFT,Phase_5_Exaggerated
4084437,1975,2087,LEFT,Phase_5_Exaggerated
4084441,1905,2097,LEFT,Phase_5_Exaggerated
4084445,1945,2089,LEFT,Phase_5_Exaggerated
4084449,2098,2063,LEFT,Phase_5_Exaggerated
4084453,2241,2037,LEFT,Phase_5_Exaggerated
4084457,2256,2077,LEFT,Phase_5_Exaggerated
4084461,2218,2105,LEFT,Phase_5_Exaggerated
4084465,2160,2090,LEFT,Phase_5_Exaggerated
4084469,2128,2073,LEFT,Phase_5_Exaggerated
4084473,2093,2059,LEFT,Phase_5_Exaggerated
4084477,2063,2069,LEFT,Phase_5_Exaggerated
4084481,2047,2102,LEFT,Phase_5_Exaggerated
4084485,2097,2130,LEFT,Phase_5_Exaggerated
4084489,2160,2087,LEFT,Phase_5_Exaggerated
4084493,2117,2055,LEFT,Phase_5_Exaggerated
4084497,2003,2064,LEFT,Phase_5_Exaggerated
4084501,1968,2099,LEFT,Phase_5_Exaggerated
4084505,2028,2095,LEFT,Phase_5_Exaggerated
4084509,2112,2086,LEFT,Phase_5_Exaggerated
4084513,2155,2065,LEFT,Phase_5_Exaggerated
4084517,2128,2069,LEFT,Phase_5_Exaggerated
4084521,2112,2090,LEFT,Phase_5_Exaggerated
4084525,2064,2074,LEFT,Phase_5_Exaggerated
4084529,2011,2081,LEFT,Phase_5_Exaggerated
4084533,1984,2105,LEFT,Phase_5_Exaggerated
4084537,2014,2087,LEFT,Phase_5_Exaggerated
4084541,2046,2112,LEFT,Phase_5_Exaggerated
4084545,2021,2127,LEFT,Phase_5_Exaggerated
4084549,1936,2121,LEFT,Phase_5_Exaggerated
4084553,1919,2129,LEFT,Phase_5_Exaggerated
