Timestamp,CH1,CH2,Label,Phase
4443741,1911,1885,NOISE,Phase_5_Exaggerated
4443745,1915,1886,NOISE,Phase_5_Exaggerated
4443749,1914,1887,NOISE,Phase_5_Exaggerated
4443753,1925,1891,NOISE,Phase_5_Exaggerated
4443757,1911,1903,NOISE,Phase_5_Exaggerated
4443761,1909,1898,NOISE,Phase_5_Exaggerated
4443765,1913,1911,NOISE,Phase_5_Exaggerated
4443769,1904,1907,NOISE,Phase_5_Exaggerated
4443773,1899,1889,NOISE,Phase_5_Exaggerated
4443777,1909,1873,NOISE,Phase_5_Exaggerated
4443781,1919,1884,NOISE,Phase_5_Exaggerated
4443785,1920,1894,NOISE,Phase_5_Exaggerated
4443789,1927,1899,NOISE,Phase_5_Exaggerated
4443793,1922,1891,NOISE,Phase_5_Exaggerated
4443797,1905,1888,NOISE,Phase_5_Exaggerated
4443801,1904,1902,NOISE,Phase_5_Exaggerated
4443805,1918,1904,NOISE,Phase_5_Exaggerated
4443809,1929,1895,NOISE,Phase_5_Exaggerated
4443813,1907,1883,NOISE,Phase_5_Exaggerated
4443817,1916,1882,NOISE,Phase_5_Exaggerated
4443821,1904,1893,NOISE,Phase_5_Exaggerated
4443825,1915,1901,NOISE,Phase_5_Exaggerated
4443829,1906,1897,NOISE,Phase_5_Exaggerated
4443833,1904,1890,NOISE,Phase_5_Exaggerated
4443837,1904,1888,NOISE,Phase_5_Exaggerated
4443841,1911,1890,NOISE,Phase_5_Exaggerated
4443845,1909,1891,NOISE,Phase_5_Exaggerated
4443849,1910,1892,NOISE,Phase_5_Exaggerated
4443853,1918,1891,NOISE,Phase_5_Exaggerated
4443857,1919,1897,NOISE,Phase_5_Exaggerated
4443861,1919,1900,NOISE,Phase_5_Exaggerated
4443865,1914,1897,NOISE,Phase_5_Exaggerated
4443869,1914,1891,NOISE,Phase_5_Exaggerated
4443873,1906,1897,NOISE,Phase_5_Exaggerated
4443877,1903,1895,NOISE,Phase_5_Exaggerated
4443881,1899,1887,NOISE,Phase_5_Exaggerated
4443885,1898,1878,NOISE,Phase_5_Exaggerated
4443889,1904,1886,NOISE,Phase_5_Exaggerated
4443893,1913,1887,NOISE,Phase_5_Exaggerated
4443897,1908,1885,NOISE,Phase_5_Exaggerated
4443901,1907,1889,NOISE,Phase_5_Exaggerated
4443905,1907,1892,NOISE,Phase_5_Exaggerated
4443909,1901,1883,NOISE,Phase_5_Exaggerated
