Timestamp,CH1,CH2,Label,Phase
4329345,1882,1865,RIGHT,Phase_5_Exaggerated
4329349,1885,1843,RIGHT,Phase_5_Exaggerated
4329353,1879,1820,RIGHT,Phase_5_Exaggerated
4329357,1895,1821,RIGHT,Phase_5_Exaggerated
4329361,1888,1855,RIGHT,Phase_5_Exaggerated
4329365,1879,1857,RIGHT,Phase_5_Exaggerated
4329369,1888,1869,RIGHT,Phase_5_Exaggerated
4329373,1859,1867,RIGHT,Phase_5_Exaggerated
4329377,1840,1874,RIGHT,Phase_5_Exaggerated
4329381,1794,1887,RIGHT,Phase_5_Exaggerated
4329385,1808,1866,RIGHT,Phase_5_Exaggerated
4329389,1882,1842,RIGHT,Phase_5_Exaggerated
4329393,1943,1833,RIGHT,Phase_5_Exaggerated
4329397,1947,1855,RIGHT,Phase_5_Exaggerated
4329401,1920,1843,RIGHT,Phase_5_Exaggerated
4329405,1914,1843,RIGHT,Phase_5_Exaggerated
4329409,1890,1863,RIGHT,Phase_5_Exaggerated
4329413,1904,1861,RIGHT,Phase_5_Exaggerated
4329417,1904,1870,RIGHT,Phase_5_Exaggerated
4329421,1891,1889,RIGHT,Phase_5_Exaggerated
4329425,1919,1893,RIGHT,Phase_5_Exaggerated
4329429,1911,1893,RIGHT,Phase_5_Exaggerated
4329433,1899,1889,RIGHT,Phase_5_Exaggerated
4329437,1898,1876,RIGHT,Phase_5_Exaggerated
4329441,1918,1867,RIGHT,Phase_5_Exaggerated
4329445,1872,1876,RIGHT,Phase_5_Exaggerated
4329449,1831,1887,RIGHT,Phase_5_Exaggerated
4329453,1869,1886,RIGHT,Phase_5_Exaggerated
4329457,1915,1887,RIGHT,Phase_5_Exaggerated
4329461,1919,1901,RIGHT,Phase_5_Exaggerated
4329465,1926,1892,RIGHT,Phase_5_Exaggerated
4329469,1933,1867,RIGHT,Phase_5_Exaggerated
4329473,1925,1840,RIGHT,Phase_5_Exaggerated
4329477,1931,1843,RIGHT,Phase_5_Exaggerated
4329481,1952,1864,RIGHT,Phase_5_Exaggerated
4329485,1969,1843,RIGHT,Phase_5_Exaggerated
4329489,1968,1821,RIGHT,Phase_5_Exaggerated
4329493,1958,1831,RIGHT,Phase_5_Exaggerated
4329497,1934,1851,RIGHT,Phase_5_Exaggerated
4329501,1935,1872,RIGHT,Phase_5_Exaggerated
4329505,1918,1903,RIGHT,Phase_5_Exaggerated
4329509,1904,1920,RIGHT,Phase_5_Exaggerated
4329513,1914,1924,RIGHT,Phase_5_Exaggerated
4329517,1924,1929,RIGHT,Phase_5_Exaggerated
4329521,1937,1885,RIGHT,Phase_5_Exaggerated
4329525,1936,1862,RIGHT,Phase_5_Exaggerated
4329529,1937,1867,RIGHT,Phase_5_Exaggerated
4329533,1937,1892,RIGHT,Phase_5_Exaggerated
4329537,1915,1936,RIGHT,Phase_5_Exaggerated
4329541,1902,1951,RIGHT,Phase_5_Exaggerated
4329545,1926,1935,RIGHT,Phase_5_Exaggerated
4329549,1958,1904,RIGHT,Phase_5_Exaggerated
4329553,1969,1894,RIGHT,Phase_5_Exaggerated
4329557,1965,1898,RIGHT,Phase_5_Exaggerated
4329561,1957,1904,RIGHT,Phase_5_Exaggerated
4329565,1965,1920,RIGHT,Phase_5_Exaggerated
4329569,1983,1904,RIGHT,Phase_5_Exaggerated
4329573,1947,1907,RIGHT,Phase_5_Exaggerated
4329577,1877,1920,RIGHT,Phase_5_Exaggerated
4329581,1867,1914,RIGHT,Phase_5_Exaggerated
4329585,1938,1919,RIGHT,Phase_5_Exaggerated
4329589,1978,1911,RIGHT,Phase_5_Exaggerated
4329593,1973,1902,RIGHT,Phase_5_Exaggerated
4329597,1965,1911,RIGHT,Phase_5_Exaggerated
4329601,1975,1889,RIGHT,Phase_5_Exaggerated
4329605,1969,1907,RIGHT,Phase_5_Exaggerated
4329609,1959,1915,RIGHT,Phase_5_Exaggerated
4329613,1953,1937,RIGHT,Phase_5_Exaggerated
4329617,1940,1942,RIGHT,Phase_5_Exaggerated
4329621,1907,1920,RIGHT,Phase_5_Exaggerated
4329625,1904,1902,RIGHT,Phase_5_Exaggerated
4329629,1903,1904,RIGHT,Phase_5_Exaggerated
4329633,1927,1915,RIGHT,Phase_5_Exaggerated
4329637,1957,1890,RIGHT,Phase_5_Exaggerated
4329641,1959,1917,RIGHT,Phase_5_Exaggerated
4329645,1917,1935,RIGHT,Phase_5_Exaggerated
4329649,1897,1905,RIGHT,Phase_5_Exaggerated
4329653,1904,1877,RIGHT,Phase_5_Exaggerated
4329657,1947,1869,RIGHT,Phase_5_Exaggerated
4329661,1925,1872,RIGHT,Phase_5_Exaggerated
4329665,1913,1887,RIGHT,Phase_5_Exaggerated
4329669,1923,1902,RIGHT,Phase_5_Exaggerated
4329673,1904,1899,RIGHT,Phase_5_Exaggerated
4329677,1904,1926,RIGHT,Phase_5_Exaggerated
4329681,1917,1970,RIGHT,Phase_5_Exaggerated
4329685,1933,1966,RIGHT,Phase_5_Exaggerated
4329689,1887,1922,RIGHT,Phase_5_Exaggerated
4329693,1904,1905,RIGHT,Phase_5_Exaggerated
4329697,1963,1944,RIGHT,Phase_5_Exaggerated
