Timestamp,CH1,CH2,Label,Phase
4259705,1928,1869,SILENCE,Phase_5_Exaggerated
4259709,1919,1849,SILENCE,Phase_5_Exaggerated
4259713,1920,1859,SILENCE,Phase_5_Exaggerated
4259717,1936,1885,SILENCE,Phase_5_Exaggerated
4259721,1927,1891,SILENCE,Phase_5_Exaggerated
4259725,1932,1878,SILENCE,Phase_5_Exaggerated
4259729,1919,1870,SILENCE,Phase_5_Exaggerated
4259733,1920,1867,SILENCE,Phase_5_Exaggerated
4259737,1918,1889,SILENCE,Phase_5_Exaggerated
4259741,1924,1905,SILENCE,Phase_5_Exaggerated
4259745,1927,1913,SILENCE,Phase_5_Exaggerated
4259749,1929,1914,SILENCE,Phase_5_Exaggerated
4259753,1932,1920,SILENCE,Phase_5_Exaggerated
4259757,1931,1917,SILENCE,Phase_5_Exaggerated
4259761,1937,1898,SILENCE,Phase_5_Exaggerated
4259765,1941,1886,SILENCE,Phase_5_Exaggerated
4259769,1939,1872,SILENCE,Phase_5_Exaggerated
4259773,1924,1872,SILENCE,Phase_5_Exaggerated
4259777,1904,1877,SILENCE,Phase_5_Exaggerated
4259781,1881,1897,SILENCE,Phase_5_Exaggerated
4259785,1853,1904,SILENCE,Phase_5_Exaggerated
4259789,1828,1898,SILENCE,Phase_5_Exaggerated
4259793,1809,1884,SILENCE,Phase_5_Exaggerated
4259797,1821,1878,SILENCE,Phase_5_Exaggerated
4259801,1847,1885,SILENCE,Phase_5_Exaggerated
4259805,1878,1899,SILENCE,Phase_5_Exaggerated
4259809,1905,1911,SILENCE,Phase_5_Exaggerated
4259813,1909,1915,SILENCE,Phase_5_Exaggerated
4259817,1910,1901,SILENCE,Phase_5_Exaggerated
4259821,1925,1873,SILENCE,Phase_5_Exaggerated
4259825,1933,1898,SILENCE,Phase_5_Exaggerated
4259829,1940,1916,SILENCE,Phase_5_Exaggerated
4259833,1943,1935,SILENCE,Phase_5_Exaggerated
4259837,1945,1937,SILENCE,Phase_5_Exaggerated
4259841,1944,1922,SILENCE,Phase_5_Exaggerated
4259845,1952,1916,SILENCE,Phase_5_Exaggerated
4259849,1948,1909,SILENCE,Phase_5_Exaggerated
4259853,1954,1909,SILENCE,Phase_5_Exaggerated
4259857,1963,1907,SILENCE,Phase_5_Exaggerated
4259861,1963,1917,SILENCE,Phase_5_Exaggerated
4259865,1958,1919,SILENCE,Phase_5_Exaggerated
4259869,1961,1906,SILENCE,Phase_5_Exaggerated
4259873,1958,1910,SILENCE,Phase_5_Exaggerated
4259877,1951,1904,SILENCE,Phase_5_Exaggerated
4259881,1951,1903,SILENCE,Phase_5_Exaggerated
4259885,1951,1922,SILENCE,Phase_5_Exaggerated
4259889,1958,1910,SILENCE,Phase_5_Exaggerated
4259893,1957,1918,SILENCE,Phase_5_Exaggerated
4259897,1925,1921,SILENCE,Phase_5_Exaggerated
4259901,1962,1936,SILENCE,Phase_5_Exaggerated
4259905,1964,1936,SILENCE,Phase_5_Exaggerated
4259909,1959,1920,SILENCE,Phase_5_Exaggerated
4259913,1968,1919,SILENCE,Phase_5_Exaggerated
4259917,1969,1934,SILENCE,Phase_5_Exaggerated
4259921,1971,1941,SILENCE,Phase_5_Exaggerated
4259925,1949,1945,SILENCE,Phase_5_Exaggerated
4259929,1943,1940,SILENCE,Phase_5_Exaggerated
4259933,1965,1924,SILENCE,Phase_5_Exaggerated
4259937,1971,1927,SILENCE,Phase_5_Exaggerated
4259941,1968,1933,SILENCE,Phase_5_Exaggerated
4259945,1957,1936,SILENCE,Phase_5_Exaggerated
4259949,1961,1932,SILENCE,Phase_5_Exaggerated
4259953,1962,1933,SILENCE,Phase_5_Exaggerated
4259957,1962,1946,SILENCE,Phase_5_Exaggerated
4259961,1967,1963,SILENCE,Phase_5_Exaggerated
4259965,1982,1957,SILENCE,Phase_5_Exaggerated
4259969,1985,1946,SILENCE,Phase_5_Exaggerated
4259973,1994,1943,SILENCE,Phase_5_Exaggerated
4259977,2000,1963,SILENCE,Phase_5_Exaggerated
4259981,2013,1968,SILENCE,Phase_5_Exaggerated
4259985,2028,1984,SILENCE,Phase_5_Exaggerated
4259989,2032,2006,SILENCE,Phase_5_Exaggerated
4259993,2039,2022,SILENCE,Phase_5_Exaggerated
4259997,2038,2026,SILENCE,Phase_5_Exaggerated
4260001,2039,2023,SILENCE,Phase_5_Exaggerated
4260005,2047,2013,SILENCE,Phase_5_Exaggerated
4260009,2054,2027,SILENCE,Phase_5_Exaggerated
4260013,2039,2028,SILENCE,Phase_5_Exaggerated
4260017,2062,2023,SILENCE,Phase_5_Exaggerated
4260021,2064,2031,SILENCE,Phase_5_Exaggerated
4260025,2077,2039,SILENCE,Phase_5_Exaggerated
4260029,2067,2061,SILENCE,Phase_5_Exaggerated
4260033,2057,2071,SILENCE,Phase_5_Exaggerated
4260037,2055,2061,SILENCE,Phase_5_Exaggerated
4260041,2023,2055,SILENCE,Phase_5_Exaggerated
4260045,2038,2055,SILENCE,Phase_5_Exaggerated
4260049,2055,2027,SILENCE,Phase_5_Exaggerated
4260053,2053,2033,SILENCE,Phase_5_Exaggerated
4260057,2047,2037,SILENCE,Phase_5_Exaggerated
4260061,2055,2054,SILENCE,Phase_5_Exaggerated
4260065,2064,2067,SILENCE,Phase_5_Exaggerated
4260069,2065,2037,SILENCE,Phase_5_Exaggerated
4260073,2064,2022,SILENCE,Phase_5_Exaggerated
4260077,2070,2019,SILENCE,Phase_5_Exaggerated
4260081,2068,2032,SILENCE,Phase_5_Exaggerated
4260085,2074,2038,SILENCE,Phase_5_Exaggerated
4260089,2073,2077,SILENCE,Phase_5_Exaggerated
4260093,2067,2083,SILENCE,Phase_5_Exaggerated
4260097,2061,2064,SILENCE,Phase_5_Exaggerated
4260101,2069,2035,SILENCE,Phase_5_Exaggerated
4260105,2069,2042,SILENCE,Phase_5_Exaggerated
4260109,2077,2034,SILENCE,Phase_5_Exaggerated
4260113,2075,2034,SILENCE,Phase_5_Exaggerated
4260117,2075,2042,SILENCE,Phase_5_Exaggerated
4260121,2073,2041,SILENCE,Phase_5_Exaggerated
4260125,2069,2037,SILENCE,Phase_5_Exaggerated
4260129,2067,2034,SILENCE,Phase_5_Exaggerated
4260133,2064,2026,SILENCE,Phase_5_Exaggerated
4260137,2057,2027,SILENCE,Phase_5_Exaggerated
4260141,2057,2023,SILENCE,Phase_5_Exaggerated
4260145,2032,2013,SILENCE,Phase_5_Exaggerated
4260149,2046,2001,SILENCE,Phase_5_Exaggerated
4260153,2043,2000,SILENCE,Phase_5_Exaggerated
4260157,2043,2005,SILENCE,Phase_5_Exaggerated
4260161,2046,2017,SILENCE,Phase_5_Exaggerated
4260165,2045,2032,SILENCE,Phase_5_Exaggerated
4260169,2034,2012,SILENCE,Phase_5_Exaggerated
4260173,2061,1985,SILENCE,Phase_5_Exaggerated
4260177,2033,1968,SILENCE,Phase_5_Exaggerated
4260181,2033,1969,SILENCE,Phase_5_Exaggerated
4260185,2035,1981,SILENCE,Phase_5_Exaggerated
4260189,2037,1978,SILENCE,Phase_5_Exaggerated
4260193,2027,1975,SILENCE,Phase_5_Exaggerated
