Timestamp,CH1,CH2,Label,Phase
4268413,1890,1837,UP,Phase_5_Exaggerated
4268417,1891,1831,UP,Phase_5_Exaggerated
4268421,1891,1806,UP,Phase_5_Exaggerated
4268425,1890,1825,UP,Phase_5_Exaggerated
4268429,1889,1821,UP,Phase_5_Exaggerated
4268433,1889,1808,UP,Phase_5_Exaggerated
4268437,1887,1809,UP,Phase_5_Exaggerated
4268441,1877,1819,UP,Phase_5_Exaggerated
4268445,1872,1842,UP,Phase_5_Exaggerated
4268449,1872,1871,UP,Phase_5_Exaggerated
4268453,1856,1844,UP,Phase_5_Exaggerated
4268457,1872,1834,UP,Phase_5_Exaggerated
4268461,1873,1819,UP,Phase_5_Exaggerated
4268465,1873,1822,UP,Phase_5_Exaggerated
4268469,1876,1823,UP,Phase_5_Exaggerated
4268473,1875,1841,UP,Phase_5_Exaggerated
4268477,1879,1840,UP,Phase_5_Exaggerated
4268481,1875,1830,UP,Phase_5_Exaggerated
4268485,1872,1815,UP,Phase_5_Exaggerated
4268489,1871,1820,UP,Phase_5_Exaggerated
4268493,1875,1822,UP,Phase_5_Exaggerated
4268497,1882,1820,UP,Phase_5_Exaggerated
4268501,1882,1829,UP,Phase_5_Exaggerated
4268505,1885,1834,UP,Phase_5_Exaggerated
4268509,1879,1826,UP,Phase_5_Exaggerated
4268513,1887,1824,UP,Phase_5_Exaggerated
4268517,1894,1826,UP,Phase_5_Exaggerated
4268521,1890,1828,UP,Phase_5_Exaggerated
4268525,1881,1835,UP,Phase_5_Exaggerated
4268529,1878,1840,UP,Phase_5_Exaggerated
4268533,1873,1840,UP,Phase_5_Exaggerated
4268537,1875,1821,UP,Phase_5_Exaggerated
4268541,1891,1819,UP,Phase_5_Exaggerated
4268545,1884,1815,UP,Phase_5_Exaggerated
4268549,1873,1810,UP,Phase_5_Exaggerated
4268553,1870,1808,UP,Phase_5_Exaggerated
4268557,1861,1821,UP,Phase_5_Exaggerated
4268561,1866,1842,UP,Phase_5_Exaggerated
4268565,1872,1835,UP,Phase_5_Exaggerated
4268569,1870,1840,UP,Phase_5_Exaggerated
4268573,1861,1840,UP,Phase_5_Exaggerated
