Timestamp,CH1,CH2,Label,Phase
2434469,1929,1904,DOWN,Phase_6_Covert
2434473,1925,1878,DOWN,Phase_6_Covert
2434477,1925,1895,DOWN,Phase_6_Covert
2434481,1931,1884,DOWN,Phase_6_Covert
2434485,1920,1873,DOWN,Phase_6_Covert
2434489,1905,1871,DOWN,Phase_6_Covert
2434493,1877,1866,DOWN,Phase_6_Covert
2434497,1854,1858,DOWN,Phase_6_Covert
2434501,1824,1829,DOWN,Phase_6_Covert
2434505,1807,1839,DOWN,Phase_6_Covert
2434509,1803,1840,DOWN,Phase_6_Covert
2434513,1820,1849,DOWN,Phase_6_Covert
2434517,1846,1871,DOWN,Phase_6_Covert
2434521,1869,1872,DOWN,Phase_6_Covert
2434525,1877,1885,DOWN,Phase_6_Covert
2434529,1904,1891,DOWN,Phase_6_Covert
2434533,1905,1893,DOWN,Phase_6_Covert
2434537,1911,1900,DOWN,Phase_6_Covert
2434541,1923,1887,DOWN,Phase_6_Covert
2434545,1934,1873,DOWN,Phase_6_Covert
2434549,1927,1881,DOWN,Phase_6_Covert
2434553,1915,1901,DOWN,Phase_6_Covert
2434557,1927,1903,DOWN,Phase_6_Covert
2434561,1926,1904,DOWN,Phase_6_Covert
2434565,1934,1907,DOWN,Phase_6_Covert
2434569,1936,1894,DOWN,Phase_6_Covert
2434573,1941,1889,DOWN,Phase_6_Covert
2434577,1952,1898,DOWN,Phase_6_Covert
2434581,1946,1895,DOWN,Phase_6_Covert
2434585,1940,1903,DOWN,Phase_6_Covert
2434589,1942,1909,DOWN,Phase_6_Covert
2434593,1936,1907,DOWN,Phase_6_Covert
2434597,1931,1899,DOWN,Phase_6_Covert
2434601,1920,1904,DOWN,Phase_6_Covert
2434605,1933,1906,DOWN,Phase_6_Covert
2434609,1943,1913,DOWN,Phase_6_Covert
2434613,1933,1903,DOWN,Phase_6_Covert
2434617,1935,1899,DOWN,Phase_6_Covert
2434621,1936,1900,DOWN,Phase_6_Covert
2434625,1939,1911,DOWN,Phase_6_Covert
2434629,1939,1920,DOWN,Phase_6_Covert
2434633,1935,1918,DOWN,Phase_6_Covert
2434637,1929,1917,DOWN,Phase_6_Covert
2434641,1927,1920,DOWN,Phase_6_Covert
2434645,1922,1920,DOWN,Phase_6_Covert
2434649,1927,1904,DOWN,Phase_6_Covert
2434653,1936,1904,DOWN,Phase_6_Covert
2434657,1935,1904,DOWN,Phase_6_Covert
2434661,1932,1911,DOWN,Phase_6_Covert
2434665,1920,1910,DOWN,Phase_6_Covert
2434669,1918,1899,DOWN,Phase_6_Covert
2434673,1915,1901,DOWN,Phase_6_Covert
2434677,1919,1904,DOWN,Phase_6_Covert
2434681,1923,1900,DOWN,Phase_6_Covert
2434685,1919,1904,DOWN,Phase_6_Covert
2434689,1931,1883,DOWN,Phase_6_Covert
2434693,1932,1883,DOWN,Phase_6_Covert
2434697,1936,1894,DOWN,Phase_6_Covert
2434701,1937,1878,DOWN,Phase_6_Covert
2434705,1937,1910,DOWN,Phase_6_Covert
2434709,1936,1924,DOWN,Phase_6_Covert
2434713,1936,1948,DOWN,Phase_6_Covert
2434717,1934,1948,DOWN,Phase_6_Covert
2434721,1927,1970,DOWN,Phase_6_Covert
2434725,1925,1969,DOWN,Phase_6_Covert
2434729,1919,1961,DOWN,Phase_6_Covert
2434733,1920,1946,DOWN,Phase_6_Covert
2434737,1927,1936,DOWN,Phase_6_Covert
2434741,1935,1927,DOWN,Phase_6_Covert
2434745,1935,1933,DOWN,Phase_6_Covert
2434749,1925,1938,DOWN,Phase_6_Covert
2434753,1915,1936,DOWN,Phase_6_Covert
2434757,1919,1915,DOWN,Phase_6_Covert
2434761,1919,1933,DOWN,Phase_6_Covert
2434765,1917,1927,DOWN,Phase_6_Covert
2434769,1911,1920,DOWN,Phase_6_Covert
2434773,1911,1919,DOWN,Phase_6_Covert
2434777,1911,1923,DOWN,Phase_6_Covert
2434781,1919,1945,DOWN,Phase_6_Covert
2434785,1929,1947,DOWN,Phase_6_Covert
2434789,1936,1931,DOWN,Phase_6_Covert
2434793,1934,1939,DOWN,Phase_6_Covert
2434797,1934,1935,DOWN,Phase_6_Covert
2434801,1914,1938,DOWN,Phase_6_Covert
2434805,1854,1936,DOWN,Phase_6_Covert
2434809,1831,1932,DOWN,Phase_6_Covert
2434813,1905,1927,DOWN,Phase_6_Covert
2434817,1961,1942,DOWN,Phase_6_Covert
2434821,1999,1936,DOWN,Phase_6_Covert
2434825,1969,1901,DOWN,Phase_6_Covert
2434829,1939,1900,DOWN,Phase_6_Covert
2434833,1835,1905,DOWN,Phase_6_Covert
2434837,1848,1922,DOWN,Phase_6_Covert
2434841,1951,1957,DOWN,Phase_6_Covert
2434845,1983,1930,DOWN,Phase_6_Covert
2434849,1957,1882,DOWN,Phase_6_Covert
2434853,1965,1853,DOWN,Phase_6_Covert
2434857,2003,1874,DOWN,Phase_6_Covert
2434861,1929,1897,DOWN,Phase_6_Covert
2434865,1837,1936,DOWN,Phase_6_Covert
2434869,1865,1908,DOWN,Phase_6_Covert
2434873,1899,1859,DOWN,Phase_6_Covert
2434877,1891,1829,DOWN,Phase_6_Covert
2434881,1911,1825,DOWN,Phase_6_Covert
2434885,1954,1827,DOWN,Phase_6_Covert
2434889,1904,1839,DOWN,Phase_6_Covert
2434893,1862,1873,DOWN,Phase_6_Covert
2434897,1890,1867,DOWN,Phase_6_Covert
2434901,1943,1843,DOWN,Phase_6_Covert
2434905,1990,1791,DOWN,Phase_6_Covert
2434909,1999,1748,DOWN,Phase_6_Covert
2434913,1987,1737,DOWN,Phase_6_Covert
2434917,1967,1751,DOWN,Phase_6_Covert
2434921,1945,1769,DOWN,Phase_6_Covert
2434925,1923,1776,DOWN,Phase_6_Covert
2434929,1902,1805,DOWN,Phase_6_Covert
2434933,1892,1794,DOWN,Phase_6_Covert
2434937,1887,1737,DOWN,Phase_6_Covert
2434941,1879,1729,DOWN,Phase_6_Covert
2434945,1879,1770,DOWN,Phase_6_Covert
2434949,1873,1802,DOWN,Phase_6_Covert
2434953,1871,1815,DOWN,Phase_6_Covert
2434957,1870,1838,DOWN,Phase_6_Covert
2434961,1872,1853,DOWN,Phase_6_Covert
2434965,1867,1851,DOWN,Phase_6_Covert
2434969,1865,1857,DOWN,Phase_6_Covert
2434973,1860,1855,DOWN,Phase_6_Covert
2434977,1853,1855,DOWN,Phase_6_Covert
2434981,1846,1857,DOWN,Phase_6_Covert
2434985,1847,1867,DOWN,Phase_6_Covert
2434989,1846,1874,DOWN,Phase_6_Covert
2434993,1842,1890,DOWN,Phase_6_Covert
2434997,1839,1869,DOWN,Phase_6_Covert
2435001,1841,1826,DOWN,Phase_6_Covert
2435005,1845,1860,DOWN,Phase_6_Covert
2435009,1843,1849,DOWN,Phase_6_Covert
2435013,1846,1835,DOWN,Phase_6_Covert
2435017,1844,1856,DOWN,Phase_6_Covert
2435021,1847,1857,DOWN,Phase_6_Covert
2435025,1857,1871,DOWN,Phase_6_Covert
2435029,1856,1887,DOWN,Phase_6_Covert
2435033,1856,1886,DOWN,Phase_6_Covert
2435037,1852,1871,DOWN,Phase_6_Covert
2435041,1856,1842,DOWN,Phase_6_Covert
2435045,1868,1867,DOWN,Phase_6_Covert
2435049,1869,1869,DOWN,Phase_6_Covert
2435053,1867,1872,DOWN,Phase_6_Covert
2435057,1865,1877,DOWN,Phase_6_Covert
2435061,1870,1881,DOWN,Phase_6_Covert
2435065,1875,1872,DOWN,Phase_6_Covert
2435069,1879,1859,DOWN,Phase_6_Covert
2435073,1878,1850,DOWN,Phase_6_Covert
2435077,1865,1850,DOWN,Phase_6_Covert
2435081,1879,1872,DOWN,Phase_6_Covert
2435085,1871,1904,DOWN,Phase_6_Covert
2435089,1877,1919,DOWN,Phase_6_Covert
2435093,1875,1916,DOWN,Phase_6_Covert
2435097,1885,1906,DOWN,Phase_6_Covert
2435101,1894,1891,DOWN,Phase_6_Covert
2435105,1875,1893,DOWN,Phase_6_Covert
2435109,1880,1901,DOWN,Phase_6_Covert
2435113,1883,1903,DOWN,Phase_6_Covert
2435117,1875,1900,DOWN,Phase_6_Covert
2435121,1886,1905,DOWN,Phase_6_Covert
2435125,1889,1914,DOWN,Phase_6_Covert
2435129,1878,1901,DOWN,Phase_6_Covert
2435133,1870,1879,DOWN,Phase_6_Covert
2435137,1874,1859,DOWN,Phase_6_Covert
2435141,1875,1870,DOWN,Phase_6_Covert
2435145,1887,1883,DOWN,Phase_6_Covert
2435149,1888,1887,DOWN,Phase_6_Covert
2435153,1895,1887,DOWN,Phase_6_Covert
2435157,1893,1902,DOWN,Phase_6_Covert
2435161,1904,1890,DOWN,Phase_6_Covert
2435165,1904,1875,DOWN,Phase_6_Covert
2435169,1903,1857,DOWN,Phase_6_Covert
2435173,1904,1844,DOWN,Phase_6_Covert
2435177,1909,1862,DOWN,Phase_6_Covert
2435181,1918,1872,DOWN,Phase_6_Covert
2435185,1922,1871,DOWN,Phase_6_Covert
2435189,1931,1865,DOWN,Phase_6_Covert
2435193,1931,1858,DOWN,Phase_6_Covert
2435197,1923,1861,DOWN,Phase_6_Covert
2435201,1923,1859,DOWN,Phase_6_Covert
2435205,1933,1883,DOWN,Phase_6_Covert
2435209,1933,1917,DOWN,Phase_6_Covert
2435213,1936,1885,DOWN,Phase_6_Covert
2435217,1937,1846,DOWN,Phase_6_Covert
2435221,1946,1845,DOWN,Phase_6_Covert
2435225,1938,1840,DOWN,Phase_6_Covert
2435229,1931,1847,DOWN,Phase_6_Covert
2435233,1932,1858,DOWN,Phase_6_Covert
