Timestamp,CH1,CH2,Label,Phase
2272725,1929,1903,LEFT,Phase_6_Covert
2272729,1906,1905,LEFT,Phase_6_Covert
2272733,1904,1895,LEFT,Phase_6_Covert
2272737,1914,1878,LEFT,Phase_6_Covert
2272741,1903,1866,LEFT,Phase_6_Covert
2272745,1902,1846,LEFT,Phase_6_Covert
2272749,1887,1844,LEFT,Phase_6_Covert
2272753,1893,1857,LEFT,Phase_6_Covert
2272757,1873,1875,LEFT,Phase_6_Covert
2272761,1898,1883,LEFT,Phase_6_Covert
2272765,1895,1874,LEFT,Phase_6_Covert
2272769,1901,1873,LEFT,Phase_6_Covert
2272773,1911,1870,LEFT,Phase_6_Covert
2272777,1913,1869,LEFT,Phase_6_Covert
2272781,1908,1869,LEFT,Phase_6_Covert
2272785,1907,1878,LEFT,Phase_6_Covert
2272789,1917,1885,LEFT,Phase_6_Covert
2272793,1920,1882,LEFT,Phase_6_Covert
2272797,1931,1893,LEFT,Phase_6_Covert
2272801,1923,1893,LEFT,Phase_6_Covert
2272805,1927,1878,LEFT,Phase_6_Covert
2272809,1935,1872,LEFT,Phase_6_Covert
2272813,1951,1874,LEFT,Phase_6_Covert
2272817,1933,1890,LEFT,Phase_6_Covert
2272821,1932,1882,LEFT,Phase_6_Covert
2272825,1927,1901,LEFT,Phase_6_Covert
2272829,1921,1872,LEFT,Phase_6_Covert
2272833,1941,1873,LEFT,Phase_6_Covert
2272837,1933,1873,LEFT,Phase_6_Covert
2272841,1936,1867,LEFT,Phase_6_Covert
2272845,1939,1885,LEFT,Phase_6_Covert
2272849,1949,1903,LEFT,Phase_6_Covert
2272853,1908,1904,LEFT,Phase_6_Covert
2272857,1932,1894,LEFT,Phase_6_Covert
2272861,1933,1881,LEFT,Phase_6_Covert
2272865,1941,1872,LEFT,Phase_6_Covert
2272869,1935,1870,LEFT,Phase_6_Covert
2272873,1927,1879,LEFT,Phase_6_Covert
2272877,1931,1865,LEFT,Phase_6_Covert
2272881,1925,1845,LEFT,Phase_6_Covert
2272885,1931,1846,LEFT,Phase_6_Covert
2272889,1939,1879,LEFT,Phase_6_Covert
2272893,1948,1904,LEFT,Phase_6_Covert
2272897,1949,1897,LEFT,Phase_6_Covert
2272901,1943,1888,LEFT,Phase_6_Covert
2272905,1937,1875,LEFT,Phase_6_Covert
2272909,1936,1875,LEFT,Phase_6_Covert
2272913,1920,1872,LEFT,Phase_6_Covert
2272917,1935,1871,LEFT,Phase_6_Covert
2272921,1921,1876,LEFT,Phase_6_Covert
2272925,1936,1887,LEFT,Phase_6_Covert
2272929,1929,1875,LEFT,Phase_6_Covert
2272933,1925,1884,LEFT,Phase_6_Covert
2272937,1920,1871,LEFT,Phase_6_Covert
2272941,1917,1871,LEFT,Phase_6_Covert
2272945,1901,1872,LEFT,Phase_6_Covert
2272949,1867,1854,LEFT,Phase_6_Covert
2272953,1832,1823,LEFT,Phase_6_Covert
2272957,1778,1804,LEFT,Phase_6_Covert
2272961,1791,1808,LEFT,Phase_6_Covert
2272965,1812,1814,LEFT,Phase_6_Covert
2272969,1848,1839,LEFT,Phase_6_Covert
2272973,1878,1868,LEFT,Phase_6_Covert
2272977,1904,1878,LEFT,Phase_6_Covert
2272981,1915,1902,LEFT,Phase_6_Covert
2272985,1924,1882,LEFT,Phase_6_Covert
2272989,1921,1879,LEFT,Phase_6_Covert
2272993,1936,1887,LEFT,Phase_6_Covert
2272997,1935,1894,LEFT,Phase_6_Covert
2273001,1936,1903,LEFT,Phase_6_Covert
2273005,1953,1903,LEFT,Phase_6_Covert
2273009,1955,1886,LEFT,Phase_6_Covert
2273013,1954,1891,LEFT,Phase_6_Covert
2273017,1945,1905,LEFT,Phase_6_Covert
2273021,1941,1911,LEFT,Phase_6_Covert
2273025,1943,1904,LEFT,Phase_6_Covert
2273029,1947,1905,LEFT,Phase_6_Covert
2273033,1958,1914,LEFT,Phase_6_Covert
2273037,1961,1919,LEFT,Phase_6_Covert
2273041,1951,1926,LEFT,Phase_6_Covert
2273045,1951,1921,LEFT,Phase_6_Covert
2273049,1957,1901,LEFT,Phase_6_Covert
2273053,1951,1904,LEFT,Phase_6_Covert
2273057,1930,1913,LEFT,Phase_6_Covert
2273061,1934,1935,LEFT,Phase_6_Covert
2273065,1943,1950,LEFT,Phase_6_Covert
2273069,1943,1936,LEFT,Phase_6_Covert
2273073,1929,1933,LEFT,Phase_6_Covert
2273077,1919,1913,LEFT,Phase_6_Covert
2273081,1941,1927,LEFT,Phase_6_Covert
2273085,1975,1936,LEFT,Phase_6_Covert
2273089,1982,1943,LEFT,Phase_6_Covert
2273093,1968,1954,LEFT,Phase_6_Covert
2273097,1975,1951,LEFT,Phase_6_Covert
2273101,1985,1964,LEFT,Phase_6_Covert
2273105,1968,1935,LEFT,Phase_6_Covert
2273109,1958,1935,LEFT,Phase_6_Covert
2273113,1968,1936,LEFT,Phase_6_Covert
2273117,1952,1949,LEFT,Phase_6_Covert
2273121,1941,1941,LEFT,Phase_6_Covert
2273125,1934,1928,LEFT,Phase_6_Covert
2273129,1943,1913,LEFT,Phase_6_Covert
2273133,1950,1903,LEFT,Phase_6_Covert
2273137,1962,1922,LEFT,Phase_6_Covert
2273141,1969,1936,LEFT,Phase_6_Covert
2273145,1975,1930,LEFT,Phase_6_Covert
2273149,1964,1891,LEFT,Phase_6_Covert
2273153,1961,1861,LEFT,Phase_6_Covert
2273157,1954,1851,LEFT,Phase_6_Covert
2273161,1962,1858,LEFT,Phase_6_Covert
2273165,1949,1904,LEFT,Phase_6_Covert
2273169,1969,1936,LEFT,Phase_6_Covert
2273173,1969,1961,LEFT,Phase_6_Covert
2273177,1968,1962,LEFT,Phase_6_Covert
2273181,1968,1923,LEFT,Phase_6_Covert
2273185,1984,1905,LEFT,Phase_6_Covert
2273189,1998,1885,LEFT,Phase_6_Covert
2273193,1994,1958,LEFT,Phase_6_Covert
2273197,1973,2032,LEFT,Phase_6_Covert
2273201,1965,2043,LEFT,Phase_6_Covert
2273205,1974,2026,LEFT,Phase_6_Covert
2273209,1974,2005,LEFT,Phase_6_Covert
2273213,1988,1985,LEFT,Phase_6_Covert
2273217,1997,1966,LEFT,Phase_6_Covert
2273221,1986,1947,LEFT,Phase_6_Covert
2273225,1999,1958,LEFT,Phase_6_Covert
2273229,2015,1954,LEFT,Phase_6_Covert
2273233,2014,2000,LEFT,Phase_6_Covert
2273237,1997,2059,LEFT,Phase_6_Covert
2273241,2007,2073,LEFT,Phase_6_Covert
2273245,2009,2064,LEFT,Phase_6_Covert
2273249,2027,2032,LEFT,Phase_6_Covert
2273253,2027,2017,LEFT,Phase_6_Covert
2273257,2023,2002,LEFT,Phase_6_Covert
2273261,2019,1998,LEFT,Phase_6_Covert
2273265,2019,1987,LEFT,Phase_6_Covert
2273269,2017,2003,LEFT,Phase_6_Covert
2273273,2020,2030,LEFT,Phase_6_Covert
2273277,2026,2033,LEFT,Phase_6_Covert
