Timestamp,CH1,CH2,Label,Phase
2747449,1914,1809,NOISE,Phase_6_Covert
2747453,1921,1819,NOISE,Phase_6_Covert
2747457,1913,1803,NOISE,Phase_6_Covert
2747461,1877,1781,NOISE,Phase_6_Covert
2747465,1851,1776,NOISE,Phase_6_Covert
2747469,1812,1747,NOISE,Phase_6_Covert
2747473,1757,1741,NOISE,Phase_6_Covert
2747477,1737,1749,NOISE,Phase_6_Covert
2747481,1776,1765,NOISE,Phase_6_Covert
2747485,1808,1776,NOISE,Phase_6_Covert
2747489,1850,1785,NOISE,Phase_6_Covert
2747493,1863,1782,NOISE,Phase_6_Covert
2747497,1871,1797,NOISE,Phase_6_Covert
2747501,1877,1799,NOISE,Phase_6_Covert
2747505,1875,1817,NOISE,Phase_6_Covert
2747509,1865,1803,NOISE,Phase_6_Covert
2747513,1878,1803,NOISE,Phase_6_Covert
2747517,1915,1797,NOISE,Phase_6_Covert
2747521,1921,1811,NOISE,Phase_6_Covert
2747525,1906,1821,NOISE,Phase_6_Covert
2747529,1881,1822,NOISE,Phase_6_Covert
2747533,1875,1810,NOISE,Phase_6_Covert
2747537,1881,1811,NOISE,Phase_6_Covert
2747541,1905,1809,NOISE,Phase_6_Covert
2747545,1947,1838,NOISE,Phase_6_Covert
2747549,1978,1838,NOISE,Phase_6_Covert
2747553,1982,1844,NOISE,Phase_6_Covert
2747557,1981,1803,NOISE,Phase_6_Covert
2747561,1925,1776,NOISE,Phase_6_Covert
2747565,1882,1766,NOISE,Phase_6_Covert
2747569,1818,1772,NOISE,Phase_6_Covert
2747573,1793,1799,NOISE,Phase_6_Covert
2747577,1837,1831,NOISE,Phase_6_Covert
2747581,1836,1867,NOISE,Phase_6_Covert
2747585,1819,1866,NOISE,Phase_6_Covert
2747589,1835,1874,NOISE,Phase_6_Covert
2747593,1909,1823,NOISE,Phase_6_Covert
2747597,1904,1818,NOISE,Phase_6_Covert
2747601,1931,1819,NOISE,Phase_6_Covert
2747605,2021,1840,NOISE,Phase_6_Covert
2747609,2067,1849,NOISE,Phase_6_Covert
2747613,1991,1869,NOISE,Phase_6_Covert
2747617,1887,1863,NOISE,Phase_6_Covert
2747621,1823,1840,NOISE,Phase_6_Covert
2747625,1799,1815,NOISE,Phase_6_Covert
2747629,1823,1797,NOISE,Phase_6_Covert
2747633,1936,1823,NOISE,Phase_6_Covert
2747637,2057,1831,NOISE,Phase_6_Covert
2747641,2117,1876,NOISE,Phase_6_Covert
2747645,2128,1860,NOISE,Phase_6_Covert
2747649,2073,1840,NOISE,Phase_6_Covert
2747653,2000,1847,NOISE,Phase_6_Covert
2747657,2010,1853,NOISE,Phase_6_Covert
2747661,2006,1835,NOISE,Phase_6_Covert
2747665,1991,1857,NOISE,Phase_6_Covert
2747669,1968,1885,NOISE,Phase_6_Covert
2747673,1967,1918,NOISE,Phase_6_Covert
2747677,1913,1898,NOISE,Phase_6_Covert
2747681,1878,1865,NOISE,Phase_6_Covert
2747685,1826,1866,NOISE,Phase_6_Covert
2747689,1801,1909,NOISE,Phase_6_Covert
2747693,1763,1924,NOISE,Phase_6_Covert
2747697,1895,1924,NOISE,Phase_6_Covert
2747701,2058,1879,NOISE,Phase_6_Covert
2747705,2153,1870,NOISE,Phase_6_Covert
2747709,2126,1873,NOISE,Phase_6_Covert
2747713,2057,1875,NOISE,Phase_6_Covert
2747717,2000,1879,NOISE,Phase_6_Covert
2747721,1972,1872,NOISE,Phase_6_Covert
2747725,1924,1866,NOISE,Phase_6_Covert
2747729,1886,1854,NOISE,Phase_6_Covert
2747733,1905,1799,NOISE,Phase_6_Covert
2747737,1906,1729,NOISE,Phase_6_Covert
2747741,1834,1696,NOISE,Phase_6_Covert
2747745,1855,1776,NOISE,Phase_6_Covert
2747749,1985,1949,NOISE,Phase_6_Covert
2747753,1975,2026,NOISE,Phase_6_Covert
2747757,1872,1968,NOISE,Phase_6_Covert
2747761,1841,1872,NOISE,Phase_6_Covert
2747765,1870,1850,NOISE,Phase_6_Covert
2747769,1858,1934,NOISE,Phase_6_Covert
2747773,1817,2002,NOISE,Phase_6_Covert
2747777,1930,1987,NOISE,Phase_6_Covert
2747781,1915,1948,NOISE,Phase_6_Covert
2747785,1753,1933,NOISE,Phase_6_Covert
2747789,1904,1895,NOISE,Phase_6_Covert
2747793,2064,1841,NOISE,Phase_6_Covert
2747797,2128,1869,NOISE,Phase_6_Covert
2747801,2151,1946,NOISE,Phase_6_Covert
2747805,2094,1964,NOISE,Phase_6_Covert
2747809,2121,1899,NOISE,Phase_6_Covert
2747813,1875,1846,NOISE,Phase_6_Covert
2747817,1749,1791,NOISE,Phase_6_Covert
2747821,1735,1845,NOISE,Phase_6_Covert
2747825,1856,1940,NOISE,Phase_6_Covert
2747829,2083,1975,NOISE,Phase_6_Covert
2747833,2390,1936,NOISE,Phase_6_Covert
2747837,2559,1936,NOISE,Phase_6_Covert
2747841,2515,2000,NOISE,Phase_6_Covert
2747845,2366,2066,NOISE,Phase_6_Covert
2747849,2239,2086,NOISE,Phase_6_Covert
2747853,2211,2074,NOISE,Phase_6_Covert
2747857,2286,2018,NOISE,Phase_6_Covert
2747861,2314,1983,NOISE,Phase_6_Covert
2747865,2261,1954,NOISE,Phase_6_Covert
2747869,2231,1916,NOISE,Phase_6_Covert
2747873,2182,1873,NOISE,Phase_6_Covert
2747877,2206,1859,NOISE,Phase_6_Covert
2747881,2192,1834,NOISE,Phase_6_Covert
2747885,1883,1803,NOISE,Phase_6_Covert
2747889,2054,1836,NOISE,Phase_6_Covert
2747893,2624,1922,NOISE,Phase_6_Covert
2747897,2781,1983,NOISE,Phase_6_Covert
2747901,2607,1929,NOISE,Phase_6_Covert
2747905,2532,1859,NOISE,Phase_6_Covert
2747909,2527,1858,NOISE,Phase_6_Covert
2747913,2532,1872,NOISE,Phase_6_Covert
2747917,2559,1882,NOISE,Phase_6_Covert
2747921,2403,1841,NOISE,Phase_6_Covert
2747925,2316,1769,NOISE,Phase_6_Covert
2747929,2501,1726,NOISE,Phase_6_Covert
2747933,2714,1777,NOISE,Phase_6_Covert
2747937,2864,1927,NOISE,Phase_6_Covert
2747941,2903,2000,NOISE,Phase_6_Covert
2747945,2995,1995,NOISE,Phase_6_Covert
2747949,3083,1921,NOISE,Phase_6_Covert
2747953,3094,1890,NOISE,Phase_6_Covert
2747957,3059,1847,NOISE,Phase_6_Covert
2747961,2960,1839,NOISE,Phase_6_Covert
2747965,2855,1806,NOISE,Phase_6_Covert
2747969,2839,1808,NOISE,Phase_6_Covert
2747973,2973,1774,NOISE,Phase_6_Covert
2747977,3248,1731,NOISE,Phase_6_Covert
2747981,3425,1737,NOISE,Phase_6_Covert
2747985,3402,1825,NOISE,Phase_6_Covert
2747989,3324,1899,NOISE,Phase_6_Covert
2747993,3353,1875,NOISE,Phase_6_Covert
2747997,3520,1819,NOISE,Phase_6_Covert
2748001,3583,1808,NOISE,Phase_6_Covert
2748005,3673,1815,NOISE,Phase_6_Covert
2748009,3692,1809,NOISE,Phase_6_Covert
2748013,3664,1783,NOISE,Phase_6_Covert
2748017,3685,1744,NOISE,Phase_6_Covert
2748021,3748,1719,NOISE,Phase_6_Covert
2748025,3822,1715,NOISE,Phase_6_Covert
2748029,3872,1717,NOISE,Phase_6_Covert
2748033,3889,1717,NOISE,Phase_6_Covert
2748037,3891,1706,NOISE,Phase_6_Covert
2748041,3863,1680,NOISE,Phase_6_Covert
2748045,3820,1749,NOISE,Phase_6_Covert
2748049,3778,1749,NOISE,Phase_6_Covert
2748053,3742,1775,NOISE,Phase_6_Covert
2748057,3674,1759,NOISE,Phase_6_Covert
2748061,3681,1743,NOISE,Phase_6_Covert
2748065,3679,1744,NOISE,Phase_6_Covert
2748069,3532,1719,NOISE,Phase_6_Covert
2748073,3521,1712,NOISE,Phase_6_Covert
2748077,3507,1731,NOISE,Phase_6_Covert
2748081,3423,1735,NOISE,Phase_6_Covert
2748085,3355,1749,NOISE,Phase_6_Covert
2748089,3298,1722,NOISE,Phase_6_Covert
2748093,3184,1728,NOISE,Phase_6_Covert
2748097,3113,1681,NOISE,Phase_6_Covert
2748101,3099,1627,NOISE,Phase_6_Covert
2748105,3037,1610,NOISE,Phase_6_Covert
2748109,2963,1647,NOISE,Phase_6_Covert
2748113,2896,1783,NOISE,Phase_6_Covert
2748117,2834,1957,NOISE,Phase_6_Covert
2748121,2752,1997,NOISE,Phase_6_Covert
2748125,2675,1975,NOISE,Phase_6_Covert
2748129,2658,1928,NOISE,Phase_6_Covert
2748133,2626,1897,NOISE,Phase_6_Covert
2748137,2559,1872,NOISE,Phase_6_Covert
2748141,2526,1872,NOISE,Phase_6_Covert
2748145,2471,1884,NOISE,Phase_6_Covert
2748149,2432,1899,NOISE,Phase_6_Covert
2748153,2404,1898,NOISE,Phase_6_Covert
2748157,2369,1857,NOISE,Phase_6_Covert
2748161,2306,1842,NOISE,Phase_6_Covert
2748165,2270,1845,NOISE,Phase_6_Covert
2748169,2268,1843,NOISE,Phase_6_Covert
2748173,2245,1834,NOISE,Phase_6_Covert
2748177,2221,1831,NOISE,Phase_6_Covert
2748181,2149,1798,NOISE,Phase_6_Covert
2748185,2077,1729,NOISE,Phase_6_Covert
2748189,2009,1741,NOISE,Phase_6_Covert
2748193,1920,1748,NOISE,Phase_6_Covert
2748197,1841,1766,NOISE,Phase_6_Covert
2748201,1829,1787,NOISE,Phase_6_Covert
2748205,1831,1802,NOISE,Phase_6_Covert
2748209,1808,1759,NOISE,Phase_6_Covert
2748213,1785,1725,NOISE,Phase_6_Covert
2748217,1753,1696,NOISE,Phase_6_Covert
2748221,1648,1687,NOISE,Phase_6_Covert
2748225,1568,1789,NOISE,Phase_6_Covert
2748229,1526,1943,NOISE,Phase_6_Covert
2748233,1502,1943,NOISE,Phase_6_Covert
2748237,1434,1855,NOISE,Phase_6_Covert
2748241,1392,1757,NOISE,Phase_6_Covert
2748245,1461,1731,NOISE,Phase_6_Covert
2748249,1515,1794,NOISE,Phase_6_Covert
2748253,1591,1903,NOISE,Phase_6_Covert
