Timestamp,CH1,CH2,Label,Phase
2708853,1931,1869,RIGHT,Phase_6_Covert
2708857,1947,1870,RIGHT,Phase_6_Covert
2708861,1931,1872,RIGHT,Phase_6_Covert
2708865,1916,1855,RIGHT,Phase_6_Covert
2708869,1923,1853,RIGHT,Phase_6_Covert
2708873,1918,1868,RIGHT,Phase_6_Covert
2708877,1915,1873,RIGHT,Phase_6_Covert
2708881,1921,1875,RIGHT,Phase_6_Covert
2708885,1927,1872,RIGHT,Phase_6_Covert
2708889,1927,1854,RIGHT,Phase_6_Covert
2708893,1920,1857,RIGHT,Phase_6_Covert
2708897,1911,1863,RIGHT,Phase_6_Covert
2708901,1907,1858,RIGHT,Phase_6_Covert
2708905,1904,1847,RIGHT,Phase_6_Covert
2708909,1908,1846,RIGHT,Phase_6_Covert
2708913,1923,1869,RIGHT,Phase_6_Covert
2708917,1910,1890,RIGHT,Phase_6_Covert
2708921,1908,1906,RIGHT,Phase_6_Covert
2708925,1906,1889,RIGHT,Phase_6_Covert
2708929,1908,1891,RIGHT,Phase_6_Covert
2708933,1920,1872,RIGHT,Phase_6_Covert
2708937,1924,1869,RIGHT,Phase_6_Covert
2708941,1920,1867,RIGHT,Phase_6_Covert
2708945,1907,1869,RIGHT,Phase_6_Covert
2708949,1904,1872,RIGHT,Phase_6_Covert
2708953,1911,1869,RIGHT,Phase_6_Covert
2708957,1909,1855,RIGHT,Phase_6_Covert
2708961,1898,1837,RIGHT,Phase_6_Covert
2708965,1902,1849,RIGHT,Phase_6_Covert
2708969,1883,1856,RIGHT,Phase_6_Covert
2708973,1908,1856,RIGHT,Phase_6_Covert
2708977,1920,1869,RIGHT,Phase_6_Covert
2708981,1918,1859,RIGHT,Phase_6_Covert
2708985,1919,1851,RIGHT,Phase_6_Covert
2708989,1909,1849,RIGHT,Phase_6_Covert
2708993,1917,1856,RIGHT,Phase_6_Covert
2708997,1918,1871,RIGHT,Phase_6_Covert
2709001,1909,1870,RIGHT,Phase_6_Covert
2709005,1913,1861,RIGHT,Phase_6_Covert
2709009,1904,1853,RIGHT,Phase_6_Covert
2709013,1910,1829,RIGHT,Phase_6_Covert
2709017,1901,1810,RIGHT,Phase_6_Covert
2709021,1895,1813,RIGHT,Phase_6_Covert
2709025,1895,1826,RIGHT,Phase_6_Covert
2709029,1900,1813,RIGHT,Phase_6_Covert
2709033,1898,1808,RIGHT,Phase_6_Covert
2709037,1903,1807,RIGHT,Phase_6_Covert
2709041,1910,1806,RIGHT,Phase_6_Covert
2709045,1907,1806,RIGHT,Phase_6_Covert
2709049,1900,1779,RIGHT,Phase_6_Covert
2709053,1902,1779,RIGHT,Phase_6_Covert
2709057,1880,1785,RIGHT,Phase_6_Covert
2709061,1876,1783,RIGHT,Phase_6_Covert
2709065,1872,1769,RIGHT,Phase_6_Covert
2709069,1867,1777,RIGHT,Phase_6_Covert
2709073,1872,1771,RIGHT,Phase_6_Covert
2709077,1872,1791,RIGHT,Phase_6_Covert
2709081,1861,1797,RIGHT,Phase_6_Covert
2709085,1862,1793,RIGHT,Phase_6_Covert
2709089,1869,1794,RIGHT,Phase_6_Covert
2709093,1862,1794,RIGHT,Phase_6_Covert
2709097,1872,1776,RIGHT,Phase_6_Covert
2709101,1874,1773,RIGHT,Phase_6_Covert
2709105,1890,1785,RIGHT,Phase_6_Covert
2709109,1887,1802,RIGHT,Phase_6_Covert
2709113,1879,1808,RIGHT,Phase_6_Covert
2709117,1873,1807,RIGHT,Phase_6_Covert
2709121,1882,1794,RIGHT,Phase_6_Covert
2709125,1875,1837,RIGHT,Phase_6_Covert
2709129,1893,1851,RIGHT,Phase_6_Covert
2709133,1897,1865,RIGHT,Phase_6_Covert
2709137,1898,1872,RIGHT,Phase_6_Covert
2709141,1904,1879,RIGHT,Phase_6_Covert
2709145,1907,1874,RIGHT,Phase_6_Covert
2709149,1904,1866,RIGHT,Phase_6_Covert
2709153,1898,1850,RIGHT,Phase_6_Covert
2709157,1887,1850,RIGHT,Phase_6_Covert
2709161,1893,1863,RIGHT,Phase_6_Covert
2709165,1899,1880,RIGHT,Phase_6_Covert
2709169,1910,1893,RIGHT,Phase_6_Covert
2709173,1916,1903,RIGHT,Phase_6_Covert
2709177,1917,1877,RIGHT,Phase_6_Covert
2709181,1919,1889,RIGHT,Phase_6_Covert
2709185,1921,1891,RIGHT,Phase_6_Covert
2709189,1922,1893,RIGHT,Phase_6_Covert
2709193,1920,1887,RIGHT,Phase_6_Covert
2709197,1920,1892,RIGHT,Phase_6_Covert
2709201,1932,1899,RIGHT,Phase_6_Covert
2709205,1923,1905,RIGHT,Phase_6_Covert
2709209,1921,1911,RIGHT,Phase_6_Covert
2709213,1917,1919,RIGHT,Phase_6_Covert
2709217,1921,1918,RIGHT,Phase_6_Covert
2709221,1904,1905,RIGHT,Phase_6_Covert
2709225,1929,1907,RIGHT,Phase_6_Covert
2709229,1939,1911,RIGHT,Phase_6_Covert
2709233,1936,1914,RIGHT,Phase_6_Covert
2709237,1936,1915,RIGHT,Phase_6_Covert
2709241,1924,1908,RIGHT,Phase_6_Covert
2709245,1920,1920,RIGHT,Phase_6_Covert
2709249,1918,1909,RIGHT,Phase_6_Covert
2709253,1936,1904,RIGHT,Phase_6_Covert
2709257,1943,1899,RIGHT,Phase_6_Covert
2709261,1943,1904,RIGHT,Phase_6_Covert
2709265,1933,1918,RIGHT,Phase_6_Covert
2709269,1916,1919,RIGHT,Phase_6_Covert
2709273,1905,1902,RIGHT,Phase_6_Covert
2709277,1887,1879,RIGHT,Phase_6_Covert
2709281,1856,1851,RIGHT,Phase_6_Covert
2709285,1817,1847,RIGHT,Phase_6_Covert
2709289,1808,1855,RIGHT,Phase_6_Covert
2709293,1828,1869,RIGHT,Phase_6_Covert
2709297,1850,1895,RIGHT,Phase_6_Covert
2709301,1871,1919,RIGHT,Phase_6_Covert
2709305,1882,1926,RIGHT,Phase_6_Covert
2709309,1901,1907,RIGHT,Phase_6_Covert
2709313,1907,1910,RIGHT,Phase_6_Covert
2709317,1918,1908,RIGHT,Phase_6_Covert
2709321,1922,1924,RIGHT,Phase_6_Covert
2709325,1943,1964,RIGHT,Phase_6_Covert
2709329,1959,1959,RIGHT,Phase_6_Covert
2709333,1975,1943,RIGHT,Phase_6_Covert
2709337,1963,1952,RIGHT,Phase_6_Covert
2709341,1961,1938,RIGHT,Phase_6_Covert
2709345,1968,1933,RIGHT,Phase_6_Covert
2709349,1959,1936,RIGHT,Phase_6_Covert
2709353,1957,1950,RIGHT,Phase_6_Covert
2709357,1954,1941,RIGHT,Phase_6_Covert
2709361,1963,1941,RIGHT,Phase_6_Covert
2709365,1963,1939,RIGHT,Phase_6_Covert
2709369,1968,1936,RIGHT,Phase_6_Covert
2709373,1967,1920,RIGHT,Phase_6_Covert
2709377,1977,1926,RIGHT,Phase_6_Covert
2709381,1986,1957,RIGHT,Phase_6_Covert
2709385,1978,1968,RIGHT,Phase_6_Covert
2709389,1974,1966,RIGHT,Phase_6_Covert
2709393,1965,1966,RIGHT,Phase_6_Covert
2709397,1968,1955,RIGHT,Phase_6_Covert
2709401,1970,1938,RIGHT,Phase_6_Covert
2709405,1974,1937,RIGHT,Phase_6_Covert
2709409,1974,1942,RIGHT,Phase_6_Covert
2709413,1962,1945,RIGHT,Phase_6_Covert
2709417,1961,1936,RIGHT,Phase_6_Covert
2709421,1963,1936,RIGHT,Phase_6_Covert
2709425,1953,1935,RIGHT,Phase_6_Covert
2709429,1943,1930,RIGHT,Phase_6_Covert
2709433,1957,1904,RIGHT,Phase_6_Covert
2709437,1949,1918,RIGHT,Phase_6_Covert
2709441,1941,1925,RIGHT,Phase_6_Covert
2709445,1942,1922,RIGHT,Phase_6_Covert
2709449,1943,1904,RIGHT,Phase_6_Covert
2709453,1941,1917,RIGHT,Phase_6_Covert
2709457,1943,1941,RIGHT,Phase_6_Covert
2709461,1942,1942,RIGHT,Phase_6_Covert
2709465,1939,1933,RIGHT,Phase_6_Covert
2709469,1936,1942,RIGHT,Phase_6_Covert
2709473,1938,1931,RIGHT,Phase_6_Covert
2709477,1937,1918,RIGHT,Phase_6_Covert
2709481,1936,1914,RIGHT,Phase_6_Covert
2709485,1936,1934,RIGHT,Phase_6_Covert
2709489,1933,1934,RIGHT,Phase_6_Covert
2709493,1930,1933,RIGHT,Phase_6_Covert
2709497,1934,1923,RIGHT,Phase_6_Covert
2709501,1931,1900,RIGHT,Phase_6_Covert
2709505,1922,1872,RIGHT,Phase_6_Covert
2709509,1918,1865,RIGHT,Phase_6_Covert
2709513,1906,1867,RIGHT,Phase_6_Covert
2709517,1907,1871,RIGHT,Phase_6_Covert
2709521,1905,1883,RIGHT,Phase_6_Covert
2709525,1911,1902,RIGHT,Phase_6_Covert
2709529,1907,1907,RIGHT,Phase_6_Covert
2709533,1904,1897,RIGHT,Phase_6_Covert
2709537,1901,1876,RIGHT,Phase_6_Covert
2709541,1909,1875,RIGHT,Phase_6_Covert
2709545,1914,1875,RIGHT,Phase_6_Covert
2709549,1911,1869,RIGHT,Phase_6_Covert
2709553,1906,1867,RIGHT,Phase_6_Covert
2709557,1910,1877,RIGHT,Phase_6_Covert
2709561,1919,1874,RIGHT,Phase_6_Covert
2709565,1930,1872,RIGHT,Phase_6_Covert
2709569,1934,1863,RIGHT,Phase_6_Covert
2709573,1932,1874,RIGHT,Phase_6_Covert
2709577,1933,1888,RIGHT,Phase_6_Covert
2709581,1934,1881,RIGHT,Phase_6_Covert
2709585,1918,1880,RIGHT,Phase_6_Covert
2709589,1936,1886,RIGHT,Phase_6_Covert
2709593,1933,1871,RIGHT,Phase_6_Covert
2709597,1929,1871,RIGHT,Phase_6_Covert
2709601,1939,1863,RIGHT,Phase_6_Covert
2709605,1942,1854,RIGHT,Phase_6_Covert
2709609,1947,1856,RIGHT,Phase_6_Covert
2709613,1967,1865,RIGHT,Phase_6_Covert
2709617,1946,1859,RIGHT,Phase_6_Covert
2709621,1942,1854,RIGHT,Phase_6_Covert
2709625,1946,1856,RIGHT,Phase_6_Covert
2709629,1936,1850,RIGHT,Phase_6_Covert
2709633,1927,1845,RIGHT,Phase_6_Covert
2709637,1920,1840,RIGHT,Phase_6_Covert
2709641,1941,1843,RIGHT,Phase_6_Covert
2709645,1948,1850,RIGHT,Phase_6_Covert
2709649,1949,1859,RIGHT,Phase_6_Covert
2709653,1946,1872,RIGHT,Phase_6_Covert
2709657,1938,1871,RIGHT,Phase_6_Covert
2709661,1938,1862,RIGHT,Phase_6_Covert
2709665,1943,1846,RIGHT,Phase_6_Covert
2709669,1937,1843,RIGHT,Phase_6_Covert
2709673,1947,1863,RIGHT,Phase_6_Covert
2709677,1945,1889,RIGHT,Phase_6_Covert
2709681,1949,1872,RIGHT,Phase_6_Covert
2709685,1949,1854,RIGHT,Phase_6_Covert
2709689,1947,1843,RIGHT,Phase_6_Covert
2709693,1939,1837,RIGHT,Phase_6_Covert
2709697,1936,1868,RIGHT,Phase_6_Covert
2709701,1936,1882,RIGHT,Phase_6_Covert
2709705,1941,1869,RIGHT,Phase_6_Covert
2709709,1941,1883,RIGHT,Phase_6_Covert
2709713,1941,1882,RIGHT,Phase_6_Covert
2709717,1936,1891,RIGHT,Phase_6_Covert
2709721,1938,1893,RIGHT,Phase_6_Covert
2709725,1936,1891,RIGHT,Phase_6_Covert
2709729,1933,1872,RIGHT,Phase_6_Covert
2709733,1942,1857,RIGHT,Phase_6_Covert
2709737,1936,1856,RIGHT,Phase_6_Covert
2709741,1933,1856,RIGHT,Phase_6_Covert
2709745,1936,1857,RIGHT,Phase_6_Covert
2709749,1955,1858,RIGHT,Phase_6_Covert
2709753,1936,1850,RIGHT,Phase_6_Covert
2709757,1936,1854,RIGHT,Phase_6_Covert
2709761,1941,1856,RIGHT,Phase_6_Covert
2709765,1949,1868,RIGHT,Phase_6_Covert
2709769,1956,1870,RIGHT,Phase_6_Covert
2709773,1951,1878,RIGHT,Phase_6_Covert
2709777,1945,1873,RIGHT,Phase_6_Covert
2709781,1947,1862,RIGHT,Phase_6_Covert
2709785,1943,1875,RIGHT,Phase_6_Covert
2709789,1936,1873,RIGHT,Phase_6_Covert
2709793,1938,1864,RIGHT,Phase_6_Covert
2709797,1937,1855,RIGHT,Phase_6_Covert
2709801,1953,1857,RIGHT,Phase_6_Covert
2709805,1946,1858,RIGHT,Phase_6_Covert
2709809,1948,1861,RIGHT,Phase_6_Covert
2709813,1939,1857,RIGHT,Phase_6_Covert
