Timestamp,CH1,CH2,Label,Phase
2676761,1863,1891,SILENCE,Phase_6_Covert
2676765,1875,1887,SILENCE,Phase_6_Covert
2676769,1892,1902,SILENCE,Phase_6_Covert
2676773,1904,1886,SILENCE,Phase_6_Covert
2676777,1911,1904,SILENCE,Phase_6_Covert
2676781,1915,1886,SILENCE,Phase_6_Covert
2676785,1917,1889,SILENCE,Phase_6_Covert
2676789,1917,1869,SILENCE,Phase_6_Covert
2676793,1923,1872,SILENCE,Phase_6_Covert
2676797,1926,1878,SILENCE,Phase_6_Covert
2676801,1922,1882,SILENCE,Phase_6_Covert
2676805,1920,1856,SILENCE,Phase_6_Covert
2676809,1917,1885,SILENCE,Phase_6_Covert
2676813,1915,1887,SILENCE,Phase_6_Covert
2676817,1914,1883,SILENCE,Phase_6_Covert
2676821,1911,1871,SILENCE,Phase_6_Covert
2676825,1907,1857,SILENCE,Phase_6_Covert
2676829,1907,1862,SILENCE,Phase_6_Covert
2676833,1911,1876,SILENCE,Phase_6_Covert
2676837,1914,1880,SILENCE,Phase_6_Covert
2676841,1906,1871,SILENCE,Phase_6_Covert
2676845,1906,1872,SILENCE,Phase_6_Covert
2676849,1906,1878,SILENCE,Phase_6_Covert
2676853,1905,1875,SILENCE,Phase_6_Covert
2676857,1907,1875,SILENCE,Phase_6_Covert
2676861,1906,1885,SILENCE,Phase_6_Covert
2676865,1909,1872,SILENCE,Phase_6_Covert
2676869,1909,1869,SILENCE,Phase_6_Covert
2676873,1911,1872,SILENCE,Phase_6_Covert
2676877,1913,1870,SILENCE,Phase_6_Covert
2676881,1908,1867,SILENCE,Phase_6_Covert
2676885,1901,1865,SILENCE,Phase_6_Covert
2676889,1893,1875,SILENCE,Phase_6_Covert
2676893,1895,1885,SILENCE,Phase_6_Covert
2676897,1895,1882,SILENCE,Phase_6_Covert
2676901,1901,1875,SILENCE,Phase_6_Covert
2676905,1897,1872,SILENCE,Phase_6_Covert
2676909,1895,1862,SILENCE,Phase_6_Covert
2676913,1895,1863,SILENCE,Phase_6_Covert
2676917,1894,1867,SILENCE,Phase_6_Covert
2676921,1888,1856,SILENCE,Phase_6_Covert
2676925,1889,1854,SILENCE,Phase_6_Covert
2676929,1894,1855,SILENCE,Phase_6_Covert
2676933,1898,1859,SILENCE,Phase_6_Covert
2676937,1891,1872,SILENCE,Phase_6_Covert
2676941,1884,1877,SILENCE,Phase_6_Covert
2676945,1889,1872,SILENCE,Phase_6_Covert
2676949,1888,1858,SILENCE,Phase_6_Covert
2676953,1888,1856,SILENCE,Phase_6_Covert
2676957,1892,1856,SILENCE,Phase_6_Covert
2676961,1890,1857,SILENCE,Phase_6_Covert
2676965,1883,1857,SILENCE,Phase_6_Covert
2676969,1874,1860,SILENCE,Phase_6_Covert
2676973,1872,1856,SILENCE,Phase_6_Covert
2676977,1869,1854,SILENCE,Phase_6_Covert
2676981,1871,1851,SILENCE,Phase_6_Covert
2676985,1874,1858,SILENCE,Phase_6_Covert
2676989,1871,1872,SILENCE,Phase_6_Covert
2676993,1872,1872,SILENCE,Phase_6_Covert
2676997,1873,1875,SILENCE,Phase_6_Covert
2677001,1878,1872,SILENCE,Phase_6_Covert
2677005,1883,1856,SILENCE,Phase_6_Covert
2677009,1886,1855,SILENCE,Phase_6_Covert
2677013,1890,1873,SILENCE,Phase_6_Covert
2677017,1895,1870,SILENCE,Phase_6_Covert
2677021,1895,1841,SILENCE,Phase_6_Covert
2677025,1903,1870,SILENCE,Phase_6_Covert
